datetime,00060_Mean,00060_Mean_cd,site_no
1984-10-01 00:00:00+00:00,6550.0,A,09180500
1984-10-02 00:00:00+00:00,7290.0,A,09180500
1984-10-03 00:00:00+00:00,7830.0,A,09180500
1984-10-04 00:00:00+00:00,7370.0,A,09180500
1984-10-05 00:00:00+00:00,8540.0,A,09180500
1984-10-06 00:00:00+00:00,8460.0,A,09180500
1984-10-07 00:00:00+00:00,8410.0,A,09180500
1984-10-08 00:00:00+00:00,7790.0,A,09180500
1984-10-09 00:00:00+00:00,7540.0,A,09180500
1984-10-10 00:00:00+00:00,7400.0,A,09180500
1984-10-11 00:00:00+00:00,7130.0,A,09180500
1984-10-12 00:00:00+00:00,7150.0,A,09180500
1984-10-13 00:00:00+00:00,7730.0,A,09180500
1984-10-14 00:00:00+00:00,7830.0,A,09180500
1984-10-15 00:00:00+00:00,8120.0,A,09180500
1984-10-16 00:00:00+00:00,8210.0,A,09180500
1984-10-17 00:00:00+00:00,7940.0,A,09180500
1984-10-18 00:00:00+00:00,8090.0,A,09180500
1984-10-19 00:00:00+00:00,8130.0,A,09180500
1984-10-20 00:00:00+00:00,8130.0,A,09180500
1984-10-21 00:00:00+00:00,8530.0,A,09180500
1984-10-22 00:00:00+00:00,8140.0,A,09180500
1984-10-23 00:00:00+00:00,7860.0,A,09180500
1984-10-24 00:00:00+00:00,7880.0,A,09180500
1984-10-25 00:00:00+00:00,7790.0,A,09180500
1984-10-26 00:00:00+00:00,7510.0,A,09180500
1984-10-27 00:00:00+00:00,7540.0,A,09180500
1984-10-28 00:00:00+00:00,7610.0,A,09180500
1984-10-29 00:00:00+00:00,7670.0,A,09180500
1984-10-30 00:00:00+00:00,7480.0,A,09180500
1984-10-31 00:00:00+00:00,7580.0,A,09180500
1984-11-01 00:00:00+00:00,7500.0,A,09180500
1984-11-02 00:00:00+00:00,7350.0,A,09180500
1984-11-03 00:00:00+00:00,7260.0,A,09180500
1984-11-04 00:00:00+00:00,7240.0,A,09180500
1984-11-05 00:00:00+00:00,7160.0,A,09180500
1984-11-06 00:00:00+00:00,7040.0,A,09180500
1984-11-07 00:00:00+00:00,7020.0,A,09180500
1984-11-08 00:00:00+00:00,7090.0,A,09180500
1984-11-09 00:00:00+00:00,7040.0,A,09180500
1984-11-10 00:00:00+00:00,7010.0,A,09180500
1984-11-11 00:00:00+00:00,7120.0,A,09180500
1984-11-12 00:00:00+00:00,6990.0,A,09180500
1984-11-13 00:00:00+00:00,7160.0,A,09180500
1984-11-14 00:00:00+00:00,7210.0,A,09180500
1984-11-15 00:00:00+00:00,6950.0,A,09180500
1984-11-16 00:00:00+00:00,6830.0,A,09180500
1984-11-17 00:00:00+00:00,6790.0,A,09180500
1984-11-18 00:00:00+00:00,6720.0,A,09180500
1984-11-19 00:00:00+00:00,6530.0,A,09180500
1984-11-20 00:00:00+00:00,6410.0,A,09180500
1984-11-21 00:00:00+00:00,6430.0,A,09180500
1984-11-22 00:00:00+00:00,6350.0,A,09180500
1984-11-23 00:00:00+00:00,6350.0,A,09180500
1984-11-24 00:00:00+00:00,6560.0,A,09180500
1984-11-25 00:00:00+00:00,6700.0,A,09180500
1984-11-26 00:00:00+00:00,6770.0,A,09180500
1984-11-27 00:00:00+00:00,6710.0,A,09180500
1984-11-28 00:00:00+00:00,6370.0,A,09180500
1984-11-29 00:00:00+00:00,6250.0,A,09180500
1984-11-30 00:00:00+00:00,6590.0,A,09180500
1984-12-01 00:00:00+00:00,6570.0,A,09180500
1984-12-02 00:00:00+00:00,6510.0,A,09180500
1984-12-03 00:00:00+00:00,6480.0,A,09180500
1984-12-04 00:00:00+00:00,6330.0,A,09180500
1984-12-05 00:00:00+00:00,6300.0,A,09180500
1984-12-06 00:00:00+00:00,6100.0,A,09180500
1984-12-07 00:00:00+00:00,5850.0,A,09180500
1984-12-08 00:00:00+00:00,5830.0,A,09180500
1984-12-09 00:00:00+00:00,5790.0,A,09180500
1984-12-10 00:00:00+00:00,6350.0,A,09180500
1984-12-11 00:00:00+00:00,6340.0,A,09180500
1984-12-12 00:00:00+00:00,6440.0,A,09180500
1984-12-13 00:00:00+00:00,6240.0,A,09180500
1984-12-14 00:00:00+00:00,5930.0,A,09180500
1984-12-15 00:00:00+00:00,5750.0,A,09180500
1984-12-16 00:00:00+00:00,5640.0,A,09180500
1984-12-17 00:00:00+00:00,6040.0,A,09180500
1984-12-18 00:00:00+00:00,6040.0,A,09180500
1984-12-19 00:00:00+00:00,5530.0,A,09180500
1984-12-20 00:00:00+00:00,5580.0,A,09180500
1984-12-21 00:00:00+00:00,5590.0,A,09180500
1984-12-22 00:00:00+00:00,5360.0,A,09180500
1984-12-23 00:00:00+00:00,5040.0,A,09180500
1984-12-24 00:00:00+00:00,5220.0,A,09180500
1984-12-25 00:00:00+00:00,5280.0,A,09180500
1984-12-26 00:00:00+00:00,5840.0,A,09180500
1984-12-27 00:00:00+00:00,5950.0,A,09180500
1984-12-28 00:00:00+00:00,5400.0,A,09180500
1984-12-29 00:00:00+00:00,6310.0,A,09180500
1984-12-30 00:00:00+00:00,6270.0,A,09180500
1984-12-31 00:00:00+00:00,6360.0,A,09180500
1985-01-01 00:00:00+00:00,6060.0,A,09180500
1985-01-02 00:00:00+00:00,5760.0,A,09180500
1985-01-03 00:00:00+00:00,5210.0,A,09180500
1985-01-04 00:00:00+00:00,5210.0,A,09180500
1985-01-05 00:00:00+00:00,5320.0,A,09180500
1985-01-06 00:00:00+00:00,5640.0,A,09180500
1985-01-07 00:00:00+00:00,5970.0,A,09180500
1985-01-08 00:00:00+00:00,6280.0,A,09180500
1985-01-09 00:00:00+00:00,6750.0,A,09180500
1985-01-10 00:00:00+00:00,6770.0,A,09180500
1985-01-11 00:00:00+00:00,6590.0,A,09180500
1985-01-12 00:00:00+00:00,6430.0,A,09180500
1985-01-13 00:00:00+00:00,6220.0,A,09180500
1985-01-14 00:00:00+00:00,5940.0,A,09180500
1985-01-15 00:00:00+00:00,5700.0,A,09180500
1985-01-16 00:00:00+00:00,5740.0,A,09180500
1985-01-17 00:00:00+00:00,5850.0,A,09180500
1985-01-18 00:00:00+00:00,6100.0,A,09180500
1985-01-19 00:00:00+00:00,6360.0,A,09180500
1985-01-20 00:00:00+00:00,6850.0,A,09180500
1985-01-21 00:00:00+00:00,7080.0,A,09180500
1985-01-22 00:00:00+00:00,7280.0,A,09180500
1985-01-23 00:00:00+00:00,6800.0,A,09180500
1985-01-24 00:00:00+00:00,6730.0,A,09180500
1985-01-25 00:00:00+00:00,6960.0,A,09180500
1985-01-26 00:00:00+00:00,6830.0,A,09180500
1985-01-27 00:00:00+00:00,6900.0,A,09180500
1985-01-28 00:00:00+00:00,7040.0,A,09180500
1985-01-29 00:00:00+00:00,7160.0,A,09180500
1985-01-30 00:00:00+00:00,7130.0,A,09180500
1985-01-31 00:00:00+00:00,6850.0,A,09180500
1985-02-01 00:00:00+00:00,5850.0,A,09180500
1985-02-02 00:00:00+00:00,5530.0,A,09180500
1985-02-03 00:00:00+00:00,5330.0,A,09180500
1985-02-04 00:00:00+00:00,5830.0,A,09180500
1985-02-05 00:00:00+00:00,5800.0,A,09180500
1985-02-06 00:00:00+00:00,6120.0,A,09180500
1985-02-07 00:00:00+00:00,5940.0,A,09180500
1985-02-08 00:00:00+00:00,5840.0,A,09180500
1985-02-09 00:00:00+00:00,6320.0,A,09180500
1985-02-10 00:00:00+00:00,6530.0,A,09180500
1985-02-11 00:00:00+00:00,6570.0,A,09180500
1985-02-12 00:00:00+00:00,6130.0,A,09180500
1985-02-13 00:00:00+00:00,5920.0,A,09180500
1985-02-14 00:00:00+00:00,6180.0,A,09180500
1985-02-15 00:00:00+00:00,6270.0,A,09180500
1985-02-16 00:00:00+00:00,6340.0,A,09180500
1985-02-17 00:00:00+00:00,6430.0,A,09180500
1985-02-18 00:00:00+00:00,6540.0,A,09180500
1985-02-19 00:00:00+00:00,6560.0,A,09180500
1985-02-20 00:00:00+00:00,6590.0,A,09180500
1985-02-21 00:00:00+00:00,6700.0,A,09180500
1985-02-22 00:00:00+00:00,7300.0,A,09180500
1985-02-23 00:00:00+00:00,7120.0,A,09180500
1985-02-24 00:00:00+00:00,6770.0,A,09180500
1985-02-25 00:00:00+00:00,6670.0,A,09180500
1985-02-26 00:00:00+00:00,6640.0,A,09180500
1985-02-27 00:00:00+00:00,6640.0,A,09180500
1985-02-28 00:00:00+00:00,6670.0,A,09180500
1985-03-01 00:00:00+00:00,6770.0,A,09180500
1985-03-02 00:00:00+00:00,6880.0,A,09180500
1985-03-03 00:00:00+00:00,7140.0,A,09180500
1985-03-04 00:00:00+00:00,7120.0,A,09180500
1985-03-05 00:00:00+00:00,6820.0,A,09180500
1985-03-06 00:00:00+00:00,6640.0,A,09180500
1985-03-07 00:00:00+00:00,6850.0,A,09180500
1985-03-08 00:00:00+00:00,7040.0,A,09180500
1985-03-09 00:00:00+00:00,6960.0,A,09180500
1985-03-10 00:00:00+00:00,6980.0,A,09180500
1985-03-11 00:00:00+00:00,8010.0,A,09180500
1985-03-12 00:00:00+00:00,9200.0,A,09180500
1985-03-13 00:00:00+00:00,9510.0,A,09180500
1985-03-14 00:00:00+00:00,8420.0,A,09180500
1985-03-15 00:00:00+00:00,7860.0,A,09180500
1985-03-16 00:00:00+00:00,8690.0,A,09180500
1985-03-17 00:00:00+00:00,8800.0,A,09180500
1985-03-18 00:00:00+00:00,8940.0,A,09180500
1985-03-19 00:00:00+00:00,9010.0,A,09180500
1985-03-20 00:00:00+00:00,9180.0,A,09180500
1985-03-21 00:00:00+00:00,9160.0,A,09180500
1985-03-22 00:00:00+00:00,9230.0,A,09180500
1985-03-23 00:00:00+00:00,9390.0,A,09180500
1985-03-24 00:00:00+00:00,8710.0,A,09180500
1985-03-25 00:00:00+00:00,8800.0,A,09180500
1985-03-26 00:00:00+00:00,9390.0,A,09180500
1985-03-27 00:00:00+00:00,9850.0,A,09180500
1985-03-28 00:00:00+00:00,9930.0,A,09180500
1985-03-29 00:00:00+00:00,9990.0,A,09180500
1985-03-30 00:00:00+00:00,10100.0,A,09180500
1985-03-31 00:00:00+00:00,9390.0,A,09180500
1985-04-01 00:00:00+00:00,8530.0,A,09180500
1985-04-02 00:00:00+00:00,8510.0,A,09180500
1985-04-03 00:00:00+00:00,9000.0,A,09180500
1985-04-04 00:00:00+00:00,10400.0,A,09180500
1985-04-05 00:00:00+00:00,12400.0,A,09180500
1985-04-06 00:00:00+00:00,13300.0,A,09180500
1985-04-07 00:00:00+00:00,13900.0,A,09180500
1985-04-08 00:00:00+00:00,15300.0,A,09180500
1985-04-09 00:00:00+00:00,16800.0,A,09180500
1985-04-10 00:00:00+00:00,18900.0,A,09180500
1985-04-11 00:00:00+00:00,20300.0,A,09180500
1985-04-12 00:00:00+00:00,21000.0,A,09180500
1985-04-13 00:00:00+00:00,22200.0,A,09180500
1985-04-14 00:00:00+00:00,23700.0,A,09180500
1985-04-15 00:00:00+00:00,24500.0,A,09180500
1985-04-16 00:00:00+00:00,26100.0,A,09180500
1985-04-17 00:00:00+00:00,28800.0,A,09180500
1985-04-18 00:00:00+00:00,30300.0,A,09180500
1985-04-19 00:00:00+00:00,31000.0,A,09180500
1985-04-20 00:00:00+00:00,31400.0,A,09180500
1985-04-21 00:00:00+00:00,30200.0,A,09180500
1985-04-22 00:00:00+00:00,29300.0,A,09180500
1985-04-23 00:00:00+00:00,26500.0,A,09180500
1985-04-24 00:00:00+00:00,23900.0,A,09180500
1985-04-25 00:00:00+00:00,22500.0,A,09180500
1985-04-26 00:00:00+00:00,23100.0,A,09180500
1985-04-27 00:00:00+00:00,22500.0,A,09180500
1985-04-28 00:00:00+00:00,22100.0,A,09180500
1985-04-29 00:00:00+00:00,23600.0,A,09180500
1985-04-30 00:00:00+00:00,25300.0,A,09180500
1985-05-01 00:00:00+00:00,26200.0,A,09180500
1985-05-02 00:00:00+00:00,28000.0,A,09180500
1985-05-03 00:00:00+00:00,30000.0,A,09180500
1985-05-04 00:00:00+00:00,34100.0,A,09180500
1985-05-05 00:00:00+00:00,39500.0,A,09180500
1985-05-06 00:00:00+00:00,43200.0,A,09180500
1985-05-07 00:00:00+00:00,43000.0,A,09180500
1985-05-08 00:00:00+00:00,42300.0,A,09180500
1985-05-09 00:00:00+00:00,42100.0,A,09180500
1985-05-10 00:00:00+00:00,42000.0,A,09180500
1985-05-11 00:00:00+00:00,41100.0,A,09180500
1985-05-12 00:00:00+00:00,40200.0,A,09180500
1985-05-13 00:00:00+00:00,36100.0,A,09180500
1985-05-14 00:00:00+00:00,32000.0,A,09180500
1985-05-15 00:00:00+00:00,27100.0,A,09180500
1985-05-16 00:00:00+00:00,25000.0,A,09180500
1985-05-17 00:00:00+00:00,24100.0,A,09180500
1985-05-18 00:00:00+00:00,24300.0,A,09180500
1985-05-19 00:00:00+00:00,25100.0,A,09180500
1985-05-20 00:00:00+00:00,26100.0,A,09180500
1985-05-21 00:00:00+00:00,26100.0,A,09180500
1985-05-22 00:00:00+00:00,25600.0,A,09180500
1985-05-23 00:00:00+00:00,25400.0,A,09180500
1985-05-24 00:00:00+00:00,25600.0,A,09180500
1985-05-25 00:00:00+00:00,27100.0,A,09180500
1985-05-26 00:00:00+00:00,28400.0,A,09180500
1985-05-27 00:00:00+00:00,30400.0,A,09180500
1985-05-28 00:00:00+00:00,31700.0,A,09180500
1985-05-29 00:00:00+00:00,32900.0,A,09180500
1985-05-30 00:00:00+00:00,33800.0,A,09180500
1985-05-31 00:00:00+00:00,32700.0,A,09180500
1985-06-01 00:00:00+00:00,30800.0,A,09180500
1985-06-02 00:00:00+00:00,28000.0,A,09180500
1985-06-03 00:00:00+00:00,25900.0,A,09180500
1985-06-04 00:00:00+00:00,26100.0,A,09180500
1985-06-05 00:00:00+00:00,26200.0,A,09180500
1985-06-06 00:00:00+00:00,27000.0,A,09180500
1985-06-07 00:00:00+00:00,27900.0,A,09180500
1985-06-08 00:00:00+00:00,30100.0,A,09180500
1985-06-09 00:00:00+00:00,35500.0,A,09180500
1985-06-10 00:00:00+00:00,40800.0,A,09180500
1985-06-11 00:00:00+00:00,40400.0,A,09180500
1985-06-12 00:00:00+00:00,37300.0,A,09180500
1985-06-13 00:00:00+00:00,32700.0,A,09180500
1985-06-14 00:00:00+00:00,30400.0,A,09180500
1985-06-15 00:00:00+00:00,30000.0,A,09180500
1985-06-16 00:00:00+00:00,29400.0,A,09180500
1985-06-17 00:00:00+00:00,28300.0,A,09180500
1985-06-18 00:00:00+00:00,27900.0,A,09180500
1985-06-19 00:00:00+00:00,26700.0,A,09180500
1985-06-20 00:00:00+00:00,27000.0,A,09180500
1985-06-21 00:00:00+00:00,25200.0,A,09180500
1985-06-22 00:00:00+00:00,24900.0,A,09180500
1985-06-23 00:00:00+00:00,24200.0,A,09180500
1985-06-24 00:00:00+00:00,22700.0,A,09180500
1985-06-25 00:00:00+00:00,21900.0,A,09180500
1985-06-26 00:00:00+00:00,22900.0,A,09180500
1985-06-27 00:00:00+00:00,21900.0,A,09180500
1985-06-28 00:00:00+00:00,19900.0,A,09180500
1985-06-29 00:00:00+00:00,17000.0,A,09180500
1985-06-30 00:00:00+00:00,15800.0,A,09180500
1985-07-01 00:00:00+00:00,14200.0,A,09180500
1985-07-02 00:00:00+00:00,13600.0,A,09180500
1985-07-03 00:00:00+00:00,13000.0,A,09180500
1985-07-04 00:00:00+00:00,13100.0,A,09180500
1985-07-05 00:00:00+00:00,13000.0,A,09180500
1985-07-06 00:00:00+00:00,12800.0,A,09180500
1985-07-07 00:00:00+00:00,12400.0,A,09180500
1985-07-08 00:00:00+00:00,12100.0,A,09180500
1985-07-09 00:00:00+00:00,11800.0,A,09180500
1985-07-10 00:00:00+00:00,11100.0,A,09180500
1985-07-11 00:00:00+00:00,10600.0,A,09180500
1985-07-12 00:00:00+00:00,10100.0,A,09180500
1985-07-13 00:00:00+00:00,9790.0,A,09180500
1985-07-14 00:00:00+00:00,10000.0,A,09180500
1985-07-15 00:00:00+00:00,10400.0,A,09180500
1985-07-16 00:00:00+00:00,9750.0,A,09180500
1985-07-17 00:00:00+00:00,9350.0,A,09180500
1985-07-18 00:00:00+00:00,9290.0,A,09180500
1985-07-19 00:00:00+00:00,9890.0,A,09180500
1985-07-20 00:00:00+00:00,10500.0,A,09180500
1985-07-21 00:00:00+00:00,12400.0,A,09180500
