datetime,00060_Mean,00060_Mean_cd,site_no
1984-10-01 00:00:00+00:00,7780.0,A,13032500
1984-10-02 00:00:00+00:00,6800.0,A,13032500
1984-10-03 00:00:00+00:00,5900.0,A,13032500
1984-10-04 00:00:00+00:00,5180.0,A,13032500
1984-10-05 00:00:00+00:00,5110.0,A,13032500
1984-10-06 00:00:00+00:00,4830.0,A,13032500
1984-10-07 00:00:00+00:00,4780.0,A,13032500
1984-10-08 00:00:00+00:00,4810.0,A,13032500
1984-10-09 00:00:00+00:00,4800.0,A,13032500
1984-10-10 00:00:00+00:00,4800.0,A,13032500
1984-10-11 00:00:00+00:00,5080.0,A,13032500
1984-10-12 00:00:00+00:00,5120.0,A,13032500
1984-10-13 00:00:00+00:00,5110.0,A,13032500
1984-10-14 00:00:00+00:00,5110.0,A,13032500
1984-10-15 00:00:00+00:00,4240.0,A,13032500
1984-10-16 00:00:00+00:00,3920.0,A,13032500
1984-10-17 00:00:00+00:00,3850.0,A,13032500
1984-10-18 00:00:00+00:00,3900.0,A,13032500
1984-10-19 00:00:00+00:00,4540.0,A,13032500
1984-10-20 00:00:00+00:00,4620.0,A,13032500
1984-10-21 00:00:00+00:00,4610.0,A,13032500
1984-10-22 00:00:00+00:00,4640.0,A,13032500
1984-10-23 00:00:00+00:00,4600.0,A,13032500
1984-10-24 00:00:00+00:00,4600.0,A,13032500
1984-10-25 00:00:00+00:00,3980.0,A,13032500
1984-10-26 00:00:00+00:00,3900.0,A,13032500
1984-10-27 00:00:00+00:00,3900.0,A,13032500
1984-10-28 00:00:00+00:00,3640.0,A,13032500
1984-10-29 00:00:00+00:00,3620.0,A,13032500
1984-10-30 00:00:00+00:00,3610.0,A,13032500
1984-10-31 00:00:00+00:00,3620.0,A,13032500
1984-11-01 00:00:00+00:00,3620.0,A,13032500
1984-11-02 00:00:00+00:00,3620.0,A,13032500
1984-11-03 00:00:00+00:00,3610.0,A,13032500
1984-11-04 00:00:00+00:00,3620.0,A,13032500
1984-11-05 00:00:00+00:00,3860.0,A,13032500
1984-11-06 00:00:00+00:00,3900.0,A,13032500
1984-11-07 00:00:00+00:00,3910.0,A,13032500
1984-11-08 00:00:00+00:00,3890.0,A,13032500
1984-11-09 00:00:00+00:00,3910.0,A,13032500
1984-11-10 00:00:00+00:00,4090.0,A,13032500
1984-11-11 00:00:00+00:00,4090.0,A,13032500
1984-11-12 00:00:00+00:00,4090.0,A,13032500
1984-11-13 00:00:00+00:00,4260.0,A,13032500
1984-11-14 00:00:00+00:00,4400.0,A,13032500
1984-11-15 00:00:00+00:00,4620.0,A,13032500
1984-11-16 00:00:00+00:00,4630.0,A,13032500
1984-11-17 00:00:00+00:00,4650.0,A,13032500
1984-11-18 00:00:00+00:00,4640.0,A,13032500
1984-11-19 00:00:00+00:00,4630.0,A,13032500
1984-11-20 00:00:00+00:00,3690.0,A,13032500
1984-11-21 00:00:00+00:00,3610.0,A,13032500
1984-11-22 00:00:00+00:00,3600.0,A,13032500
1984-11-23 00:00:00+00:00,3590.0,A,13032500
1984-11-24 00:00:00+00:00,3590.0,A,13032500
1984-11-25 00:00:00+00:00,3590.0,A,13032500
1984-11-26 00:00:00+00:00,3600.0,A,13032500
1984-11-27 00:00:00+00:00,3590.0,A,13032500
1984-11-28 00:00:00+00:00,3600.0,A,13032500
1984-11-29 00:00:00+00:00,3610.0,A,13032500
1984-11-30 00:00:00+00:00,3600.0,A,13032500
1984-12-01 00:00:00+00:00,3590.0,A,13032500
1984-12-02 00:00:00+00:00,3600.0,A,13032500
1984-12-03 00:00:00+00:00,4060.0,A,13032500
1984-12-04 00:00:00+00:00,4840.0,A,13032500
1984-12-05 00:00:00+00:00,5840.0,A,13032500
1984-12-06 00:00:00+00:00,5850.0,A,13032500
1984-12-07 00:00:00+00:00,5910.0,A,13032500
1984-12-08 00:00:00+00:00,5880.0,A,13032500
1984-12-09 00:00:00+00:00,5890.0,A,13032500
1984-12-10 00:00:00+00:00,5920.0,A,13032500
1984-12-11 00:00:00+00:00,4130.0,A,13032500
1984-12-12 00:00:00+00:00,4010.0,A,13032500
1984-12-13 00:00:00+00:00,3980.0,A,13032500
1984-12-14 00:00:00+00:00,4620.0,A,13032500
1984-12-15 00:00:00+00:00,5550.0,A,13032500
1984-12-16 00:00:00+00:00,5570.0,A,13032500
1984-12-17 00:00:00+00:00,5790.0,A,13032500
1984-12-18 00:00:00+00:00,5920.0,A,13032500
1984-12-19 00:00:00+00:00,5930.0,A,13032500
1984-12-20 00:00:00+00:00,5930.0,A,13032500
1984-12-21 00:00:00+00:00,5940.0,A,13032500
1984-12-22 00:00:00+00:00,5940.0,A,13032500
1984-12-23 00:00:00+00:00,5940.0,A,13032500
1984-12-24 00:00:00+00:00,5940.0,A,13032500
1984-12-25 00:00:00+00:00,5970.0,A,13032500
1984-12-26 00:00:00+00:00,5940.0,A,13032500
1984-12-27 00:00:00+00:00,5960.0,A,13032500
1984-12-28 00:00:00+00:00,5980.0,A,13032500
1984-12-29 00:00:00+00:00,5970.0,A,13032500
1984-12-30 00:00:00+00:00,5990.0,A,13032500
1984-12-31 00:00:00+00:00,6000.0,A,13032500
1985-01-01 00:00:00+00:00,6000.0,A,13032500
1985-01-02 00:00:00+00:00,6000.0,A,13032500
1985-01-03 00:00:00+00:00,6000.0,A,13032500
1985-01-04 00:00:00+00:00,6010.0,A,13032500
1985-01-05 00:00:00+00:00,5900.0,A,13032500
1985-01-06 00:00:00+00:00,5680.0,A,13032500
1985-01-07 00:00:00+00:00,5660.0,A,13032500
1985-01-08 00:00:00+00:00,5670.0,A,13032500
1985-01-09 00:00:00+00:00,5670.0,A,13032500
1985-01-10 00:00:00+00:00,5680.0,A,13032500
1985-01-11 00:00:00+00:00,5680.0,A,13032500
1985-01-12 00:00:00+00:00,5680.0,A,13032500
1985-01-13 00:00:00+00:00,5670.0,A,13032500
1985-01-14 00:00:00+00:00,5670.0,A,13032500
1985-01-15 00:00:00+00:00,5650.0,A,13032500
1985-01-16 00:00:00+00:00,5680.0,A,13032500
1985-01-17 00:00:00+00:00,5670.0,A,13032500
1985-01-18 00:00:00+00:00,5670.0,A,13032500
1985-01-19 00:00:00+00:00,5680.0,A,13032500
1985-01-20 00:00:00+00:00,5680.0,A,13032500
1985-01-21 00:00:00+00:00,5180.0,A,13032500
1985-01-22 00:00:00+00:00,4680.0,A,13032500
1985-01-23 00:00:00+00:00,4650.0,A,13032500
1985-01-24 00:00:00+00:00,4640.0,A,13032500
1985-01-25 00:00:00+00:00,4640.0,A,13032500
1985-01-26 00:00:00+00:00,4650.0,A,13032500
1985-01-27 00:00:00+00:00,4650.0,A,13032500
1985-01-28 00:00:00+00:00,4640.0,A,13032500
1985-01-29 00:00:00+00:00,4630.0,A,13032500
1985-01-30 00:00:00+00:00,4600.0,A,13032500
1985-01-31 00:00:00+00:00,4550.0,A,13032500
1985-02-01 00:00:00+00:00,4630.0,A,13032500
1985-02-02 00:00:00+00:00,4660.0,A,13032500
1985-02-03 00:00:00+00:00,4660.0,A,13032500
1985-02-04 00:00:00+00:00,4670.0,A,13032500
1985-02-05 00:00:00+00:00,4680.0,A,13032500
1985-02-06 00:00:00+00:00,4700.0,A,13032500
1985-02-07 00:00:00+00:00,4320.0,A,13032500
1985-02-08 00:00:00+00:00,4320.0,A,13032500
1985-02-09 00:00:00+00:00,4070.0,A,13032500
1985-02-10 00:00:00+00:00,4030.0,A,13032500
1985-02-11 00:00:00+00:00,4040.0,A,13032500
1985-02-12 00:00:00+00:00,4020.0,A,13032500
1985-02-13 00:00:00+00:00,3610.0,A,13032500
1985-02-14 00:00:00+00:00,3650.0,A,13032500
1985-02-15 00:00:00+00:00,3650.0,A,13032500
1985-02-16 00:00:00+00:00,3640.0,A,13032500
