datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd
1984-10-01 00:00:00+00:00,,,06186500,1090.0,A,,
1984-10-02 00:00:00+00:00,,,06186500,1070.0,A,,
1984-10-03 00:00:00+00:00,,,06186500,1060.0,A,,
1984-10-04 00:00:00+00:00,,,06186500,1050.0,A,,
1984-10-05 00:00:00+00:00,,,06186500,1030.0,A,,
1984-10-06 00:00:00+00:00,,,06186500,1020.0,A,,
1984-10-07 00:00:00+00:00,,,06186500,1010.0,A,,
1984-10-08 00:00:00+00:00,,,06186500,991.0,A,,
1984-10-09 00:00:00+00:00,,,06186500,981.0,A,,
1984-10-10 00:00:00+00:00,10.2,A,06186500,980.0,A,98.0,A
1984-10-11 00:00:00+00:00,9.6,A,06186500,974.0,A,107.0,A
1984-10-12 00:00:00+00:00,7.7,A,06186500,969.0,A,108.0,A
1984-10-13 00:00:00+00:00,6.0,A,06186500,970.0,A,106.0,A
1984-10-14 00:00:00+00:00,5.6,A,06186500,982.0,A,102.0,A
1984-10-15 00:00:00+00:00,6.8,A,06186500,971.0,A,103.0,A
1984-10-16 00:00:00+00:00,5.8,A,06186500,959.0,A,94.0,A
1984-10-17 00:00:00+00:00,5.6,A,06186500,941.0,A,102.0,A
1984-10-18 00:00:00+00:00,4.5,A,06186500,935.0,A,105.0,A
1984-10-19 00:00:00+00:00,4.0,A,06186500,921.0,A,99.0,A
1984-10-20 00:00:00+00:00,4.7,A,06186500,908.0,A,97.0,A
1984-10-21 00:00:00+00:00,5.2,A,06186500,897.0,A,96.0,A
1984-10-22 00:00:00+00:00,4.9,A,06186500,884.0,A,95.0,A
1984-10-23 00:00:00+00:00,4.3,A,06186500,882.0,A,94.0,A
1984-10-24 00:00:00+00:00,4.1,A,06186500,874.0,A,94.0,A
1984-10-25 00:00:00+00:00,3.1,A,06186500,870.0,A,94.0,A
1984-10-26 00:00:00+00:00,2.4,A,06186500,873.0,A,94.0,A
1984-10-27 00:00:00+00:00,2.5,A,06186500,872.0,A,94.0,A
1984-10-28 00:00:00+00:00,1.4,A,06186500,868.0,A,94.0,A
1984-10-29 00:00:00+00:00,1.5,A,06186500,870.0,A,94.0,A
1984-10-30 00:00:00+00:00,1.7,A,06186500,865.0,A,94.0,A
1984-10-31 00:00:00+00:00,1.6,A,06186500,851.0,A,96.0,A
1984-11-01 00:00:00+00:00,1.0,A,06186500,835.0,A,97.0,A
1984-11-02 00:00:00+00:00,1.2,A,06186500,840.0,A,96.0,A
1984-11-03 00:00:00+00:00,1.6,A,06186500,855.0,A,95.0,A
1984-11-04 00:00:00+00:00,1.7,A,06186500,844.0,A,99.0,A
1984-11-05 00:00:00+00:00,2.0,A,06186500,826.0,A,101.0,A
1984-11-06 00:00:00+00:00,3.0,A,06186500,816.0,A,103.0,A
1984-11-07 00:00:00+00:00,2.5,A,06186500,813.0,A,104.0,A
1984-11-08 00:00:00+00:00,2.2,A,06186500,801.0,A,104.0,A
1984-11-09 00:00:00+00:00,1.9,A,06186500,802.0,A,104.0,A
1984-11-10 00:00:00+00:00,0.8,A,06186500,801.0,A,102.0,A
1984-11-11 00:00:00+00:00,1.4,A,06186500,789.0,A,102.0,A
1984-11-12 00:00:00+00:00,2.7,A,06186500,777.0,A,102.0,A
1984-11-13 00:00:00+00:00,1.8,A,06186500,782.0,A,100.0,A
1984-11-14 00:00:00+00:00,0.9,A,06186500,783.0,A,102.0,A
1984-11-15 00:00:00+00:00,1.7,A,06186500,774.0,A,99.0,A
1984-11-16 00:00:00+00:00,2.0,A,06186500,760.0,A,101.0,A
1984-11-17 00:00:00+00:00,1.8,A,06186500,752.0,A,99.0,A
1984-11-18 00:00:00+00:00,1.7,A,06186500,745.0,A,100.0,A
1984-11-19 00:00:00+00:00,1.4,A,06186500,738.0,A,99.0,A
