datetime,00060_Mean,00060_Mean_cd,site_no
1985-10-01 00:00:00+00:00,231.0,A,09279150
1985-10-02 00:00:00+00:00,218.0,A,09279150
1985-10-03 00:00:00+00:00,214.0,A,09279150
1985-10-04 00:00:00+00:00,196.0,A,09279150
1985-10-05 00:00:00+00:00,197.0,A,09279150
1985-10-06 00:00:00+00:00,201.0,A,09279150
1985-10-07 00:00:00+00:00,255.0,A,09279150
1985-10-08 00:00:00+00:00,273.0,A,09279150
1985-10-09 00:00:00+00:00,255.0,A,09279150
1985-10-10 00:00:00+00:00,246.0,A,09279150
1985-10-11 00:00:00+00:00,247.0,A,09279150
1985-10-12 00:00:00+00:00,246.0,A,09279150
1985-10-13 00:00:00+00:00,249.0,A,09279150
1985-10-14 00:00:00+00:00,232.0,A,09279150
1985-10-15 00:00:00+00:00,247.0,A,09279150
1985-10-16 00:00:00+00:00,243.0,A,09279150
1985-10-17 00:00:00+00:00,234.0,A,09279150
1985-10-18 00:00:00+00:00,229.0,A,09279150
1985-10-19 00:00:00+00:00,226.0,A,09279150
1985-10-20 00:00:00+00:00,225.0,A,09279150
1985-10-21 00:00:00+00:00,227.0,A,09279150
1985-10-22 00:00:00+00:00,248.0,A,09279150
1985-10-23 00:00:00+00:00,244.0,A,09279150
1985-10-24 00:00:00+00:00,232.0,A,09279150
1985-10-25 00:00:00+00:00,230.0,A,09279150
1985-10-26 00:00:00+00:00,229.0,A,09279150
1985-10-27 00:00:00+00:00,225.0,A,09279150
1985-10-28 00:00:00+00:00,222.0,A,09279150
1985-10-29 00:00:00+00:00,220.0,A,09279150
1985-10-30 00:00:00+00:00,218.0,A,09279150
1985-10-31 00:00:00+00:00,219.0,A,09279150
1985-11-01 00:00:00+00:00,196.0,A,09279150
1985-11-02 00:00:00+00:00,194.0,A,09279150
1985-11-03 00:00:00+00:00,193.0,A,09279150
1985-11-04 00:00:00+00:00,189.0,A,09279150
1985-11-05 00:00:00+00:00,191.0,A,09279150
1985-11-06 00:00:00+00:00,188.0,A,09279150
1985-11-07 00:00:00+00:00,186.0,A,09279150
1985-11-08 00:00:00+00:00,193.0,A,09279150
1985-11-09 00:00:00+00:00,193.0,A,09279150
