datetime,00060_Mean,00060_Mean_cd,site_no
1985-10-01 00:00:00+00:00,2.89,A,07207500
1985-10-02 00:00:00+00:00,2.59,A,07207500
1985-10-03 00:00:00+00:00,2.38,A,07207500
1985-10-04 00:00:00+00:00,2.16,A,07207500
1985-10-05 00:00:00+00:00,2.23,A,07207500
1985-10-06 00:00:00+00:00,2.09,A,07207500
1985-10-07 00:00:00+00:00,1.89,A,07207500
1985-10-08 00:00:00+00:00,2.6,A,07207500
1985-10-09 00:00:00+00:00,2.72,A,07207500
1985-10-10 00:00:00+00:00,3.94,A,07207500
1985-10-11 00:00:00+00:00,8.73,A,07207500
1985-10-12 00:00:00+00:00,9.43,A,07207500
1985-10-13 00:00:00+00:00,8.2,A,07207500
1985-10-14 00:00:00+00:00,8.1,A,07207500
1985-10-15 00:00:00+00:00,6.69,A,07207500
1985-10-16 00:00:00+00:00,6.02,A,07207500
1985-10-17 00:00:00+00:00,5.77,A,07207500
1985-10-18 00:00:00+00:00,5.56,A,07207500
1985-10-19 00:00:00+00:00,8.02,A,07207500
1985-10-20 00:00:00+00:00,7.07,A,07207500
1985-10-21 00:00:00+00:00,5.68,A,07207500
1985-10-22 00:00:00+00:00,5.37,A,07207500
1985-10-23 00:00:00+00:00,6.49,A,07207500
1985-10-24 00:00:00+00:00,6.52,A,07207500
1985-10-25 00:00:00+00:00,6.29,A,07207500
1985-10-26 00:00:00+00:00,4.72,A,07207500
1985-10-27 00:00:00+00:00,4.14,A,07207500
1985-10-28 00:00:00+00:00,3.86,A,07207500
1985-10-29 00:00:00+00:00,3.65,A,07207500
1985-10-30 00:00:00+00:00,3.5,A,07207500
1985-10-31 00:00:00+00:00,3.53,A,07207500
1985-11-01 00:00:00+00:00,3.63,A,07207500
1985-11-02 00:00:00+00:00,3.5,A,07207500
1985-11-03 00:00:00+00:00,3.37,A,07207500
1985-11-04 00:00:00+00:00,3.3,A,07207500
1985-11-05 00:00:00+00:00,3.31,A,07207500
1985-11-06 00:00:00+00:00,3.21,A,07207500
1985-11-07 00:00:00+00:00,2.99,A,07207500
1985-11-08 00:00:00+00:00,2.83,A,07207500
1985-11-09 00:00:00+00:00,2.7,A,07207500
1985-11-10 00:00:00+00:00,2.72,A,07207500
1985-11-11 00:00:00+00:00,2.67,A,07207500
1985-11-12 00:00:00+00:00,2.74,A,07207500
1985-11-13 00:00:00+00:00,2.64,A,07207500
1985-11-14 00:00:00+00:00,3.21,A,07207500
1985-11-15 00:00:00+00:00,2.72,A,07207500
1985-11-16 00:00:00+00:00,2.95,A,07207500
1985-11-17 00:00:00+00:00,4.04,A,07207500
1985-11-18 00:00:00+00:00,3.42,A,07207500
1985-11-19 00:00:00+00:00,3.28,A,07207500
1985-11-20 00:00:00+00:00,2.8,A,07207500
1985-11-21 00:00:00+00:00,3.2,A,07207500
1985-11-22 00:00:00+00:00,3.6,A,07207500
1985-11-23 00:00:00+00:00,3.3,A,07207500
1985-11-24 00:00:00+00:00,3.01,A,07207500
1985-11-25 00:00:00+00:00,2.85,A,07207500
1985-11-26 00:00:00+00:00,2.99,A,07207500
1985-11-27 00:00:00+00:00,3.04,A,07207500
1985-11-28 00:00:00+00:00,2.9,A,07207500
1985-11-29 00:00:00+00:00,3.06,A,07207500
1985-11-30 00:00:00+00:00,3.0,A,07207500
1985-12-01 00:00:00+00:00,2.7,A,07207500
1985-12-02 00:00:00+00:00,2.3,A,07207500
1985-12-03 00:00:00+00:00,2.4,A,07207500
1985-12-04 00:00:00+00:00,2.5,A,07207500
1985-12-05 00:00:00+00:00,2.0,A,07207500
1985-12-06 00:00:00+00:00,2.5,A,07207500
1985-12-07 00:00:00+00:00,3.0,A,07207500
1985-12-08 00:00:00+00:00,3.12,A,07207500
1985-12-09 00:00:00+00:00,3.0,A,07207500
1985-12-10 00:00:00+00:00,2.5,A,07207500
1985-12-11 00:00:00+00:00,1.5,A,07207500
1985-12-12 00:00:00+00:00,1.5,A,07207500
1985-12-13 00:00:00+00:00,1.5,A,07207500
1985-12-14 00:00:00+00:00,1.6,A,07207500
1985-12-15 00:00:00+00:00,1.7,A,07207500
1985-12-16 00:00:00+00:00,1.8,A,07207500
1985-12-17 00:00:00+00:00,2.0,A,07207500
1985-12-18 00:00:00+00:00,2.0,A,07207500
1985-12-19 00:00:00+00:00,1.8,A,07207500
1985-12-20 00:00:00+00:00,2.5,A,07207500
1985-12-21 00:00:00+00:00,2.3,A,07207500
1985-12-22 00:00:00+00:00,2.0,A,07207500
1985-12-23 00:00:00+00:00,2.0,A,07207500
1985-12-24 00:00:00+00:00,2.0,A,07207500
1985-12-25 00:00:00+00:00,2.0,A,07207500
1985-12-26 00:00:00+00:00,2.0,A,07207500
1985-12-27 00:00:00+00:00,2.0,A,07207500
1985-12-28 00:00:00+00:00,2.1,A,07207500
1985-12-29 00:00:00+00:00,2.3,A,07207500
1985-12-30 00:00:00+00:00,2.3,A,07207500
1985-12-31 00:00:00+00:00,2.0,A,07207500
1986-01-01 00:00:00+00:00,2.0,A,07207500
1986-01-02 00:00:00+00:00,2.2,A,07207500
1986-01-03 00:00:00+00:00,2.2,A,07207500
1986-01-04 00:00:00+00:00,2.1,A,07207500
1986-01-05 00:00:00+00:00,2.0,A,07207500
1986-01-06 00:00:00+00:00,3.04,A,07207500
1986-01-07 00:00:00+00:00,3.0,A,07207500
1986-01-08 00:00:00+00:00,1.7,A,07207500
1986-01-09 00:00:00+00:00,2.0,A,07207500
1986-01-10 00:00:00+00:00,2.5,A,07207500
1986-01-11 00:00:00+00:00,2.5,A,07207500
1986-01-12 00:00:00+00:00,5.6,A,07207500
1986-01-13 00:00:00+00:00,5.0,A,07207500
1986-01-14 00:00:00+00:00,5.1,A,07207500
1986-01-15 00:00:00+00:00,4.9,A,07207500
1986-01-16 00:00:00+00:00,4.3,A,07207500
1986-01-17 00:00:00+00:00,3.6,A,07207500
1986-01-18 00:00:00+00:00,2.2,A,07207500
1986-01-19 00:00:00+00:00,2.5,A,07207500
1986-01-20 00:00:00+00:00,2.71,A,07207500
1986-01-21 00:00:00+00:00,1.8,A,07207500
1986-01-22 00:00:00+00:00,1.8,A,07207500
1986-01-23 00:00:00+00:00,2.5,A,07207500
1986-01-24 00:00:00+00:00,1.9,A,07207500
1986-01-25 00:00:00+00:00,2.0,A,07207500
1986-01-26 00:00:00+00:00,2.0,A,07207500
1986-01-27 00:00:00+00:00,2.6,A,07207500
1986-01-28 00:00:00+00:00,3.2,A,07207500
1986-01-29 00:00:00+00:00,2.7,A,07207500
1986-01-30 00:00:00+00:00,2.3,A,07207500
1986-01-31 00:00:00+00:00,1.83,A,07207500
1986-02-01 00:00:00+00:00,1.78,A,07207500
1986-02-02 00:00:00+00:00,1.77,A,07207500
1986-02-03 00:00:00+00:00,1.78,A,07207500
1986-02-04 00:00:00+00:00,1.77,A,07207500
1986-02-05 00:00:00+00:00,1.3,A,07207500
1986-02-06 00:00:00+00:00,1.5,A,07207500
1986-02-07 00:00:00+00:00,1.4,A,07207500
1986-02-08 00:00:00+00:00,1.1,A,07207500
1986-02-09 00:00:00+00:00,1.0,A,07207500
1986-02-10 00:00:00+00:00,1.0,A,07207500
1986-02-11 00:00:00+00:00,1.0,A,07207500
1986-02-12 00:00:00+00:00,1.0,A,07207500
1986-02-13 00:00:00+00:00,5.5,A,07207500
1986-02-14 00:00:00+00:00,2.3,A,07207500
1986-02-15 00:00:00+00:00,2.63,A,07207500
1986-02-16 00:00:00+00:00,2.47,A,07207500
1986-02-17 00:00:00+00:00,2.14,A,07207500
1986-02-18 00:00:00+00:00,2.26,A,07207500
1986-02-19 00:00:00+00:00,2.69,A,07207500
1986-02-20 00:00:00+00:00,3.13,A,07207500
1986-02-21 00:00:00+00:00,2.75,A,07207500
1986-02-22 00:00:00+00:00,2.34,A,07207500
1986-02-23 00:00:00+00:00,2.47,A,07207500
1986-02-24 00:00:00+00:00,2.43,A,07207500
1986-02-25 00:00:00+00:00,2.41,A,07207500
1986-02-26 00:00:00+00:00,2.82,A,07207500
1986-02-27 00:00:00+00:00,3.17,A,07207500
1986-02-28 00:00:00+00:00,3.29,A,07207500
1986-03-01 00:00:00+00:00,3.2,A,07207500
1986-03-02 00:00:00+00:00,3.08,A,07207500
1986-03-03 00:00:00+00:00,3.11,A,07207500
1986-03-04 00:00:00+00:00,2.99,A,07207500
1986-03-05 00:00:00+00:00,2.9,A,07207500
1986-03-06 00:00:00+00:00,2.87,A,07207500
1986-03-07 00:00:00+00:00,2.96,A,07207500
1986-03-08 00:00:00+00:00,2.83,A,07207500
1986-03-09 00:00:00+00:00,3.05,A,07207500
1986-03-10 00:00:00+00:00,3.02,A,07207500
1986-03-11 00:00:00+00:00,2.91,A,07207500
1986-03-12 00:00:00+00:00,3.07,A,07207500
1986-03-13 00:00:00+00:00,3.35,A,07207500
1986-03-14 00:00:00+00:00,3.08,A,07207500
1986-03-15 00:00:00+00:00,2.94,A,07207500
1986-03-16 00:00:00+00:00,2.46,A,07207500
1986-03-17 00:00:00+00:00,2.6,A,07207500
1986-03-18 00:00:00+00:00,2.45,A,07207500
1986-03-19 00:00:00+00:00,2.08,A,07207500
1986-03-20 00:00:00+00:00,2.48,A,07207500
1986-03-21 00:00:00+00:00,2.17,A,07207500
1986-03-22 00:00:00+00:00,2.37,A,07207500
1986-03-23 00:00:00+00:00,2.49,A,07207500
1986-03-24 00:00:00+00:00,2.94,A,07207500
1986-03-25 00:00:00+00:00,3.75,A,07207500
1986-03-26 00:00:00+00:00,4.01,A,07207500
1986-03-27 00:00:00+00:00,4.52,A,07207500
1986-03-28 00:00:00+00:00,5.29,A,07207500
1986-03-29 00:00:00+00:00,5.99,A,07207500
1986-03-30 00:00:00+00:00,6.45,A,07207500
1986-03-31 00:00:00+00:00,6.72,A,07207500
