datetime,00060_Mean,00060_Mean_cd,site_no
1985-10-01 00:00:00+00:00,238.0,A,06306300
1985-10-02 00:00:00+00:00,249.0,A,06306300
1985-10-03 00:00:00+00:00,280.0,A,06306300
1985-10-04 00:00:00+00:00,289.0,A,06306300
1985-10-05 00:00:00+00:00,257.0,A,06306300
1985-10-06 00:00:00+00:00,242.0,A,06306300
1985-10-07 00:00:00+00:00,251.0,A,06306300
1985-10-08 00:00:00+00:00,248.0,A,06306300
1985-10-09 00:00:00+00:00,233.0,A,06306300
1985-10-10 00:00:00+00:00,233.0,A,06306300
1985-10-11 00:00:00+00:00,234.0,A,06306300
1985-10-12 00:00:00+00:00,242.0,A,06306300
1985-10-13 00:00:00+00:00,246.0,A,06306300
1985-10-14 00:00:00+00:00,225.0,A,06306300
1985-10-15 00:00:00+00:00,224.0,A,06306300
1985-10-16 00:00:00+00:00,231.0,A,06306300
1985-10-17 00:00:00+00:00,219.0,A,06306300
1985-10-18 00:00:00+00:00,217.0,A,06306300
1985-10-19 00:00:00+00:00,212.0,A,06306300
1985-10-20 00:00:00+00:00,211.0,A,06306300
1985-10-21 00:00:00+00:00,214.0,A,06306300
1985-10-22 00:00:00+00:00,218.0,A,06306300
1985-10-23 00:00:00+00:00,219.0,A,06306300
1985-10-24 00:00:00+00:00,214.0,A,06306300
1985-10-25 00:00:00+00:00,207.0,A,06306300
1985-10-26 00:00:00+00:00,208.0,A,06306300
1985-10-27 00:00:00+00:00,204.0,A,06306300
1985-10-28 00:00:00+00:00,203.0,A,06306300
1985-10-29 00:00:00+00:00,196.0,A,06306300
1985-10-30 00:00:00+00:00,194.0,A,06306300
1985-10-31 00:00:00+00:00,195.0,A,06306300
1985-11-01 00:00:00+00:00,199.0,A,06306300
1985-11-02 00:00:00+00:00,195.0,A,06306300
1985-11-03 00:00:00+00:00,194.0,A,06306300
1985-11-04 00:00:00+00:00,199.0,A,06306300
1985-11-05 00:00:00+00:00,191.0,A,06306300
