datetime,00060_Mean,00060_Mean_cd,site_no
1985-10-01 00:00:00+00:00,361.0,A,10136500
1985-10-02 00:00:00+00:00,340.0,A,10136500
1985-10-03 00:00:00+00:00,333.0,A,10136500
1985-10-04 00:00:00+00:00,338.0,A,10136500
1985-10-05 00:00:00+00:00,318.0,A,10136500
1985-10-06 00:00:00+00:00,308.0,A,10136500
1985-10-07 00:00:00+00:00,457.0,A,10136500
1985-10-08 00:00:00+00:00,499.0,A,10136500
1985-10-09 00:00:00+00:00,469.0,A,10136500
1985-10-10 00:00:00+00:00,465.0,A,10136500
1985-10-11 00:00:00+00:00,356.0,A,10136500
1985-10-12 00:00:00+00:00,232.0,A,10136500
1985-10-13 00:00:00+00:00,231.0,A,10136500
1985-10-14 00:00:00+00:00,225.0,A,10136500
1985-10-15 00:00:00+00:00,205.0,A,10136500
1985-10-16 00:00:00+00:00,195.0,A,10136500
1985-10-17 00:00:00+00:00,188.0,A,10136500
1985-10-18 00:00:00+00:00,187.0,A,10136500
1985-10-19 00:00:00+00:00,181.0,A,10136500
1985-10-20 00:00:00+00:00,182.0,A,10136500
1985-10-21 00:00:00+00:00,178.0,A,10136500
1985-10-22 00:00:00+00:00,199.0,A,10136500
1985-10-23 00:00:00+00:00,213.0,A,10136500
1985-10-24 00:00:00+00:00,216.0,A,10136500
1985-10-25 00:00:00+00:00,203.0,A,10136500
1985-10-26 00:00:00+00:00,196.0,A,10136500
1985-10-27 00:00:00+00:00,191.0,A,10136500
1985-10-28 00:00:00+00:00,179.0,A,10136500
1985-10-29 00:00:00+00:00,169.0,A,10136500
1985-10-30 00:00:00+00:00,180.0,A,10136500
1985-10-31 00:00:00+00:00,187.0,A,10136500
1985-11-01 00:00:00+00:00,178.0,A,10136500
1985-11-02 00:00:00+00:00,184.0,A,10136500
1985-11-03 00:00:00+00:00,187.0,A,10136500
1985-11-04 00:00:00+00:00,183.0,A,10136500
1985-11-05 00:00:00+00:00,208.0,A,10136500
1985-11-06 00:00:00+00:00,193.0,A,10136500
1985-11-07 00:00:00+00:00,195.0,A,10136500
1985-11-08 00:00:00+00:00,210.0,A,10136500
1985-11-09 00:00:00+00:00,220.0,A,10136500
1985-11-10 00:00:00+00:00,207.0,A,10136500
1985-11-11 00:00:00+00:00,219.0,A,10136500
1985-11-12 00:00:00+00:00,237.0,A,10136500
1985-11-13 00:00:00+00:00,221.0,A,10136500
1985-11-14 00:00:00+00:00,207.0,A,10136500
1985-11-15 00:00:00+00:00,198.0,A,10136500
1985-11-16 00:00:00+00:00,186.0,A,10136500
1985-11-17 00:00:00+00:00,198.0,A,10136500
1985-11-18 00:00:00+00:00,200.0,A,10136500
1985-11-19 00:00:00+00:00,172.0,A,10136500
1985-11-20 00:00:00+00:00,146.0,A,10136500
1985-11-21 00:00:00+00:00,156.0,A,10136500
1985-11-22 00:00:00+00:00,131.0,A,10136500
