datetime,00060_Mean,00060_Mean_cd,site_no
1986-10-01 00:00:00+00:00,480.0,A,08285500
1986-10-02 00:00:00+00:00,458.0,A,08285500
1986-10-03 00:00:00+00:00,453.0,A,08285500
1986-10-04 00:00:00+00:00,475.0,A,08285500
1986-10-05 00:00:00+00:00,472.0,A,08285500
1986-10-06 00:00:00+00:00,469.0,A,08285500
1986-10-07 00:00:00+00:00,466.0,A,08285500
1986-10-08 00:00:00+00:00,517.0,A,08285500
1986-10-09 00:00:00+00:00,555.0,A,08285500
1986-10-10 00:00:00+00:00,513.0,A,08285500
1986-10-11 00:00:00+00:00,571.0,A,08285500
1986-10-12 00:00:00+00:00,932.0,A,08285500
1986-10-13 00:00:00+00:00,955.0,A,08285500
1986-10-14 00:00:00+00:00,675.0,A,08285500
1986-10-15 00:00:00+00:00,600.0,A,08285500
1986-10-16 00:00:00+00:00,737.0,A,08285500
1986-10-17 00:00:00+00:00,822.0,A,08285500
1986-10-18 00:00:00+00:00,783.0,A,08285500
1986-10-19 00:00:00+00:00,854.0,A,08285500
1986-10-20 00:00:00+00:00,924.0,A,08285500
1986-10-21 00:00:00+00:00,919.0,A,08285500
1986-10-22 00:00:00+00:00,828.0,A,08285500
1986-10-23 00:00:00+00:00,726.0,A,08285500
1986-10-24 00:00:00+00:00,579.0,A,08285500
1986-10-25 00:00:00+00:00,500.0,A,08285500
1986-10-26 00:00:00+00:00,439.0,A,08285500
1986-10-27 00:00:00+00:00,437.0,A,08285500
1986-10-28 00:00:00+00:00,462.0,A,08285500
1986-10-29 00:00:00+00:00,420.0,A,08285500
1986-10-30 00:00:00+00:00,400.0,A,08285500
1986-10-31 00:00:00+00:00,392.0,A,08285500
1986-11-01 00:00:00+00:00,400.0,A,08285500
1986-11-02 00:00:00+00:00,550.0,A,08285500
1986-11-03 00:00:00+00:00,819.0,A,08285500
1986-11-04 00:00:00+00:00,1020.0,A,08285500
1986-11-05 00:00:00+00:00,862.0,A,08285500
1986-11-06 00:00:00+00:00,680.0,A,08285500
1986-11-07 00:00:00+00:00,637.0,A,08285500
1986-11-08 00:00:00+00:00,632.0,A,08285500
1986-11-09 00:00:00+00:00,630.0,A,08285500
1986-11-10 00:00:00+00:00,629.0,A,08285500
1986-11-11 00:00:00+00:00,627.0,A,08285500
1986-11-12 00:00:00+00:00,567.0,A,08285500
1986-11-13 00:00:00+00:00,473.0,A,08285500
1986-11-14 00:00:00+00:00,505.0,A,08285500
1986-11-15 00:00:00+00:00,521.0,A,08285500
1986-11-16 00:00:00+00:00,522.0,A,08285500
1986-11-17 00:00:00+00:00,547.0,A,08285500
1986-11-18 00:00:00+00:00,593.0,A,08285500
1986-11-19 00:00:00+00:00,635.0,A,08285500
1986-11-20 00:00:00+00:00,635.0,A,08285500
1986-11-21 00:00:00+00:00,635.0,A,08285500
1986-11-22 00:00:00+00:00,632.0,A,08285500
1986-11-23 00:00:00+00:00,632.0,A,08285500
1986-11-24 00:00:00+00:00,661.0,A,08285500
1986-11-25 00:00:00+00:00,691.0,A,08285500
1986-11-26 00:00:00+00:00,713.0,A,08285500
1986-11-27 00:00:00+00:00,730.0,A,08285500
1986-11-28 00:00:00+00:00,731.0,A,08285500
1986-11-29 00:00:00+00:00,731.0,A,08285500
1986-11-30 00:00:00+00:00,729.0,A,08285500
1986-12-01 00:00:00+00:00,730.0,A,08285500
1986-12-02 00:00:00+00:00,728.0,A,08285500
1986-12-03 00:00:00+00:00,669.0,A,08285500
1986-12-04 00:00:00+00:00,507.0,A,08285500
1986-12-05 00:00:00+00:00,420.0,A,08285500
1986-12-06 00:00:00+00:00,434.0,A,08285500
1986-12-07 00:00:00+00:00,435.0,A,08285500
1986-12-08 00:00:00+00:00,434.0,A,08285500
1986-12-09 00:00:00+00:00,434.0,A,08285500
1986-12-10 00:00:00+00:00,430.0,A,08285500
1986-12-11 00:00:00+00:00,427.0,A,08285500
1986-12-12 00:00:00+00:00,428.0,A,08285500
1986-12-13 00:00:00+00:00,427.0,A,08285500
1986-12-14 00:00:00+00:00,428.0,A,08285500
