datetime,00060_Mean,00060_Mean_cd,site_no,80154_Mean,80154_Mean_cd,80155_Mean,80155_Mean_cd
1991-10-01 00:00:00+00:00,571.0,A,12340000,2.0,A,3.1,A
1991-10-02 00:00:00+00:00,560.0,A,12340000,2.0,A,3.0,A
1991-10-03 00:00:00+00:00,552.0,A,12340000,2.0,A,3.0,A
1991-10-04 00:00:00+00:00,551.0,A,12340000,2.0,A,3.0,A
1991-10-05 00:00:00+00:00,553.0,A,12340000,2.0,A,3.0,A
1991-10-06 00:00:00+00:00,553.0,A,12340000,1.0,A,1.5,A
1991-10-07 00:00:00+00:00,551.0,A,12340000,1.0,A,1.5,A
1991-10-08 00:00:00+00:00,545.0,A,12340000,1.0,A,1.5,A
1991-10-09 00:00:00+00:00,546.0,A,12340000,1.0,A,1.5,A
1991-10-10 00:00:00+00:00,541.0,A,12340000,1.0,A,1.5,A
1991-10-11 00:00:00+00:00,546.0,A,12340000,2.0,A,2.9,A
1991-10-12 00:00:00+00:00,545.0,A,12340000,2.0,A,2.9,A
1991-10-13 00:00:00+00:00,537.0,A,12340000,1.0,A,1.4,A
1991-10-14 00:00:00+00:00,537.0,A,12340000,1.0,A,1.4,A
1991-10-15 00:00:00+00:00,543.0,A,12340000,1.0,A,1.5,A
1991-10-16 00:00:00+00:00,546.0,A,12340000,2.0,A,2.9,A
1991-10-17 00:00:00+00:00,541.0,A,12340000,3.0,A,4.4,A
1991-10-18 00:00:00+00:00,539.0,A,12340000,2.0,A,2.9,A
1991-10-19 00:00:00+00:00,546.0,A,12340000,1.0,A,1.5,A
1991-10-20 00:00:00+00:00,547.0,A,12340000,1.0,A,1.5,A
1991-10-21 00:00:00+00:00,549.0,A,12340000,2.0,A,3.0,A
1991-10-22 00:00:00+00:00,550.0,A,12340000,2.0,A,3.0,A
1991-10-23 00:00:00+00:00,542.0,A,12340000,2.0,A,2.9,A
1991-10-24 00:00:00+00:00,547.0,A,12340000,3.0,A,4.4,A
1991-10-25 00:00:00+00:00,553.0,A,12340000,3.0,A,4.5,A
1991-10-26 00:00:00+00:00,560.0,A,12340000,3.0,A,4.5,A
1991-10-27 00:00:00+00:00,561.0,A,12340000,2.0,A,3.0,A
1991-10-28 00:00:00+00:00,541.0,A,12340000,2.0,A,2.9,A
1991-10-29 00:00:00+00:00,522.0,A,12340000,2.0,A,2.8,A
1991-10-30 00:00:00+00:00,497.0,A,12340000,2.0,A,2.7,A
1991-10-31 00:00:00+00:00,535.0,A,12340000,2.0,A,2.9,A
1991-11-01 00:00:00+00:00,537.0,A,12340000,6.0,A,8.7,A
1991-11-02 00:00:00+00:00,448.0,A,12340000,7.0,A,8.5,A
1991-11-03 00:00:00+00:00,420.0,A,12340000,6.0,A,6.8,A
1991-11-04 00:00:00+00:00,546.0,A,12340000,4.0,A,5.9,A
1991-11-05 00:00:00+00:00,614.0,A,12340000,3.0,A,5.0,A
1991-11-06 00:00:00+00:00,648.0,A,12340000,2.0,A,3.5,A
1991-11-07 00:00:00+00:00,630.0,A,12340000,2.0,A,3.4,A
1991-11-08 00:00:00+00:00,608.0,A,12340000,4.0,A,6.6,A
1991-11-09 00:00:00+00:00,598.0,A,12340000,3.0,A,4.8,A
1991-11-10 00:00:00+00:00,590.0,A,12340000,2.0,A,3.2,A
1991-11-11 00:00:00+00:00,577.0,A,12340000,2.0,A,3.1,A
1991-11-12 00:00:00+00:00,580.0,A,12340000,2.0,A,3.1,A
1991-11-13 00:00:00+00:00,618.0,A,12340000,3.0,A,5.0,A
1991-11-14 00:00:00+00:00,623.0,A,12340000,3.0,A,5.0,A
1991-11-15 00:00:00+00:00,593.0,A,12340000,2.0,A,3.2,A
1991-11-16 00:00:00+00:00,551.0,A,12340000,2.0,A,3.0,A
