datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1992-10-01 00:00:00+00:00,16.2,A,14162200,51.0,A
1992-10-02 00:00:00+00:00,16.1,A,14162200,51.0,A
1992-10-03 00:00:00+00:00,16.3,A,14162200,51.0,A
1992-10-04 00:00:00+00:00,16.1,A,14162200,50.0,A
1992-10-05 00:00:00+00:00,15.8,A,14162200,50.0,A
1992-10-06 00:00:00+00:00,15.8,A,14162200,50.0,A
1992-10-07 00:00:00+00:00,15.6,A,14162200,50.0,A
1992-10-08 00:00:00+00:00,15.4,A,14162200,49.0,A
1992-10-09 00:00:00+00:00,15.4,A,14162200,49.0,A
1992-10-10 00:00:00+00:00,15.3,A,14162200,49.0,A
1992-10-11 00:00:00+00:00,15.3,A,14162200,49.0,A
1992-10-12 00:00:00+00:00,15.2,A,14162200,49.0,A
1992-10-13 00:00:00+00:00,15.2,A,14162200,50.0,A
1992-10-14 00:00:00+00:00,15.0,A,14162200,49.0,A
1992-10-15 00:00:00+00:00,14.7,A,14162200,49.0,A
1992-10-16 00:00:00+00:00,14.1,A,14162200,49.0,A
1992-10-17 00:00:00+00:00,14.1,A,14162200,48.0,A
1992-10-18 00:00:00+00:00,14.0,A,14162200,48.0,A
1992-10-19 00:00:00+00:00,14.0,A,14162200,48.0,A
1992-10-20 00:00:00+00:00,13.9,A,14162200,47.0,A
1992-10-21 00:00:00+00:00,13.9,A,14162200,42.0,A
1992-10-22 00:00:00+00:00,13.8,A,14162200,40.0,A
1992-10-23 00:00:00+00:00,13.6,A,14162200,40.0,A
1992-10-24 00:00:00+00:00,13.5,A,14162200,38.0,A
1992-10-25 00:00:00+00:00,13.6,A,14162200,38.0,A
1992-10-26 00:00:00+00:00,13.6,A,14162200,38.0,A
1992-10-27 00:00:00+00:00,13.5,A,14162200,38.0,A
1992-10-28 00:00:00+00:00,13.4,A,14162200,38.0,A
1992-10-29 00:00:00+00:00,13.2,A,14162200,38.0,A
1992-10-30 00:00:00+00:00,12.6,A,14162200,39.0,A
1992-10-31 00:00:00+00:00,11.1,A,14162200,43.0,A
1992-11-01 00:00:00+00:00,10.2,A,14162200,358.0,A
1992-11-02 00:00:00+00:00,10.4,A,14162200,912.0,A
1992-11-03 00:00:00+00:00,10.4,A,14162200,528.0,A
1992-11-04 00:00:00+00:00,9.8,A,14162200,213.0,A
1992-11-05 00:00:00+00:00,9.6,A,14162200,213.0,A
1992-11-06 00:00:00+00:00,9.6,A,14162200,212.0,A
1992-11-07 00:00:00+00:00,9.6,A,14162200,212.0,A
1992-11-08 00:00:00+00:00,9.7,A,14162200,217.0,A
1992-11-09 00:00:00+00:00,9.6,A,14162200,296.0,A
1992-11-10 00:00:00+00:00,8.9,A,14162200,400.0,A
