datetime,00060_Mean,00060_Mean_cd,site_no
1992-10-01 00:00:00+00:00,936.0,A,09070500
1992-10-02 00:00:00+00:00,925.0,A,09070500
1992-10-03 00:00:00+00:00,908.0,A,09070500
1992-10-04 00:00:00+00:00,893.0,A,09070500
1992-10-05 00:00:00+00:00,876.0,A,09070500
1992-10-06 00:00:00+00:00,871.0,A,09070500
1992-10-07 00:00:00+00:00,883.0,A,09070500
1992-10-08 00:00:00+00:00,866.0,A,09070500
1992-10-09 00:00:00+00:00,882.0,A,09070500
1992-10-10 00:00:00+00:00,904.0,A,09070500
1992-10-11 00:00:00+00:00,880.0,A,09070500
1992-10-12 00:00:00+00:00,872.0,A,09070500
1992-10-13 00:00:00+00:00,866.0,A,09070500
1992-10-14 00:00:00+00:00,866.0,A,09070500
1992-10-15 00:00:00+00:00,826.0,A,09070500
1992-10-16 00:00:00+00:00,814.0,A,09070500
1992-10-17 00:00:00+00:00,816.0,A,09070500
1992-10-18 00:00:00+00:00,822.0,A,09070500
1992-10-19 00:00:00+00:00,823.0,A,09070500
1992-10-20 00:00:00+00:00,814.0,A,09070500
1992-10-21 00:00:00+00:00,801.0,A,09070500
1992-10-22 00:00:00+00:00,797.0,A,09070500
1992-10-23 00:00:00+00:00,799.0,A,09070500
1992-10-24 00:00:00+00:00,793.0,A,09070500
1992-10-25 00:00:00+00:00,805.0,A,09070500
1992-10-26 00:00:00+00:00,815.0,A,09070500
1992-10-27 00:00:00+00:00,833.0,A,09070500
1992-10-28 00:00:00+00:00,861.0,A,09070500
1992-10-29 00:00:00+00:00,886.0,A,09070500
1992-10-30 00:00:00+00:00,868.0,A,09070500
1992-10-31 00:00:00+00:00,922.0,A,09070500
1992-11-01 00:00:00+00:00,934.0,A,09070500
1992-11-02 00:00:00+00:00,929.0,A,09070500
1992-11-03 00:00:00+00:00,930.0,A,09070500
1992-11-04 00:00:00+00:00,920.0,A,09070500
1992-11-05 00:00:00+00:00,917.0,A,09070500
1992-11-06 00:00:00+00:00,914.0,A,09070500
1992-11-07 00:00:00+00:00,931.0,A,09070500
1992-11-08 00:00:00+00:00,939.0,A,09070500
1992-11-09 00:00:00+00:00,943.0,A,09070500
1992-11-10 00:00:00+00:00,971.0,A,09070500
1992-11-11 00:00:00+00:00,968.0,A,09070500
1992-11-12 00:00:00+00:00,910.0,A,09070500
1992-11-13 00:00:00+00:00,939.0,A,09070500
1992-11-14 00:00:00+00:00,972.0,A,09070500
1992-11-15 00:00:00+00:00,948.0,A,09070500
1992-11-16 00:00:00+00:00,947.0,A,09070500
1992-11-17 00:00:00+00:00,940.0,A,09070500
1992-11-18 00:00:00+00:00,941.0,A,09070500
1992-11-19 00:00:00+00:00,939.0,A,09070500
1992-11-20 00:00:00+00:00,928.0,A,09070500
1992-11-21 00:00:00+00:00,905.0,A,09070500
1992-11-22 00:00:00+00:00,868.0,A,09070500
1992-11-23 00:00:00+00:00,891.0,A,09070500
1992-11-24 00:00:00+00:00,851.0,A,09070500
1992-11-25 00:00:00+00:00,769.0,A,09070500
1992-11-26 00:00:00+00:00,755.0,A,09070500
1992-11-27 00:00:00+00:00,700.0,A,09070500
1992-11-28 00:00:00+00:00,660.0,A,09070500
1992-11-29 00:00:00+00:00,720.0,A,09070500
1992-11-30 00:00:00+00:00,880.0,A,09070500
1992-12-01 00:00:00+00:00,880.0,A,09070500
1992-12-02 00:00:00+00:00,960.0,A,09070500
1992-12-03 00:00:00+00:00,940.0,A,09070500
1992-12-04 00:00:00+00:00,920.0,A,09070500
1992-12-05 00:00:00+00:00,880.0,A,09070500
1992-12-06 00:00:00+00:00,800.0,A,09070500
1992-12-07 00:00:00+00:00,740.0,A,09070500
1992-12-08 00:00:00+00:00,760.0,A,09070500
1992-12-09 00:00:00+00:00,880.0,A,09070500
1992-12-10 00:00:00+00:00,900.0,A,09070500
1992-12-11 00:00:00+00:00,850.0,A,09070500
1992-12-12 00:00:00+00:00,833.0,A,09070500
1992-12-13 00:00:00+00:00,750.0,A,09070500
1992-12-14 00:00:00+00:00,720.0,A,09070500
1992-12-15 00:00:00+00:00,740.0,A,09070500
1992-12-16 00:00:00+00:00,767.0,A,09070500
1992-12-17 00:00:00+00:00,772.0,A,09070500
1992-12-18 00:00:00+00:00,769.0,A,09070500
1992-12-19 00:00:00+00:00,779.0,A,09070500
1992-12-20 00:00:00+00:00,580.0,A,09070500
1992-12-21 00:00:00+00:00,680.0,A,09070500
1992-12-22 00:00:00+00:00,880.0,A,09070500
1992-12-23 00:00:00+00:00,860.0,A,09070500
1992-12-24 00:00:00+00:00,800.0,A,09070500
1992-12-25 00:00:00+00:00,740.0,A,09070500
1992-12-26 00:00:00+00:00,800.0,A,09070500
1992-12-27 00:00:00+00:00,740.0,A,09070500
1992-12-28 00:00:00+00:00,810.0,A,09070500
1992-12-29 00:00:00+00:00,890.0,A,09070500
1992-12-30 00:00:00+00:00,900.0,A,09070500
1992-12-31 00:00:00+00:00,860.0,A,09070500
1993-01-01 00:00:00+00:00,860.0,A,09070500
1993-01-02 00:00:00+00:00,900.0,A,09070500
1993-01-03 00:00:00+00:00,800.0,A,09070500
1993-01-04 00:00:00+00:00,740.0,A,09070500
1993-01-05 00:00:00+00:00,660.0,A,09070500
1993-01-06 00:00:00+00:00,740.0,A,09070500
1993-01-07 00:00:00+00:00,860.0,A,09070500
1993-01-08 00:00:00+00:00,940.0,A,09070500
