datetime,00060_Mean,00060_Mean_cd,site_no
1994-10-01 00:00:00+00:00,2370.0,A,13342500
1994-10-02 00:00:00+00:00,2380.0,A,13342500
1994-10-03 00:00:00+00:00,2390.0,A,13342500
1994-10-04 00:00:00+00:00,2400.0,A,13342500
1994-10-05 00:00:00+00:00,2400.0,A,13342500
1994-10-06 00:00:00+00:00,2400.0,A,13342500
1994-10-07 00:00:00+00:00,2420.0,A,13342500
1994-10-08 00:00:00+00:00,2460.0,A,13342500
1994-10-09 00:00:00+00:00,2420.0,A,13342500
1994-10-10 00:00:00+00:00,2390.0,A,13342500
1994-10-11 00:00:00+00:00,2430.0,A,13342500
1994-10-12 00:00:00+00:00,2460.0,A,13342500
1994-10-13 00:00:00+00:00,2540.0,A,13342500
1994-10-14 00:00:00+00:00,2560.0,A,13342500
1994-10-15 00:00:00+00:00,2540.0,A,13342500
1994-10-16 00:00:00+00:00,2700.0,A,13342500
1994-10-17 00:00:00+00:00,2760.0,A,13342500
1994-10-18 00:00:00+00:00,2680.0,A,13342500
1994-10-19 00:00:00+00:00,2640.0,A,13342500
1994-10-20 00:00:00+00:00,2600.0,A,13342500
1994-10-21 00:00:00+00:00,2610.0,A,13342500
1994-10-22 00:00:00+00:00,2950.0,A,13342500
1994-10-23 00:00:00+00:00,3470.0,A,13342500
1994-10-24 00:00:00+00:00,3110.0,A,13342500
1994-10-25 00:00:00+00:00,2830.0,A,13342500
1994-10-26 00:00:00+00:00,2690.0,A,13342500
1994-10-27 00:00:00+00:00,2680.0,A,13342500
1994-10-28 00:00:00+00:00,3240.0,A,13342500
1994-10-29 00:00:00+00:00,6020.0,A,13342500
1994-10-30 00:00:00+00:00,4500.0,A,13342500
1994-10-31 00:00:00+00:00,3660.0,A,13342500
1994-11-01 00:00:00+00:00,4030.0,A,13342500
1994-11-02 00:00:00+00:00,6470.0,A,13342500
1994-11-03 00:00:00+00:00,5060.0,A,13342500
1994-11-04 00:00:00+00:00,4070.0,A,13342500
1994-11-05 00:00:00+00:00,3540.0,A,13342500
1994-11-06 00:00:00+00:00,3500.0,A,13342500
1994-11-07 00:00:00+00:00,3530.0,A,13342500
1994-11-08 00:00:00+00:00,3460.0,A,13342500
1994-11-09 00:00:00+00:00,3260.0,A,13342500
1994-11-10 00:00:00+00:00,3050.0,A,13342500
1994-11-11 00:00:00+00:00,3200.0,A,13342500
1994-11-12 00:00:00+00:00,3550.0,A,13342500
1994-11-13 00:00:00+00:00,3560.0,A,13342500
1994-11-14 00:00:00+00:00,3500.0,A,13342500
1994-11-15 00:00:00+00:00,3270.0,A,13342500
1994-11-16 00:00:00+00:00,3160.0,A,13342500
1994-11-17 00:00:00+00:00,3130.0,A,13342500
1994-11-18 00:00:00+00:00,3240.0,A,13342500
1994-11-19 00:00:00+00:00,3080.0,A,13342500
1994-11-20 00:00:00+00:00,2870.0,A,13342500
1994-11-21 00:00:00+00:00,3000.0,A,13342500
1994-11-22 00:00:00+00:00,3130.0,A,13342500
1994-11-23 00:00:00+00:00,2680.0,A,13342500
1994-11-24 00:00:00+00:00,2480.0,A,13342500
1994-11-25 00:00:00+00:00,2810.0,A,13342500
1994-11-26 00:00:00+00:00,3610.0,A,13342500
1994-11-27 00:00:00+00:00,3500.0,A,13342500
1994-11-28 00:00:00+00:00,3300.0,A,13342500
1994-11-29 00:00:00+00:00,3230.0,A,13342500
1994-11-30 00:00:00+00:00,2990.0,A,13342500
1994-12-01 00:00:00+00:00,3240.0,A,13342500
1994-12-02 00:00:00+00:00,4710.0,A,13342500
1994-12-03 00:00:00+00:00,5400.0,A,13342500
1994-12-04 00:00:00+00:00,4550.0,A,13342500
1994-12-05 00:00:00+00:00,3930.0,A,13342500
1994-12-06 00:00:00+00:00,3250.0,A,13342500
1994-12-07 00:00:00+00:00,2930.0,A,13342500
1994-12-08 00:00:00+00:00,3140.0,A,13342500
1994-12-09 00:00:00+00:00,3430.0,A,13342500
1994-12-10 00:00:00+00:00,3210.0,A,13342500
1994-12-11 00:00:00+00:00,2850.0,A,13342500
1994-12-12 00:00:00+00:00,2780.0,A,13342500
1994-12-13 00:00:00+00:00,2800.0,A,13342500
1994-12-14 00:00:00+00:00,3100.0,A,13342500
1994-12-15 00:00:00+00:00,3130.0,A,13342500
1994-12-16 00:00:00+00:00,3030.0,A,13342500
1994-12-17 00:00:00+00:00,3170.0,A,13342500
1994-12-18 00:00:00+00:00,4460.0,A,13342500
1994-12-19 00:00:00+00:00,5360.0,A,13342500
1994-12-20 00:00:00+00:00,4980.0,A,13342500
1994-12-21 00:00:00+00:00,4450.0,A,13342500
1994-12-22 00:00:00+00:00,4080.0,A,13342500
1994-12-23 00:00:00+00:00,3780.0,A,13342500
1994-12-24 00:00:00+00:00,3430.0,A,13342500
1994-12-25 00:00:00+00:00,3420.0,A,13342500
1994-12-26 00:00:00+00:00,3610.0,A,13342500
1994-12-27 00:00:00+00:00,5090.0,A,13342500
1994-12-28 00:00:00+00:00,7110.0,A,13342500
1994-12-29 00:00:00+00:00,6920.0,A,13342500
1994-12-30 00:00:00+00:00,5870.0,A,13342500
1994-12-31 00:00:00+00:00,4870.0,A,13342500
1995-01-01 00:00:00+00:00,3780.0,A,13342500
1995-01-02 00:00:00+00:00,2850.0,A,13342500
1995-01-03 00:00:00+00:00,2400.0,A,13342500
1995-01-04 00:00:00+00:00,2270.0,A,13342500
1995-01-05 00:00:00+00:00,2360.0,A,13342500
1995-01-06 00:00:00+00:00,2640.0,A,13342500
1995-01-07 00:00:00+00:00,3140.0,A,13342500
1995-01-08 00:00:00+00:00,3350.0,A,13342500
1995-01-09 00:00:00+00:00,3510.0,A,13342500
1995-01-10 00:00:00+00:00,4570.0,A,13342500
1995-01-11 00:00:00+00:00,5820.0,A,13342500
1995-01-12 00:00:00+00:00,6370.0,A,13342500
1995-01-13 00:00:00+00:00,6330.0,A,13342500
1995-01-14 00:00:00+00:00,8600.0,A,13342500
1995-01-15 00:00:00+00:00,11200.0,A,13342500
1995-01-16 00:00:00+00:00,10200.0,A,13342500
1995-01-17 00:00:00+00:00,8570.0,A,13342500
