datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
1994-10-01 00:00:00+00:00,83.0,A,12048000,,
1994-10-02 00:00:00+00:00,80.0,A,12048000,2.44,A
1994-10-03 00:00:00+00:00,77.0,A,12048000,2.42,A
1994-10-04 00:00:00+00:00,75.0,A,12048000,2.41,A
1994-10-05 00:00:00+00:00,73.0,A,12048000,2.39,A
1994-10-06 00:00:00+00:00,72.0,A,12048000,2.39,A
1994-10-07 00:00:00+00:00,72.0,A,12048000,2.39,A
1994-10-08 00:00:00+00:00,70.0,A,12048000,2.37,A
1994-10-09 00:00:00+00:00,69.0,A,12048000,2.37,A
1994-10-10 00:00:00+00:00,69.0,A,12048000,2.37,A
1994-10-11 00:00:00+00:00,69.0,A,12048000,2.37,A
1994-10-12 00:00:00+00:00,69.0,A,12048000,2.37,A
1994-10-13 00:00:00+00:00,69.0,A,12048000,2.37,A
1994-10-14 00:00:00+00:00,76.0,A,12048000,2.41,A
1994-10-15 00:00:00+00:00,71.0,A,12048000,2.38,A
1994-10-16 00:00:00+00:00,69.0,A,12048000,2.37,A
1994-10-17 00:00:00+00:00,68.0,A,12048000,2.36,A
1994-10-18 00:00:00+00:00,68.0,A,12048000,2.36,A
1994-10-19 00:00:00+00:00,66.0,A,12048000,2.35,A
1994-10-20 00:00:00+00:00,68.0,A,12048000,2.36,A
1994-10-21 00:00:00+00:00,130.0,A,12048000,2.67,A
1994-10-22 00:00:00+00:00,90.0,A,12048000,2.49,A
1994-10-23 00:00:00+00:00,81.0,A,12048000,2.44,A
1994-10-24 00:00:00+00:00,75.0,A,12048000,2.41,A
1994-10-25 00:00:00+00:00,75.0,A,12048000,2.41,A
1994-10-26 00:00:00+00:00,277.0,A,12048000,3.15,A
1994-10-27 00:00:00+00:00,282.0,A,12048000,3.19,A
1994-10-28 00:00:00+00:00,169.0,A,12048000,2.84,A
1994-10-29 00:00:00+00:00,127.0,A,12048000,2.67,A
1994-10-30 00:00:00+00:00,113.0,A,12048000,2.61,A
1994-10-31 00:00:00+00:00,336.0,A,12048000,3.26,A
1994-11-01 00:00:00+00:00,263.0,A,12048000,3.14,A
1994-11-02 00:00:00+00:00,183.0,A,12048000,2.89,A
1994-11-03 00:00:00+00:00,144.0,A,12048000,2.74,A
1994-11-04 00:00:00+00:00,144.0,A,12048000,2.74,A
1994-11-05 00:00:00+00:00,125.0,A,12048000,2.66,A
1994-11-06 00:00:00+00:00,117.0,A,12048000,2.62,A
1994-11-07 00:00:00+00:00,108.0,A,12048000,2.58,A
1994-11-08 00:00:00+00:00,108.0,A,12048000,2.58,A
1994-11-09 00:00:00+00:00,134.0,A,12048000,2.7,A
1994-11-10 00:00:00+00:00,126.0,A,12048000,2.67,A
1994-11-11 00:00:00+00:00,111.0,A,12048000,2.6,A
1994-11-12 00:00:00+00:00,104.0,A,12048000,2.56,A
1994-11-13 00:00:00+00:00,97.0,A,12048000,2.53,A
1994-11-14 00:00:00+00:00,94.0,A,12048000,2.51,A
1994-11-15 00:00:00+00:00,96.0,A,12048000,2.52,A
1994-11-16 00:00:00+00:00,96.0,A,12048000,2.52,A
1994-11-17 00:00:00+00:00,90.0,A,12048000,2.49,A
1994-11-18 00:00:00+00:00,83.0,A,12048000,2.45,A
1994-11-19 00:00:00+00:00,124.0,A,12048000,2.62,A
1994-11-20 00:00:00+00:00,191.0,A,12048000,2.91,A
1994-11-21 00:00:00+00:00,124.0,A,12048000,2.66,A
1994-11-22 00:00:00+00:00,114.0,A,12048000,2.61,A
1994-11-23 00:00:00+00:00,114.0,A,12048000,2.61,A
1994-11-24 00:00:00+00:00,104.0,A,12048000,2.56,A
1994-11-25 00:00:00+00:00,123.0,A,12048000,2.65,A
1994-11-26 00:00:00+00:00,104.0,A,12048000,2.56,A
1994-11-27 00:00:00+00:00,98.0,A,12048000,2.53,A
1994-11-28 00:00:00+00:00,92.0,A,12048000,2.5,A
1994-11-29 00:00:00+00:00,99.0,A,12048000,2.54,A
1994-11-30 00:00:00+00:00,895.0,A,12048000,3.77,A
