datetime,00060_Mean,00060_Mean_cd,site_no
1995-10-01 00:00:00+00:00,91.0,A,06625000
1995-10-02 00:00:00+00:00,74.0,A,06625000
1995-10-03 00:00:00+00:00,85.0,A,06625000
1995-10-04 00:00:00+00:00,126.0,A,06625000
1995-10-05 00:00:00+00:00,120.0,A,06625000
1995-10-06 00:00:00+00:00,108.0,A,06625000
1995-10-07 00:00:00+00:00,112.0,A,06625000
1995-10-08 00:00:00+00:00,118.0,A,06625000
1995-10-09 00:00:00+00:00,112.0,A,06625000
1995-10-10 00:00:00+00:00,109.0,A,06625000
1995-10-11 00:00:00+00:00,108.0,A,06625000
1995-10-12 00:00:00+00:00,111.0,A,06625000
1995-10-13 00:00:00+00:00,112.0,A,06625000
1995-10-14 00:00:00+00:00,104.0,A,06625000
1995-10-15 00:00:00+00:00,100.0,A,06625000
1995-10-16 00:00:00+00:00,99.0,A,06625000
1995-10-17 00:00:00+00:00,99.0,A,06625000
1995-10-18 00:00:00+00:00,97.0,A,06625000
1995-10-19 00:00:00+00:00,95.0,A,06625000
1995-10-20 00:00:00+00:00,91.0,A,06625000
1995-10-21 00:00:00+00:00,100.0,A,06625000
1995-10-22 00:00:00+00:00,115.0,A,06625000
1995-10-23 00:00:00+00:00,97.0,A,06625000
1995-10-24 00:00:00+00:00,102.0,A,06625000
1995-10-25 00:00:00+00:00,120.0,A,06625000
1995-10-26 00:00:00+00:00,129.0,A,06625000
1995-10-27 00:00:00+00:00,120.0,A,06625000
1995-10-28 00:00:00+00:00,115.0,A,06625000
1995-10-29 00:00:00+00:00,117.0,A,06625000
1995-10-30 00:00:00+00:00,128.0,A,06625000
1995-10-31 00:00:00+00:00,155.0,A,06625000
1995-11-01 00:00:00+00:00,166.0,A,06625000
1995-11-02 00:00:00+00:00,121.0,A,06625000
1995-11-03 00:00:00+00:00,106.0,A,06625000
1995-11-04 00:00:00+00:00,118.0,A,06625000
1995-11-05 00:00:00+00:00,111.0,A,06625000
1995-11-06 00:00:00+00:00,122.0,A,06625000
1995-11-07 00:00:00+00:00,115.0,A,06625000
1995-11-08 00:00:00+00:00,113.0,A,06625000
1995-11-09 00:00:00+00:00,120.0,A,06625000
1995-11-10 00:00:00+00:00,117.0,A,06625000
1995-11-11 00:00:00+00:00,110.0,A,06625000
1995-11-12 00:00:00+00:00,121.0,A,06625000
1995-11-13 00:00:00+00:00,123.0,A,06625000
1995-11-14 00:00:00+00:00,153.0,A,06625000
1995-11-15 00:00:00+00:00,147.0,A,06625000
