datetime,00060_Mean,00060_Mean_cd,site_no
1996-04-01 00:00:00+00:00,81.0,A,06659500
1996-04-02 00:00:00+00:00,100.0,A,06659500
1996-04-03 00:00:00+00:00,121.0,A,06659500
1996-04-04 00:00:00+00:00,103.0,A,06659500
1996-04-05 00:00:00+00:00,88.0,A,06659500
1996-04-06 00:00:00+00:00,81.0,A,06659500
1996-04-07 00:00:00+00:00,95.0,A,06659500
1996-04-08 00:00:00+00:00,100.0,A,06659500
1996-04-09 00:00:00+00:00,137.0,A,06659500
1996-04-10 00:00:00+00:00,185.0,A,06659500
1996-04-11 00:00:00+00:00,230.0,A,06659500
1996-04-12 00:00:00+00:00,192.0,A,06659500
1996-04-13 00:00:00+00:00,179.0,A,06659500
1996-04-14 00:00:00+00:00,148.0,A,06659500
1996-04-15 00:00:00+00:00,134.0,A,06659500
1996-04-16 00:00:00+00:00,142.0,A,06659500
1996-04-17 00:00:00+00:00,148.0,A,06659500
1996-04-18 00:00:00+00:00,145.0,A,06659500
1996-04-19 00:00:00+00:00,139.0,A,06659500
1996-04-20 00:00:00+00:00,122.0,A,06659500
1996-04-21 00:00:00+00:00,119.0,A,06659500
1996-04-22 00:00:00+00:00,111.0,A,06659500
1996-04-23 00:00:00+00:00,108.0,A,06659500
1996-04-24 00:00:00+00:00,124.0,A,06659500
1996-04-25 00:00:00+00:00,210.0,A,06659500
1996-04-26 00:00:00+00:00,228.0,A,06659500
1996-04-27 00:00:00+00:00,214.0,A,06659500
1996-04-28 00:00:00+00:00,196.0,A,06659500
1996-04-29 00:00:00+00:00,162.0,A,06659500
1996-04-30 00:00:00+00:00,176.0,A,06659500
1996-05-01 00:00:00+00:00,164.0,A,06659500
1996-05-02 00:00:00+00:00,166.0,A,06659500
1996-05-03 00:00:00+00:00,179.0,A,06659500
1996-05-04 00:00:00+00:00,196.0,A,06659500
1996-05-05 00:00:00+00:00,221.0,A,06659500
1996-05-06 00:00:00+00:00,280.0,A,06659500
1996-05-07 00:00:00+00:00,335.0,A,06659500
1996-05-08 00:00:00+00:00,371.0,A,06659500
1996-05-09 00:00:00+00:00,455.0,A,06659500
1996-05-10 00:00:00+00:00,487.0,A,06659500
1996-05-11 00:00:00+00:00,482.0,A,06659500
1996-05-12 00:00:00+00:00,580.0,A,06659500
1996-05-13 00:00:00+00:00,698.0,A,06659500
1996-05-14 00:00:00+00:00,885.0,A,06659500
1996-05-15 00:00:00+00:00,1050.0,A,06659500
1996-05-16 00:00:00+00:00,1180.0,A,06659500
1996-05-17 00:00:00+00:00,1400.0,A,06659500
1996-05-18 00:00:00+00:00,1520.0,A,06659500
1996-05-19 00:00:00+00:00,1720.0,A,06659500
1996-05-20 00:00:00+00:00,1550.0,A,06659500
1996-05-21 00:00:00+00:00,1320.0,A,06659500
1996-05-22 00:00:00+00:00,1160.0,A,06659500
1996-05-23 00:00:00+00:00,1090.0,A,06659500
1996-05-24 00:00:00+00:00,1050.0,A,06659500
1996-05-25 00:00:00+00:00,1070.0,A,06659500
1996-05-26 00:00:00+00:00,1160.0,A,06659500
1996-05-27 00:00:00+00:00,1210.0,A,06659500
1996-05-28 00:00:00+00:00,1090.0,A,06659500
1996-05-29 00:00:00+00:00,968.0,A,06659500
1996-05-30 00:00:00+00:00,945.0,A,06659500
1996-05-31 00:00:00+00:00,916.0,A,06659500
1996-06-01 00:00:00+00:00,942.0,A,06659500
1996-06-02 00:00:00+00:00,910.0,A,06659500
1996-06-03 00:00:00+00:00,932.0,A,06659500
1996-06-04 00:00:00+00:00,1010.0,A,06659500
1996-06-05 00:00:00+00:00,1090.0,A,06659500
1996-06-06 00:00:00+00:00,1210.0,A,06659500
1996-06-07 00:00:00+00:00,1210.0,A,06659500
1996-06-08 00:00:00+00:00,1180.0,A,06659500
1996-06-09 00:00:00+00:00,1220.0,A,06659500
1996-06-10 00:00:00+00:00,1260.0,A,06659500
1996-06-11 00:00:00+00:00,1300.0,A,06659500
1996-06-12 00:00:00+00:00,1320.0,A,06659500
1996-06-13 00:00:00+00:00,1300.0,A,06659500
1996-06-14 00:00:00+00:00,1300.0,A,06659500
1996-06-15 00:00:00+00:00,1250.0,A,06659500
1996-06-16 00:00:00+00:00,1460.0,A,06659500
1996-06-17 00:00:00+00:00,1230.0,A,06659500
1996-06-18 00:00:00+00:00,1120.0,A,06659500
1996-06-19 00:00:00+00:00,1060.0,A,06659500
1996-06-20 00:00:00+00:00,1000.0,A,06659500
1996-06-21 00:00:00+00:00,1070.0,A,06659500
1996-06-22 00:00:00+00:00,1270.0,A,06659500
1996-06-23 00:00:00+00:00,1230.0,A,06659500
1996-06-24 00:00:00+00:00,1010.0,A,06659500
1996-06-25 00:00:00+00:00,858.0,A,06659500
1996-06-26 00:00:00+00:00,791.0,A,06659500
1996-06-27 00:00:00+00:00,800.0,A,06659500
1996-06-28 00:00:00+00:00,841.0,A,06659500
1996-06-29 00:00:00+00:00,766.0,A,06659500
1996-06-30 00:00:00+00:00,658.0,A,06659500
1996-07-01 00:00:00+00:00,616.0,A,06659500
1996-07-02 00:00:00+00:00,570.0,A,06659500
1996-07-03 00:00:00+00:00,550.0,A,06659500
1996-07-04 00:00:00+00:00,530.0,A,06659500
1996-07-05 00:00:00+00:00,522.0,A,06659500
1996-07-06 00:00:00+00:00,516.0,A,06659500
1996-07-07 00:00:00+00:00,504.0,A,06659500
1996-07-08 00:00:00+00:00,462.0,A,06659500
1996-07-09 00:00:00+00:00,446.0,A,06659500
1996-07-10 00:00:00+00:00,437.0,A,06659500
1996-07-11 00:00:00+00:00,373.0,A,06659500
1996-07-12 00:00:00+00:00,331.0,A,06659500
1996-07-13 00:00:00+00:00,265.0,A,06659500
1996-07-14 00:00:00+00:00,173.0,A,06659500
1996-07-15 00:00:00+00:00,150.0,A,06659500
1996-07-16 00:00:00+00:00,142.0,A,06659500
1996-07-17 00:00:00+00:00,140.0,A,06659500
1996-07-18 00:00:00+00:00,135.0,A,06659500
1996-07-19 00:00:00+00:00,148.0,A,06659500
1996-07-20 00:00:00+00:00,136.0,A,06659500
1996-07-21 00:00:00+00:00,114.0,A,06659500
