datetime,00060_Mean,00060_Mean_cd,site_no
1995-10-01 00:00:00+00:00,470.0,A,12413000
1995-10-02 00:00:00+00:00,509.0,A,12413000
1995-10-03 00:00:00+00:00,509.0,A,12413000
1995-10-04 00:00:00+00:00,733.0,A,12413000
1995-10-05 00:00:00+00:00,639.0,A,12413000
1995-10-06 00:00:00+00:00,504.0,A,12413000
1995-10-07 00:00:00+00:00,436.0,A,12413000
1995-10-08 00:00:00+00:00,391.0,A,12413000
1995-10-09 00:00:00+00:00,361.0,A,12413000
1995-10-10 00:00:00+00:00,346.0,A,12413000
1995-10-11 00:00:00+00:00,760.0,A,12413000
1995-10-12 00:00:00+00:00,1570.0,A,12413000
1995-10-13 00:00:00+00:00,1370.0,A,12413000
1995-10-14 00:00:00+00:00,1030.0,A,12413000
1995-10-15 00:00:00+00:00,828.0,A,12413000
1995-10-16 00:00:00+00:00,728.0,A,12413000
1995-10-17 00:00:00+00:00,725.0,A,12413000
1995-10-18 00:00:00+00:00,1090.0,A,12413000
1995-10-19 00:00:00+00:00,1230.0,A,12413000
1995-10-20 00:00:00+00:00,1100.0,A,12413000
1995-10-21 00:00:00+00:00,981.0,A,12413000
1995-10-22 00:00:00+00:00,881.0,A,12413000
1995-10-23 00:00:00+00:00,787.0,A,12413000
1995-10-24 00:00:00+00:00,717.0,A,12413000
1995-10-25 00:00:00+00:00,675.0,A,12413000
1995-10-26 00:00:00+00:00,1530.0,A,12413000
1995-10-27 00:00:00+00:00,2010.0,A,12413000
1995-10-28 00:00:00+00:00,1660.0,A,12413000
1995-10-29 00:00:00+00:00,1390.0,A,12413000
1995-10-30 00:00:00+00:00,1190.0,A,12413000
1995-10-31 00:00:00+00:00,1050.0,A,12413000
1995-11-01 00:00:00+00:00,933.0,A,12413000
1995-11-02 00:00:00+00:00,822.0,A,12413000
1995-11-03 00:00:00+00:00,748.0,A,12413000
1995-11-04 00:00:00+00:00,708.0,A,12413000
1995-11-05 00:00:00+00:00,679.0,A,12413000
1995-11-06 00:00:00+00:00,703.0,A,12413000
1995-11-07 00:00:00+00:00,682.0,A,12413000
1995-11-08 00:00:00+00:00,1240.0,A,12413000
1995-11-09 00:00:00+00:00,6310.0,A,12413000
1995-11-10 00:00:00+00:00,5360.0,A,12413000
1995-11-11 00:00:00+00:00,4300.0,A,12413000
1995-11-12 00:00:00+00:00,5480.0,A,12413000
1995-11-13 00:00:00+00:00,4910.0,A,12413000
1995-11-14 00:00:00+00:00,4130.0,A,12413000
1995-11-15 00:00:00+00:00,3670.0,A,12413000
1995-11-16 00:00:00+00:00,3520.0,A,12413000
1995-11-17 00:00:00+00:00,3320.0,A,12413000
1995-11-18 00:00:00+00:00,3230.0,A,12413000
1995-11-19 00:00:00+00:00,2950.0,A,12413000
1995-11-20 00:00:00+00:00,2670.0,A,12413000
1995-11-21 00:00:00+00:00,2450.0,A,12413000
1995-11-22 00:00:00+00:00,2250.0,A,12413000
1995-11-23 00:00:00+00:00,2080.0,A,12413000
1995-11-24 00:00:00+00:00,2540.0,A,12413000
1995-11-25 00:00:00+00:00,4690.0,A,12413000
1995-11-26 00:00:00+00:00,6410.0,A,12413000
1995-11-27 00:00:00+00:00,5760.0,A,12413000
1995-11-28 00:00:00+00:00,5140.0,A,12413000
1995-11-29 00:00:00+00:00,8720.0,A,12413000
1995-11-30 00:00:00+00:00,22800.0,A,12413000
1995-12-01 00:00:00+00:00,19300.0,A,12413000
1995-12-02 00:00:00+00:00,17000.0,A,12413000
1995-12-03 00:00:00+00:00,11900.0,A,12413000
1995-12-04 00:00:00+00:00,8330.0,A,12413000
1995-12-05 00:00:00+00:00,6090.0,A,12413000
1995-12-06 00:00:00+00:00,4910.0,A,12413000
1995-12-07 00:00:00+00:00,4200.0,A,12413000
1995-12-08 00:00:00+00:00,3600.0,A,12413000
1995-12-09 00:00:00+00:00,3070.0,A,12413000
1995-12-10 00:00:00+00:00,2940.0,A,12413000
1995-12-11 00:00:00+00:00,3240.0,A,12413000
1995-12-12 00:00:00+00:00,3890.0,A,12413000
1995-12-13 00:00:00+00:00,6580.0,A,12413000
1995-12-14 00:00:00+00:00,8280.0,A,12413000
1995-12-15 00:00:00+00:00,7310.0,A,12413000
1995-12-16 00:00:00+00:00,6210.0,A,12413000
1995-12-17 00:00:00+00:00,5230.0,A,12413000
1995-12-18 00:00:00+00:00,4460.0,A,12413000
1995-12-19 00:00:00+00:00,3880.0,A,12413000
1995-12-20 00:00:00+00:00,3440.0,A,12413000
1995-12-21 00:00:00+00:00,3080.0,A,12413000
1995-12-22 00:00:00+00:00,2780.0,A,12413000
1995-12-23 00:00:00+00:00,2530.0,A,12413000
1995-12-24 00:00:00+00:00,2300.0,A,12413000
1995-12-25 00:00:00+00:00,2070.0,A,12413000
1995-12-26 00:00:00+00:00,1900.0,A,12413000
1995-12-27 00:00:00+00:00,1760.0,A,12413000
1995-12-28 00:00:00+00:00,1720.0,A,12413000
1995-12-29 00:00:00+00:00,1850.0,A,12413000
1995-12-30 00:00:00+00:00,1750.0,A,12413000
1995-12-31 00:00:00+00:00,1660.0,A,12413000
1996-01-01 00:00:00+00:00,1500.0,A,12413000
1996-01-02 00:00:00+00:00,1410.0,A,12413000
1996-01-03 00:00:00+00:00,1920.0,A,12413000
1996-01-04 00:00:00+00:00,2370.0,A,12413000
1996-01-05 00:00:00+00:00,2160.0,A,12413000
1996-01-06 00:00:00+00:00,1990.0,A,12413000
1996-01-07 00:00:00+00:00,1990.0,A,12413000
1996-01-08 00:00:00+00:00,2480.0,A,12413000
1996-01-09 00:00:00+00:00,2960.0,A,12413000
1996-01-10 00:00:00+00:00,3020.0,A,12413000
1996-01-11 00:00:00+00:00,2770.0,A,12413000
1996-01-12 00:00:00+00:00,2570.0,A,12413000
1996-01-13 00:00:00+00:00,2420.0,A,12413000
1996-01-14 00:00:00+00:00,2340.0,A,12413000
1996-01-15 00:00:00+00:00,3130.0,A,12413000
1996-01-16 00:00:00+00:00,7350.0,A,12413000
1996-01-17 00:00:00+00:00,8070.0,A,12413000
1996-01-18 00:00:00+00:00,5730.0,A,12413000
1996-01-19 00:00:00+00:00,4580.0,A,12413000
1996-01-20 00:00:00+00:00,3750.0,A,12413000
1996-01-21 00:00:00+00:00,3320.0,A,12413000
1996-01-22 00:00:00+00:00,2810.0,A,12413000
1996-01-23 00:00:00+00:00,2510.0,A,12413000
1996-01-24 00:00:00+00:00,2300.0,A,12413000
1996-01-25 00:00:00+00:00,2110.0,A,12413000
1996-01-26 00:00:00+00:00,1930.0,A,12413000
1996-01-27 00:00:00+00:00,1770.0,A,12413000
1996-01-28 00:00:00+00:00,1710.0,A,12413000
1996-01-29 00:00:00+00:00,1450.0,"A, e",12413000
1996-01-30 00:00:00+00:00,1250.0,"A, e",12413000
1996-01-31 00:00:00+00:00,1050.0,"A, e",12413000
1996-02-01 00:00:00+00:00,800.0,"A, e",12413000
1996-02-02 00:00:00+00:00,800.0,"A, e",12413000
1996-02-03 00:00:00+00:00,850.0,"A, e",12413000
1996-02-04 00:00:00+00:00,1050.0,"A, e",12413000
1996-02-05 00:00:00+00:00,1400.0,"A, e",12413000
1996-02-06 00:00:00+00:00,1800.0,"A, e",12413000
1996-02-07 00:00:00+00:00,9000.0,"A, e",12413000
1996-02-08 00:00:00+00:00,15400.0,A,12413000
1996-02-09 00:00:00+00:00,46100.0,A,12413000
1996-02-10 00:00:00+00:00,29500.0,A,12413000
1996-02-11 00:00:00+00:00,14000.0,A,12413000
1996-02-12 00:00:00+00:00,8480.0,A,12413000
1996-02-13 00:00:00+00:00,6240.0,A,12413000
1996-02-14 00:00:00+00:00,5100.0,A,12413000
1996-02-15 00:00:00+00:00,4360.0,A,12413000
1996-02-16 00:00:00+00:00,3940.0,A,12413000
1996-02-17 00:00:00+00:00,3800.0,A,12413000
1996-02-18 00:00:00+00:00,6630.0,A,12413000
1996-02-19 00:00:00+00:00,12000.0,A,12413000
1996-02-20 00:00:00+00:00,10900.0,A,12413000
1996-02-21 00:00:00+00:00,8480.0,A,12413000
1996-02-22 00:00:00+00:00,6800.0,A,12413000
1996-02-23 00:00:00+00:00,5690.0,A,12413000
1996-02-24 00:00:00+00:00,4840.0,A,12413000
1996-02-25 00:00:00+00:00,4210.0,A,12413000
1996-02-26 00:00:00+00:00,3700.0,A,12413000
1996-02-27 00:00:00+00:00,3360.0,A,12413000
1996-02-28 00:00:00+00:00,2990.0,A,12413000
1996-02-29 00:00:00+00:00,2810.0,A,12413000
1996-03-01 00:00:00+00:00,2720.0,A,12413000
1996-03-02 00:00:00+00:00,2580.0,A,12413000
1996-03-03 00:00:00+00:00,2500.0,A,12413000
1996-03-04 00:00:00+00:00,2490.0,A,12413000
1996-03-05 00:00:00+00:00,2340.0,A,12413000
1996-03-06 00:00:00+00:00,2140.0,A,12413000
1996-03-07 00:00:00+00:00,2090.0,A,12413000
1996-03-08 00:00:00+00:00,2020.0,A,12413000
1996-03-09 00:00:00+00:00,2000.0,A,12413000
1996-03-10 00:00:00+00:00,2060.0,A,12413000
1996-03-11 00:00:00+00:00,2400.0,A,12413000
1996-03-12 00:00:00+00:00,3100.0,A,12413000
1996-03-13 00:00:00+00:00,3660.0,A,12413000
1996-03-14 00:00:00+00:00,3910.0,A,12413000
1996-03-15 00:00:00+00:00,4010.0,A,12413000
1996-03-16 00:00:00+00:00,4040.0,A,12413000
1996-03-17 00:00:00+00:00,3910.0,A,12413000
1996-03-18 00:00:00+00:00,3640.0,A,12413000
1996-03-19 00:00:00+00:00,3420.0,A,12413000
1996-03-20 00:00:00+00:00,3270.0,A,12413000
1996-03-21 00:00:00+00:00,3100.0,A,12413000
1996-03-22 00:00:00+00:00,3030.0,A,12413000
1996-03-23 00:00:00+00:00,3080.0,A,12413000
1996-03-24 00:00:00+00:00,2970.0,A,12413000
1996-03-25 00:00:00+00:00,2750.0,A,12413000
1996-03-26 00:00:00+00:00,2670.0,A,12413000
1996-03-27 00:00:00+00:00,2570.0,A,12413000
1996-03-28 00:00:00+00:00,2440.0,A,12413000
1996-03-29 00:00:00+00:00,2360.0,A,12413000
1996-03-30 00:00:00+00:00,2270.0,A,12413000
1996-03-31 00:00:00+00:00,2170.0,A,12413000
1996-04-01 00:00:00+00:00,2530.0,A,12413000
1996-04-02 00:00:00+00:00,3020.0,A,12413000
1996-04-03 00:00:00+00:00,3250.0,A,12413000
1996-04-04 00:00:00+00:00,3200.0,A,12413000
1996-04-05 00:00:00+00:00,3060.0,A,12413000
1996-04-06 00:00:00+00:00,3060.0,A,12413000
1996-04-07 00:00:00+00:00,3450.0,A,12413000
1996-04-08 00:00:00+00:00,5010.0,A,12413000
1996-04-09 00:00:00+00:00,7180.0,A,12413000
1996-04-10 00:00:00+00:00,8700.0,A,12413000
1996-04-11 00:00:00+00:00,8000.0,A,12413000
1996-04-12 00:00:00+00:00,6920.0,A,12413000
1996-04-13 00:00:00+00:00,5960.0,A,12413000
1996-04-14 00:00:00+00:00,5100.0,A,12413000
1996-04-15 00:00:00+00:00,4580.0,A,12413000
1996-04-16 00:00:00+00:00,4480.0,A,12413000
1996-04-17 00:00:00+00:00,5160.0,A,12413000
1996-04-18 00:00:00+00:00,5370.0,A,12413000
1996-04-19 00:00:00+00:00,4950.0,A,12413000
1996-04-20 00:00:00+00:00,4440.0,A,12413000
1996-04-21 00:00:00+00:00,4070.0,A,12413000
1996-04-22 00:00:00+00:00,3750.0,A,12413000
1996-04-23 00:00:00+00:00,4580.0,A,12413000
1996-04-24 00:00:00+00:00,19500.0,A,12413000
1996-04-25 00:00:00+00:00,19400.0,A,12413000
1996-04-26 00:00:00+00:00,11200.0,A,12413000
1996-04-27 00:00:00+00:00,8000.0,A,12413000
1996-04-28 00:00:00+00:00,6440.0,A,12413000
1996-04-29 00:00:00+00:00,5470.0,A,12413000
1996-04-30 00:00:00+00:00,4800.0,A,12413000
1996-05-01 00:00:00+00:00,4390.0,A,12413000
1996-05-02 00:00:00+00:00,4050.0,A,12413000
1996-05-03 00:00:00+00:00,3690.0,A,12413000
1996-05-04 00:00:00+00:00,3340.0,A,12413000
1996-05-05 00:00:00+00:00,3050.0,A,12413000
1996-05-06 00:00:00+00:00,2820.0,A,12413000
1996-05-07 00:00:00+00:00,2660.0,A,12413000
1996-05-08 00:00:00+00:00,2540.0,A,12413000
1996-05-09 00:00:00+00:00,2380.0,A,12413000
1996-05-10 00:00:00+00:00,2250.0,A,12413000
1996-05-11 00:00:00+00:00,2160.0,A,12413000
1996-05-12 00:00:00+00:00,2150.0,A,12413000
1996-05-13 00:00:00+00:00,2260.0,A,12413000
1996-05-14 00:00:00+00:00,3120.0,A,12413000
1996-05-15 00:00:00+00:00,5220.0,A,12413000
1996-05-16 00:00:00+00:00,6210.0,A,12413000
1996-05-17 00:00:00+00:00,5860.0,A,12413000
1996-05-18 00:00:00+00:00,5730.0,A,12413000
1996-05-19 00:00:00+00:00,5720.0,A,12413000
1996-05-20 00:00:00+00:00,5570.0,A,12413000
1996-05-21 00:00:00+00:00,5220.0,A,12413000
1996-05-22 00:00:00+00:00,4870.0,A,12413000
1996-05-23 00:00:00+00:00,4450.0,A,12413000
1996-05-24 00:00:00+00:00,4130.0,A,12413000
1996-05-25 00:00:00+00:00,3850.0,A,12413000
1996-05-26 00:00:00+00:00,3690.0,A,12413000
1996-05-27 00:00:00+00:00,3590.0,A,12413000
1996-05-28 00:00:00+00:00,3390.0,A,12413000
1996-05-29 00:00:00+00:00,3130.0,A,12413000
1996-05-30 00:00:00+00:00,2800.0,A,12413000
1996-05-31 00:00:00+00:00,2560.0,A,12413000
1996-06-01 00:00:00+00:00,2310.0,A,12413000
1996-06-02 00:00:00+00:00,2170.0,A,12413000
1996-06-03 00:00:00+00:00,2190.0,A,12413000
1996-06-04 00:00:00+00:00,2280.0,A,12413000
1996-06-05 00:00:00+00:00,2250.0,A,12413000
1996-06-06 00:00:00+00:00,2050.0,A,12413000
1996-06-07 00:00:00+00:00,1890.0,A,12413000
1996-06-08 00:00:00+00:00,1850.0,A,12413000
1996-06-09 00:00:00+00:00,1810.0,A,12413000
1996-06-10 00:00:00+00:00,1680.0,A,12413000
1996-06-11 00:00:00+00:00,1570.0,A,12413000
1996-06-12 00:00:00+00:00,1470.0,A,12413000
1996-06-13 00:00:00+00:00,1400.0,A,12413000
1996-06-14 00:00:00+00:00,1340.0,A,12413000
1996-06-15 00:00:00+00:00,1290.0,A,12413000
1996-06-16 00:00:00+00:00,1240.0,A,12413000
1996-06-17 00:00:00+00:00,1200.0,A,12413000
1996-06-18 00:00:00+00:00,1170.0,A,12413000
1996-06-19 00:00:00+00:00,1130.0,A,12413000
1996-06-20 00:00:00+00:00,1070.0,A,12413000
1996-06-21 00:00:00+00:00,1020.0,A,12413000
1996-06-22 00:00:00+00:00,1110.0,A,12413000
1996-06-23 00:00:00+00:00,1170.0,A,12413000
1996-06-24 00:00:00+00:00,1080.0,A,12413000
1996-06-25 00:00:00+00:00,1030.0,A,12413000
1996-06-26 00:00:00+00:00,978.0,A,12413000
1996-06-27 00:00:00+00:00,970.0,A,12413000
1996-06-28 00:00:00+00:00,1040.0,A,12413000
1996-06-29 00:00:00+00:00,965.0,A,12413000
