datetime,00060_Mean,00060_Mean_cd,site_no
1995-10-01 00:00:00+00:00,479.0,A,10346000
1995-10-02 00:00:00+00:00,458.0,A,10346000
1995-10-03 00:00:00+00:00,436.0,A,10346000
1995-10-04 00:00:00+00:00,419.0,A,10346000
1995-10-05 00:00:00+00:00,410.0,A,10346000
1995-10-06 00:00:00+00:00,415.0,A,10346000
1995-10-07 00:00:00+00:00,415.0,A,10346000
1995-10-08 00:00:00+00:00,408.0,A,10346000
1995-10-09 00:00:00+00:00,404.0,A,10346000
1995-10-10 00:00:00+00:00,402.0,A,10346000
1995-10-11 00:00:00+00:00,399.0,A,10346000
1995-10-12 00:00:00+00:00,397.0,A,10346000
1995-10-13 00:00:00+00:00,418.0,A,10346000
1995-10-14 00:00:00+00:00,402.0,A,10346000
1995-10-15 00:00:00+00:00,397.0,A,10346000
1995-10-16 00:00:00+00:00,392.0,A,10346000
1995-10-17 00:00:00+00:00,388.0,A,10346000
1995-10-18 00:00:00+00:00,379.0,A,10346000
1995-10-19 00:00:00+00:00,385.0,A,10346000
1995-10-20 00:00:00+00:00,385.0,A,10346000
1995-10-21 00:00:00+00:00,386.0,A,10346000
1995-10-22 00:00:00+00:00,387.0,A,10346000
1995-10-23 00:00:00+00:00,383.0,A,10346000
1995-10-24 00:00:00+00:00,391.0,A,10346000
1995-10-25 00:00:00+00:00,397.0,A,10346000
1995-10-26 00:00:00+00:00,397.0,A,10346000
1995-10-27 00:00:00+00:00,402.0,A,10346000
1995-10-28 00:00:00+00:00,406.0,A,10346000
1995-10-29 00:00:00+00:00,400.0,A,10346000
1995-10-30 00:00:00+00:00,397.0,A,10346000
1995-10-31 00:00:00+00:00,381.0,A,10346000
1995-11-01 00:00:00+00:00,313.0,A,10346000
1995-11-02 00:00:00+00:00,310.0,A,10346000
1995-11-03 00:00:00+00:00,306.0,A,10346000
1995-11-04 00:00:00+00:00,304.0,A,10346000
1995-11-05 00:00:00+00:00,303.0,A,10346000
1995-11-06 00:00:00+00:00,312.0,A,10346000
1995-11-07 00:00:00+00:00,301.0,A,10346000
1995-11-08 00:00:00+00:00,278.0,A,10346000
1995-11-09 00:00:00+00:00,252.0,A,10346000
1995-11-10 00:00:00+00:00,247.0,A,10346000
1995-11-11 00:00:00+00:00,240.0,A,10346000
1995-11-12 00:00:00+00:00,235.0,A,10346000
1995-11-13 00:00:00+00:00,231.0,A,10346000
1995-11-14 00:00:00+00:00,227.0,A,10346000
1995-11-15 00:00:00+00:00,220.0,A,10346000
1995-11-16 00:00:00+00:00,219.0,A,10346000
1995-11-17 00:00:00+00:00,216.0,A,10346000
1995-11-18 00:00:00+00:00,215.0,A,10346000
1995-11-19 00:00:00+00:00,213.0,A,10346000
1995-11-20 00:00:00+00:00,213.0,A,10346000
1995-11-21 00:00:00+00:00,212.0,A,10346000
1995-11-22 00:00:00+00:00,215.0,A,10346000
1995-11-23 00:00:00+00:00,215.0,A,10346000
1995-11-24 00:00:00+00:00,216.0,A,10346000
1995-11-25 00:00:00+00:00,217.0,A,10346000
1995-11-26 00:00:00+00:00,242.0,A,10346000
1995-11-27 00:00:00+00:00,214.0,A,10346000
1995-11-28 00:00:00+00:00,235.0,A,10346000
1995-11-29 00:00:00+00:00,234.0,A,10346000
1995-11-30 00:00:00+00:00,235.0,A,10346000
1995-12-01 00:00:00+00:00,225.0,A,10346000
1995-12-02 00:00:00+00:00,208.0,A,10346000
1995-12-03 00:00:00+00:00,263.0,A,10346000
1995-12-04 00:00:00+00:00,333.0,A,10346000
1995-12-05 00:00:00+00:00,376.0,A,10346000
1995-12-06 00:00:00+00:00,325.0,A,10346000
1995-12-07 00:00:00+00:00,326.0,A,10346000
1995-12-08 00:00:00+00:00,337.0,A,10346000
1995-12-09 00:00:00+00:00,334.0,A,10346000
