datetime,00060_Mean,00060_Mean_cd,site_no
1996-10-01 00:00:00+00:00,262.0,A,06016000
1996-10-02 00:00:00+00:00,255.0,A,06016000
1996-10-03 00:00:00+00:00,234.0,A,06016000
1996-10-04 00:00:00+00:00,234.0,A,06016000
1996-10-05 00:00:00+00:00,234.0,A,06016000
1996-10-06 00:00:00+00:00,234.0,A,06016000
1996-10-07 00:00:00+00:00,234.0,A,06016000
1996-10-08 00:00:00+00:00,234.0,A,06016000
1996-10-09 00:00:00+00:00,237.0,A,06016000
1996-10-10 00:00:00+00:00,239.0,A,06016000
1996-10-11 00:00:00+00:00,239.0,A,06016000
1996-10-12 00:00:00+00:00,239.0,A,06016000
1996-10-13 00:00:00+00:00,239.0,A,06016000
1996-10-14 00:00:00+00:00,239.0,A,06016000
1996-10-15 00:00:00+00:00,240.0,A,06016000
1996-10-16 00:00:00+00:00,239.0,A,06016000
1996-10-17 00:00:00+00:00,175.0,A,06016000
1996-10-18 00:00:00+00:00,173.0,A,06016000
1996-10-19 00:00:00+00:00,173.0,A,06016000
1996-10-20 00:00:00+00:00,184.0,A,06016000
1996-10-21 00:00:00+00:00,173.0,A,06016000
1996-10-22 00:00:00+00:00,182.0,A,06016000
1996-10-23 00:00:00+00:00,186.0,A,06016000
1996-10-24 00:00:00+00:00,186.0,A,06016000
1996-10-25 00:00:00+00:00,190.0,A,06016000
1996-10-26 00:00:00+00:00,192.0,A,06016000
1996-10-27 00:00:00+00:00,180.0,A,06016000
1996-10-28 00:00:00+00:00,183.0,A,06016000
1996-10-29 00:00:00+00:00,191.0,A,06016000
1996-10-30 00:00:00+00:00,190.0,"A, e",06016000
1996-10-31 00:00:00+00:00,190.0,"A, e",06016000
1997-03-01 00:00:00+00:00,525.0,"A, e",06016000
1997-03-02 00:00:00+00:00,525.0,"A, e",06016000
1997-03-03 00:00:00+00:00,525.0,"A, e",06016000
1997-03-04 00:00:00+00:00,525.0,"A, e",06016000
1997-03-05 00:00:00+00:00,553.0,A,06016000
1997-03-06 00:00:00+00:00,560.0,A,06016000
1997-03-07 00:00:00+00:00,567.0,A,06016000
1997-03-08 00:00:00+00:00,567.0,A,06016000
1997-03-09 00:00:00+00:00,572.0,A,06016000
