datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1996-10-01 00:00:00+00:00,13.8,A,14145500,1410.0,A
1996-10-02 00:00:00+00:00,13.9,A,14145500,1410.0,A
1996-10-03 00:00:00+00:00,13.9,A,14145500,1400.0,A
1996-10-04 00:00:00+00:00,14.0,A,14145500,1390.0,A
1996-10-05 00:00:00+00:00,14.0,A,14145500,1390.0,A
1996-10-06 00:00:00+00:00,14.3,A,14145500,1380.0,A
1996-10-07 00:00:00+00:00,14.2,A,14145500,1380.0,A
1996-10-08 00:00:00+00:00,14.3,A,14145500,1380.0,A
1996-10-09 00:00:00+00:00,14.3,A,14145500,1380.0,A
1996-10-10 00:00:00+00:00,14.4,A,14145500,1380.0,A
1996-10-11 00:00:00+00:00,14.5,A,14145500,1380.0,A
1996-10-12 00:00:00+00:00,14.6,A,14145500,1380.0,A
1996-10-13 00:00:00+00:00,14.7,A,14145500,1380.0,A
1996-10-14 00:00:00+00:00,14.9,A,14145500,1380.0,A
1996-10-15 00:00:00+00:00,14.7,A,14145500,1380.0,A
1996-10-16 00:00:00+00:00,14.7,A,14145500,1380.0,A
1996-10-17 00:00:00+00:00,14.8,A,14145500,1380.0,A
1996-10-18 00:00:00+00:00,14.7,A,14145500,1380.0,A
1996-10-19 00:00:00+00:00,14.5,A,14145500,1380.0,A
1996-10-20 00:00:00+00:00,14.4,A,14145500,1390.0,A
1996-10-21 00:00:00+00:00,14.1,A,14145500,1190.0,A
1996-10-22 00:00:00+00:00,13.9,A,14145500,1000.0,A
1996-10-23 00:00:00+00:00,13.7,A,14145500,1010.0,A
1996-10-24 00:00:00+00:00,14.1,A,14145500,1500.0,A
1996-10-25 00:00:00+00:00,14.2,A,14145500,2150.0,A
1996-10-26 00:00:00+00:00,,,14145500,2290.0,A
1996-10-27 00:00:00+00:00,,,14145500,1540.0,A
1996-10-28 00:00:00+00:00,,,14145500,1530.0,A
1996-10-29 00:00:00+00:00,,,14145500,1560.0,A
1996-10-30 00:00:00+00:00,12.9,A,14145500,1660.0,A
1996-10-31 00:00:00+00:00,12.8,A,14145500,1660.0,A
1996-11-01 00:00:00+00:00,12.6,A,14145500,1660.0,A
1996-11-02 00:00:00+00:00,12.5,A,14145500,1660.0,A
1996-11-03 00:00:00+00:00,12.3,A,14145500,1660.0,A
1996-11-04 00:00:00+00:00,12.2,A,14145500,1650.0,A
1996-11-05 00:00:00+00:00,12.1,A,14145500,1660.0,A
1996-11-06 00:00:00+00:00,12.0,A,14145500,1650.0,A
1996-11-07 00:00:00+00:00,11.9,A,14145500,1670.0,A
1996-11-08 00:00:00+00:00,11.8,A,14145500,1680.0,A
1996-11-09 00:00:00+00:00,11.8,A,14145500,1680.0,A
1996-11-10 00:00:00+00:00,11.7,A,14145500,1670.0,A
1996-11-11 00:00:00+00:00,11.6,A,14145500,1690.0,A
1996-11-12 00:00:00+00:00,11.5,A,14145500,1700.0,A
1996-11-13 00:00:00+00:00,11.4,A,14145500,1700.0,A
1996-11-14 00:00:00+00:00,11.2,A,14145500,1700.0,A
1996-11-15 00:00:00+00:00,11.0,A,14145500,1710.0,A
1996-11-16 00:00:00+00:00,10.9,A,14145500,1700.0,A
1996-11-17 00:00:00+00:00,10.8,A,14145500,1610.0,A
1996-11-18 00:00:00+00:00,10.3,A,14145500,1860.0,A
1996-11-19 00:00:00+00:00,8.9,A,14145500,2050.0,A
1996-11-20 00:00:00+00:00,8.8,A,14145500,3310.0,A
1996-11-21 00:00:00+00:00,9.1,A,14145500,5930.0,A
1996-11-22 00:00:00+00:00,9.0,A,14145500,5970.0,A
1996-11-23 00:00:00+00:00,8.8,A,14145500,5930.0,A
1996-11-24 00:00:00+00:00,8.8,A,14145500,5980.0,A
1996-11-25 00:00:00+00:00,8.8,A,14145500,5940.0,A
1996-11-26 00:00:00+00:00,9.0,A,14145500,5230.0,A
1996-11-27 00:00:00+00:00,8.8,A,14145500,4430.0,A
1996-11-28 00:00:00+00:00,8.5,A,14145500,3980.0,A
1996-11-29 00:00:00+00:00,8.4,A,14145500,3950.0,A
1996-11-30 00:00:00+00:00,8.3,A,14145500,3910.0,A
1996-12-01 00:00:00+00:00,8.0,A,14145500,3900.0,A
1996-12-02 00:00:00+00:00,8.0,A,14145500,4170.0,A
1996-12-03 00:00:00+00:00,7.8,A,14145500,4750.0,A
1996-12-04 00:00:00+00:00,7.7,A,14145500,4830.0,A
1996-12-05 00:00:00+00:00,7.5,A,14145500,4600.0,A
1996-12-06 00:00:00+00:00,7.4,A,14145500,4040.0,A
1996-12-07 00:00:00+00:00,7.2,A,14145500,3390.0,A
1996-12-08 00:00:00+00:00,7.0,A,14145500,1500.0,A
1996-12-09 00:00:00+00:00,7.1,A,14145500,2200.0,A
1996-12-10 00:00:00+00:00,7.1,A,14145500,3420.0,A
1996-12-11 00:00:00+00:00,7.1,A,14145500,4580.0,A
1996-12-12 00:00:00+00:00,7.1,A,14145500,5630.0,A
1996-12-13 00:00:00+00:00,7.0,A,14145500,5980.0,A
1996-12-14 00:00:00+00:00,7.0,A,14145500,5960.0,A
1996-12-15 00:00:00+00:00,6.9,A,14145500,5960.0,A
1996-12-16 00:00:00+00:00,6.9,A,14145500,6600.0,A
1996-12-17 00:00:00+00:00,6.8,A,14145500,6970.0,A
1996-12-18 00:00:00+00:00,6.6,A,14145500,7000.0,A
1996-12-19 00:00:00+00:00,6.6,A,14145500,6860.0,A
1996-12-20 00:00:00+00:00,6.6,A,14145500,7030.0,A
1996-12-21 00:00:00+00:00,6.6,A,14145500,6950.0,A
1996-12-22 00:00:00+00:00,6.5,A,14145500,6940.0,A
1996-12-23 00:00:00+00:00,6.5,A,14145500,6790.0,A
