datetime,00060_Mean,00060_Mean_cd,site_no
1996-10-01 00:00:00+00:00,153.0,A,06620000
1996-10-02 00:00:00+00:00,151.0,A,06620000
1996-10-03 00:00:00+00:00,147.0,A,06620000
1996-10-04 00:00:00+00:00,140.0,A,06620000
1996-10-05 00:00:00+00:00,143.0,A,06620000
1996-10-06 00:00:00+00:00,137.0,A,06620000
1996-10-07 00:00:00+00:00,127.0,A,06620000
1996-10-08 00:00:00+00:00,124.0,A,06620000
1996-10-09 00:00:00+00:00,118.0,A,06620000
1996-10-10 00:00:00+00:00,114.0,A,06620000
1996-10-11 00:00:00+00:00,111.0,A,06620000
1996-10-12 00:00:00+00:00,106.0,A,06620000
1996-10-13 00:00:00+00:00,99.0,A,06620000
1996-10-14 00:00:00+00:00,97.0,A,06620000
1996-10-15 00:00:00+00:00,100.0,A,06620000
1996-10-16 00:00:00+00:00,102.0,A,06620000
1996-10-17 00:00:00+00:00,97.0,A,06620000
1996-10-18 00:00:00+00:00,105.0,A,06620000
1996-10-19 00:00:00+00:00,124.0,A,06620000
1996-10-20 00:00:00+00:00,129.0,A,06620000
1996-10-21 00:00:00+00:00,120.0,A,06620000
1996-10-22 00:00:00+00:00,102.0,A,06620000
1996-10-23 00:00:00+00:00,102.0,A,06620000
1996-10-24 00:00:00+00:00,113.0,A,06620000
1996-10-25 00:00:00+00:00,116.0,A,06620000
1996-10-26 00:00:00+00:00,120.0,A,06620000
1996-10-27 00:00:00+00:00,120.0,A,06620000
1996-10-28 00:00:00+00:00,130.0,A,06620000
1996-10-29 00:00:00+00:00,173.0,A,06620000
1996-10-30 00:00:00+00:00,149.0,A,06620000
1996-10-31 00:00:00+00:00,184.0,A,06620000
1996-11-01 00:00:00+00:00,209.0,A,06620000
1996-11-02 00:00:00+00:00,201.0,A,06620000
1996-11-03 00:00:00+00:00,192.0,A,06620000
1996-11-04 00:00:00+00:00,211.0,A,06620000
1996-11-05 00:00:00+00:00,215.0,A,06620000
1996-11-06 00:00:00+00:00,178.0,A,06620000
1996-11-07 00:00:00+00:00,141.0,A,06620000
1996-11-08 00:00:00+00:00,250.0,A,06620000
1996-11-09 00:00:00+00:00,235.0,A,06620000
1996-11-10 00:00:00+00:00,249.0,A,06620000
1996-11-11 00:00:00+00:00,239.0,A,06620000
1996-11-12 00:00:00+00:00,251.0,A,06620000
1996-11-13 00:00:00+00:00,253.0,A,06620000
1996-11-14 00:00:00+00:00,231.0,A,06620000
1996-11-15 00:00:00+00:00,218.0,A,06620000
1996-11-16 00:00:00+00:00,188.0,A,06620000
1996-11-17 00:00:00+00:00,148.0,A,06620000
1996-11-18 00:00:00+00:00,240.0,A,06620000
1996-11-19 00:00:00+00:00,300.0,A,06620000
1996-11-20 00:00:00+00:00,358.0,A,06620000
1996-11-21 00:00:00+00:00,368.0,A,06620000
1996-11-22 00:00:00+00:00,405.0,A,06620000
1996-11-23 00:00:00+00:00,468.0,A,06620000
1996-11-24 00:00:00+00:00,404.0,A,06620000
1996-11-25 00:00:00+00:00,290.0,A,06620000
1996-11-26 00:00:00+00:00,270.0,A,06620000
1996-11-27 00:00:00+00:00,253.0,A,06620000
1996-11-28 00:00:00+00:00,235.0,A,06620000
1996-11-29 00:00:00+00:00,276.0,A,06620000
1996-11-30 00:00:00+00:00,258.0,A,06620000
1996-12-01 00:00:00+00:00,223.0,A,06620000
