datetime,00060_Mean,00060_Mean_cd,site_no
1996-10-01 00:00:00+00:00,141.0,A,13181000
1996-10-02 00:00:00+00:00,137.0,A,13181000
1996-10-03 00:00:00+00:00,134.0,A,13181000
1996-10-04 00:00:00+00:00,127.0,A,13181000
1996-10-05 00:00:00+00:00,122.0,A,13181000
1996-10-06 00:00:00+00:00,113.0,A,13181000
1996-10-07 00:00:00+00:00,124.0,A,13181000
1996-10-08 00:00:00+00:00,129.0,A,13181000
1996-10-09 00:00:00+00:00,127.0,A,13181000
1996-10-10 00:00:00+00:00,129.0,A,13181000
1996-10-11 00:00:00+00:00,131.0,A,13181000
1996-10-12 00:00:00+00:00,129.0,A,13181000
1996-10-13 00:00:00+00:00,125.0,A,13181000
1996-10-14 00:00:00+00:00,121.0,A,13181000
1996-10-15 00:00:00+00:00,119.0,A,13181000
1996-10-16 00:00:00+00:00,120.0,A,13181000
1996-10-17 00:00:00+00:00,122.0,A,13181000
1996-10-18 00:00:00+00:00,122.0,A,13181000
1996-10-19 00:00:00+00:00,125.0,A,13181000
1996-10-20 00:00:00+00:00,126.0,A,13181000
1996-10-21 00:00:00+00:00,126.0,A,13181000
1996-10-22 00:00:00+00:00,127.0,A,13181000
1996-10-23 00:00:00+00:00,130.0,A,13181000
1996-10-24 00:00:00+00:00,141.0,A,13181000
1996-10-25 00:00:00+00:00,151.0,A,13181000
1996-10-26 00:00:00+00:00,158.0,A,13181000
1996-10-27 00:00:00+00:00,172.0,A,13181000
1996-10-28 00:00:00+00:00,165.0,A,13181000
1996-10-29 00:00:00+00:00,171.0,A,13181000
1996-10-30 00:00:00+00:00,173.0,A,13181000
1996-10-31 00:00:00+00:00,177.0,A,13181000
1996-11-01 00:00:00+00:00,177.0,A,13181000
1996-11-02 00:00:00+00:00,173.0,A,13181000
1996-11-03 00:00:00+00:00,175.0,A,13181000
1996-11-04 00:00:00+00:00,169.0,A,13181000
1996-11-05 00:00:00+00:00,167.0,A,13181000
1996-11-06 00:00:00+00:00,169.0,A,13181000
1996-11-07 00:00:00+00:00,171.0,A,13181000
1996-11-08 00:00:00+00:00,172.0,A,13181000
1996-11-09 00:00:00+00:00,169.0,A,13181000
1996-11-10 00:00:00+00:00,169.0,A,13181000
1996-11-11 00:00:00+00:00,168.0,A,13181000
1996-11-12 00:00:00+00:00,167.0,A,13181000
1996-11-13 00:00:00+00:00,167.0,A,13181000
1996-11-14 00:00:00+00:00,169.0,A,13181000
1996-11-15 00:00:00+00:00,170.0,A,13181000
1996-11-16 00:00:00+00:00,172.0,A,13181000
