datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1997-10-01 00:00:00+00:00,10.0,A,06024450,78.0,A
1997-10-02 00:00:00+00:00,9.5,A,06024450,74.0,A
1997-10-03 00:00:00+00:00,8.5,A,06024450,72.0,A
1997-10-04 00:00:00+00:00,7.0,A,06024450,74.0,A
1997-10-05 00:00:00+00:00,5.5,A,06024450,76.0,A
1997-10-06 00:00:00+00:00,5.0,A,06024450,81.0,A
1997-10-07 00:00:00+00:00,5.0,A,06024450,100.0,A
1997-10-08 00:00:00+00:00,5.0,A,06024450,129.0,A
1997-10-09 00:00:00+00:00,5.0,A,06024450,139.0,A
1997-10-10 00:00:00+00:00,4.0,A,06024450,166.0,A
1997-10-11 00:00:00+00:00,3.5,A,06024450,182.0,A
1997-10-12 00:00:00+00:00,2.5,A,06024450,179.0,A
1997-10-13 00:00:00+00:00,3.5,A,06024450,154.0,A
1997-10-14 00:00:00+00:00,4.5,A,06024450,180.0,A
1997-10-15 00:00:00+00:00,4.5,A,06024450,181.0,A
1997-10-16 00:00:00+00:00,5.5,A,06024450,175.0,A
1997-10-17 00:00:00+00:00,6.0,A,06024450,165.0,A
1997-10-18 00:00:00+00:00,5.5,A,06024450,164.0,A
1997-10-19 00:00:00+00:00,5.0,A,06024450,157.0,A
1997-10-20 00:00:00+00:00,5.0,A,06024450,153.0,A
1997-10-21 00:00:00+00:00,4.5,A,06024450,145.0,A
1997-10-22 00:00:00+00:00,4.0,A,06024450,139.0,A
1997-10-23 00:00:00+00:00,3.5,A,06024450,137.0,A
1997-10-24 00:00:00+00:00,1.5,A,06024450,136.0,A
1997-10-25 00:00:00+00:00,1.5,A,06024450,123.0,A
1997-10-26 00:00:00+00:00,2.5,A,06024450,124.0,A
1997-10-27 00:00:00+00:00,,,06024450,130.0,"A, e"
1997-10-28 00:00:00+00:00,,,06024450,140.0,"A, e"
1997-10-29 00:00:00+00:00,,,06024450,140.0,"A, e"
1997-10-30 00:00:00+00:00,,,06024450,160.0,"A, e"
1997-10-31 00:00:00+00:00,,,06024450,270.0,"A, e"
1998-04-01 00:00:00+00:00,0.5,A,06024450,250.0,"A, e"
1998-04-02 00:00:00+00:00,1.5,A,06024450,300.0,"A, e"
1998-04-03 00:00:00+00:00,3.0,A,06024450,404.0,A
1998-04-04 00:00:00+00:00,3.0,A,06024450,518.0,A
1998-04-05 00:00:00+00:00,2.0,A,06024450,536.0,A
1998-04-06 00:00:00+00:00,3.0,A,06024450,430.0,A
1998-04-07 00:00:00+00:00,4.5,A,06024450,373.0,A
1998-04-08 00:00:00+00:00,5.0,A,06024450,371.0,A
1998-04-09 00:00:00+00:00,4.5,A,06024450,327.0,A
1998-04-10 00:00:00+00:00,4.0,A,06024450,327.0,A
1998-04-11 00:00:00+00:00,4.5,A,06024450,378.0,A
1998-04-12 00:00:00+00:00,4.5,A,06024450,404.0,A
1998-04-13 00:00:00+00:00,4.0,A,06024450,317.0,A
1998-04-14 00:00:00+00:00,4.0,A,06024450,307.0,A
1998-04-15 00:00:00+00:00,4.5,A,06024450,337.0,A
1998-04-16 00:00:00+00:00,4.5,A,06024450,350.0,A
1998-04-17 00:00:00+00:00,4.5,A,06024450,330.0,A
1998-04-18 00:00:00+00:00,5.5,A,06024450,306.0,A
1998-04-19 00:00:00+00:00,6.5,A,06024450,349.0,A
1998-04-20 00:00:00+00:00,6.5,A,06024450,396.0,A
1998-04-21 00:00:00+00:00,7.0,A,06024450,501.0,A
1998-04-22 00:00:00+00:00,7.5,A,06024450,632.0,A
1998-04-23 00:00:00+00:00,8.0,A,06024450,928.0,A
1998-04-24 00:00:00+00:00,5.5,A,06024450,1310.0,A
1998-04-25 00:00:00+00:00,4.0,A,06024450,1340.0,A
1998-04-26 00:00:00+00:00,4.5,A,06024450,823.0,A
1998-04-27 00:00:00+00:00,7.0,A,06024450,771.0,A
1998-04-28 00:00:00+00:00,9.0,A,06024450,943.0,A
1998-04-29 00:00:00+00:00,10.0,A,06024450,1090.0,A
1998-04-30 00:00:00+00:00,10.0,A,06024450,1140.0,A
1998-05-01 00:00:00+00:00,,,06024450,1130.0,A
1998-05-02 00:00:00+00:00,,,06024450,1170.0,A
1998-05-03 00:00:00+00:00,,,06024450,1230.0,A
1998-05-04 00:00:00+00:00,,,06024450,1280.0,A
1998-05-05 00:00:00+00:00,11.5,A,06024450,1220.0,A
1998-05-06 00:00:00+00:00,11.0,A,06024450,1270.0,A
1998-05-07 00:00:00+00:00,11.0,A,06024450,1250.0,A
1998-05-08 00:00:00+00:00,12.0,A,06024450,1270.0,A
1998-05-09 00:00:00+00:00,11.0,A,06024450,1390.0,A
1998-05-10 00:00:00+00:00,11.0,A,06024450,1330.0,A
1998-05-11 00:00:00+00:00,10.0,A,06024450,1220.0,A
1998-05-12 00:00:00+00:00,9.5,A,06024450,1150.0,A
1998-05-13 00:00:00+00:00,9.0,A,06024450,1040.0,A
1998-05-14 00:00:00+00:00,8.0,A,06024450,1060.0,A
1998-05-15 00:00:00+00:00,8.0,A,06024450,1070.0,A
1998-05-16 00:00:00+00:00,8.0,A,06024450,1010.0,A
1998-05-17 00:00:00+00:00,8.5,A,06024450,944.0,A
1998-05-18 00:00:00+00:00,8.5,A,06024450,970.0,A
1998-05-19 00:00:00+00:00,9.5,A,06024450,822.0,A
