datetime,00060_Mean,00060_Mean_cd,site_no
1998-10-01 00:00:00+00:00,812.0,A,14113000
1998-10-02 00:00:00+00:00,820.0,A,14113000
1998-10-03 00:00:00+00:00,823.0,A,14113000
1998-10-04 00:00:00+00:00,816.0,A,14113000
1998-10-05 00:00:00+00:00,803.0,A,14113000
1998-10-06 00:00:00+00:00,794.0,A,14113000
1998-10-07 00:00:00+00:00,793.0,A,14113000
1998-10-08 00:00:00+00:00,794.0,A,14113000
1998-10-09 00:00:00+00:00,808.0,A,14113000
1998-10-10 00:00:00+00:00,816.0,A,14113000
1998-10-11 00:00:00+00:00,796.0,A,14113000
1998-10-12 00:00:00+00:00,784.0,A,14113000
1998-10-13 00:00:00+00:00,788.0,A,14113000
1998-10-14 00:00:00+00:00,794.0,A,14113000
1998-10-15 00:00:00+00:00,790.0,A,14113000
1998-10-16 00:00:00+00:00,784.0,A,14113000
1998-10-17 00:00:00+00:00,775.0,A,14113000
1998-10-18 00:00:00+00:00,773.0,A,14113000
1998-10-19 00:00:00+00:00,770.0,A,14113000
1998-10-20 00:00:00+00:00,764.0,A,14113000
1998-10-21 00:00:00+00:00,761.0,A,14113000
1998-10-22 00:00:00+00:00,759.0,A,14113000
1998-10-23 00:00:00+00:00,758.0,A,14113000
1998-10-24 00:00:00+00:00,760.0,A,14113000
1998-10-25 00:00:00+00:00,770.0,A,14113000
1998-10-26 00:00:00+00:00,762.0,A,14113000
1998-10-27 00:00:00+00:00,758.0,A,14113000
1998-10-28 00:00:00+00:00,783.0,A,14113000
1998-10-29 00:00:00+00:00,782.0,A,14113000
1998-10-30 00:00:00+00:00,774.0,A,14113000
1998-10-31 00:00:00+00:00,775.0,A,14113000
1998-11-01 00:00:00+00:00,776.0,A,14113000
1998-11-02 00:00:00+00:00,773.0,A,14113000
1998-11-03 00:00:00+00:00,771.0,A,14113000
1998-11-04 00:00:00+00:00,779.0,A,14113000
1998-11-05 00:00:00+00:00,885.0,A,14113000
1998-11-06 00:00:00+00:00,802.0,A,14113000
1998-11-07 00:00:00+00:00,789.0,A,14113000
1998-11-08 00:00:00+00:00,789.0,A,14113000
1998-11-09 00:00:00+00:00,779.0,A,14113000
1998-11-10 00:00:00+00:00,774.0,A,14113000
1998-11-11 00:00:00+00:00,773.0,A,14113000
1998-11-12 00:00:00+00:00,769.0,A,14113000
1998-11-13 00:00:00+00:00,792.0,A,14113000
1998-11-14 00:00:00+00:00,986.0,A,14113000
1998-11-15 00:00:00+00:00,877.0,A,14113000
1998-11-16 00:00:00+00:00,912.0,A,14113000
1998-11-17 00:00:00+00:00,873.0,A,14113000
1998-11-18 00:00:00+00:00,833.0,A,14113000
1998-11-19 00:00:00+00:00,814.0,A,14113000
1998-11-20 00:00:00+00:00,888.0,A,14113000
1998-11-21 00:00:00+00:00,1720.0,A,14113000
1998-11-22 00:00:00+00:00,1580.0,A,14113000
1998-11-23 00:00:00+00:00,1330.0,A,14113000
1998-11-24 00:00:00+00:00,1310.0,A,14113000
1998-11-25 00:00:00+00:00,1530.0,A,14113000
1998-11-26 00:00:00+00:00,2050.0,A,14113000
1998-11-27 00:00:00+00:00,1840.0,A,14113000
1998-11-28 00:00:00+00:00,1590.0,A,14113000
1998-11-29 00:00:00+00:00,1460.0,A,14113000
1998-11-30 00:00:00+00:00,1390.0,A,14113000
1998-12-01 00:00:00+00:00,1380.0,A,14113000
1998-12-02 00:00:00+00:00,2260.0,A,14113000
1998-12-03 00:00:00+00:00,2150.0,A,14113000
1998-12-04 00:00:00+00:00,1750.0,A,14113000
1998-12-05 00:00:00+00:00,1560.0,A,14113000
1998-12-06 00:00:00+00:00,1460.0,A,14113000
1998-12-07 00:00:00+00:00,1400.0,A,14113000
1998-12-08 00:00:00+00:00,1370.0,A,14113000
1998-12-09 00:00:00+00:00,1280.0,A,14113000
1998-12-10 00:00:00+00:00,1230.0,A,14113000
1998-12-11 00:00:00+00:00,1280.0,A,14113000
1998-12-12 00:00:00+00:00,1720.0,A,14113000
1998-12-13 00:00:00+00:00,2720.0,A,14113000
1998-12-14 00:00:00+00:00,2770.0,A,14113000
1998-12-15 00:00:00+00:00,2360.0,A,14113000
1998-12-16 00:00:00+00:00,2100.0,A,14113000
1998-12-17 00:00:00+00:00,1940.0,A,14113000
1998-12-18 00:00:00+00:00,1820.0,A,14113000
1998-12-19 00:00:00+00:00,1640.0,A,14113000
1998-12-20 00:00:00+00:00,1410.0,A,14113000
1998-12-21 00:00:00+00:00,1080.0,"A, e",14113000
1998-12-22 00:00:00+00:00,1000.0,"A, e",14113000
1998-12-23 00:00:00+00:00,1080.0,"A, e",14113000
1998-12-24 00:00:00+00:00,1120.0,"A, e",14113000
1998-12-25 00:00:00+00:00,1280.0,"A, e",14113000
1998-12-26 00:00:00+00:00,1650.0,A,14113000
1998-12-27 00:00:00+00:00,2770.0,A,14113000
1998-12-28 00:00:00+00:00,8040.0,A,14113000
1998-12-29 00:00:00+00:00,6390.0,A,14113000
1998-12-30 00:00:00+00:00,5970.0,A,14113000
1998-12-31 00:00:00+00:00,5130.0,A,14113000
1999-01-01 00:00:00+00:00,4190.0,A,14113000
1999-01-02 00:00:00+00:00,3560.0,A,14113000
1999-01-03 00:00:00+00:00,3110.0,A,14113000
1999-01-04 00:00:00+00:00,2810.0,A,14113000
1999-01-05 00:00:00+00:00,2600.0,A,14113000
1999-01-06 00:00:00+00:00,2450.0,A,14113000
1999-01-07 00:00:00+00:00,2320.0,A,14113000
1999-01-08 00:00:00+00:00,2170.0,A,14113000
1999-01-09 00:00:00+00:00,2060.0,A,14113000
1999-01-10 00:00:00+00:00,1990.0,A,14113000
1999-01-11 00:00:00+00:00,2000.0,A,14113000
1999-01-12 00:00:00+00:00,1930.0,A,14113000
1999-01-13 00:00:00+00:00,1850.0,A,14113000
1999-01-14 00:00:00+00:00,1850.0,A,14113000
1999-01-15 00:00:00+00:00,2190.0,A,14113000
1999-01-16 00:00:00+00:00,2340.0,A,14113000
1999-01-17 00:00:00+00:00,2470.0,A,14113000
1999-01-18 00:00:00+00:00,3060.0,A,14113000
1999-01-19 00:00:00+00:00,3760.0,A,14113000
1999-01-20 00:00:00+00:00,3940.0,A,14113000
1999-01-21 00:00:00+00:00,4150.0,A,14113000
1999-01-22 00:00:00+00:00,4090.0,A,14113000
1999-01-23 00:00:00+00:00,4070.0,A,14113000
1999-01-24 00:00:00+00:00,3510.0,A,14113000
1999-01-25 00:00:00+00:00,3110.0,A,14113000
1999-01-26 00:00:00+00:00,2840.0,A,14113000
1999-01-27 00:00:00+00:00,2580.0,A,14113000
1999-01-28 00:00:00+00:00,2590.0,A,14113000
1999-01-29 00:00:00+00:00,2710.0,A,14113000
1999-01-30 00:00:00+00:00,2610.0,A,14113000
1999-01-31 00:00:00+00:00,2510.0,A,14113000
1999-02-01 00:00:00+00:00,2380.0,A,14113000
1999-02-02 00:00:00+00:00,2490.0,A,14113000
1999-02-03 00:00:00+00:00,2590.0,A,14113000
1999-02-04 00:00:00+00:00,2540.0,A,14113000
1999-02-05 00:00:00+00:00,2440.0,A,14113000
1999-02-06 00:00:00+00:00,3000.0,A,14113000
1999-02-07 00:00:00+00:00,4500.0,A,14113000
1999-02-08 00:00:00+00:00,4050.0,A,14113000
1999-02-09 00:00:00+00:00,3480.0,A,14113000
1999-02-10 00:00:00+00:00,3060.0,A,14113000
1999-02-11 00:00:00+00:00,2750.0,A,14113000
1999-02-12 00:00:00+00:00,2550.0,A,14113000
1999-02-13 00:00:00+00:00,2420.0,A,14113000
1999-02-14 00:00:00+00:00,2310.0,A,14113000
1999-02-15 00:00:00+00:00,2190.0,A,14113000
1999-02-16 00:00:00+00:00,2240.0,A,14113000
1999-02-17 00:00:00+00:00,2800.0,A,14113000
1999-02-18 00:00:00+00:00,2890.0,A,14113000
1999-02-19 00:00:00+00:00,3620.0,A,14113000
1999-02-20 00:00:00+00:00,3270.0,A,14113000
1999-02-21 00:00:00+00:00,3100.0,A,14113000
1999-02-22 00:00:00+00:00,2970.0,A,14113000
1999-02-23 00:00:00+00:00,3160.0,A,14113000
1999-02-24 00:00:00+00:00,4820.0,A,14113000
1999-02-25 00:00:00+00:00,5480.0,A,14113000
1999-02-26 00:00:00+00:00,4770.0,A,14113000
1999-02-27 00:00:00+00:00,5510.0,A,14113000
1999-02-28 00:00:00+00:00,8990.0,A,14113000
1999-03-01 00:00:00+00:00,7620.0,A,14113000
1999-03-02 00:00:00+00:00,6250.0,A,14113000
1999-03-03 00:00:00+00:00,5640.0,A,14113000
1999-03-04 00:00:00+00:00,4890.0,A,14113000
1999-03-05 00:00:00+00:00,4200.0,A,14113000
1999-03-06 00:00:00+00:00,3780.0,A,14113000
1999-03-07 00:00:00+00:00,3490.0,A,14113000
1999-03-08 00:00:00+00:00,3290.0,A,14113000
1999-03-09 00:00:00+00:00,3190.0,A,14113000
1999-03-10 00:00:00+00:00,2930.0,A,14113000
1999-03-11 00:00:00+00:00,2730.0,A,14113000
1999-03-12 00:00:00+00:00,2610.0,A,14113000
1999-03-13 00:00:00+00:00,2640.0,A,14113000
1999-03-14 00:00:00+00:00,2610.0,A,14113000
1999-03-15 00:00:00+00:00,2610.0,A,14113000
1999-03-16 00:00:00+00:00,2570.0,A,14113000
1999-03-17 00:00:00+00:00,2490.0,A,14113000
1999-03-18 00:00:00+00:00,2480.0,A,14113000
1999-03-19 00:00:00+00:00,2510.0,A,14113000
1999-03-20 00:00:00+00:00,2660.0,A,14113000
1999-03-21 00:00:00+00:00,3020.0,A,14113000
1999-03-22 00:00:00+00:00,3250.0,A,14113000
1999-03-23 00:00:00+00:00,3310.0,A,14113000
1999-03-24 00:00:00+00:00,3360.0,A,14113000
1999-03-25 00:00:00+00:00,3340.0,A,14113000
1999-03-26 00:00:00+00:00,3290.0,A,14113000
1999-03-27 00:00:00+00:00,3140.0,A,14113000
1999-03-28 00:00:00+00:00,2970.0,A,14113000
1999-03-29 00:00:00+00:00,2990.0,A,14113000
1999-03-30 00:00:00+00:00,2830.0,A,14113000
1999-03-31 00:00:00+00:00,2670.0,A,14113000
1999-04-01 00:00:00+00:00,2520.0,A,14113000
1999-04-02 00:00:00+00:00,2430.0,A,14113000
1999-04-03 00:00:00+00:00,2390.0,A,14113000
1999-04-04 00:00:00+00:00,2330.0,A,14113000
1999-04-05 00:00:00+00:00,2290.0,A,14113000
1999-04-06 00:00:00+00:00,2210.0,A,14113000
1999-04-07 00:00:00+00:00,2180.0,A,14113000
1999-04-08 00:00:00+00:00,2200.0,A,14113000
1999-04-09 00:00:00+00:00,2150.0,A,14113000
1999-04-10 00:00:00+00:00,2120.0,A,14113000
1999-04-11 00:00:00+00:00,2090.0,A,14113000
1999-04-12 00:00:00+00:00,2110.0,A,14113000
1999-04-13 00:00:00+00:00,2190.0,A,14113000
1999-04-14 00:00:00+00:00,2240.0,A,14113000
1999-04-15 00:00:00+00:00,2290.0,A,14113000
1999-04-16 00:00:00+00:00,2380.0,A,14113000
1999-04-17 00:00:00+00:00,2570.0,A,14113000
1999-04-18 00:00:00+00:00,2900.0,A,14113000
1999-04-19 00:00:00+00:00,3220.0,A,14113000
1999-04-20 00:00:00+00:00,3290.0,A,14113000
1999-04-21 00:00:00+00:00,3190.0,A,14113000
1999-04-22 00:00:00+00:00,3050.0,A,14113000
1999-04-23 00:00:00+00:00,2960.0,A,14113000
1999-04-24 00:00:00+00:00,3140.0,A,14113000
1999-04-25 00:00:00+00:00,3530.0,A,14113000
1999-04-26 00:00:00+00:00,3740.0,A,14113000
1999-04-27 00:00:00+00:00,3540.0,A,14113000
1999-04-28 00:00:00+00:00,3250.0,A,14113000
1999-04-29 00:00:00+00:00,3030.0,A,14113000
1999-04-30 00:00:00+00:00,3040.0,A,14113000
1999-05-01 00:00:00+00:00,3200.0,A,14113000
1999-05-02 00:00:00+00:00,3270.0,A,14113000
1999-05-03 00:00:00+00:00,3170.0,A,14113000
1999-05-04 00:00:00+00:00,3010.0,A,14113000
1999-05-05 00:00:00+00:00,2820.0,A,14113000
1999-05-06 00:00:00+00:00,2760.0,A,14113000
1999-05-07 00:00:00+00:00,2800.0,A,14113000
1999-05-08 00:00:00+00:00,2680.0,A,14113000
1999-05-09 00:00:00+00:00,2550.0,A,14113000
1999-05-10 00:00:00+00:00,2460.0,A,14113000
1999-05-11 00:00:00+00:00,2420.0,A,14113000
1999-05-12 00:00:00+00:00,2390.0,A,14113000
1999-05-13 00:00:00+00:00,2380.0,A,14113000
1999-05-14 00:00:00+00:00,2340.0,A,14113000
1999-05-15 00:00:00+00:00,2310.0,A,14113000
1999-05-16 00:00:00+00:00,2250.0,A,14113000
1999-05-17 00:00:00+00:00,2310.0,A,14113000
1999-05-18 00:00:00+00:00,2530.0,A,14113000
1999-05-19 00:00:00+00:00,2720.0,A,14113000
1999-05-20 00:00:00+00:00,2790.0,A,14113000
1999-05-21 00:00:00+00:00,2930.0,A,14113000
1999-05-22 00:00:00+00:00,3060.0,A,14113000
1999-05-23 00:00:00+00:00,3300.0,A,14113000
1999-05-24 00:00:00+00:00,3890.0,A,14113000
1999-05-25 00:00:00+00:00,4640.0,A,14113000
1999-05-26 00:00:00+00:00,4760.0,A,14113000
1999-05-27 00:00:00+00:00,4350.0,A,14113000
1999-05-28 00:00:00+00:00,4220.0,A,14113000
1999-05-29 00:00:00+00:00,4060.0,A,14113000
1999-05-30 00:00:00+00:00,3940.0,A,14113000
1999-05-31 00:00:00+00:00,3830.0,A,14113000
1999-06-01 00:00:00+00:00,4270.0,A,14113000
1999-06-02 00:00:00+00:00,3960.0,A,14113000
1999-06-03 00:00:00+00:00,3480.0,A,14113000
1999-06-04 00:00:00+00:00,3480.0,A,14113000
1999-06-05 00:00:00+00:00,3690.0,A,14113000
1999-06-06 00:00:00+00:00,3750.0,A,14113000
1999-06-07 00:00:00+00:00,3370.0,A,14113000
1999-06-08 00:00:00+00:00,3050.0,A,14113000
1999-06-09 00:00:00+00:00,2820.0,A,14113000
1999-06-10 00:00:00+00:00,2670.0,A,14113000
1999-06-11 00:00:00+00:00,2660.0,A,14113000
1999-06-12 00:00:00+00:00,2740.0,A,14113000
1999-06-13 00:00:00+00:00,2990.0,A,14113000
1999-06-14 00:00:00+00:00,3330.0,A,14113000
1999-06-15 00:00:00+00:00,3790.0,A,14113000
1999-06-16 00:00:00+00:00,4230.0,A,14113000
1999-06-17 00:00:00+00:00,4190.0,A,14113000
1999-06-18 00:00:00+00:00,3830.0,A,14113000
1999-06-19 00:00:00+00:00,3620.0,A,14113000
1999-06-20 00:00:00+00:00,3400.0,A,14113000
1999-06-21 00:00:00+00:00,3230.0,A,14113000
1999-06-22 00:00:00+00:00,3140.0,A,14113000
1999-06-23 00:00:00+00:00,3140.0,A,14113000
1999-06-24 00:00:00+00:00,3230.0,A,14113000
1999-06-25 00:00:00+00:00,3370.0,A,14113000
1999-06-26 00:00:00+00:00,3090.0,A,14113000
1999-06-27 00:00:00+00:00,2780.0,A,14113000
1999-06-28 00:00:00+00:00,2580.0,A,14113000
1999-06-29 00:00:00+00:00,2500.0,A,14113000
1999-06-30 00:00:00+00:00,2550.0,A,14113000
1999-07-01 00:00:00+00:00,2630.0,A,14113000
1999-07-02 00:00:00+00:00,2590.0,A,14113000
1999-07-03 00:00:00+00:00,2430.0,A,14113000
1999-07-04 00:00:00+00:00,2280.0,A,14113000
1999-07-05 00:00:00+00:00,2140.0,A,14113000
1999-07-06 00:00:00+00:00,2100.0,A,14113000
1999-07-07 00:00:00+00:00,2180.0,A,14113000
1999-07-08 00:00:00+00:00,2240.0,A,14113000
1999-07-09 00:00:00+00:00,2160.0,A,14113000
1999-07-10 00:00:00+00:00,2200.0,A,14113000
1999-07-11 00:00:00+00:00,2260.0,A,14113000
1999-07-12 00:00:00+00:00,2300.0,A,14113000
1999-07-13 00:00:00+00:00,2310.0,A,14113000
1999-07-14 00:00:00+00:00,2280.0,A,14113000
1999-07-15 00:00:00+00:00,2120.0,A,14113000
1999-07-16 00:00:00+00:00,2010.0,A,14113000
1999-07-17 00:00:00+00:00,2000.0,A,14113000
1999-07-18 00:00:00+00:00,2060.0,A,14113000
1999-07-19 00:00:00+00:00,1950.0,A,14113000
1999-07-20 00:00:00+00:00,1940.0,A,14113000
1999-07-21 00:00:00+00:00,1940.0,A,14113000
