datetime,00060_Mean,00060_Mean_cd,site_no
1998-10-01 00:00:00+00:00,75.0,A,10344400
1998-10-02 00:00:00+00:00,69.0,A,10344400
1998-10-03 00:00:00+00:00,65.0,A,10344400
1998-10-04 00:00:00+00:00,64.0,A,10344400
1998-10-05 00:00:00+00:00,55.0,A,10344400
1998-10-06 00:00:00+00:00,48.0,A,10344400
1998-10-07 00:00:00+00:00,48.0,A,10344400
1998-10-08 00:00:00+00:00,48.0,A,10344400
1998-10-09 00:00:00+00:00,48.0,A,10344400
1998-10-10 00:00:00+00:00,48.0,A,10344400
1998-10-11 00:00:00+00:00,48.0,A,10344400
1998-10-12 00:00:00+00:00,48.0,A,10344400
1998-10-13 00:00:00+00:00,48.0,A,10344400
1998-10-14 00:00:00+00:00,47.0,A,10344400
1998-10-15 00:00:00+00:00,47.0,A,10344400
1998-10-16 00:00:00+00:00,47.0,A,10344400
1998-10-17 00:00:00+00:00,47.0,A,10344400
1998-10-18 00:00:00+00:00,47.0,A,10344400
1998-10-19 00:00:00+00:00,47.0,A,10344400
1998-10-20 00:00:00+00:00,47.0,A,10344400
1998-10-21 00:00:00+00:00,47.0,A,10344400
1998-10-22 00:00:00+00:00,47.0,A,10344400
1998-10-23 00:00:00+00:00,47.0,A,10344400
1998-10-24 00:00:00+00:00,48.0,A,10344400
1998-10-25 00:00:00+00:00,50.0,A,10344400
1998-10-26 00:00:00+00:00,50.0,A,10344400
1998-10-27 00:00:00+00:00,50.0,A,10344400
1998-10-28 00:00:00+00:00,50.0,A,10344400
1998-10-29 00:00:00+00:00,50.0,A,10344400
1998-10-30 00:00:00+00:00,50.0,A,10344400
1998-10-31 00:00:00+00:00,49.0,A,10344400
1998-11-01 00:00:00+00:00,50.0,A,10344400
1998-11-02 00:00:00+00:00,48.0,A,10344400
1998-11-03 00:00:00+00:00,46.0,A,10344400
1998-11-04 00:00:00+00:00,47.0,A,10344400
1998-11-05 00:00:00+00:00,49.0,A,10344400
1998-11-06 00:00:00+00:00,49.0,A,10344400
1998-11-07 00:00:00+00:00,49.0,A,10344400
1998-11-08 00:00:00+00:00,50.0,A,10344400
1998-11-09 00:00:00+00:00,50.0,A,10344400
1998-11-10 00:00:00+00:00,49.0,A,10344400
1998-11-11 00:00:00+00:00,50.0,A,10344400
1998-11-12 00:00:00+00:00,50.0,A,10344400
1998-11-13 00:00:00+00:00,50.0,A,10344400
1998-11-14 00:00:00+00:00,50.0,A,10344400
1998-11-15 00:00:00+00:00,50.0,A,10344400
1998-11-16 00:00:00+00:00,50.0,A,10344400
1998-11-17 00:00:00+00:00,50.0,A,10344400
1998-11-18 00:00:00+00:00,48.0,A,10344400
1998-11-19 00:00:00+00:00,47.0,A,10344400
1998-11-20 00:00:00+00:00,47.0,A,10344400
1998-11-21 00:00:00+00:00,46.0,A,10344400
1998-11-22 00:00:00+00:00,47.0,A,10344400
1998-11-23 00:00:00+00:00,50.0,A,10344400
1998-11-24 00:00:00+00:00,51.0,A,10344400
1998-11-25 00:00:00+00:00,67.0,A,10344400
1998-11-26 00:00:00+00:00,83.0,A,10344400
1998-11-27 00:00:00+00:00,83.0,A,10344400
1998-11-28 00:00:00+00:00,83.0,A,10344400
1998-11-29 00:00:00+00:00,84.0,A,10344400
1998-11-30 00:00:00+00:00,109.0,A,10344400
1998-12-01 00:00:00+00:00,171.0,A,10344400
1998-12-02 00:00:00+00:00,205.0,A,10344400
1998-12-03 00:00:00+00:00,208.0,A,10344400
1998-12-04 00:00:00+00:00,232.0,A,10344400
1998-12-05 00:00:00+00:00,258.0,A,10344400
1998-12-06 00:00:00+00:00,245.0,A,10344400
1998-12-07 00:00:00+00:00,172.0,A,10344400
1998-12-08 00:00:00+00:00,88.0,A,10344400
1998-12-09 00:00:00+00:00,87.0,A,10344400
1998-12-10 00:00:00+00:00,84.0,A,10344400
1998-12-11 00:00:00+00:00,85.0,A,10344400
1998-12-12 00:00:00+00:00,85.0,A,10344400
1998-12-13 00:00:00+00:00,85.0,A,10344400
1998-12-14 00:00:00+00:00,85.0,A,10344400
1998-12-15 00:00:00+00:00,85.0,A,10344400
1998-12-16 00:00:00+00:00,85.0,A,10344400
1998-12-17 00:00:00+00:00,85.0,A,10344400
1998-12-18 00:00:00+00:00,85.0,A,10344400
1998-12-19 00:00:00+00:00,85.0,A,10344400
1998-12-20 00:00:00+00:00,85.0,A,10344400
1998-12-21 00:00:00+00:00,85.0,A,10344400
1998-12-22 00:00:00+00:00,77.0,A,10344400
1998-12-23 00:00:00+00:00,73.0,A,10344400
1998-12-24 00:00:00+00:00,70.0,A,10344400
1998-12-25 00:00:00+00:00,70.0,A,10344400
1998-12-26 00:00:00+00:00,70.0,A,10344400
1998-12-27 00:00:00+00:00,68.0,A,10344400
1998-12-28 00:00:00+00:00,56.0,A,10344400
1998-12-29 00:00:00+00:00,46.0,A,10344400
1998-12-30 00:00:00+00:00,44.0,A,10344400
1998-12-31 00:00:00+00:00,44.0,A,10344400
1999-01-01 00:00:00+00:00,44.0,A,10344400
1999-01-02 00:00:00+00:00,44.0,A,10344400
1999-01-03 00:00:00+00:00,44.0,A,10344400
1999-01-04 00:00:00+00:00,44.0,A,10344400
1999-01-05 00:00:00+00:00,44.0,A,10344400
1999-01-06 00:00:00+00:00,44.0,A,10344400
1999-01-07 00:00:00+00:00,44.0,A,10344400
1999-01-08 00:00:00+00:00,44.0,A,10344400
1999-01-09 00:00:00+00:00,44.0,A,10344400
1999-01-10 00:00:00+00:00,44.0,A,10344400
1999-01-11 00:00:00+00:00,44.0,A,10344400
1999-01-12 00:00:00+00:00,44.0,A,10344400
1999-01-13 00:00:00+00:00,44.0,A,10344400
1999-01-14 00:00:00+00:00,44.0,A,10344400
1999-01-15 00:00:00+00:00,45.0,A,10344400
1999-01-16 00:00:00+00:00,46.0,A,10344400
1999-01-17 00:00:00+00:00,45.0,A,10344400
1999-01-18 00:00:00+00:00,71.0,A,10344400
1999-01-19 00:00:00+00:00,104.0,A,10344400
1999-01-20 00:00:00+00:00,149.0,A,10344400
1999-01-21 00:00:00+00:00,268.0,A,10344400
1999-01-22 00:00:00+00:00,296.0,A,10344400
1999-01-23 00:00:00+00:00,412.0,A,10344400
1999-01-24 00:00:00+00:00,387.0,A,10344400
1999-01-25 00:00:00+00:00,221.0,A,10344400
1999-01-26 00:00:00+00:00,109.0,A,10344400
1999-01-27 00:00:00+00:00,69.0,A,10344400
1999-01-28 00:00:00+00:00,46.0,"A, e",10344400
1999-01-29 00:00:00+00:00,46.0,"A, e",10344400
1999-01-30 00:00:00+00:00,46.0,"A, e",10344400
1999-01-31 00:00:00+00:00,46.0,A,10344400
1999-02-01 00:00:00+00:00,46.0,A,10344400
1999-02-02 00:00:00+00:00,50.0,A,10344400
1999-02-03 00:00:00+00:00,45.0,A,10344400
1999-02-04 00:00:00+00:00,77.0,A,10344400
1999-02-05 00:00:00+00:00,104.0,A,10344400
1999-02-06 00:00:00+00:00,105.0,A,10344400
1999-02-07 00:00:00+00:00,154.0,A,10344400
1999-02-08 00:00:00+00:00,232.0,A,10344400
1999-02-09 00:00:00+00:00,260.0,A,10344400
1999-02-10 00:00:00+00:00,278.0,A,10344400
1999-02-11 00:00:00+00:00,221.0,A,10344400
1999-02-12 00:00:00+00:00,133.0,A,10344400
1999-02-13 00:00:00+00:00,133.0,A,10344400
1999-02-14 00:00:00+00:00,132.0,A,10344400
1999-02-15 00:00:00+00:00,131.0,A,10344400
1999-02-16 00:00:00+00:00,133.0,A,10344400
1999-02-17 00:00:00+00:00,184.0,A,10344400
1999-02-18 00:00:00+00:00,234.0,A,10344400
1999-02-19 00:00:00+00:00,233.0,A,10344400
1999-02-20 00:00:00+00:00,233.0,A,10344400
1999-02-21 00:00:00+00:00,232.0,A,10344400
1999-02-22 00:00:00+00:00,173.0,A,10344400
1999-02-23 00:00:00+00:00,115.0,A,10344400
1999-02-24 00:00:00+00:00,115.0,A,10344400
1999-02-25 00:00:00+00:00,115.0,A,10344400
1999-02-26 00:00:00+00:00,115.0,A,10344400
1999-02-27 00:00:00+00:00,115.0,A,10344400
1999-02-28 00:00:00+00:00,117.0,A,10344400
1999-03-01 00:00:00+00:00,146.0,A,10344400
1999-03-02 00:00:00+00:00,164.0,A,10344400
1999-03-03 00:00:00+00:00,171.0,A,10344400
1999-03-04 00:00:00+00:00,217.0,A,10344400
1999-03-05 00:00:00+00:00,269.0,A,10344400
1999-03-06 00:00:00+00:00,266.0,A,10344400
1999-03-07 00:00:00+00:00,263.0,A,10344400
1999-03-08 00:00:00+00:00,221.0,A,10344400
1999-03-09 00:00:00+00:00,182.0,A,10344400
1999-03-10 00:00:00+00:00,179.0,A,10344400
1999-03-11 00:00:00+00:00,179.0,A,10344400
1999-03-12 00:00:00+00:00,152.0,A,10344400
1999-03-13 00:00:00+00:00,133.0,A,10344400
1999-03-14 00:00:00+00:00,137.0,A,10344400
1999-03-15 00:00:00+00:00,138.0,A,10344400
1999-03-16 00:00:00+00:00,141.0,A,10344400
1999-03-17 00:00:00+00:00,160.0,A,10344400
1999-03-18 00:00:00+00:00,206.0,A,10344400
1999-03-19 00:00:00+00:00,242.0,A,10344400
1999-03-20 00:00:00+00:00,252.0,A,10344400
1999-03-21 00:00:00+00:00,249.0,A,10344400
1999-03-22 00:00:00+00:00,249.0,A,10344400
1999-03-23 00:00:00+00:00,255.0,A,10344400
1999-03-24 00:00:00+00:00,287.0,A,10344400
1999-03-25 00:00:00+00:00,338.0,A,10344400
1999-03-26 00:00:00+00:00,428.0,A,10344400
1999-03-27 00:00:00+00:00,464.0,A,10344400
1999-03-28 00:00:00+00:00,455.0,A,10344400
1999-03-29 00:00:00+00:00,453.0,A,10344400
1999-03-30 00:00:00+00:00,449.0,A,10344400
1999-03-31 00:00:00+00:00,443.0,A,10344400
1999-04-01 00:00:00+00:00,379.0,A,10344400
1999-04-02 00:00:00+00:00,334.0,A,10344400
1999-04-03 00:00:00+00:00,331.0,A,10344400
1999-04-04 00:00:00+00:00,330.0,A,10344400
1999-04-05 00:00:00+00:00,294.0,A,10344400
1999-04-06 00:00:00+00:00,259.0,A,10344400
1999-04-07 00:00:00+00:00,258.0,A,10344400
1999-04-08 00:00:00+00:00,257.0,A,10344400
1999-04-09 00:00:00+00:00,254.0,A,10344400
1999-04-10 00:00:00+00:00,254.0,A,10344400
1999-04-11 00:00:00+00:00,257.0,A,10344400
1999-04-12 00:00:00+00:00,262.0,A,10344400
1999-04-13 00:00:00+00:00,269.0,A,10344400
1999-04-14 00:00:00+00:00,276.0,A,10344400
1999-04-15 00:00:00+00:00,281.0,A,10344400
1999-04-16 00:00:00+00:00,289.0,A,10344400
1999-04-17 00:00:00+00:00,299.0,A,10344400
1999-04-18 00:00:00+00:00,305.0,A,10344400
1999-04-19 00:00:00+00:00,311.0,A,10344400
1999-04-20 00:00:00+00:00,397.0,A,10344400
1999-04-21 00:00:00+00:00,608.0,A,10344400
1999-04-22 00:00:00+00:00,798.0,A,10344400
1999-04-23 00:00:00+00:00,831.0,A,10344400
1999-04-24 00:00:00+00:00,830.0,A,10344400
1999-04-25 00:00:00+00:00,835.0,A,10344400
1999-04-26 00:00:00+00:00,840.0,A,10344400
1999-04-27 00:00:00+00:00,803.0,A,10344400
1999-04-28 00:00:00+00:00,738.0,A,10344400
1999-04-29 00:00:00+00:00,670.0,A,10344400
1999-04-30 00:00:00+00:00,626.0,A,10344400
1999-05-01 00:00:00+00:00,628.0,A,10344400
1999-05-02 00:00:00+00:00,629.0,A,10344400
