datetime,00060_Mean,00060_Mean_cd,site_no
1998-10-01 00:00:00+00:00,438.0,A,08220000
1998-10-02 00:00:00+00:00,640.0,A,08220000
1998-10-03 00:00:00+00:00,528.0,A,08220000
1998-10-04 00:00:00+00:00,496.0,A,08220000
1998-10-05 00:00:00+00:00,485.0,A,08220000
1998-10-06 00:00:00+00:00,454.0,A,08220000
1998-10-07 00:00:00+00:00,444.0,A,08220000
1998-10-08 00:00:00+00:00,441.0,A,08220000
1998-10-09 00:00:00+00:00,425.0,A,08220000
1998-10-10 00:00:00+00:00,436.0,A,08220000
1998-10-11 00:00:00+00:00,418.0,A,08220000
1998-10-12 00:00:00+00:00,393.0,A,08220000
1998-10-13 00:00:00+00:00,393.0,A,08220000
1998-10-14 00:00:00+00:00,381.0,A,08220000
1998-10-15 00:00:00+00:00,377.0,A,08220000
1998-10-16 00:00:00+00:00,375.0,A,08220000
1998-10-17 00:00:00+00:00,384.0,A,08220000
1998-10-18 00:00:00+00:00,375.0,A,08220000
1998-10-19 00:00:00+00:00,379.0,A,08220000
1998-10-20 00:00:00+00:00,438.0,A,08220000
1998-10-21 00:00:00+00:00,474.0,A,08220000
1998-10-22 00:00:00+00:00,480.0,A,08220000
1998-10-23 00:00:00+00:00,481.0,A,08220000
1998-10-24 00:00:00+00:00,478.0,A,08220000
1998-10-25 00:00:00+00:00,471.0,A,08220000
1998-10-26 00:00:00+00:00,687.0,A,08220000
1998-10-27 00:00:00+00:00,720.0,A,08220000
1998-10-28 00:00:00+00:00,711.0,A,08220000
1998-10-29 00:00:00+00:00,642.0,A,08220000
1998-10-30 00:00:00+00:00,629.0,A,08220000
1998-10-31 00:00:00+00:00,602.0,A,08220000
1998-11-01 00:00:00+00:00,520.0,A,08220000
1998-11-02 00:00:00+00:00,475.0,A,08220000
1998-11-03 00:00:00+00:00,460.0,A,08220000
1998-11-04 00:00:00+00:00,418.0,A,08220000
1998-11-05 00:00:00+00:00,389.0,A,08220000
1998-11-06 00:00:00+00:00,379.0,A,08220000
1998-11-07 00:00:00+00:00,357.0,A,08220000
1998-11-08 00:00:00+00:00,352.0,A,08220000
1998-11-09 00:00:00+00:00,359.0,A,08220000
1998-11-10 00:00:00+00:00,282.0,A,08220000
1998-11-11 00:00:00+00:00,271.0,A,08220000
1998-11-12 00:00:00+00:00,356.0,A,08220000
1998-11-13 00:00:00+00:00,346.0,A,08220000
1998-11-14 00:00:00+00:00,352.0,A,08220000
1998-11-15 00:00:00+00:00,374.0,A,08220000
1998-11-16 00:00:00+00:00,379.0,A,08220000
1998-11-17 00:00:00+00:00,377.0,A,08220000
1998-11-18 00:00:00+00:00,372.0,A,08220000
1998-11-19 00:00:00+00:00,339.0,A,08220000
1998-11-20 00:00:00+00:00,296.0,A,08220000
1998-11-21 00:00:00+00:00,282.0,A,08220000
1998-11-22 00:00:00+00:00,336.0,A,08220000
1998-11-23 00:00:00+00:00,349.0,A,08220000
1998-11-24 00:00:00+00:00,324.0,A,08220000
1998-11-25 00:00:00+00:00,316.0,A,08220000
1998-11-26 00:00:00+00:00,315.0,A,08220000
1998-11-27 00:00:00+00:00,319.0,A,08220000
1998-11-28 00:00:00+00:00,314.0,A,08220000
