datetime,00060_Mean,00060_Mean_cd,site_no
1998-10-01 00:00:00+00:00,180.0,A,15276000
1998-10-02 00:00:00+00:00,166.0,A,15276000
1998-10-03 00:00:00+00:00,161.0,A,15276000
1998-10-04 00:00:00+00:00,156.0,A,15276000
1998-10-05 00:00:00+00:00,153.0,A,15276000
1998-10-06 00:00:00+00:00,151.0,A,15276000
1998-10-07 00:00:00+00:00,144.0,A,15276000
1998-10-08 00:00:00+00:00,136.0,A,15276000
1998-10-09 00:00:00+00:00,131.0,A,15276000
1998-10-10 00:00:00+00:00,127.0,A,15276000
1998-10-11 00:00:00+00:00,124.0,A,15276000
1998-10-12 00:00:00+00:00,123.0,A,15276000
1998-10-13 00:00:00+00:00,119.0,A,15276000
1998-10-14 00:00:00+00:00,118.0,A,15276000
1998-10-15 00:00:00+00:00,116.0,A,15276000
1998-10-16 00:00:00+00:00,117.0,A,15276000
1998-10-17 00:00:00+00:00,113.0,A,15276000
1998-10-18 00:00:00+00:00,112.0,A,15276000
1998-10-19 00:00:00+00:00,113.0,A,15276000
1998-10-20 00:00:00+00:00,110.0,A,15276000
1998-10-21 00:00:00+00:00,106.0,A,15276000
1998-10-22 00:00:00+00:00,101.0,A,15276000
1998-10-23 00:00:00+00:00,108.0,A,15276000
1998-10-24 00:00:00+00:00,202.0,A,15276000
1998-10-25 00:00:00+00:00,187.0,A,15276000
1998-10-26 00:00:00+00:00,153.0,A,15276000
1998-10-27 00:00:00+00:00,138.0,A,15276000
1998-10-28 00:00:00+00:00,129.0,A,15276000
1998-10-29 00:00:00+00:00,136.0,A,15276000
1998-10-30 00:00:00+00:00,126.0,A,15276000
1998-10-31 00:00:00+00:00,119.0,A,15276000
1998-11-01 00:00:00+00:00,111.0,A,15276000
1998-11-02 00:00:00+00:00,106.0,A,15276000
1998-11-03 00:00:00+00:00,103.0,A,15276000
1998-11-04 00:00:00+00:00,100.0,A,15276000
1998-11-05 00:00:00+00:00,96.0,A,15276000
1998-11-06 00:00:00+00:00,90.0,A,15276000
1998-11-07 00:00:00+00:00,76.0,A,15276000
1998-11-08 00:00:00+00:00,75.0,A,15276000
1998-11-09 00:00:00+00:00,75.0,"A, e",15276000
1998-11-10 00:00:00+00:00,75.0,"A, e",15276000
1998-11-11 00:00:00+00:00,75.0,"A, e",15276000
1998-11-12 00:00:00+00:00,70.0,A,15276000
1998-11-13 00:00:00+00:00,69.0,A,15276000
1998-11-14 00:00:00+00:00,70.0,"A, e",15276000
1998-11-15 00:00:00+00:00,70.0,"A, e",15276000
1998-11-16 00:00:00+00:00,65.0,"A, e",15276000
1998-11-17 00:00:00+00:00,65.0,"A, e",15276000
1998-11-18 00:00:00+00:00,65.0,"A, e",15276000
1998-11-19 00:00:00+00:00,60.0,"A, e",15276000
1998-11-20 00:00:00+00:00,60.0,"A, e",15276000
1998-11-21 00:00:00+00:00,60.0,"A, e",15276000
1998-11-22 00:00:00+00:00,60.0,"A, e",15276000
1998-11-23 00:00:00+00:00,55.0,"A, e",15276000
1998-11-24 00:00:00+00:00,55.0,"A, e",15276000
1998-11-25 00:00:00+00:00,55.0,"A, e",15276000
1998-11-26 00:00:00+00:00,55.0,"A, e",15276000
1998-11-27 00:00:00+00:00,55.0,"A, e",15276000
1998-11-28 00:00:00+00:00,55.0,"A, e",15276000
1998-11-29 00:00:00+00:00,50.0,"A, e",15276000
1998-11-30 00:00:00+00:00,50.0,"A, e",15276000
1998-12-01 00:00:00+00:00,50.0,"A, e",15276000
1998-12-02 00:00:00+00:00,50.0,"A, e",15276000
1998-12-03 00:00:00+00:00,50.0,"A, e",15276000
1998-12-04 00:00:00+00:00,48.0,"A, e",15276000
1998-12-05 00:00:00+00:00,48.0,"A, e",15276000
1998-12-06 00:00:00+00:00,48.0,"A, e",15276000
1998-12-07 00:00:00+00:00,48.0,"A, e",15276000
1998-12-08 00:00:00+00:00,46.0,"A, e",15276000
1998-12-09 00:00:00+00:00,46.0,"A, e",15276000
1998-12-10 00:00:00+00:00,46.0,"A, e",15276000
1998-12-11 00:00:00+00:00,46.0,"A, e",15276000
1998-12-12 00:00:00+00:00,44.0,"A, e",15276000
1998-12-13 00:00:00+00:00,44.0,"A, e",15276000
1998-12-14 00:00:00+00:00,44.0,"A, e",15276000
1998-12-15 00:00:00+00:00,44.0,"A, e",15276000
1998-12-16 00:00:00+00:00,42.0,"A, e",15276000
1998-12-17 00:00:00+00:00,42.0,"A, e",15276000
1998-12-18 00:00:00+00:00,42.0,"A, e",15276000
1998-12-19 00:00:00+00:00,42.0,"A, e",15276000
1998-12-20 00:00:00+00:00,42.0,"A, e",15276000
1998-12-21 00:00:00+00:00,42.0,"A, e",15276000
1998-12-22 00:00:00+00:00,42.0,"A, e",15276000
1998-12-23 00:00:00+00:00,42.0,"A, e",15276000
1998-12-24 00:00:00+00:00,40.0,"A, e",15276000
1998-12-25 00:00:00+00:00,40.0,"A, e",15276000
1998-12-26 00:00:00+00:00,40.0,"A, e",15276000
1998-12-27 00:00:00+00:00,40.0,"A, e",15276000
1998-12-28 00:00:00+00:00,40.0,"A, e",15276000
1998-12-29 00:00:00+00:00,38.0,"A, e",15276000
1998-12-30 00:00:00+00:00,38.0,"A, e",15276000
1998-12-31 00:00:00+00:00,40.0,"A, e",15276000
1999-01-01 00:00:00+00:00,40.0,"A, e",15276000
1999-01-02 00:00:00+00:00,40.0,"A, e",15276000
1999-01-03 00:00:00+00:00,40.0,"A, e",15276000
1999-01-04 00:00:00+00:00,38.0,"A, e",15276000
1999-01-05 00:00:00+00:00,38.0,"A, e",15276000
1999-01-06 00:00:00+00:00,38.0,"A, e",15276000
1999-01-07 00:00:00+00:00,38.0,"A, e",15276000
1999-01-08 00:00:00+00:00,38.0,"A, e",15276000
1999-01-09 00:00:00+00:00,38.0,"A, e",15276000
1999-01-10 00:00:00+00:00,38.0,"A, e",15276000
1999-01-11 00:00:00+00:00,38.0,"A, e",15276000
1999-01-12 00:00:00+00:00,38.0,"A, e",15276000
1999-01-13 00:00:00+00:00,38.0,"A, e",15276000
1999-01-14 00:00:00+00:00,38.0,"A, e",15276000
1999-01-15 00:00:00+00:00,38.0,"A, e",15276000
1999-01-16 00:00:00+00:00,38.0,"A, e",15276000
1999-01-17 00:00:00+00:00,36.0,"A, e",15276000
1999-01-18 00:00:00+00:00,36.0,"A, e",15276000
1999-01-19 00:00:00+00:00,36.0,"A, e",15276000
1999-01-20 00:00:00+00:00,36.0,"A, e",15276000
1999-01-21 00:00:00+00:00,36.0,"A, e",15276000
1999-01-22 00:00:00+00:00,36.0,"A, e",15276000
1999-01-23 00:00:00+00:00,36.0,"A, e",15276000
1999-01-24 00:00:00+00:00,36.0,"A, e",15276000
1999-01-25 00:00:00+00:00,36.0,"A, e",15276000
1999-01-26 00:00:00+00:00,34.0,"A, e",15276000
1999-01-27 00:00:00+00:00,34.0,"A, e",15276000
1999-01-28 00:00:00+00:00,34.0,"A, e",15276000
