datetime,00060_Mean,00060_Mean_cd,site_no
1999-10-01 00:00:00+00:00,284.0,A,10217000
1999-10-02 00:00:00+00:00,298.0,A,10217000
1999-10-03 00:00:00+00:00,309.0,A,10217000
1999-10-04 00:00:00+00:00,309.0,A,10217000
1999-10-05 00:00:00+00:00,293.0,A,10217000
1999-10-06 00:00:00+00:00,286.0,A,10217000
1999-10-07 00:00:00+00:00,287.0,A,10217000
1999-10-08 00:00:00+00:00,296.0,A,10217000
1999-10-09 00:00:00+00:00,307.0,A,10217000
1999-10-10 00:00:00+00:00,323.0,A,10217000
1999-10-11 00:00:00+00:00,330.0,A,10217000
1999-10-12 00:00:00+00:00,332.0,A,10217000
1999-10-13 00:00:00+00:00,363.0,A,10217000
1999-10-14 00:00:00+00:00,371.0,A,10217000
1999-10-15 00:00:00+00:00,349.0,A,10217000
1999-10-16 00:00:00+00:00,295.0,A,10217000
1999-10-17 00:00:00+00:00,300.0,A,10217000
1999-10-18 00:00:00+00:00,316.0,A,10217000
1999-10-19 00:00:00+00:00,306.0,A,10217000
1999-10-20 00:00:00+00:00,305.0,A,10217000
1999-10-21 00:00:00+00:00,303.0,A,10217000
1999-10-22 00:00:00+00:00,301.0,A,10217000
1999-10-23 00:00:00+00:00,315.0,A,10217000
1999-10-24 00:00:00+00:00,331.0,A,10217000
1999-10-25 00:00:00+00:00,335.0,A,10217000
1999-10-26 00:00:00+00:00,339.0,A,10217000
1999-10-27 00:00:00+00:00,329.0,A,10217000
1999-10-28 00:00:00+00:00,326.0,A,10217000
1999-10-29 00:00:00+00:00,322.0,A,10217000
1999-10-30 00:00:00+00:00,323.0,A,10217000
1999-10-31 00:00:00+00:00,329.0,A,10217000
1999-11-01 00:00:00+00:00,333.0,A,10217000
1999-11-02 00:00:00+00:00,318.0,A,10217000
1999-11-03 00:00:00+00:00,307.0,A,10217000
1999-11-04 00:00:00+00:00,286.0,A,10217000
1999-11-05 00:00:00+00:00,294.0,A,10217000
1999-11-06 00:00:00+00:00,294.0,A,10217000
1999-11-07 00:00:00+00:00,289.0,A,10217000
1999-11-08 00:00:00+00:00,286.0,A,10217000
1999-11-09 00:00:00+00:00,283.0,A,10217000
1999-11-10 00:00:00+00:00,281.0,A,10217000
1999-11-11 00:00:00+00:00,278.0,A,10217000
1999-11-12 00:00:00+00:00,280.0,A,10217000
1999-11-13 00:00:00+00:00,291.0,A,10217000
1999-11-14 00:00:00+00:00,286.0,A,10217000
1999-11-15 00:00:00+00:00,290.0,A,10217000
1999-11-16 00:00:00+00:00,278.0,A,10217000
1999-11-17 00:00:00+00:00,278.0,A,10217000
1999-11-18 00:00:00+00:00,279.0,A,10217000
1999-11-19 00:00:00+00:00,275.0,A,10217000
1999-11-20 00:00:00+00:00,280.0,A,10217000
1999-11-21 00:00:00+00:00,286.0,A,10217000
1999-11-22 00:00:00+00:00,290.0,A,10217000
1999-11-23 00:00:00+00:00,279.0,A,10217000
1999-11-24 00:00:00+00:00,248.0,A,10217000
1999-11-25 00:00:00+00:00,229.0,A,10217000
1999-11-26 00:00:00+00:00,285.0,A,10217000
1999-11-27 00:00:00+00:00,293.0,A,10217000
1999-11-28 00:00:00+00:00,295.0,A,10217000
1999-11-29 00:00:00+00:00,288.0,A,10217000
1999-11-30 00:00:00+00:00,286.0,A,10217000
1999-12-01 00:00:00+00:00,286.0,A,10217000
1999-12-02 00:00:00+00:00,286.0,A,10217000
1999-12-03 00:00:00+00:00,287.0,A,10217000
1999-12-04 00:00:00+00:00,282.0,A,10217000
1999-12-05 00:00:00+00:00,278.0,A,10217000
1999-12-06 00:00:00+00:00,273.0,A,10217000
1999-12-07 00:00:00+00:00,275.0,A,10217000
1999-12-08 00:00:00+00:00,288.0,A,10217000
