datetime,00060_Mean,00060_Mean_cd,site_no
1999-10-01 00:00:00+00:00,2120.0,A,12419000
1999-10-02 00:00:00+00:00,2110.0,A,12419000
1999-10-03 00:00:00+00:00,2110.0,A,12419000
1999-10-04 00:00:00+00:00,2100.0,A,12419000
1999-10-05 00:00:00+00:00,2100.0,A,12419000
1999-10-06 00:00:00+00:00,2110.0,A,12419000
1999-10-07 00:00:00+00:00,2110.0,A,12419000
1999-10-08 00:00:00+00:00,2100.0,A,12419000
1999-10-09 00:00:00+00:00,2100.0,A,12419000
1999-10-10 00:00:00+00:00,2100.0,A,12419000
1999-10-11 00:00:00+00:00,2100.0,A,12419000
1999-10-12 00:00:00+00:00,2110.0,A,12419000
1999-10-13 00:00:00+00:00,2090.0,A,12419000
1999-10-14 00:00:00+00:00,2080.0,A,12419000
1999-10-15 00:00:00+00:00,1650.0,A,12419000
1999-10-16 00:00:00+00:00,1420.0,A,12419000
1999-10-17 00:00:00+00:00,1860.0,A,12419000
1999-10-18 00:00:00+00:00,2090.0,A,12419000
1999-10-19 00:00:00+00:00,2090.0,A,12419000
1999-10-20 00:00:00+00:00,2090.0,A,12419000
1999-10-21 00:00:00+00:00,1630.0,A,12419000
1999-10-22 00:00:00+00:00,1410.0,A,12419000
1999-10-23 00:00:00+00:00,1420.0,A,12419000
1999-10-24 00:00:00+00:00,1780.0,A,12419000
1999-10-25 00:00:00+00:00,1970.0,A,12419000
1999-10-26 00:00:00+00:00,1990.0,A,12419000
1999-10-27 00:00:00+00:00,1610.0,A,12419000
1999-10-28 00:00:00+00:00,1710.0,A,12419000
1999-10-29 00:00:00+00:00,2040.0,A,12419000
1999-10-30 00:00:00+00:00,2150.0,A,12419000
1999-10-31 00:00:00+00:00,2150.0,A,12419000
1999-11-01 00:00:00+00:00,2140.0,A,12419000
1999-11-02 00:00:00+00:00,2140.0,A,12419000
1999-11-03 00:00:00+00:00,2140.0,A,12419000
1999-11-04 00:00:00+00:00,2140.0,A,12419000
1999-11-05 00:00:00+00:00,2140.0,A,12419000
1999-11-06 00:00:00+00:00,2130.0,A,12419000
1999-11-07 00:00:00+00:00,2550.0,A,12419000
1999-11-08 00:00:00+00:00,2790.0,A,12419000
1999-11-09 00:00:00+00:00,2780.0,A,12419000
1999-11-10 00:00:00+00:00,2800.0,A,12419000
1999-11-11 00:00:00+00:00,2800.0,A,12419000
1999-11-12 00:00:00+00:00,2770.0,A,12419000
1999-11-13 00:00:00+00:00,2790.0,A,12419000
1999-11-14 00:00:00+00:00,2800.0,A,12419000
1999-11-15 00:00:00+00:00,2800.0,A,12419000
1999-11-16 00:00:00+00:00,2820.0,A,12419000
1999-11-17 00:00:00+00:00,2800.0,A,12419000
1999-11-18 00:00:00+00:00,2930.0,A,12419000
1999-11-19 00:00:00+00:00,3020.0,A,12419000
1999-11-20 00:00:00+00:00,3020.0,A,12419000
1999-11-21 00:00:00+00:00,3000.0,A,12419000
1999-11-22 00:00:00+00:00,3010.0,A,12419000
1999-11-23 00:00:00+00:00,3010.0,A,12419000
1999-11-24 00:00:00+00:00,3100.0,A,12419000
1999-11-25 00:00:00+00:00,3120.0,A,12419000
1999-11-26 00:00:00+00:00,3430.0,A,12419000
1999-11-27 00:00:00+00:00,4400.0,A,12419000
1999-11-28 00:00:00+00:00,5060.0,A,12419000
1999-11-29 00:00:00+00:00,5070.0,A,12419000
1999-11-30 00:00:00+00:00,5770.0,A,12419000
1999-12-01 00:00:00+00:00,6170.0,A,12419000
1999-12-02 00:00:00+00:00,6200.0,A,12419000
