datetime,00060_Mean,00060_Mean_cd,site_no
2001-04-01 00:00:00+00:00,47.0,"A, e",06276500
2001-04-02 00:00:00+00:00,45.0,A,06276500
2001-04-03 00:00:00+00:00,50.0,A,06276500
2001-04-04 00:00:00+00:00,56.0,A,06276500
2001-04-05 00:00:00+00:00,55.0,A,06276500
2001-04-06 00:00:00+00:00,57.0,A,06276500
2001-04-07 00:00:00+00:00,54.0,A,06276500
2001-04-08 00:00:00+00:00,52.0,A,06276500
2001-04-09 00:00:00+00:00,51.0,A,06276500
2001-04-10 00:00:00+00:00,43.0,A,06276500
2001-04-11 00:00:00+00:00,47.0,A,06276500
2001-04-12 00:00:00+00:00,48.0,A,06276500
2001-04-13 00:00:00+00:00,51.0,A,06276500
2001-04-14 00:00:00+00:00,51.0,A,06276500
2001-04-15 00:00:00+00:00,47.0,A,06276500
2001-04-16 00:00:00+00:00,50.0,A,06276500
2001-04-17 00:00:00+00:00,49.0,A,06276500
2001-04-18 00:00:00+00:00,58.0,A,06276500
2001-04-19 00:00:00+00:00,61.0,A,06276500
2001-04-20 00:00:00+00:00,61.0,A,06276500
2001-04-21 00:00:00+00:00,57.0,A,06276500
2001-04-22 00:00:00+00:00,54.0,A,06276500
2001-04-23 00:00:00+00:00,52.0,A,06276500
2001-04-24 00:00:00+00:00,52.0,A,06276500
2001-04-25 00:00:00+00:00,54.0,A,06276500
2001-04-26 00:00:00+00:00,69.0,A,06276500
2001-04-27 00:00:00+00:00,122.0,A,06276500
2001-04-28 00:00:00+00:00,132.0,A,06276500
2001-04-29 00:00:00+00:00,125.0,A,06276500
2001-04-30 00:00:00+00:00,130.0,A,06276500
2001-05-01 00:00:00+00:00,163.0,A,06276500
2001-05-02 00:00:00+00:00,121.0,A,06276500
2001-05-03 00:00:00+00:00,84.0,A,06276500
2001-05-04 00:00:00+00:00,78.0,A,06276500
2001-05-05 00:00:00+00:00,88.0,A,06276500
2001-05-06 00:00:00+00:00,111.0,A,06276500
2001-05-07 00:00:00+00:00,106.0,A,06276500
