datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2000-10-01 00:00:00+00:00,12.5,A,06036650,675.0,A
2000-10-02 00:00:00+00:00,12.0,A,06036650,729.0,A
2000-10-03 00:00:00+00:00,10.5,A,06036650,776.0,A
2000-10-04 00:00:00+00:00,9.5,A,06036650,840.0,A
2000-10-05 00:00:00+00:00,7.5,A,06036650,867.0,A
2000-10-06 00:00:00+00:00,7.0,A,06036650,918.0,A
2000-10-07 00:00:00+00:00,7.0,A,06036650,934.0,A
2000-10-08 00:00:00+00:00,7.0,A,06036650,937.0,A
2000-10-09 00:00:00+00:00,8.0,A,06036650,944.0,A
2000-10-10 00:00:00+00:00,8.5,A,06036650,957.0,A
2000-10-11 00:00:00+00:00,9.0,A,06036650,972.0,A
2000-10-12 00:00:00+00:00,8.0,A,06036650,1080.0,A
2000-10-13 00:00:00+00:00,7.5,A,06036650,1360.0,A
2000-10-14 00:00:00+00:00,7.5,A,06036650,1450.0,A
2000-10-15 00:00:00+00:00,8.5,A,06036650,1510.0,A
2000-10-16 00:00:00+00:00,9.0,A,06036650,1510.0,A
2000-10-17 00:00:00+00:00,9.5,A,06036650,1490.0,A
2000-10-18 00:00:00+00:00,9.5,A,06036650,1460.0,A
2000-10-19 00:00:00+00:00,10.0,A,06036650,1430.0,A
2000-10-20 00:00:00+00:00,9.0,A,06036650,1360.0,A
2000-10-21 00:00:00+00:00,9.0,A,06036650,1400.0,A
2000-10-22 00:00:00+00:00,7.5,A,06036650,1430.0,A
2000-10-23 00:00:00+00:00,6.5,A,06036650,1430.0,A
2000-10-24 00:00:00+00:00,6.0,A,06036650,1370.0,A
2000-10-25 00:00:00+00:00,7.0,A,06036650,1340.0,A
2000-10-26 00:00:00+00:00,7.0,A,06036650,1340.0,A
2000-10-27 00:00:00+00:00,7.0,A,06036650,1330.0,A
2000-10-28 00:00:00+00:00,7.5,A,06036650,1320.0,A
2000-10-29 00:00:00+00:00,7.5,A,06036650,1320.0,A
2000-10-30 00:00:00+00:00,7.0,A,06036650,1420.0,A
2000-10-31 00:00:00+00:00,6.5,A,06036650,1500.0,A
2000-11-01 00:00:00+00:00,5.5,A,06036650,1500.0,A
2000-11-02 00:00:00+00:00,5.0,A,06036650,1470.0,A
2000-11-03 00:00:00+00:00,4.0,A,06036650,1440.0,A
2000-11-04 00:00:00+00:00,4.0,A,06036650,1380.0,A
2000-11-05 00:00:00+00:00,3.5,A,06036650,1340.0,A
2000-11-06 00:00:00+00:00,3.0,A,06036650,1340.0,A
2000-11-07 00:00:00+00:00,1.5,A,06036650,1340.0,A
2000-11-08 00:00:00+00:00,0.0,A,06036650,1310.0,A
2000-11-09 00:00:00+00:00,0.0,A,06036650,1260.0,A
2000-11-10 00:00:00+00:00,0.0,A,06036650,1140.0,A
2000-11-11 00:00:00+00:00,0.0,A,06036650,1050.0,A
