datetime,00060_Mean,00060_Mean_cd,site_no
2000-10-01 00:00:00+00:00,264.0,A,11342000
2000-10-02 00:00:00+00:00,261.0,A,11342000
2000-10-03 00:00:00+00:00,261.0,A,11342000
2000-10-04 00:00:00+00:00,261.0,A,11342000
2000-10-05 00:00:00+00:00,257.0,A,11342000
2000-10-06 00:00:00+00:00,257.0,A,11342000
2000-10-07 00:00:00+00:00,258.0,A,11342000
2000-10-08 00:00:00+00:00,256.0,A,11342000
2000-10-09 00:00:00+00:00,271.0,A,11342000
2000-10-10 00:00:00+00:00,291.0,A,11342000
2000-10-11 00:00:00+00:00,276.0,A,11342000
2000-10-12 00:00:00+00:00,272.0,A,11342000
2000-10-13 00:00:00+00:00,273.0,A,11342000
2000-10-14 00:00:00+00:00,270.0,A,11342000
2000-10-15 00:00:00+00:00,270.0,A,11342000
2000-10-16 00:00:00+00:00,267.0,A,11342000
2000-10-17 00:00:00+00:00,253.0,A,11342000
2000-10-18 00:00:00+00:00,252.0,A,11342000
2000-10-19 00:00:00+00:00,252.0,A,11342000
2000-10-20 00:00:00+00:00,270.0,A,11342000
2000-10-21 00:00:00+00:00,288.0,A,11342000
2000-10-22 00:00:00+00:00,271.0,A,11342000
2000-10-23 00:00:00+00:00,268.0,A,11342000
2000-10-24 00:00:00+00:00,267.0,A,11342000
2000-10-25 00:00:00+00:00,292.0,A,11342000
2000-10-26 00:00:00+00:00,337.0,A,11342000
2000-10-27 00:00:00+00:00,292.0,A,11342000
2000-10-28 00:00:00+00:00,603.0,A,11342000
2000-10-29 00:00:00+00:00,399.0,A,11342000
2000-10-30 00:00:00+00:00,522.0,A,11342000
2000-10-31 00:00:00+00:00,343.0,A,11342000
2000-11-01 00:00:00+00:00,293.0,A,11342000
2000-11-02 00:00:00+00:00,288.0,A,11342000
2000-11-03 00:00:00+00:00,282.0,A,11342000
2000-11-04 00:00:00+00:00,279.0,A,11342000
2000-11-05 00:00:00+00:00,274.0,A,11342000
2000-11-06 00:00:00+00:00,269.0,A,11342000
2000-11-07 00:00:00+00:00,265.0,A,11342000
2000-11-08 00:00:00+00:00,265.0,A,11342000
2000-11-09 00:00:00+00:00,265.0,A,11342000
2000-11-10 00:00:00+00:00,307.0,A,11342000
2000-11-11 00:00:00+00:00,346.0,A,11342000
2000-11-12 00:00:00+00:00,348.0,A,11342000
2000-11-13 00:00:00+00:00,358.0,A,11342000
2000-11-14 00:00:00+00:00,305.0,A,11342000
2000-11-15 00:00:00+00:00,318.0,A,11342000
2000-11-16 00:00:00+00:00,276.0,A,11342000
2000-11-17 00:00:00+00:00,278.0,A,11342000
2000-11-18 00:00:00+00:00,263.0,A,11342000
2000-11-19 00:00:00+00:00,258.0,A,11342000
2000-11-20 00:00:00+00:00,258.0,A,11342000
2000-11-21 00:00:00+00:00,260.0,A,11342000
