datetime,00060_Mean,00060_Mean_cd,site_no
2001-10-01 00:00:00+00:00,15800.0,A,12395500
2001-10-02 00:00:00+00:00,15700.0,A,12395500
2001-10-03 00:00:00+00:00,15900.0,A,12395500
2001-10-04 00:00:00+00:00,15800.0,A,12395500
2001-10-05 00:00:00+00:00,15900.0,A,12395500
2001-10-06 00:00:00+00:00,16100.0,A,12395500
2001-10-07 00:00:00+00:00,16100.0,A,12395500
2001-10-08 00:00:00+00:00,16000.0,A,12395500
2001-10-09 00:00:00+00:00,19200.0,A,12395500
2001-10-10 00:00:00+00:00,19500.0,A,12395500
2001-10-11 00:00:00+00:00,19700.0,A,12395500
2001-10-12 00:00:00+00:00,19500.0,A,12395500
2001-10-13 00:00:00+00:00,19400.0,A,12395500
2001-10-14 00:00:00+00:00,19400.0,A,12395500
2001-10-15 00:00:00+00:00,19600.0,A,12395500
2001-10-16 00:00:00+00:00,19500.0,A,12395500
2001-10-17 00:00:00+00:00,19700.0,A,12395500
2001-10-18 00:00:00+00:00,19700.0,A,12395500
2001-10-19 00:00:00+00:00,19700.0,A,12395500
2001-10-20 00:00:00+00:00,20000.0,A,12395500
2001-10-21 00:00:00+00:00,19900.0,A,12395500
2001-10-22 00:00:00+00:00,19900.0,A,12395500
2001-10-23 00:00:00+00:00,19700.0,A,12395500
2001-10-24 00:00:00+00:00,19700.0,A,12395500
2001-10-25 00:00:00+00:00,19200.0,A,12395500
2001-10-26 00:00:00+00:00,18600.0,A,12395500
2001-10-27 00:00:00+00:00,18400.0,A,12395500
2001-10-28 00:00:00+00:00,18600.0,A,12395500
2001-10-29 00:00:00+00:00,19200.0,A,12395500
2001-10-30 00:00:00+00:00,19000.0,A,12395500
2001-10-31 00:00:00+00:00,19000.0,A,12395500
2001-11-01 00:00:00+00:00,19000.0,A,12395500
2001-11-02 00:00:00+00:00,18900.0,A,12395500
2001-11-03 00:00:00+00:00,18800.0,A,12395500
2001-11-04 00:00:00+00:00,19100.0,A,12395500
2001-11-05 00:00:00+00:00,18800.0,A,12395500
2001-11-06 00:00:00+00:00,19200.0,A,12395500
2001-11-07 00:00:00+00:00,20800.0,A,12395500
2001-11-08 00:00:00+00:00,22700.0,A,12395500
2001-11-09 00:00:00+00:00,21700.0,A,12395500
2001-11-10 00:00:00+00:00,21800.0,A,12395500
2001-11-11 00:00:00+00:00,21700.0,A,12395500
2001-11-12 00:00:00+00:00,16400.0,A,12395500
2001-11-13 00:00:00+00:00,11800.0,A,12395500
2001-11-14 00:00:00+00:00,12200.0,A,12395500
2001-11-15 00:00:00+00:00,13200.0,A,12395500
2001-11-16 00:00:00+00:00,16200.0,A,12395500
2001-11-17 00:00:00+00:00,17800.0,A,12395500
2001-11-18 00:00:00+00:00,14300.0,A,12395500
2001-11-19 00:00:00+00:00,9660.0,A,12395500
2001-11-20 00:00:00+00:00,8550.0,A,12395500
2001-11-21 00:00:00+00:00,8040.0,A,12395500
2001-11-22 00:00:00+00:00,8290.0,A,12395500
2001-11-23 00:00:00+00:00,9420.0,A,12395500
2001-11-24 00:00:00+00:00,9870.0,A,12395500
2001-11-25 00:00:00+00:00,9800.0,A,12395500
2001-11-26 00:00:00+00:00,9800.0,A,12395500
2001-11-27 00:00:00+00:00,11400.0,A,12395500
2001-11-28 00:00:00+00:00,12400.0,A,12395500
2001-11-29 00:00:00+00:00,12400.0,A,12395500
2001-11-30 00:00:00+00:00,10500.0,A,12395500
2001-12-01 00:00:00+00:00,8810.0,A,12395500
2001-12-02 00:00:00+00:00,8020.0,A,12395500
2001-12-03 00:00:00+00:00,9040.0,A,12395500
2001-12-04 00:00:00+00:00,9460.0,A,12395500
2001-12-05 00:00:00+00:00,10200.0,A,12395500
2001-12-06 00:00:00+00:00,11000.0,A,12395500
2001-12-07 00:00:00+00:00,10800.0,A,12395500
2001-12-08 00:00:00+00:00,9340.0,A,12395500
2001-12-09 00:00:00+00:00,8240.0,A,12395500
2001-12-10 00:00:00+00:00,9020.0,A,12395500
2001-12-11 00:00:00+00:00,9580.0,A,12395500
2001-12-12 00:00:00+00:00,8680.0,A,12395500
2001-12-13 00:00:00+00:00,7670.0,A,12395500
2001-12-14 00:00:00+00:00,8890.0,A,12395500
2001-12-15 00:00:00+00:00,11100.0,A,12395500
2001-12-16 00:00:00+00:00,13600.0,A,12395500
2001-12-17 00:00:00+00:00,14700.0,A,12395500
2001-12-18 00:00:00+00:00,15700.0,A,12395500
2001-12-19 00:00:00+00:00,17400.0,A,12395500
2001-12-20 00:00:00+00:00,17600.0,A,12395500
2001-12-21 00:00:00+00:00,15100.0,A,12395500
2001-12-22 00:00:00+00:00,13200.0,A,12395500
2001-12-23 00:00:00+00:00,13000.0,A,12395500
2001-12-24 00:00:00+00:00,13000.0,A,12395500
2001-12-25 00:00:00+00:00,13000.0,A,12395500
2001-12-26 00:00:00+00:00,12900.0,A,12395500
2001-12-27 00:00:00+00:00,12900.0,A,12395500
2001-12-28 00:00:00+00:00,14600.0,A,12395500
2001-12-29 00:00:00+00:00,15500.0,A,12395500
2001-12-30 00:00:00+00:00,13800.0,A,12395500
2001-12-31 00:00:00+00:00,11600.0,A,12395500
2002-01-01 00:00:00+00:00,10200.0,A,12395500
2002-01-02 00:00:00+00:00,10000.0,A,12395500
2002-01-03 00:00:00+00:00,10200.0,A,12395500
2002-01-04 00:00:00+00:00,9360.0,A,12395500
2002-01-05 00:00:00+00:00,10600.0,A,12395500
2002-01-06 00:00:00+00:00,11500.0,A,12395500
2002-01-07 00:00:00+00:00,12300.0,A,12395500
2002-01-08 00:00:00+00:00,16600.0,A,12395500
2002-01-09 00:00:00+00:00,23600.0,A,12395500
2002-01-10 00:00:00+00:00,26500.0,A,12395500
2002-01-11 00:00:00+00:00,25700.0,A,12395500
2002-01-12 00:00:00+00:00,22300.0,A,12395500
2002-01-13 00:00:00+00:00,22400.0,A,12395500
2002-01-14 00:00:00+00:00,19100.0,A,12395500
2002-01-15 00:00:00+00:00,16900.0,A,12395500
2002-01-16 00:00:00+00:00,19400.0,A,12395500
2002-01-17 00:00:00+00:00,19300.0,A,12395500
2002-01-18 00:00:00+00:00,17800.0,A,12395500
2002-01-19 00:00:00+00:00,16600.0,A,12395500
2002-01-20 00:00:00+00:00,15800.0,A,12395500
2002-01-21 00:00:00+00:00,15400.0,A,12395500
2002-01-22 00:00:00+00:00,16800.0,A,12395500
2002-01-23 00:00:00+00:00,17700.0,A,12395500
2002-01-24 00:00:00+00:00,17400.0,A,12395500
2002-01-25 00:00:00+00:00,16000.0,A,12395500
2002-01-26 00:00:00+00:00,14600.0,A,12395500
2002-01-27 00:00:00+00:00,14600.0,A,12395500
2002-01-28 00:00:00+00:00,16400.0,A,12395500
2002-01-29 00:00:00+00:00,17900.0,A,12395500
2002-01-30 00:00:00+00:00,17700.0,A,12395500
2002-01-31 00:00:00+00:00,17300.0,A,12395500
2002-02-01 00:00:00+00:00,17000.0,A,12395500
2002-02-02 00:00:00+00:00,17600.0,A,12395500
2002-02-03 00:00:00+00:00,17100.0,A,12395500
2002-02-04 00:00:00+00:00,17400.0,A,12395500
2002-02-05 00:00:00+00:00,17700.0,A,12395500
2002-02-06 00:00:00+00:00,17500.0,A,12395500
2002-02-07 00:00:00+00:00,17300.0,A,12395500
2002-02-08 00:00:00+00:00,19100.0,A,12395500
2002-02-09 00:00:00+00:00,20300.0,A,12395500
2002-02-10 00:00:00+00:00,20200.0,A,12395500
2002-02-11 00:00:00+00:00,18300.0,A,12395500
2002-02-12 00:00:00+00:00,15000.0,A,12395500
2002-02-13 00:00:00+00:00,14000.0,A,12395500
2002-02-14 00:00:00+00:00,15400.0,A,12395500
2002-02-15 00:00:00+00:00,16100.0,A,12395500
2002-02-16 00:00:00+00:00,15900.0,A,12395500
