datetime,00060_Mean,00060_Mean_cd,site_no,00095_Mean,00095_Mean_cd,90856_Mean,90856_Mean_cd
2001-10-01 00:00:00+00:00,66.4,A,06306300,882.0,A,1.24,A
2001-10-02 00:00:00+00:00,63.7,A,06306300,905.0,A,1.3,A
2001-10-03 00:00:00+00:00,63.1,A,06306300,889.0,A,1.25,A
2001-10-04 00:00:00+00:00,70.4,A,06306300,954.0,A,1.44,A
2001-10-05 00:00:00+00:00,89.7,A,06306300,833.0,A,1.13,A
2001-10-06 00:00:00+00:00,108.0,A,06306300,757.0,A,0.98,A
2001-10-07 00:00:00+00:00,110.0,A,06306300,783.0,A,1.03,A
2001-10-08 00:00:00+00:00,115.0,A,06306300,776.0,A,1.01,A
2001-10-09 00:00:00+00:00,113.0,A,06306300,768.0,A,1.0,A
2001-10-10 00:00:00+00:00,117.0,A,06306300,762.0,A,0.98,A
2001-10-11 00:00:00+00:00,119.0,A,06306300,740.0,A,0.94,A
2001-10-12 00:00:00+00:00,118.0,A,06306300,721.0,A,0.91,A
2001-10-13 00:00:00+00:00,125.0,A,06306300,691.0,A,0.86,A
2001-10-14 00:00:00+00:00,131.0,A,06306300,680.0,A,0.84,A
2001-10-15 00:00:00+00:00,137.0,A,06306300,667.0,A,0.82,A
2001-10-16 00:00:00+00:00,133.0,A,06306300,658.0,A,0.81,A
2001-10-17 00:00:00+00:00,128.0,A,06306300,674.0,A,0.83,A
2001-10-18 00:00:00+00:00,134.0,A,06306300,643.0,A,0.78,A
2001-10-19 00:00:00+00:00,144.0,A,06306300,638.0,A,0.78,A
2001-10-20 00:00:00+00:00,136.0,A,06306300,621.0,A,0.75,A
2001-10-21 00:00:00+00:00,133.0,A,06306300,606.0,A,0.73,A
2001-10-22 00:00:00+00:00,134.0,A,06306300,598.0,A,0.72,A
2001-10-23 00:00:00+00:00,129.0,A,06306300,594.0,A,0.71,A
2001-10-24 00:00:00+00:00,130.0,A,06306300,600.0,A,0.72,A
2001-10-25 00:00:00+00:00,126.0,A,06306300,611.0,A,0.74,A
2001-10-26 00:00:00+00:00,121.0,A,06306300,617.0,A,0.75,A
2001-10-27 00:00:00+00:00,118.0,A,06306300,626.0,A,0.76,A
2001-10-28 00:00:00+00:00,127.0,A,06306300,623.0,A,0.76,A
2001-10-29 00:00:00+00:00,132.0,A,06306300,570.0,A,0.68,A
2001-10-30 00:00:00+00:00,132.0,A,06306300,547.0,A,0.65,A
2001-10-31 00:00:00+00:00,136.0,A,06306300,534.0,A,0.64,A
2001-11-01 00:00:00+00:00,140.0,A,06306300,521.0,A,0.62,A
2001-11-02 00:00:00+00:00,141.0,A,06306300,515.0,A,0.61,A
2001-11-03 00:00:00+00:00,137.0,A,06306300,507.0,A,0.6,A
2001-11-04 00:00:00+00:00,131.0,A,06306300,514.0,A,0.61,A
2001-11-05 00:00:00+00:00,129.0,A,06306300,515.0,A,0.61,A
2001-11-06 00:00:00+00:00,125.0,A,06306300,564.0,A,0.68,A
2001-11-07 00:00:00+00:00,129.0,A,06306300,652.0,A,0.8,A
2001-11-08 00:00:00+00:00,134.0,A,06306300,588.0,A,0.71,A
2001-11-09 00:00:00+00:00,130.0,A,06306300,523.0,A,0.62,A
2001-11-10 00:00:00+00:00,114.0,A,06306300,863.0,A,1.32,A
2001-11-11 00:00:00+00:00,124.0,A,06306300,1120.0,A,1.95,A
2001-11-12 00:00:00+00:00,120.0,A,06306300,1010.0,A,1.58,A
2001-11-13 00:00:00+00:00,126.0,A,06306300,914.0,A,1.33,A
2001-11-14 00:00:00+00:00,124.0,A,06306300,769.0,A,1.0,A
2001-11-15 00:00:00+00:00,126.0,A,06306300,789.0,A,1.04,A
2001-11-16 00:00:00+00:00,126.0,A,06306300,790.0,A,1.04,A
2001-11-17 00:00:00+00:00,126.0,A,06306300,768.0,A,1.0,A
2001-11-18 00:00:00+00:00,123.0,A,06306300,763.0,A,0.99,A
2001-11-19 00:00:00+00:00,130.0,A,06306300,764.0,A,0.99,A
2001-11-20 00:00:00+00:00,114.0,A,06306300,772.0,A,1.0,A
2001-11-21 00:00:00+00:00,108.0,A,06306300,773.0,A,1.01,A
2001-11-22 00:00:00+00:00,128.0,A,06306300,775.0,A,1.01,A
2001-11-23 00:00:00+00:00,137.0,A,06306300,777.0,A,1.01,A
2001-11-24 00:00:00+00:00,137.0,A,06306300,778.0,A,1.02,A
2001-11-25 00:00:00+00:00,138.0,A,06306300,779.0,A,1.02,A
2001-11-26 00:00:00+00:00,130.0,"A, e",06306300,776.0,A,1.01,A
2001-11-27 00:00:00+00:00,120.0,"A, e",06306300,778.0,A,1.02,A
2001-11-28 00:00:00+00:00,110.0,"A, e",06306300,763.0,A,0.99,A
2001-11-29 00:00:00+00:00,110.0,"A, e",06306300,777.0,A,1.01,A
2001-11-30 00:00:00+00:00,110.0,"A, e",06306300,799.0,A,1.06,A
2001-12-01 00:00:00+00:00,120.0,"A, e",06306300,833.0,A,1.13,A
2001-12-02 00:00:00+00:00,120.0,"A, e",06306300,854.0,A,1.17,A
2001-12-03 00:00:00+00:00,120.0,"A, e",06306300,797.0,A,1.05,A
2001-12-04 00:00:00+00:00,110.0,"A, e",06306300,773.0,A,1.01,A
2001-12-05 00:00:00+00:00,110.0,"A, e",06306300,761.0,A,0.98,A
2001-12-06 00:00:00+00:00,110.0,"A, e",06306300,759.0,A,0.98,A
2001-12-07 00:00:00+00:00,110.0,"A, e",06306300,746.0,A,0.95,A
2001-12-08 00:00:00+00:00,110.0,"A, e",06306300,769.0,A,1.0,A
2001-12-09 00:00:00+00:00,110.0,"A, e",06306300,771.0,A,1.0,A
2001-12-10 00:00:00+00:00,100.0,"A, e",06306300,757.0,A,0.97,A
2001-12-11 00:00:00+00:00,100.0,"A, e",06306300,751.0,A,0.96,A
2001-12-12 00:00:00+00:00,100.0,"A, e",06306300,759.0,A,0.98,A
2001-12-13 00:00:00+00:00,110.0,"A, e",06306300,785.0,A,1.03,A
2001-12-14 00:00:00+00:00,110.0,"A, e",06306300,793.0,A,1.05,A
2001-12-15 00:00:00+00:00,100.0,"A, e",06306300,759.0,A,0.98,A
