datetime,00060_Mean,00060_Mean_cd,site_no
2002-10-01 00:00:00+00:00,4.79,A,13162225
2002-10-02 00:00:00+00:00,4.86,A,13162225
2002-10-03 00:00:00+00:00,4.89,A,13162225
2002-10-04 00:00:00+00:00,5.33,A,13162225
2002-10-05 00:00:00+00:00,4.68,A,13162225
2002-10-06 00:00:00+00:00,4.5,A,13162225
2002-10-07 00:00:00+00:00,4.44,A,13162225
2002-10-08 00:00:00+00:00,4.34,A,13162225
2002-10-09 00:00:00+00:00,4.27,A,13162225
2002-10-10 00:00:00+00:00,4.21,A,13162225
2002-10-11 00:00:00+00:00,4.27,A,13162225
2002-10-12 00:00:00+00:00,4.23,A,13162225
2002-10-13 00:00:00+00:00,4.27,A,13162225
2002-10-14 00:00:00+00:00,4.32,A,13162225
2002-10-15 00:00:00+00:00,4.3,A,13162225
2002-10-16 00:00:00+00:00,4.37,A,13162225
2002-10-17 00:00:00+00:00,4.37,A,13162225
2002-10-18 00:00:00+00:00,4.25,A,13162225
2002-10-19 00:00:00+00:00,4.32,A,13162225
2002-10-20 00:00:00+00:00,4.23,A,13162225
2002-10-21 00:00:00+00:00,4.05,A,13162225
2002-10-22 00:00:00+00:00,4.55,A,13162225
2002-10-23 00:00:00+00:00,4.87,A,13162225
2002-10-24 00:00:00+00:00,4.93,A,13162225
2002-10-25 00:00:00+00:00,4.54,A,13162225
2002-10-26 00:00:00+00:00,4.44,A,13162225
2002-10-27 00:00:00+00:00,4.36,A,13162225
2002-10-28 00:00:00+00:00,4.42,A,13162225
2002-10-29 00:00:00+00:00,4.53,A,13162225
2002-10-30 00:00:00+00:00,4.47,A,13162225
2002-10-31 00:00:00+00:00,2.66,A,13162225
2002-11-01 00:00:00+00:00,3.71,A,13162225
2002-11-02 00:00:00+00:00,3.6,"A, e",13162225
2002-11-03 00:00:00+00:00,3.5,"A, e",13162225
2002-11-04 00:00:00+00:00,3.7,"A, e",13162225
2002-11-05 00:00:00+00:00,4.0,"A, e",13162225
2002-11-06 00:00:00+00:00,4.54,A,13162225
2002-11-07 00:00:00+00:00,4.8,A,13162225
2002-11-08 00:00:00+00:00,6.62,A,13162225
2002-11-09 00:00:00+00:00,5.75,A,13162225
2002-11-10 00:00:00+00:00,5.33,A,13162225
2002-11-11 00:00:00+00:00,4.93,A,13162225
2002-11-12 00:00:00+00:00,4.85,A,13162225
2002-11-13 00:00:00+00:00,5.53,A,13162225
2002-11-14 00:00:00+00:00,5.21,A,13162225
2002-11-15 00:00:00+00:00,4.8,A,13162225
2002-11-16 00:00:00+00:00,4.88,A,13162225
2002-11-17 00:00:00+00:00,4.74,A,13162225
2002-11-18 00:00:00+00:00,4.51,A,13162225
2002-11-19 00:00:00+00:00,4.68,A,13162225
2002-11-20 00:00:00+00:00,5.11,A,13162225
2002-11-21 00:00:00+00:00,7.45,A,13162225
2002-11-22 00:00:00+00:00,7.26,A,13162225
2002-11-23 00:00:00+00:00,6.6,A,13162225
2002-11-24 00:00:00+00:00,6.08,A,13162225
2002-11-25 00:00:00+00:00,4.85,A,13162225
2002-11-26 00:00:00+00:00,4.86,A,13162225
2002-11-27 00:00:00+00:00,4.75,A,13162225
2002-11-28 00:00:00+00:00,5.22,A,13162225
2002-11-29 00:00:00+00:00,5.12,A,13162225
2002-11-30 00:00:00+00:00,5.0,A,13162225
2002-12-01 00:00:00+00:00,4.92,A,13162225
2002-12-02 00:00:00+00:00,4.73,A,13162225
2002-12-03 00:00:00+00:00,4.81,A,13162225
2002-12-04 00:00:00+00:00,4.83,A,13162225
2002-12-05 00:00:00+00:00,4.85,A,13162225
2002-12-06 00:00:00+00:00,4.26,A,13162225
2002-12-07 00:00:00+00:00,4.55,A,13162225
2002-12-08 00:00:00+00:00,3.98,A,13162225
2002-12-09 00:00:00+00:00,5.08,A,13162225
2002-12-10 00:00:00+00:00,5.14,A,13162225
2002-12-11 00:00:00+00:00,4.72,A,13162225
2002-12-12 00:00:00+00:00,4.69,A,13162225
2002-12-13 00:00:00+00:00,4.94,A,13162225
2002-12-14 00:00:00+00:00,5.04,A,13162225
2002-12-15 00:00:00+00:00,4.79,A,13162225
2002-12-16 00:00:00+00:00,4.75,A,13162225
2002-12-17 00:00:00+00:00,4.92,A,13162225
2002-12-18 00:00:00+00:00,4.48,A,13162225
2002-12-19 00:00:00+00:00,4.3,"A, e",13162225
2002-12-20 00:00:00+00:00,4.68,A,13162225
2002-12-21 00:00:00+00:00,4.67,A,13162225
2002-12-22 00:00:00+00:00,4.52,A,13162225
2002-12-23 00:00:00+00:00,4.5,A,13162225
2002-12-24 00:00:00+00:00,4.0,"A, e",13162225
2002-12-25 00:00:00+00:00,4.4,"A, e",13162225
2002-12-26 00:00:00+00:00,4.6,"A, e",13162225
2002-12-27 00:00:00+00:00,5.02,A,13162225
2002-12-28 00:00:00+00:00,5.04,A,13162225
2002-12-29 00:00:00+00:00,4.97,A,13162225
2002-12-30 00:00:00+00:00,4.84,A,13162225
2002-12-31 00:00:00+00:00,5.06,A,13162225
2003-01-01 00:00:00+00:00,5.1,"A, e",13162225
2003-01-02 00:00:00+00:00,5.14,A,13162225
2003-01-03 00:00:00+00:00,6.43,A,13162225
2003-01-04 00:00:00+00:00,6.0,A,13162225
2003-01-05 00:00:00+00:00,5.69,A,13162225
2003-01-06 00:00:00+00:00,5.48,A,13162225
2003-01-07 00:00:00+00:00,5.54,A,13162225
2003-01-08 00:00:00+00:00,5.98,A,13162225
2003-01-09 00:00:00+00:00,6.39,A,13162225
2003-01-10 00:00:00+00:00,6.09,A,13162225
2003-01-11 00:00:00+00:00,5.81,A,13162225
2003-01-12 00:00:00+00:00,5.77,A,13162225
2003-01-13 00:00:00+00:00,5.93,A,13162225
2003-01-14 00:00:00+00:00,6.16,A,13162225
2003-01-15 00:00:00+00:00,5.95,A,13162225
2003-01-16 00:00:00+00:00,5.67,A,13162225
2003-01-17 00:00:00+00:00,5.64,A,13162225
2003-01-18 00:00:00+00:00,5.61,A,13162225
2003-01-19 00:00:00+00:00,6.06,A,13162225
2003-01-20 00:00:00+00:00,6.64,A,13162225
2003-01-21 00:00:00+00:00,6.78,A,13162225
2003-01-22 00:00:00+00:00,6.39,A,13162225
2003-01-23 00:00:00+00:00,6.66,A,13162225
2003-01-24 00:00:00+00:00,6.38,A,13162225
2003-01-25 00:00:00+00:00,6.36,A,13162225
2003-01-26 00:00:00+00:00,6.44,A,13162225
2003-01-27 00:00:00+00:00,7.15,A,13162225
2003-01-28 00:00:00+00:00,7.19,A,13162225
2003-01-29 00:00:00+00:00,6.6,A,13162225
2003-01-30 00:00:00+00:00,8.28,A,13162225
2003-01-31 00:00:00+00:00,14.3,A,13162225
2003-02-01 00:00:00+00:00,12.8,A,13162225
2003-02-02 00:00:00+00:00,10.2,A,13162225
2003-02-03 00:00:00+00:00,9.33,A,13162225
2003-02-04 00:00:00+00:00,8.15,A,13162225
2003-02-05 00:00:00+00:00,7.88,A,13162225
2003-02-06 00:00:00+00:00,7.5,"A, e",13162225
2003-02-07 00:00:00+00:00,7.5,"A, e",13162225
2003-02-08 00:00:00+00:00,7.0,"A, e",13162225
2003-02-09 00:00:00+00:00,7.0,"A, e",13162225
2003-02-10 00:00:00+00:00,6.44,A,13162225
2003-02-11 00:00:00+00:00,6.0,"A, e",13162225
2003-02-12 00:00:00+00:00,6.11,A,13162225
2003-02-13 00:00:00+00:00,6.91,A,13162225
2003-02-14 00:00:00+00:00,6.68,A,13162225
2003-02-15 00:00:00+00:00,6.26,A,13162225
2003-02-16 00:00:00+00:00,6.73,A,13162225
2003-02-17 00:00:00+00:00,6.15,A,13162225
2003-02-18 00:00:00+00:00,5.94,A,13162225
2003-02-19 00:00:00+00:00,5.8,"A, e",13162225
2003-02-20 00:00:00+00:00,5.79,A,13162225
2003-02-21 00:00:00+00:00,5.8,A,13162225
2003-02-22 00:00:00+00:00,5.78,A,13162225
2003-02-23 00:00:00+00:00,5.51,A,13162225
2003-02-24 00:00:00+00:00,6.45,A,13162225
2003-02-25 00:00:00+00:00,6.0,"A, e",13162225
2003-02-26 00:00:00+00:00,5.6,"A, e",13162225
2003-02-27 00:00:00+00:00,5.44,A,13162225
2003-02-28 00:00:00+00:00,5.37,A,13162225
2003-03-01 00:00:00+00:00,5.08,A,13162225
2003-03-02 00:00:00+00:00,5.0,"A, e",13162225
2003-03-03 00:00:00+00:00,5.33,A,13162225
2003-03-04 00:00:00+00:00,5.16,A,13162225
2003-03-05 00:00:00+00:00,5.21,A,13162225
2003-03-06 00:00:00+00:00,5.21,A,13162225
2003-03-07 00:00:00+00:00,5.12,A,13162225
2003-03-08 00:00:00+00:00,5.12,A,13162225
2003-03-09 00:00:00+00:00,5.29,A,13162225
2003-03-10 00:00:00+00:00,5.81,A,13162225
2003-03-11 00:00:00+00:00,6.5,A,13162225
2003-03-12 00:00:00+00:00,7.42,A,13162225
2003-03-13 00:00:00+00:00,11.2,A,13162225
2003-03-14 00:00:00+00:00,14.1,A,13162225
2003-03-15 00:00:00+00:00,14.2,A,13162225
2003-03-16 00:00:00+00:00,14.9,A,13162225
2003-03-17 00:00:00+00:00,13.5,A,13162225
2003-03-18 00:00:00+00:00,11.7,A,13162225
2003-03-19 00:00:00+00:00,10.7,A,13162225
2003-03-20 00:00:00+00:00,10.7,A,13162225
2003-03-21 00:00:00+00:00,9.84,A,13162225
2003-03-22 00:00:00+00:00,10.4,A,13162225
2003-03-23 00:00:00+00:00,11.2,A,13162225
2003-03-24 00:00:00+00:00,10.6,A,13162225
2003-03-25 00:00:00+00:00,11.3,A,13162225
2003-03-26 00:00:00+00:00,21.8,A,13162225
2003-03-27 00:00:00+00:00,17.4,A,13162225
2003-03-28 00:00:00+00:00,14.8,A,13162225
2003-03-29 00:00:00+00:00,14.3,A,13162225
2003-03-30 00:00:00+00:00,18.0,A,13162225
2003-03-31 00:00:00+00:00,21.0,A,13162225
2003-04-01 00:00:00+00:00,22.5,A,13162225
2003-04-02 00:00:00+00:00,21.4,A,13162225
2003-04-03 00:00:00+00:00,18.3,A,13162225
2003-04-04 00:00:00+00:00,16.2,A,13162225
2003-04-05 00:00:00+00:00,15.2,A,13162225
