datetime,00060_Mean,00060_Mean_cd,site_no
2003-10-01 00:00:00+00:00,7.6,A,10242000
2003-10-02 00:00:00+00:00,7.68,A,10242000
2003-10-03 00:00:00+00:00,8.01,A,10242000
2003-10-04 00:00:00+00:00,7.69,A,10242000
2003-10-05 00:00:00+00:00,7.56,A,10242000
2003-10-06 00:00:00+00:00,7.85,A,10242000
2003-10-07 00:00:00+00:00,7.78,A,10242000
2003-10-08 00:00:00+00:00,7.55,A,10242000
2003-10-09 00:00:00+00:00,7.44,A,10242000
2003-10-10 00:00:00+00:00,7.23,A,10242000
2003-10-11 00:00:00+00:00,7.21,A,10242000
2003-10-12 00:00:00+00:00,7.16,A,10242000
2003-10-13 00:00:00+00:00,7.11,A,10242000
2003-10-14 00:00:00+00:00,7.09,A,10242000
2003-10-15 00:00:00+00:00,7.1,A,10242000
2003-10-16 00:00:00+00:00,6.97,A,10242000
2003-10-17 00:00:00+00:00,6.94,A,10242000
2003-10-18 00:00:00+00:00,6.76,A,10242000
2003-10-19 00:00:00+00:00,6.6,A,10242000
2003-10-20 00:00:00+00:00,6.88,A,10242000
2003-10-21 00:00:00+00:00,6.85,A,10242000
2003-10-22 00:00:00+00:00,6.86,A,10242000
2003-10-23 00:00:00+00:00,7.01,A,10242000
2003-10-24 00:00:00+00:00,7.17,A,10242000
2003-10-25 00:00:00+00:00,7.07,A,10242000
2003-10-26 00:00:00+00:00,7.05,A,10242000
2003-10-27 00:00:00+00:00,7.2,A,10242000
2003-10-28 00:00:00+00:00,7.25,A,10242000
2003-10-29 00:00:00+00:00,7.38,A,10242000
2003-10-30 00:00:00+00:00,7.85,A,10242000
2003-10-31 00:00:00+00:00,8.63,A,10242000
2003-11-01 00:00:00+00:00,8.57,A,10242000
2003-11-02 00:00:00+00:00,7.7,A,10242000
2003-11-03 00:00:00+00:00,7.87,A,10242000
2003-11-04 00:00:00+00:00,7.58,A,10242000
2003-11-05 00:00:00+00:00,7.68,A,10242000
2003-11-06 00:00:00+00:00,8.04,A,10242000
2003-11-07 00:00:00+00:00,7.85,A,10242000
2003-11-08 00:00:00+00:00,7.87,A,10242000
2003-11-09 00:00:00+00:00,7.92,A,10242000
2003-11-10 00:00:00+00:00,8.2,A,10242000
2003-11-11 00:00:00+00:00,8.56,A,10242000
2003-11-12 00:00:00+00:00,12.3,A,10242000
2003-11-13 00:00:00+00:00,15.8,A,10242000
2003-11-14 00:00:00+00:00,13.4,A,10242000
2003-11-15 00:00:00+00:00,13.9,A,10242000
2003-11-16 00:00:00+00:00,12.9,A,10242000
2003-11-17 00:00:00+00:00,12.2,A,10242000
2003-11-18 00:00:00+00:00,12.3,A,10242000
2003-11-19 00:00:00+00:00,12.0,"A, e",10242000
2003-11-20 00:00:00+00:00,12.0,"A, e",10242000
2003-11-21 00:00:00+00:00,10.2,A,10242000
2003-11-22 00:00:00+00:00,10.0,"A, e",10242000
2003-11-23 00:00:00+00:00,10.0,"A, e",10242000
2003-11-24 00:00:00+00:00,10.0,"A, e",10242000
2003-11-25 00:00:00+00:00,12.0,"A, e",10242000
2003-11-26 00:00:00+00:00,11.0,"A, e",10242000
2003-11-27 00:00:00+00:00,10.0,"A, e",10242000
2003-11-28 00:00:00+00:00,10.0,"A, e",10242000
2003-11-29 00:00:00+00:00,11.0,"A, e",10242000
2003-11-30 00:00:00+00:00,11.0,A,10242000
2003-12-01 00:00:00+00:00,10.0,A,10242000
2003-12-02 00:00:00+00:00,10.1,A,10242000
2003-12-03 00:00:00+00:00,10.8,A,10242000
2003-12-04 00:00:00+00:00,11.8,A,10242000
2003-12-05 00:00:00+00:00,11.4,A,10242000
2003-12-06 00:00:00+00:00,9.97,A,10242000
2003-12-07 00:00:00+00:00,10.3,A,10242000
2003-12-08 00:00:00+00:00,9.61,A,10242000
2003-12-09 00:00:00+00:00,9.5,"A, e",10242000
2003-12-10 00:00:00+00:00,10.0,"A, e",10242000
2003-12-11 00:00:00+00:00,10.0,"A, e",10242000
2003-12-12 00:00:00+00:00,10.0,"A, e",10242000
2003-12-13 00:00:00+00:00,11.0,"A, e",10242000
2003-12-14 00:00:00+00:00,12.0,A,10242000
2003-12-15 00:00:00+00:00,11.0,"A, e",10242000
2003-12-16 00:00:00+00:00,11.0,"A, e",10242000
2003-12-17 00:00:00+00:00,10.0,"A, e",10242000
2003-12-18 00:00:00+00:00,10.0,"A, e",10242000
2003-12-19 00:00:00+00:00,12.0,"A, e",10242000
2003-12-20 00:00:00+00:00,14.0,"A, e",10242000
2003-12-21 00:00:00+00:00,12.3,A,10242000
2003-12-22 00:00:00+00:00,10.9,A,10242000
2003-12-23 00:00:00+00:00,12.1,A,10242000
2003-12-24 00:00:00+00:00,10.4,A,10242000
2003-12-25 00:00:00+00:00,11.9,A,10242000
2003-12-26 00:00:00+00:00,11.6,A,10242000
2003-12-27 00:00:00+00:00,11.0,"A, e",10242000
2003-12-28 00:00:00+00:00,11.0,"A, e",10242000
2003-12-29 00:00:00+00:00,11.0,"A, e",10242000
2003-12-30 00:00:00+00:00,12.0,"A, e",10242000
2003-12-31 00:00:00+00:00,11.9,A,10242000
2004-01-01 00:00:00+00:00,10.7,A,10242000
2004-01-02 00:00:00+00:00,11.6,A,10242000
2004-01-03 00:00:00+00:00,11.6,A,10242000
2004-01-04 00:00:00+00:00,12.0,"A, e",10242000
2004-01-05 00:00:00+00:00,12.0,"A, e",10242000
2004-01-06 00:00:00+00:00,12.0,"A, e",10242000
2004-01-07 00:00:00+00:00,13.0,"A, e",10242000
2004-01-08 00:00:00+00:00,13.0,"A, e",10242000
2004-01-09 00:00:00+00:00,14.0,"A, e",10242000
2004-01-10 00:00:00+00:00,14.7,A,10242000
2004-01-11 00:00:00+00:00,15.9,A,10242000
2004-01-12 00:00:00+00:00,16.1,A,10242000
2004-01-13 00:00:00+00:00,14.4,A,10242000
2004-01-14 00:00:00+00:00,13.0,"A, e",10242000
2004-01-15 00:00:00+00:00,13.0,"A, e",10242000
2004-01-16 00:00:00+00:00,12.0,"A, e",10242000
2004-01-17 00:00:00+00:00,12.0,"A, e",10242000
2004-01-18 00:00:00+00:00,12.0,"A, e",10242000
2004-01-19 00:00:00+00:00,12.0,"A, e",10242000
2004-01-20 00:00:00+00:00,12.0,"A, e",10242000
2004-01-21 00:00:00+00:00,11.0,"A, e",10242000
2004-01-22 00:00:00+00:00,11.0,"A, e",10242000
2004-01-23 00:00:00+00:00,11.0,"A, e",10242000
2004-01-24 00:00:00+00:00,11.0,"A, e",10242000
2004-01-25 00:00:00+00:00,12.0,"A, e",10242000
2004-01-26 00:00:00+00:00,11.0,"A, e",10242000
2004-01-27 00:00:00+00:00,11.0,"A, e",10242000
2004-01-28 00:00:00+00:00,12.0,"A, e",10242000
2004-01-29 00:00:00+00:00,11.0,"A, e",10242000
2004-01-30 00:00:00+00:00,10.5,A,10242000
2004-01-31 00:00:00+00:00,9.59,A,10242000
2004-02-01 00:00:00+00:00,10.0,"A, e",10242000
2004-02-02 00:00:00+00:00,10.0,"A, e",10242000
2004-02-03 00:00:00+00:00,10.0,"A, e",10242000
2004-02-04 00:00:00+00:00,10.0,"A, e",10242000
2004-02-05 00:00:00+00:00,10.3,A,10242000
2004-02-06 00:00:00+00:00,14.7,A,10242000
2004-02-07 00:00:00+00:00,14.8,A,10242000
2004-02-08 00:00:00+00:00,11.7,A,10242000
2004-02-09 00:00:00+00:00,15.0,A,10242000
2004-02-10 00:00:00+00:00,15.0,"A, e",10242000
2004-02-11 00:00:00+00:00,15.0,"A, e",10242000
2004-02-12 00:00:00+00:00,14.0,"A, e",10242000
2004-02-13 00:00:00+00:00,14.0,"A, e",10242000
2004-02-14 00:00:00+00:00,15.3,A,10242000
2004-02-15 00:00:00+00:00,12.9,A,10242000
2004-02-16 00:00:00+00:00,10.7,A,10242000
2004-02-17 00:00:00+00:00,10.6,A,10242000
2004-02-18 00:00:00+00:00,11.9,A,10242000
2004-02-19 00:00:00+00:00,9.59,A,10242000
2004-02-20 00:00:00+00:00,9.6,A,10242000
2004-02-21 00:00:00+00:00,9.34,A,10242000
2004-02-22 00:00:00+00:00,9.53,A,10242000
2004-02-23 00:00:00+00:00,9.5,"A, e",10242000
2004-02-24 00:00:00+00:00,9.5,"A, e",10242000
2004-02-25 00:00:00+00:00,9.5,"A, e",10242000
2004-02-26 00:00:00+00:00,9.5,"A, e",10242000
2004-02-27 00:00:00+00:00,9.5,"A, e",10242000
2004-02-28 00:00:00+00:00,9.5,"A, e",10242000
2004-02-29 00:00:00+00:00,9.5,"A, e",10242000
2004-03-01 00:00:00+00:00,9.5,"A, e",10242000
2004-03-02 00:00:00+00:00,9.5,"A, e",10242000
2004-03-03 00:00:00+00:00,9.5,"A, e",10242000
2004-03-04 00:00:00+00:00,10.0,"A, e",10242000
2004-03-05 00:00:00+00:00,9.99,A,10242000
2004-03-06 00:00:00+00:00,10.9,A,10242000
2004-03-07 00:00:00+00:00,14.5,A,10242000
2004-03-08 00:00:00+00:00,22.8,A,10242000
2004-03-09 00:00:00+00:00,31.9,A,10242000
2004-03-10 00:00:00+00:00,32.0,A,10242000
2004-03-11 00:00:00+00:00,30.3,A,10242000
2004-03-12 00:00:00+00:00,29.1,A,10242000
2004-03-13 00:00:00+00:00,26.7,A,10242000
2004-03-14 00:00:00+00:00,27.4,A,10242000
2004-03-15 00:00:00+00:00,26.3,A,10242000
2004-03-16 00:00:00+00:00,25.9,A,10242000
2004-03-17 00:00:00+00:00,28.1,A,10242000
2004-03-18 00:00:00+00:00,29.8,A,10242000
2004-03-19 00:00:00+00:00,32.5,A,10242000
2004-03-20 00:00:00+00:00,34.9,A,10242000
2004-03-21 00:00:00+00:00,36.8,A,10242000
2004-03-22 00:00:00+00:00,38.7,A,10242000
2004-03-23 00:00:00+00:00,41.9,A,10242000
2004-03-24 00:00:00+00:00,39.9,A,10242000
2004-03-25 00:00:00+00:00,36.0,A,10242000
2004-03-26 00:00:00+00:00,31.6,A,10242000
2004-03-27 00:00:00+00:00,24.1,A,10242000
2004-03-28 00:00:00+00:00,21.0,A,10242000
2004-03-29 00:00:00+00:00,21.0,A,10242000
2004-03-30 00:00:00+00:00,23.1,A,10242000
2004-03-31 00:00:00+00:00,27.2,A,10242000
2004-04-01 00:00:00+00:00,30.4,A,10242000
2004-04-02 00:00:00+00:00,32.6,A,10242000
2004-04-03 00:00:00+00:00,34.5,A,10242000
2004-04-04 00:00:00+00:00,30.3,A,10242000
2004-04-05 00:00:00+00:00,32.3,A,10242000
2004-04-06 00:00:00+00:00,40.4,A,10242000
2004-04-07 00:00:00+00:00,45.3,A,10242000
2004-04-08 00:00:00+00:00,42.0,A,10242000
2004-04-09 00:00:00+00:00,41.2,A,10242000
2004-04-10 00:00:00+00:00,41.3,A,10242000
2004-04-11 00:00:00+00:00,34.1,A,10242000
2004-04-12 00:00:00+00:00,35.0,A,10242000
2004-04-13 00:00:00+00:00,42.8,A,10242000
2004-04-14 00:00:00+00:00,49.1,A,10242000
