datetime,00060_Mean,00060_Mean_cd,site_no
2003-10-01 00:00:00+00:00,427.0,A,15511000
2003-10-02 00:00:00+00:00,416.0,A,15511000
2003-10-03 00:00:00+00:00,406.0,A,15511000
2003-10-04 00:00:00+00:00,399.0,A,15511000
2003-10-05 00:00:00+00:00,388.0,A,15511000
2003-10-06 00:00:00+00:00,379.0,A,15511000
2003-10-07 00:00:00+00:00,369.0,A,15511000
2003-10-08 00:00:00+00:00,357.0,A,15511000
2003-10-09 00:00:00+00:00,346.0,A,15511000
2003-10-10 00:00:00+00:00,341.0,A,15511000
2003-10-11 00:00:00+00:00,332.0,A,15511000
2003-10-12 00:00:00+00:00,320.0,A,15511000
2003-10-13 00:00:00+00:00,310.0,A,15511000
2003-10-14 00:00:00+00:00,288.0,A,15511000
2003-10-15 00:00:00+00:00,260.0,"A, e",15511000
2003-10-16 00:00:00+00:00,230.0,"A, e",15511000
2003-10-17 00:00:00+00:00,200.0,"A, e",15511000
2003-10-18 00:00:00+00:00,180.0,"A, e",15511000
2003-10-19 00:00:00+00:00,155.0,"A, e",15511000
2003-10-20 00:00:00+00:00,145.0,"A, e",15511000
2003-10-21 00:00:00+00:00,180.0,"A, e",15511000
2003-10-22 00:00:00+00:00,210.0,"A, e",15511000
2003-10-23 00:00:00+00:00,230.0,"A, e",15511000
2003-10-24 00:00:00+00:00,245.0,"A, e",15511000
2003-10-25 00:00:00+00:00,250.0,"A, e",15511000
2003-10-26 00:00:00+00:00,230.0,"A, e",15511000
2003-10-27 00:00:00+00:00,200.0,"A, e",15511000
2003-10-28 00:00:00+00:00,170.0,"A, e",15511000
2003-10-29 00:00:00+00:00,145.0,"A, e",15511000
2003-10-30 00:00:00+00:00,190.0,"A, e",15511000
2003-10-31 00:00:00+00:00,230.0,"A, e",15511000
2003-11-01 00:00:00+00:00,250.0,"A, e",15511000
2003-11-02 00:00:00+00:00,230.0,"A, e",15511000
2003-11-03 00:00:00+00:00,210.0,"A, e",15511000
2003-11-04 00:00:00+00:00,200.0,"A, e",15511000
2003-11-05 00:00:00+00:00,190.0,"A, e",15511000
2003-11-06 00:00:00+00:00,180.0,"A, e",15511000
2003-11-07 00:00:00+00:00,170.0,"A, e",15511000
2003-11-08 00:00:00+00:00,160.0,"A, e",15511000
2003-11-09 00:00:00+00:00,150.0,"A, e",15511000
2003-11-10 00:00:00+00:00,140.0,"A, e",15511000
2003-11-11 00:00:00+00:00,130.0,"A, e",15511000
2003-11-12 00:00:00+00:00,120.0,"A, e",15511000
2003-11-13 00:00:00+00:00,110.0,"A, e",15511000
2003-11-14 00:00:00+00:00,100.0,"A, e",15511000
2003-11-15 00:00:00+00:00,100.0,"A, e",15511000
2003-11-16 00:00:00+00:00,100.0,"A, e",15511000
2003-11-17 00:00:00+00:00,110.0,"A, e",15511000
2003-11-18 00:00:00+00:00,130.0,"A, e",15511000
2003-11-19 00:00:00+00:00,150.0,"A, e",15511000
2003-11-20 00:00:00+00:00,170.0,"A, e",15511000
2003-11-21 00:00:00+00:00,180.0,"A, e",15511000
2003-11-22 00:00:00+00:00,190.0,"A, e",15511000
2003-11-23 00:00:00+00:00,190.0,"A, e",15511000
2003-11-24 00:00:00+00:00,190.0,"A, e",15511000
2003-11-25 00:00:00+00:00,180.0,"A, e",15511000
2003-11-26 00:00:00+00:00,180.0,"A, e",15511000
2003-11-27 00:00:00+00:00,170.0,"A, e",15511000
2003-11-28 00:00:00+00:00,170.0,"A, e",15511000
2003-11-29 00:00:00+00:00,160.0,"A, e",15511000
2003-11-30 00:00:00+00:00,160.0,"A, e",15511000
2003-12-01 00:00:00+00:00,150.0,"A, e",15511000
2003-12-02 00:00:00+00:00,150.0,"A, e",15511000
2003-12-03 00:00:00+00:00,150.0,"A, e",15511000
2003-12-04 00:00:00+00:00,145.0,"A, e",15511000
2003-12-05 00:00:00+00:00,145.0,"A, e",15511000
2003-12-06 00:00:00+00:00,140.0,"A, e",15511000
2003-12-07 00:00:00+00:00,140.0,"A, e",15511000
2003-12-08 00:00:00+00:00,140.0,"A, e",15511000
2003-12-09 00:00:00+00:00,135.0,"A, e",15511000
2003-12-10 00:00:00+00:00,135.0,"A, e",15511000
2003-12-11 00:00:00+00:00,130.0,"A, e",15511000
2003-12-12 00:00:00+00:00,130.0,"A, e",15511000
2003-12-13 00:00:00+00:00,130.0,"A, e",15511000
2003-12-14 00:00:00+00:00,130.0,"A, e",15511000
2003-12-15 00:00:00+00:00,130.0,"A, e",15511000
2003-12-16 00:00:00+00:00,130.0,"A, e",15511000
2003-12-17 00:00:00+00:00,130.0,"A, e",15511000
2003-12-18 00:00:00+00:00,130.0,"A, e",15511000
2003-12-19 00:00:00+00:00,125.0,"A, e",15511000
2003-12-20 00:00:00+00:00,125.0,"A, e",15511000
2003-12-21 00:00:00+00:00,125.0,"A, e",15511000
2003-12-22 00:00:00+00:00,125.0,"A, e",15511000
2003-12-23 00:00:00+00:00,125.0,"A, e",15511000
2003-12-24 00:00:00+00:00,120.0,"A, e",15511000
2003-12-25 00:00:00+00:00,120.0,"A, e",15511000
2003-12-26 00:00:00+00:00,115.0,"A, e",15511000
2003-12-27 00:00:00+00:00,115.0,"A, e",15511000
2003-12-28 00:00:00+00:00,115.0,"A, e",15511000
2003-12-29 00:00:00+00:00,110.0,"A, e",15511000
2003-12-30 00:00:00+00:00,110.0,"A, e",15511000
2003-12-31 00:00:00+00:00,105.0,"A, e",15511000
2004-01-01 00:00:00+00:00,105.0,"A, e",15511000
2004-01-02 00:00:00+00:00,105.0,"A, e",15511000
2004-01-03 00:00:00+00:00,100.0,"A, e",15511000
2004-01-04 00:00:00+00:00,98.0,"A, e",15511000
2004-01-05 00:00:00+00:00,96.0,"A, e",15511000
2004-01-06 00:00:00+00:00,94.0,"A, e",15511000
2004-01-07 00:00:00+00:00,92.0,"A, e",15511000
2004-01-08 00:00:00+00:00,90.0,"A, e",15511000
2004-01-09 00:00:00+00:00,88.0,"A, e",15511000
2004-01-10 00:00:00+00:00,86.0,"A, e",15511000
2004-01-11 00:00:00+00:00,84.0,"A, e",15511000
2004-01-12 00:00:00+00:00,82.0,"A, e",15511000
