datetime,00060_Mean,00060_Mean_cd,site_no
2003-10-01 00:00:00+00:00,1.44,A,12374250
2003-10-02 00:00:00+00:00,1.41,A,12374250
2003-10-03 00:00:00+00:00,1.35,A,12374250
2003-10-04 00:00:00+00:00,1.34,A,12374250
2003-10-05 00:00:00+00:00,1.33,A,12374250
2003-10-06 00:00:00+00:00,1.32,A,12374250
2003-10-07 00:00:00+00:00,1.32,A,12374250
2003-10-08 00:00:00+00:00,1.43,A,12374250
2003-10-09 00:00:00+00:00,1.67,A,12374250
2003-10-10 00:00:00+00:00,1.58,A,12374250
2003-10-11 00:00:00+00:00,1.59,A,12374250
2003-10-12 00:00:00+00:00,1.77,A,12374250
2003-10-13 00:00:00+00:00,1.98,A,12374250
2003-10-14 00:00:00+00:00,1.78,A,12374250
2003-10-15 00:00:00+00:00,1.8,A,12374250
2003-10-16 00:00:00+00:00,2.2,A,12374250
2003-10-17 00:00:00+00:00,2.11,A,12374250
2003-10-18 00:00:00+00:00,1.76,A,12374250
2003-10-19 00:00:00+00:00,1.65,A,12374250
2003-10-20 00:00:00+00:00,1.65,A,12374250
2003-10-21 00:00:00+00:00,1.65,A,12374250
2003-10-22 00:00:00+00:00,1.61,A,12374250
2003-10-23 00:00:00+00:00,1.64,A,12374250
2003-10-24 00:00:00+00:00,1.68,A,12374250
2003-10-25 00:00:00+00:00,1.65,A,12374250
2003-10-26 00:00:00+00:00,1.74,A,12374250
2003-10-27 00:00:00+00:00,1.75,A,12374250
2003-10-28 00:00:00+00:00,2.11,A,12374250
2003-10-29 00:00:00+00:00,2.3,"A, e",12374250
2003-10-30 00:00:00+00:00,2.0,"A, e",12374250
2003-10-31 00:00:00+00:00,1.4,"A, e",12374250
2003-11-01 00:00:00+00:00,1.6,"A, e",12374250
2003-11-02 00:00:00+00:00,1.7,"A, e",12374250
2003-11-03 00:00:00+00:00,1.7,"A, e",12374250
2003-11-04 00:00:00+00:00,1.7,"A, e",12374250
2003-11-05 00:00:00+00:00,1.8,"A, e",12374250
2003-11-06 00:00:00+00:00,1.7,"A, e",12374250
2003-11-07 00:00:00+00:00,1.8,"A, e",12374250
2003-11-08 00:00:00+00:00,2.0,"A, e",12374250
2003-11-09 00:00:00+00:00,2.3,"A, e",12374250
2003-11-10 00:00:00+00:00,2.6,"A, e",12374250
2003-11-11 00:00:00+00:00,3.0,"A, e",12374250
2003-11-12 00:00:00+00:00,3.2,"A, e",12374250
2003-11-13 00:00:00+00:00,3.3,A,12374250
2003-11-14 00:00:00+00:00,3.05,A,12374250
2003-11-15 00:00:00+00:00,2.97,A,12374250
2003-11-16 00:00:00+00:00,2.84,A,12374250
2003-11-17 00:00:00+00:00,2.76,A,12374250
2003-11-18 00:00:00+00:00,2.83,A,12374250
2003-11-19 00:00:00+00:00,2.7,"A, e",12374250
2003-11-20 00:00:00+00:00,2.2,"A, e",12374250
2003-11-21 00:00:00+00:00,2.3,A,12374250
2003-11-22 00:00:00+00:00,2.23,A,12374250
2003-11-23 00:00:00+00:00,2.4,A,12374250
2003-11-24 00:00:00+00:00,2.3,A,12374250
2003-11-25 00:00:00+00:00,2.29,A,12374250
2003-11-26 00:00:00+00:00,2.29,A,12374250
2003-11-27 00:00:00+00:00,2.17,A,12374250
2003-11-28 00:00:00+00:00,2.17,A,12374250
2003-11-29 00:00:00+00:00,2.55,A,12374250
2003-11-30 00:00:00+00:00,2.72,A,12374250
2003-12-01 00:00:00+00:00,2.31,A,12374250
2003-12-02 00:00:00+00:00,2.29,A,12374250
2003-12-03 00:00:00+00:00,2.46,A,12374250
2003-12-04 00:00:00+00:00,2.6,"A, e",12374250
2003-12-05 00:00:00+00:00,2.3,"A, e",12374250
2003-12-06 00:00:00+00:00,2.2,"A, e",12374250
2003-12-07 00:00:00+00:00,2.2,"A, e",12374250
2003-12-08 00:00:00+00:00,2.1,"A, e",12374250
2003-12-09 00:00:00+00:00,2.0,"A, e",12374250
2003-12-10 00:00:00+00:00,2.2,"A, e",12374250
2003-12-11 00:00:00+00:00,2.37,A,12374250
2003-12-12 00:00:00+00:00,2.29,A,12374250
2003-12-13 00:00:00+00:00,2.33,A,12374250
2003-12-14 00:00:00+00:00,2.45,A,12374250
2003-12-15 00:00:00+00:00,2.3,A,12374250
2003-12-16 00:00:00+00:00,2.19,A,12374250
2003-12-17 00:00:00+00:00,2.26,A,12374250
2003-12-18 00:00:00+00:00,2.07,A,12374250
2003-12-19 00:00:00+00:00,2.0,A,12374250
2003-12-20 00:00:00+00:00,2.19,A,12374250
2003-12-21 00:00:00+00:00,2.31,A,12374250
2003-12-22 00:00:00+00:00,2.29,A,12374250
2003-12-23 00:00:00+00:00,2.2,"A, e",12374250
2003-12-24 00:00:00+00:00,2.1,"A, e",12374250
2003-12-25 00:00:00+00:00,2.0,"A, e",12374250
2003-12-26 00:00:00+00:00,2.1,"A, e",12374250
2003-12-27 00:00:00+00:00,2.2,"A, e",12374250
2003-12-28 00:00:00+00:00,2.19,A,12374250
2003-12-29 00:00:00+00:00,2.22,A,12374250
2003-12-30 00:00:00+00:00,2.2,"A, e",12374250
2003-12-31 00:00:00+00:00,2.1,"A, e",12374250
2004-01-01 00:00:00+00:00,2.0,"A, e",12374250
2004-01-02 00:00:00+00:00,1.9,"A, e",12374250
2004-01-03 00:00:00+00:00,1.7,"A, e",12374250
2004-01-04 00:00:00+00:00,1.3,"A, e",12374250
2004-01-05 00:00:00+00:00,1.0,"A, e",12374250
2004-01-06 00:00:00+00:00,1.7,"A, e",12374250
2004-01-07 00:00:00+00:00,2.2,"A, e",12374250
2004-01-08 00:00:00+00:00,2.4,"A, e",12374250
2004-01-09 00:00:00+00:00,2.4,"A, e",12374250
