datetime,00060_Mean,00060_Mean_cd,site_no
2003-10-01 00:00:00+00:00,19.0,"A, e",12381400
2003-10-02 00:00:00+00:00,18.6,A,12381400
2003-10-03 00:00:00+00:00,17.9,A,12381400
2003-10-04 00:00:00+00:00,17.8,A,12381400
2003-10-05 00:00:00+00:00,17.5,A,12381400
2003-10-06 00:00:00+00:00,16.8,A,12381400
2003-10-07 00:00:00+00:00,16.5,A,12381400
2003-10-08 00:00:00+00:00,16.5,A,12381400
2003-10-09 00:00:00+00:00,15.8,A,12381400
2003-10-10 00:00:00+00:00,16.2,A,12381400
2003-10-11 00:00:00+00:00,17.1,A,12381400
2003-10-12 00:00:00+00:00,17.2,A,12381400
2003-10-13 00:00:00+00:00,17.3,A,12381400
2003-10-14 00:00:00+00:00,17.1,A,12381400
2003-10-15 00:00:00+00:00,16.7,A,12381400
2003-10-16 00:00:00+00:00,17.3,A,12381400
2003-10-17 00:00:00+00:00,16.9,A,12381400
2003-10-18 00:00:00+00:00,15.8,A,12381400
2003-10-19 00:00:00+00:00,14.9,A,12381400
2003-10-20 00:00:00+00:00,14.4,A,12381400
2003-10-21 00:00:00+00:00,13.8,A,12381400
2003-10-22 00:00:00+00:00,13.5,A,12381400
2003-10-23 00:00:00+00:00,13.5,A,12381400
2003-10-24 00:00:00+00:00,13.4,A,12381400
2003-10-25 00:00:00+00:00,13.3,A,12381400
2003-10-26 00:00:00+00:00,13.3,A,12381400
2003-10-27 00:00:00+00:00,13.0,A,12381400
2003-10-28 00:00:00+00:00,16.7,A,12381400
2003-10-29 00:00:00+00:00,26.3,A,12381400
2003-10-30 00:00:00+00:00,15.0,"A, e",12381400
2003-10-31 00:00:00+00:00,12.0,"A, e",12381400
2003-11-01 00:00:00+00:00,13.0,"A, e",12381400
2003-11-02 00:00:00+00:00,14.0,"A, e",12381400
2003-11-03 00:00:00+00:00,13.0,"A, e",12381400
2003-11-04 00:00:00+00:00,12.0,"A, e",12381400
2003-11-05 00:00:00+00:00,10.0,"A, e",12381400
2003-11-06 00:00:00+00:00,9.0,"A, e",12381400
2003-11-07 00:00:00+00:00,10.0,"A, e",12381400
2003-11-08 00:00:00+00:00,10.0,"A, e",12381400
2003-11-09 00:00:00+00:00,12.0,"A, e",12381400
2003-11-10 00:00:00+00:00,13.0,"A, e",12381400
2003-11-11 00:00:00+00:00,14.0,"A, e",12381400
2003-11-12 00:00:00+00:00,13.0,"A, e",12381400
2003-11-13 00:00:00+00:00,12.0,"A, e",12381400
2003-11-14 00:00:00+00:00,11.0,"A, e",12381400
2003-11-15 00:00:00+00:00,12.0,"A, e",12381400
2003-11-16 00:00:00+00:00,13.0,"A, e",12381400
2003-11-17 00:00:00+00:00,13.0,"A, e",12381400
2003-11-18 00:00:00+00:00,13.2,A,12381400
2003-11-19 00:00:00+00:00,13.9,A,12381400
2003-11-20 00:00:00+00:00,13.0,"A, e",12381400
2003-11-21 00:00:00+00:00,12.0,"A, e",12381400
2003-11-22 00:00:00+00:00,12.0,"A, e",12381400
2003-11-23 00:00:00+00:00,13.0,"A, e",12381400
2003-11-24 00:00:00+00:00,13.0,"A, e",12381400
2003-11-25 00:00:00+00:00,13.0,"A, e",12381400
2003-11-26 00:00:00+00:00,13.0,"A, e",12381400
2003-11-27 00:00:00+00:00,12.0,"A, e",12381400
2003-11-28 00:00:00+00:00,13.0,"A, e",12381400
2003-11-29 00:00:00+00:00,13.0,"A, e",12381400
2003-11-30 00:00:00+00:00,12.6,A,12381400
2003-12-01 00:00:00+00:00,12.0,A,12381400
2003-12-02 00:00:00+00:00,12.5,A,12381400
2003-12-03 00:00:00+00:00,11.0,"A, e",12381400
2003-12-04 00:00:00+00:00,9.0,"A, e",12381400
2003-12-05 00:00:00+00:00,11.0,"A, e",12381400
2003-12-06 00:00:00+00:00,12.0,"A, e",12381400
