datetime,00060_Mean,00060_Mean_cd,site_no
2003-10-01 00:00:00+00:00,136.0,A,06280300
2003-10-02 00:00:00+00:00,132.0,A,06280300
2003-10-03 00:00:00+00:00,130.0,A,06280300
2003-10-04 00:00:00+00:00,129.0,A,06280300
2003-10-05 00:00:00+00:00,127.0,A,06280300
2003-10-06 00:00:00+00:00,126.0,A,06280300
2003-10-07 00:00:00+00:00,124.0,A,06280300
2003-10-08 00:00:00+00:00,125.0,A,06280300
2003-10-09 00:00:00+00:00,124.0,A,06280300
2003-10-10 00:00:00+00:00,125.0,A,06280300
2003-10-11 00:00:00+00:00,123.0,A,06280300
2003-10-12 00:00:00+00:00,122.0,A,06280300
2003-10-13 00:00:00+00:00,122.0,A,06280300
2003-10-14 00:00:00+00:00,120.0,A,06280300
2003-10-15 00:00:00+00:00,119.0,A,06280300
2003-10-16 00:00:00+00:00,120.0,A,06280300
2003-10-17 00:00:00+00:00,120.0,A,06280300
2003-10-18 00:00:00+00:00,118.0,A,06280300
2003-10-19 00:00:00+00:00,117.0,A,06280300
2003-10-20 00:00:00+00:00,115.0,A,06280300
2003-10-21 00:00:00+00:00,114.0,A,06280300
2003-10-22 00:00:00+00:00,114.0,A,06280300
2003-10-23 00:00:00+00:00,112.0,A,06280300
2003-10-24 00:00:00+00:00,110.0,A,06280300
2003-10-25 00:00:00+00:00,100.0,A,06280300
2003-10-26 00:00:00+00:00,101.0,A,06280300
2003-10-27 00:00:00+00:00,103.0,A,06280300
2003-10-28 00:00:00+00:00,104.0,A,06280300
2003-10-29 00:00:00+00:00,114.0,A,06280300
2003-10-30 00:00:00+00:00,103.0,A,06280300
2003-10-31 00:00:00+00:00,83.3,A,06280300
2003-11-01 00:00:00+00:00,82.5,A,06280300
2003-11-02 00:00:00+00:00,72.2,A,06280300
2003-11-03 00:00:00+00:00,62.8,A,06280300
2003-11-04 00:00:00+00:00,64.7,A,06280300
2003-11-05 00:00:00+00:00,61.0,A,06280300
2003-11-06 00:00:00+00:00,57.5,A,06280300
2003-11-07 00:00:00+00:00,55.0,A,06280300
2003-11-08 00:00:00+00:00,55.8,A,06280300
2003-11-09 00:00:00+00:00,64.4,A,06280300
2003-11-10 00:00:00+00:00,81.8,A,06280300
2003-11-11 00:00:00+00:00,86.0,A,06280300
2003-11-12 00:00:00+00:00,84.9,A,06280300
2003-11-13 00:00:00+00:00,84.2,A,06280300
2003-11-14 00:00:00+00:00,90.8,A,06280300
2003-11-15 00:00:00+00:00,92.1,A,06280300
2003-11-16 00:00:00+00:00,93.7,A,06280300
2003-11-17 00:00:00+00:00,93.9,A,06280300
2003-11-18 00:00:00+00:00,91.7,A,06280300
2003-11-19 00:00:00+00:00,92.4,A,06280300
2003-11-20 00:00:00+00:00,97.5,A,06280300
2003-11-21 00:00:00+00:00,93.2,A,06280300
