datetime,00060_Mean,00060_Mean_cd,site_no
2004-10-01 00:00:00+00:00,11700.0,A,12372000
2004-10-02 00:00:00+00:00,11600.0,A,12372000
2004-10-03 00:00:00+00:00,10300.0,A,12372000
2004-10-04 00:00:00+00:00,9200.0,A,12372000
2004-10-05 00:00:00+00:00,7880.0,A,12372000
2004-10-06 00:00:00+00:00,7530.0,A,12372000
2004-10-07 00:00:00+00:00,7530.0,A,12372000
2004-10-08 00:00:00+00:00,7520.0,A,12372000
2004-10-09 00:00:00+00:00,7530.0,A,12372000
2004-10-10 00:00:00+00:00,7540.0,A,12372000
2004-10-11 00:00:00+00:00,7650.0,A,12372000
2004-10-12 00:00:00+00:00,7740.0,A,12372000
2004-10-13 00:00:00+00:00,7740.0,A,12372000
2004-10-14 00:00:00+00:00,7730.0,A,12372000
2004-10-15 00:00:00+00:00,7660.0,A,12372000
2004-10-16 00:00:00+00:00,7670.0,A,12372000
2004-10-17 00:00:00+00:00,7730.0,A,12372000
2004-10-18 00:00:00+00:00,7760.0,A,12372000
2004-10-19 00:00:00+00:00,8280.0,A,12372000
2004-10-20 00:00:00+00:00,8700.0,A,12372000
2004-10-21 00:00:00+00:00,8690.0,A,12372000
2004-10-22 00:00:00+00:00,8690.0,A,12372000
2004-10-23 00:00:00+00:00,8730.0,A,12372000
2004-10-24 00:00:00+00:00,8780.0,A,12372000
2004-10-25 00:00:00+00:00,8770.0,A,12372000
2004-10-26 00:00:00+00:00,8730.0,A,12372000
2004-10-27 00:00:00+00:00,8750.0,A,12372000
2004-10-28 00:00:00+00:00,8770.0,A,12372000
2004-10-29 00:00:00+00:00,8680.0,A,12372000
2004-10-30 00:00:00+00:00,8660.0,A,12372000
2004-10-31 00:00:00+00:00,8650.0,A,12372000
2004-11-01 00:00:00+00:00,8670.0,A,12372000
2004-11-02 00:00:00+00:00,8670.0,A,12372000
2004-11-03 00:00:00+00:00,8030.0,A,12372000
2004-11-04 00:00:00+00:00,7250.0,A,12372000
2004-11-05 00:00:00+00:00,6840.0,A,12372000
2004-11-06 00:00:00+00:00,6850.0,A,12372000
2004-11-07 00:00:00+00:00,6840.0,A,12372000
2004-11-08 00:00:00+00:00,6840.0,A,12372000
2004-11-09 00:00:00+00:00,6850.0,A,12372000
2004-11-10 00:00:00+00:00,6820.0,A,12372000
2004-11-11 00:00:00+00:00,6800.0,A,12372000
2004-11-12 00:00:00+00:00,6830.0,A,12372000
2004-11-13 00:00:00+00:00,6810.0,A,12372000
2004-11-14 00:00:00+00:00,6830.0,A,12372000
2004-11-15 00:00:00+00:00,6830.0,A,12372000
2004-11-16 00:00:00+00:00,6810.0,A,12372000
2004-11-17 00:00:00+00:00,6810.0,A,12372000
2004-11-18 00:00:00+00:00,6850.0,A,12372000
2004-11-19 00:00:00+00:00,6870.0,A,12372000
2004-11-20 00:00:00+00:00,6880.0,A,12372000
2004-11-21 00:00:00+00:00,6880.0,A,12372000
2004-11-22 00:00:00+00:00,6850.0,A,12372000
2004-11-23 00:00:00+00:00,6920.0,A,12372000
2004-11-24 00:00:00+00:00,6970.0,A,12372000
2004-11-25 00:00:00+00:00,7020.0,A,12372000
2004-11-26 00:00:00+00:00,7030.0,A,12372000
2004-11-27 00:00:00+00:00,6980.0,A,12372000
2004-11-28 00:00:00+00:00,6970.0,A,12372000
2004-11-29 00:00:00+00:00,7480.0,A,12372000
2004-11-30 00:00:00+00:00,8570.0,A,12372000
2004-12-01 00:00:00+00:00,9550.0,A,12372000
2004-12-02 00:00:00+00:00,9950.0,A,12372000
2004-12-03 00:00:00+00:00,9940.0,A,12372000
2004-12-04 00:00:00+00:00,9960.0,A,12372000
2004-12-05 00:00:00+00:00,9950.0,A,12372000
2004-12-06 00:00:00+00:00,10000.0,A,12372000
2004-12-07 00:00:00+00:00,10100.0,A,12372000
2004-12-08 00:00:00+00:00,10100.0,A,12372000
2004-12-09 00:00:00+00:00,10100.0,A,12372000
2004-12-10 00:00:00+00:00,10500.0,A,12372000
2004-12-11 00:00:00+00:00,10900.0,A,12372000
2004-12-12 00:00:00+00:00,10800.0,A,12372000
2004-12-13 00:00:00+00:00,11000.0,A,12372000
2004-12-14 00:00:00+00:00,11100.0,A,12372000
2004-12-15 00:00:00+00:00,11600.0,A,12372000
2004-12-16 00:00:00+00:00,12100.0,A,12372000
2004-12-17 00:00:00+00:00,12100.0,A,12372000
2004-12-18 00:00:00+00:00,12100.0,A,12372000
2004-12-19 00:00:00+00:00,12100.0,A,12372000
2004-12-20 00:00:00+00:00,12100.0,A,12372000
2004-12-21 00:00:00+00:00,12100.0,A,12372000
2004-12-22 00:00:00+00:00,12300.0,A,12372000
2004-12-23 00:00:00+00:00,12100.0,A,12372000
2004-12-24 00:00:00+00:00,12200.0,A,12372000
2004-12-25 00:00:00+00:00,12200.0,A,12372000
2004-12-26 00:00:00+00:00,12300.0,A,12372000
2004-12-27 00:00:00+00:00,12300.0,A,12372000
2004-12-28 00:00:00+00:00,12100.0,A,12372000
2004-12-29 00:00:00+00:00,12100.0,A,12372000
2004-12-30 00:00:00+00:00,12200.0,A,12372000
2004-12-31 00:00:00+00:00,12200.0,A,12372000
2005-01-01 00:00:00+00:00,12300.0,A,12372000
2005-01-02 00:00:00+00:00,12200.0,A,12372000
2005-01-03 00:00:00+00:00,12300.0,A,12372000
2005-01-04 00:00:00+00:00,12400.0,A,12372000
2005-01-05 00:00:00+00:00,11700.0,A,12372000
2005-01-06 00:00:00+00:00,10900.0,A,12372000
2005-01-07 00:00:00+00:00,9980.0,A,12372000
2005-01-08 00:00:00+00:00,9570.0,A,12372000
2005-01-09 00:00:00+00:00,8950.0,A,12372000
2005-01-10 00:00:00+00:00,8040.0,A,12372000
2005-01-11 00:00:00+00:00,7560.0,A,12372000
2005-01-12 00:00:00+00:00,7600.0,A,12372000
2005-01-13 00:00:00+00:00,7750.0,A,12372000
2005-01-14 00:00:00+00:00,7860.0,A,12372000
2005-01-15 00:00:00+00:00,7730.0,A,12372000
2005-01-16 00:00:00+00:00,7810.0,A,12372000
2005-01-17 00:00:00+00:00,7760.0,A,12372000
2005-01-18 00:00:00+00:00,7680.0,A,12372000
