datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2004-10-01 00:00:00+00:00,5.5,A,15056210,2340.0,A
2004-10-02 00:00:00+00:00,5.0,A,15056210,2300.0,A
2004-10-03 00:00:00+00:00,5.0,A,15056210,2160.0,A
2004-10-04 00:00:00+00:00,5.0,A,15056210,2320.0,A
2004-10-05 00:00:00+00:00,4.5,A,15056210,2350.0,A
2004-10-06 00:00:00+00:00,4.5,A,15056210,1910.0,A
2004-10-07 00:00:00+00:00,5.0,A,15056210,1590.0,A
2004-10-08 00:00:00+00:00,5.0,A,15056210,1230.0,A
2004-10-09 00:00:00+00:00,5.0,A,15056210,1030.0,A
2004-10-10 00:00:00+00:00,5.0,A,15056210,1210.0,A
2004-10-11 00:00:00+00:00,4.5,A,15056210,1030.0,A
2004-10-12 00:00:00+00:00,4.0,A,15056210,811.0,A
2004-10-13 00:00:00+00:00,5.5,A,15056210,2120.0,A
2004-10-14 00:00:00+00:00,5.0,A,15056210,1510.0,A
2004-10-15 00:00:00+00:00,4.5,A,15056210,1170.0,A
2004-10-16 00:00:00+00:00,3.5,A,15056210,820.0,A
2004-10-17 00:00:00+00:00,3.0,A,15056210,621.0,A
2004-10-18 00:00:00+00:00,2.0,A,15056210,496.0,A
2004-10-19 00:00:00+00:00,1.0,A,15056210,420.0,A
2004-10-20 00:00:00+00:00,1.5,A,15056210,396.0,A
2004-10-21 00:00:00+00:00,1.5,A,15056210,369.0,A
2004-10-22 00:00:00+00:00,2.0,A,15056210,341.0,A
2004-10-23 00:00:00+00:00,0.5,A,15056210,300.0,A
2004-10-24 00:00:00+00:00,1.0,A,15056210,300.0,A
2004-10-25 00:00:00+00:00,2.0,A,15056210,283.0,A
2004-10-26 00:00:00+00:00,1.0,A,15056210,267.0,A
2004-10-27 00:00:00+00:00,2.5,A,15056210,293.0,A
2004-10-28 00:00:00+00:00,3.0,A,15056210,349.0,A
2004-10-29 00:00:00+00:00,2.5,A,15056210,495.0,A
2004-10-30 00:00:00+00:00,3.0,A,15056210,419.0,A
2004-10-31 00:00:00+00:00,3.0,A,15056210,353.0,A
2004-11-01 00:00:00+00:00,3.0,A,15056210,315.0,A
2004-11-02 00:00:00+00:00,2.5,A,15056210,298.0,A
2004-11-03 00:00:00+00:00,3.0,A,15056210,628.0,A
2004-11-04 00:00:00+00:00,3.0,A,15056210,529.0,A
2004-11-05 00:00:00+00:00,2.0,A,15056210,375.0,A
2004-11-06 00:00:00+00:00,2.0,A,15056210,315.0,A
2004-11-07 00:00:00+00:00,1.0,A,15056210,279.0,A
2004-11-08 00:00:00+00:00,0.5,A,15056210,250.0,A
2004-11-09 00:00:00+00:00,1.0,A,15056210,247.0,A
2004-11-10 00:00:00+00:00,2.0,A,15056210,233.0,A
2004-11-11 00:00:00+00:00,1.5,A,15056210,219.0,A
2004-11-12 00:00:00+00:00,1.5,A,15056210,211.0,A
2004-11-13 00:00:00+00:00,2.5,A,15056210,220.0,A
2004-11-14 00:00:00+00:00,3.0,A,15056210,226.0,A
2004-11-15 00:00:00+00:00,3.0,A,15056210,234.0,A
2004-11-16 00:00:00+00:00,3.0,A,15056210,250.0,A
2004-11-17 00:00:00+00:00,2.5,A,15056210,238.0,A
2004-11-18 00:00:00+00:00,3.0,A,15056210,225.0,A
2004-11-19 00:00:00+00:00,2.5,A,15056210,224.0,A
2004-11-20 00:00:00+00:00,3.0,A,15056210,348.0,A
2004-11-21 00:00:00+00:00,2.5,A,15056210,423.0,A
2004-11-22 00:00:00+00:00,3.0,A,15056210,328.0,A
2004-11-23 00:00:00+00:00,3.0,A,15056210,282.0,A
2004-11-24 00:00:00+00:00,2.5,A,15056210,259.0,A
2004-11-25 00:00:00+00:00,3.0,A,15056210,253.0,A
2004-11-26 00:00:00+00:00,3.0,A,15056210,243.0,A
2004-11-27 00:00:00+00:00,3.0,A,15056210,225.0,A
2004-11-28 00:00:00+00:00,3.5,A,15056210,282.0,A
2004-11-29 00:00:00+00:00,3.5,A,15056210,318.0,A
2004-11-30 00:00:00+00:00,3.5,A,15056210,288.0,A
2004-12-01 00:00:00+00:00,4.0,A,15056210,370.0,A
2004-12-02 00:00:00+00:00,3.5,A,15056210,570.0,A
2004-12-03 00:00:00+00:00,3.5,A,15056210,611.0,A
2004-12-04 00:00:00+00:00,1.5,A,15056210,431.0,A
2004-12-05 00:00:00+00:00,0.5,A,15056210,310.0,"A, e"
2004-12-06 00:00:00+00:00,0.5,A,15056210,250.0,"A, e"
2004-12-07 00:00:00+00:00,0.5,A,15056210,210.0,"A, e"
2004-12-08 00:00:00+00:00,0.5,A,15056210,180.0,"A, e"
2004-12-09 00:00:00+00:00,0.5,A,15056210,185.0,"A, e"
2004-12-10 00:00:00+00:00,0.5,A,15056210,190.0,"A, e"
2004-12-11 00:00:00+00:00,1.0,A,15056210,210.0,"A, e"
2004-12-12 00:00:00+00:00,1.5,A,15056210,242.0,A
2004-12-13 00:00:00+00:00,1.5,A,15056210,214.0,A
2004-12-14 00:00:00+00:00,2.0,A,15056210,194.0,A
2004-12-15 00:00:00+00:00,2.0,A,15056210,188.0,A
2004-12-16 00:00:00+00:00,1.5,A,15056210,368.0,A
2004-12-17 00:00:00+00:00,2.0,A,15056210,691.0,A
2004-12-18 00:00:00+00:00,2.5,A,15056210,659.0,A
2004-12-19 00:00:00+00:00,2.5,A,15056210,543.0,A
2004-12-20 00:00:00+00:00,2.5,A,15056210,403.0,A
2004-12-21 00:00:00+00:00,2.0,A,15056210,325.0,A
2004-12-22 00:00:00+00:00,2.5,A,15056210,288.0,A
2004-12-23 00:00:00+00:00,3.0,A,15056210,987.0,A
2004-12-24 00:00:00+00:00,2.5,A,15056210,1330.0,A
2004-12-25 00:00:00+00:00,0.5,A,15056210,776.0,A
2004-12-26 00:00:00+00:00,0.5,A,15056210,560.0,"A, e"
2004-12-27 00:00:00+00:00,0.5,A,15056210,480.0,"A, e"
2004-12-28 00:00:00+00:00,0.5,A,15056210,290.0,"A, e"
2004-12-29 00:00:00+00:00,0.5,A,15056210,220.0,"A, e"
2004-12-30 00:00:00+00:00,0.5,A,15056210,170.0,"A, e"
2004-12-31 00:00:00+00:00,0.5,A,15056210,125.0,"A, e"
2005-01-01 00:00:00+00:00,0.5,A,15056210,102.0,"A, e"
2005-01-02 00:00:00+00:00,0.5,A,15056210,92.0,"A, e"
2005-01-03 00:00:00+00:00,0.5,A,15056210,85.0,"A, e"
2005-01-04 00:00:00+00:00,0.5,A,15056210,86.0,"A, e"
2005-01-05 00:00:00+00:00,0.5,A,15056210,87.0,"A, e"
2005-01-06 00:00:00+00:00,0.5,A,15056210,88.0,"A, e"
2005-01-07 00:00:00+00:00,0.5,A,15056210,88.0,"A, e"
2005-01-08 00:00:00+00:00,0.5,A,15056210,89.0,"A, e"
2005-01-09 00:00:00+00:00,0.5,A,15056210,82.0,"A, e"
2005-01-10 00:00:00+00:00,0.5,A,15056210,77.0,"A, e"
2005-01-11 00:00:00+00:00,0.5,A,15056210,72.0,"A, e"
2005-01-12 00:00:00+00:00,0.5,A,15056210,68.0,"A, e"
2005-01-13 00:00:00+00:00,0.5,A,15056210,65.0,"A, e"
2005-01-14 00:00:00+00:00,0.5,A,15056210,62.0,"A, e"
2005-01-15 00:00:00+00:00,0.5,A,15056210,59.0,"A, e"
2005-01-16 00:00:00+00:00,0.5,A,15056210,56.0,"A, e"
2005-01-17 00:00:00+00:00,0.5,A,15056210,54.0,"A, e"
2005-01-18 00:00:00+00:00,0.5,A,15056210,52.0,"A, e"
2005-01-19 00:00:00+00:00,0.5,A,15056210,50.0,"A, e"
2005-01-20 00:00:00+00:00,0.5,A,15056210,50.0,"A, e"
2005-01-21 00:00:00+00:00,0.5,A,15056210,52.0,"A, e"
2005-01-22 00:00:00+00:00,0.5,A,15056210,56.0,"A, e"
2005-01-23 00:00:00+00:00,0.5,A,15056210,60.0,"A, e"
2005-01-24 00:00:00+00:00,0.5,A,15056210,58.0,"A, e"
2005-01-25 00:00:00+00:00,0.0,A,15056210,57.0,"A, e"
2005-01-26 00:00:00+00:00,0.5,A,15056210,56.0,"A, e"
2005-01-27 00:00:00+00:00,0.0,A,15056210,55.0,"A, e"
2005-01-28 00:00:00+00:00,0.0,A,15056210,54.0,"A, e"
2005-01-29 00:00:00+00:00,0.0,A,15056210,61.0,"A, e"
2005-01-30 00:00:00+00:00,0.0,A,15056210,70.0,"A, e"
2005-01-31 00:00:00+00:00,0.5,A,15056210,66.0,"A, e"
2005-02-01 00:00:00+00:00,0.0,A,15056210,62.0,"A, e"
2005-02-02 00:00:00+00:00,0.0,A,15056210,59.0,"A, e"
2005-02-03 00:00:00+00:00,0.5,A,15056210,57.0,"A, e"
2005-02-04 00:00:00+00:00,0.0,A,15056210,54.0,"A, e"
2005-02-05 00:00:00+00:00,0.5,A,15056210,51.0,"A, e"
2005-02-06 00:00:00+00:00,0.5,A,15056210,50.0,"A, e"
2005-02-07 00:00:00+00:00,0.0,A,15056210,53.0,"A, e"
2005-02-08 00:00:00+00:00,0.0,A,15056210,57.0,"A, e"
2005-02-09 00:00:00+00:00,0.0,A,15056210,62.0,"A, e"
2005-02-10 00:00:00+00:00,0.0,A,15056210,70.0,"A, e"
2005-02-11 00:00:00+00:00,0.0,A,15056210,64.0,"A, e"
2005-02-12 00:00:00+00:00,0.5,A,15056210,59.0,"A, e"
2005-02-13 00:00:00+00:00,0.0,A,15056210,55.0,"A, e"
2005-02-14 00:00:00+00:00,0.0,A,15056210,52.0,"A, e"
2005-02-15 00:00:00+00:00,0.0,A,15056210,50.0,"A, e"
2005-02-16 00:00:00+00:00,0.0,A,15056210,51.0,"A, e"
2005-02-17 00:00:00+00:00,0.0,A,15056210,52.0,"A, e"
2005-02-18 00:00:00+00:00,0.0,A,15056210,53.0,"A, e"
2005-02-19 00:00:00+00:00,0.0,A,15056210,54.0,"A, e"
2005-02-20 00:00:00+00:00,0.0,A,15056210,55.0,"A, e"
2005-02-21 00:00:00+00:00,0.0,A,15056210,57.0,"A, e"
2005-02-22 00:00:00+00:00,0.0,A,15056210,60.0,"A, e"
2005-02-23 00:00:00+00:00,0.0,A,15056210,63.0,"A, e"
2005-02-24 00:00:00+00:00,0.5,A,15056210,69.0,"A, e"
2005-02-25 00:00:00+00:00,0.5,A,15056210,75.0,"A, e"
2005-02-26 00:00:00+00:00,1.0,A,15056210,79.7,A
2005-02-27 00:00:00+00:00,1.0,A,15056210,84.8,A
2005-02-28 00:00:00+00:00,1.0,A,15056210,127.0,A
2005-03-01 00:00:00+00:00,0.5,A,15056210,174.0,A
2005-03-02 00:00:00+00:00,0.5,A,15056210,256.0,A
2005-03-03 00:00:00+00:00,0.5,A,15056210,278.0,A
2005-03-04 00:00:00+00:00,1.0,A,15056210,227.0,A
2005-03-05 00:00:00+00:00,1.5,A,15056210,253.0,A
2005-03-06 00:00:00+00:00,1.5,A,15056210,231.0,A
2005-03-07 00:00:00+00:00,2.0,A,15056210,188.0,A
2005-03-08 00:00:00+00:00,1.5,A,15056210,223.0,A
2005-03-09 00:00:00+00:00,1.0,A,15056210,332.0,A
2005-03-10 00:00:00+00:00,0.5,A,15056210,445.0,A
2005-03-11 00:00:00+00:00,1.5,A,15056210,397.0,A
2005-03-12 00:00:00+00:00,2.0,A,15056210,351.0,A
2005-03-13 00:00:00+00:00,2.0,A,15056210,391.0,A
2005-03-14 00:00:00+00:00,2.5,A,15056210,325.0,A
2005-03-15 00:00:00+00:00,1.5,A,15056210,264.0,A
2005-03-16 00:00:00+00:00,1.5,A,15056210,218.0,A
2005-03-17 00:00:00+00:00,1.0,A,15056210,185.0,A
2005-03-18 00:00:00+00:00,0.5,A,15056210,156.0,"A, e"
2005-03-19 00:00:00+00:00,0.0,A,15056210,135.0,"A, e"
2005-03-20 00:00:00+00:00,0.0,A,15056210,120.0,"A, e"
