datetime,00060_Mean,00060_Mean_cd,site_no
2005-10-01 00:00:00+00:00,308.0,A,13185000
2005-10-02 00:00:00+00:00,329.0,A,13185000
2005-10-03 00:00:00+00:00,336.0,A,13185000
2005-10-04 00:00:00+00:00,341.0,A,13185000
2005-10-05 00:00:00+00:00,329.0,A,13185000
2005-10-06 00:00:00+00:00,327.0,A,13185000
2005-10-07 00:00:00+00:00,326.0,A,13185000
2005-10-08 00:00:00+00:00,336.0,A,13185000
2005-10-09 00:00:00+00:00,343.0,A,13185000
2005-10-10 00:00:00+00:00,333.0,A,13185000
2005-10-11 00:00:00+00:00,331.0,A,13185000
2005-10-12 00:00:00+00:00,337.0,A,13185000
2005-10-13 00:00:00+00:00,331.0,A,13185000
2005-10-14 00:00:00+00:00,326.0,A,13185000
2005-10-15 00:00:00+00:00,323.0,A,13185000
2005-10-16 00:00:00+00:00,320.0,A,13185000
2005-10-17 00:00:00+00:00,320.0,A,13185000
2005-10-18 00:00:00+00:00,320.0,A,13185000
2005-10-19 00:00:00+00:00,320.0,A,13185000
2005-10-20 00:00:00+00:00,319.0,A,13185000
2005-10-21 00:00:00+00:00,319.0,A,13185000
2005-10-22 00:00:00+00:00,319.0,A,13185000
2005-10-23 00:00:00+00:00,319.0,A,13185000
2005-10-24 00:00:00+00:00,318.0,A,13185000
2005-10-25 00:00:00+00:00,315.0,A,13185000
2005-10-26 00:00:00+00:00,314.0,A,13185000
2005-10-27 00:00:00+00:00,348.0,A,13185000
2005-10-28 00:00:00+00:00,409.0,A,13185000
2005-10-29 00:00:00+00:00,365.0,A,13185000
2005-10-30 00:00:00+00:00,349.0,A,13185000
2005-10-31 00:00:00+00:00,339.0,A,13185000
2005-11-01 00:00:00+00:00,342.0,A,13185000
2005-11-02 00:00:00+00:00,343.0,A,13185000
2005-11-03 00:00:00+00:00,361.0,A,13185000
2005-11-04 00:00:00+00:00,389.0,A,13185000
2005-11-05 00:00:00+00:00,384.0,A,13185000
2005-11-06 00:00:00+00:00,453.0,A,13185000
2005-11-07 00:00:00+00:00,491.0,A,13185000
2005-11-08 00:00:00+00:00,544.0,A,13185000
2005-11-09 00:00:00+00:00,457.0,A,13185000
2005-11-10 00:00:00+00:00,413.0,A,13185000
