datetime,00060_Mean,00060_Mean_cd,site_no
2005-10-01 00:00:00+00:00,36.7,A,14377100
2005-10-02 00:00:00+00:00,40.0,A,14377100
2005-10-03 00:00:00+00:00,47.1,A,14377100
2005-10-04 00:00:00+00:00,57.9,A,14377100
2005-10-05 00:00:00+00:00,66.6,A,14377100
2005-10-06 00:00:00+00:00,62.3,A,14377100
2005-10-07 00:00:00+00:00,55.3,A,14377100
2005-10-08 00:00:00+00:00,52.7,A,14377100
2005-10-09 00:00:00+00:00,51.2,A,14377100
2005-10-10 00:00:00+00:00,49.5,A,14377100
2005-10-11 00:00:00+00:00,48.6,A,14377100
2005-10-12 00:00:00+00:00,47.8,A,14377100
2005-10-13 00:00:00+00:00,50.0,A,14377100
2005-10-14 00:00:00+00:00,47.5,A,14377100
2005-10-15 00:00:00+00:00,58.8,A,14377100
2005-10-16 00:00:00+00:00,93.5,A,14377100
2005-10-17 00:00:00+00:00,86.9,A,14377100
2005-10-18 00:00:00+00:00,77.0,A,14377100
2005-10-19 00:00:00+00:00,70.8,A,14377100
2005-10-20 00:00:00+00:00,69.8,A,14377100
2005-10-21 00:00:00+00:00,69.3,A,14377100
2005-10-22 00:00:00+00:00,68.6,A,14377100
2005-10-23 00:00:00+00:00,68.3,A,14377100
2005-10-24 00:00:00+00:00,67.3,A,14377100
2005-10-25 00:00:00+00:00,67.3,A,14377100
2005-10-26 00:00:00+00:00,74.0,A,14377100
2005-10-27 00:00:00+00:00,96.0,A,14377100
2005-10-28 00:00:00+00:00,102.0,A,14377100
2005-10-29 00:00:00+00:00,171.0,A,14377100
2005-10-30 00:00:00+00:00,135.0,A,14377100
2005-10-31 00:00:00+00:00,111.0,A,14377100
2005-11-01 00:00:00+00:00,104.0,A,14377100
2005-11-02 00:00:00+00:00,132.0,A,14377100
2005-11-03 00:00:00+00:00,358.0,A,14377100
2005-11-04 00:00:00+00:00,1330.0,A,14377100
2005-11-05 00:00:00+00:00,1160.0,A,14377100
2005-11-06 00:00:00+00:00,7000.0,A,14377100
2005-11-07 00:00:00+00:00,3420.0,A,14377100
2005-11-08 00:00:00+00:00,1940.0,A,14377100
2005-11-09 00:00:00+00:00,1180.0,A,14377100
2005-11-10 00:00:00+00:00,855.0,A,14377100
2005-11-11 00:00:00+00:00,682.0,A,14377100
2005-11-12 00:00:00+00:00,593.0,A,14377100
2005-11-13 00:00:00+00:00,741.0,A,14377100
2005-11-14 00:00:00+00:00,1140.0,A,14377100
2005-11-15 00:00:00+00:00,869.0,A,14377100
2005-11-16 00:00:00+00:00,670.0,A,14377100
2005-11-17 00:00:00+00:00,548.0,A,14377100
2005-11-18 00:00:00+00:00,465.0,A,14377100
2005-11-19 00:00:00+00:00,406.0,A,14377100
2005-11-20 00:00:00+00:00,362.0,A,14377100
2005-11-21 00:00:00+00:00,325.0,A,14377100
2005-11-22 00:00:00+00:00,297.0,A,14377100
2005-11-23 00:00:00+00:00,273.0,A,14377100
2005-11-24 00:00:00+00:00,257.0,A,14377100
2005-11-25 00:00:00+00:00,546.0,A,14377100
2005-11-26 00:00:00+00:00,1010.0,A,14377100
2005-11-27 00:00:00+00:00,749.0,A,14377100
2005-11-28 00:00:00+00:00,1230.0,A,14377100
2005-11-29 00:00:00+00:00,3490.0,A,14377100
2005-11-30 00:00:00+00:00,2070.0,A,14377100
2005-12-01 00:00:00+00:00,12900.0,A,14377100
2005-12-02 00:00:00+00:00,6550.0,A,14377100
2005-12-03 00:00:00+00:00,3610.0,A,14377100
2005-12-04 00:00:00+00:00,2390.0,A,14377100
2005-12-05 00:00:00+00:00,1800.0,A,14377100
2005-12-06 00:00:00+00:00,1440.0,A,14377100
2005-12-07 00:00:00+00:00,1280.0,A,14377100
2005-12-08 00:00:00+00:00,1630.0,A,14377100
2005-12-09 00:00:00+00:00,1540.0,A,14377100
2005-12-10 00:00:00+00:00,1360.0,A,14377100
2005-12-11 00:00:00+00:00,1210.0,A,14377100
2005-12-12 00:00:00+00:00,1070.0,A,14377100
2005-12-13 00:00:00+00:00,949.0,A,14377100
2005-12-14 00:00:00+00:00,849.0,A,14377100
2005-12-15 00:00:00+00:00,769.0,A,14377100
2005-12-16 00:00:00+00:00,705.0,A,14377100
2005-12-17 00:00:00+00:00,653.0,A,14377100
2005-12-18 00:00:00+00:00,744.0,A,14377100
2005-12-19 00:00:00+00:00,7340.0,A,14377100
2005-12-20 00:00:00+00:00,6350.0,A,14377100
2005-12-21 00:00:00+00:00,6110.0,A,14377100
2005-12-22 00:00:00+00:00,10700.0,A,14377100
2005-12-23 00:00:00+00:00,7650.0,A,14377100
2005-12-24 00:00:00+00:00,4290.0,A,14377100
2005-12-25 00:00:00+00:00,3420.0,A,14377100
2005-12-26 00:00:00+00:00,5940.0,A,14377100
2005-12-27 00:00:00+00:00,13100.0,A,14377100
2005-12-28 00:00:00+00:00,21400.0,A,14377100
2005-12-29 00:00:00+00:00,11600.0,A,14377100
2005-12-30 00:00:00+00:00,23800.0,A,14377100
2005-12-31 00:00:00+00:00,23000.0,A,14377100
2006-01-01 00:00:00+00:00,12900.0,A,14377100
2006-01-02 00:00:00+00:00,9400.0,A,14377100
2006-01-03 00:00:00+00:00,6460.0,A,14377100
2006-01-04 00:00:00+00:00,4990.0,A,14377100
2006-01-05 00:00:00+00:00,3870.0,A,14377100
2006-01-06 00:00:00+00:00,3200.0,A,14377100
2006-01-07 00:00:00+00:00,3500.0,A,14377100
2006-01-08 00:00:00+00:00,4030.0,A,14377100
2006-01-09 00:00:00+00:00,3380.0,A,14377100
2006-01-10 00:00:00+00:00,11600.0,A,14377100
2006-01-11 00:00:00+00:00,13900.0,A,14377100
2006-01-12 00:00:00+00:00,6830.0,A,14377100
2006-01-13 00:00:00+00:00,6250.0,A,14377100
2006-01-14 00:00:00+00:00,7490.0,A,14377100
2006-01-15 00:00:00+00:00,5580.0,A,14377100
2006-01-16 00:00:00+00:00,4340.0,A,14377100
2006-01-17 00:00:00+00:00,7980.0,A,14377100
2006-01-18 00:00:00+00:00,10700.0,A,14377100
2006-01-19 00:00:00+00:00,6910.0,A,14377100
2006-01-20 00:00:00+00:00,5680.0,A,14377100
2006-01-21 00:00:00+00:00,5260.0,A,14377100
2006-01-22 00:00:00+00:00,3890.0,A,14377100
2006-01-23 00:00:00+00:00,3100.0,A,14377100
2006-01-24 00:00:00+00:00,2670.0,A,14377100
2006-01-25 00:00:00+00:00,2390.0,A,14377100
2006-01-26 00:00:00+00:00,2200.0,A,14377100
2006-01-27 00:00:00+00:00,2610.0,A,14377100
2006-01-28 00:00:00+00:00,5020.0,A,14377100
2006-01-29 00:00:00+00:00,4900.0,A,14377100
2006-01-30 00:00:00+00:00,8310.0,A,14377100
2006-01-31 00:00:00+00:00,6590.0,A,14377100
2006-02-01 00:00:00+00:00,10700.0,A,14377100
2006-02-02 00:00:00+00:00,8040.0,A,14377100
2006-02-03 00:00:00+00:00,5570.0,A,14377100
2006-02-04 00:00:00+00:00,7200.0,A,14377100
2006-02-05 00:00:00+00:00,5780.0,A,14377100
2006-02-06 00:00:00+00:00,4250.0,A,14377100
2006-02-07 00:00:00+00:00,3360.0,A,14377100
2006-02-08 00:00:00+00:00,2850.0,A,14377100
2006-02-09 00:00:00+00:00,2500.0,A,14377100
2006-02-10 00:00:00+00:00,2240.0,A,14377100
2006-02-11 00:00:00+00:00,2010.0,A,14377100
2006-02-12 00:00:00+00:00,1810.0,A,14377100
2006-02-13 00:00:00+00:00,1650.0,A,14377100
2006-02-14 00:00:00+00:00,1510.0,A,14377100
2006-02-15 00:00:00+00:00,1390.0,A,14377100
2006-02-16 00:00:00+00:00,1260.0,A,14377100
2006-02-17 00:00:00+00:00,1180.0,A,14377100
2006-02-18 00:00:00+00:00,1090.0,A,14377100
2006-02-19 00:00:00+00:00,1000.0,A,14377100
2006-02-20 00:00:00+00:00,930.0,A,14377100
2006-02-21 00:00:00+00:00,870.0,A,14377100
2006-02-22 00:00:00+00:00,820.0,A,14377100
2006-02-23 00:00:00+00:00,777.0,A,14377100
2006-02-24 00:00:00+00:00,738.0,A,14377100
2006-02-25 00:00:00+00:00,702.0,A,14377100
2006-02-26 00:00:00+00:00,682.0,A,14377100
2006-02-27 00:00:00+00:00,2940.0,A,14377100
2006-02-28 00:00:00+00:00,5930.0,A,14377100
2006-03-01 00:00:00+00:00,4030.0,A,14377100
2006-03-02 00:00:00+00:00,3660.0,A,14377100
2006-03-03 00:00:00+00:00,2890.0,A,14377100
2006-03-04 00:00:00+00:00,2340.0,A,14377100
2006-03-05 00:00:00+00:00,2740.0,A,14377100
2006-03-06 00:00:00+00:00,3570.0,A,14377100
2006-03-07 00:00:00+00:00,4960.0,A,14377100
2006-03-08 00:00:00+00:00,3700.0,A,14377100
2006-03-09 00:00:00+00:00,3650.0,A,14377100
2006-03-10 00:00:00+00:00,3000.0,A,14377100
2006-03-11 00:00:00+00:00,2430.0,A,14377100
2006-03-12 00:00:00+00:00,2060.0,A,14377100
2006-03-13 00:00:00+00:00,1830.0,A,14377100
2006-03-14 00:00:00+00:00,1940.0,A,14377100
2006-03-15 00:00:00+00:00,1970.0,A,14377100
2006-03-16 00:00:00+00:00,4340.0,A,14377100
2006-03-17 00:00:00+00:00,4440.0,A,14377100
2006-03-18 00:00:00+00:00,3000.0,A,14377100
2006-03-19 00:00:00+00:00,2340.0,A,14377100
2006-03-20 00:00:00+00:00,2020.0,A,14377100
2006-03-21 00:00:00+00:00,1810.0,A,14377100
2006-03-22 00:00:00+00:00,1800.0,A,14377100
2006-03-23 00:00:00+00:00,1750.0,A,14377100
2006-03-24 00:00:00+00:00,2950.0,A,14377100
2006-03-25 00:00:00+00:00,3020.0,A,14377100
2006-03-26 00:00:00+00:00,2620.0,A,14377100
2006-03-27 00:00:00+00:00,2230.0,A,14377100
