datetime,00060_Mean,00060_Mean_cd,site_no
2005-10-01 00:00:00+00:00,445.0,A,06205000
2005-10-02 00:00:00+00:00,460.0,A,06205000
2005-10-03 00:00:00+00:00,537.0,A,06205000
2005-10-04 00:00:00+00:00,565.0,A,06205000
2005-10-05 00:00:00+00:00,587.0,A,06205000
2005-10-06 00:00:00+00:00,559.0,A,06205000
2005-10-07 00:00:00+00:00,551.0,A,06205000
2005-10-08 00:00:00+00:00,528.0,A,06205000
2005-10-09 00:00:00+00:00,531.0,A,06205000
2005-10-10 00:00:00+00:00,533.0,A,06205000
2005-10-11 00:00:00+00:00,520.0,A,06205000
2005-10-12 00:00:00+00:00,516.0,A,06205000
2005-10-13 00:00:00+00:00,510.0,A,06205000
2005-10-14 00:00:00+00:00,495.0,A,06205000
2005-10-15 00:00:00+00:00,481.0,A,06205000
2005-10-16 00:00:00+00:00,473.0,A,06205000
2005-10-17 00:00:00+00:00,463.0,A,06205000
2005-10-18 00:00:00+00:00,438.0,A,06205000
2005-10-19 00:00:00+00:00,455.0,A,06205000
2005-10-20 00:00:00+00:00,451.0,A,06205000
2005-10-21 00:00:00+00:00,445.0,A,06205000
2005-10-22 00:00:00+00:00,445.0,A,06205000
2005-10-23 00:00:00+00:00,441.0,A,06205000
2005-10-24 00:00:00+00:00,439.0,A,06205000
2005-10-25 00:00:00+00:00,439.0,A,06205000
2005-10-26 00:00:00+00:00,438.0,A,06205000
2005-10-27 00:00:00+00:00,436.0,A,06205000
2005-10-28 00:00:00+00:00,440.0,A,06205000
2005-10-29 00:00:00+00:00,452.0,A,06205000
2005-10-30 00:00:00+00:00,443.0,A,06205000
2005-10-31 00:00:00+00:00,431.0,A,06205000
2005-11-01 00:00:00+00:00,423.0,A,06205000
2005-11-02 00:00:00+00:00,418.0,A,06205000
2005-11-03 00:00:00+00:00,459.0,A,06205000
2005-11-04 00:00:00+00:00,446.0,A,06205000
2005-11-05 00:00:00+00:00,425.0,A,06205000
2005-11-06 00:00:00+00:00,429.0,A,06205000
2005-11-07 00:00:00+00:00,489.0,A,06205000
2005-11-08 00:00:00+00:00,493.0,A,06205000
2005-11-09 00:00:00+00:00,460.0,A,06205000
2005-11-10 00:00:00+00:00,463.0,A,06205000
2005-11-11 00:00:00+00:00,482.0,A,06205000
2005-11-12 00:00:00+00:00,503.0,A,06205000
2005-11-13 00:00:00+00:00,469.0,A,06205000
2005-11-14 00:00:00+00:00,455.0,A,06205000
2005-11-15 00:00:00+00:00,403.0,A,06205000
2005-11-16 00:00:00+00:00,433.0,A,06205000
2005-11-17 00:00:00+00:00,461.0,A,06205000
2005-11-18 00:00:00+00:00,444.0,A,06205000
2005-11-19 00:00:00+00:00,444.0,A,06205000
2005-11-20 00:00:00+00:00,433.0,A,06205000
2005-11-21 00:00:00+00:00,424.0,A,06205000
2005-11-22 00:00:00+00:00,418.0,A,06205000
2005-11-23 00:00:00+00:00,410.0,A,06205000
2005-11-24 00:00:00+00:00,403.0,A,06205000
2005-11-25 00:00:00+00:00,395.0,A,06205000
2005-11-26 00:00:00+00:00,402.0,A,06205000
2005-11-27 00:00:00+00:00,380.0,A,06205000
2005-11-28 00:00:00+00:00,379.0,A,06205000
2005-11-29 00:00:00+00:00,337.0,A,06205000
2005-11-30 00:00:00+00:00,377.0,A,06205000
2005-12-01 00:00:00+00:00,331.0,A,06205000
2005-12-02 00:00:00+00:00,353.0,A,06205000
2005-12-03 00:00:00+00:00,337.0,A,06205000
2005-12-04 00:00:00+00:00,315.0,A,06205000
2005-12-05 00:00:00+00:00,305.0,A,06205000
2005-12-06 00:00:00+00:00,250.0,"A, e",06205000
2005-12-07 00:00:00+00:00,220.0,"A, e",06205000
2005-12-08 00:00:00+00:00,240.0,"A, e",06205000
2005-12-09 00:00:00+00:00,250.0,"A, e",06205000
2005-12-10 00:00:00+00:00,260.0,"A, e",06205000
2005-12-11 00:00:00+00:00,270.0,"A, e",06205000
2005-12-12 00:00:00+00:00,280.0,"A, e",06205000
2005-12-13 00:00:00+00:00,280.0,"A, e",06205000
2005-12-14 00:00:00+00:00,280.0,"A, e",06205000
2005-12-15 00:00:00+00:00,270.0,"A, e",06205000
2005-12-16 00:00:00+00:00,260.0,"A, e",06205000
