datetime,00060_Mean,00060_Mean_cd,site_no
2006-10-01 00:00:00+00:00,76.8,A,10011500
2006-10-02 00:00:00+00:00,78.6,A,10011500
2006-10-03 00:00:00+00:00,160.0,A,10011500
2006-10-04 00:00:00+00:00,121.0,A,10011500
2006-10-05 00:00:00+00:00,331.0,A,10011500
2006-10-06 00:00:00+00:00,277.0,A,10011500
2006-10-07 00:00:00+00:00,330.0,A,10011500
2006-10-08 00:00:00+00:00,248.0,A,10011500
2006-10-09 00:00:00+00:00,229.0,A,10011500
2006-10-10 00:00:00+00:00,220.0,A,10011500
2006-10-11 00:00:00+00:00,195.0,A,10011500
2006-10-12 00:00:00+00:00,172.0,A,10011500
2006-10-13 00:00:00+00:00,154.0,A,10011500
2006-10-14 00:00:00+00:00,145.0,A,10011500
2006-10-15 00:00:00+00:00,134.0,A,10011500
2006-10-16 00:00:00+00:00,141.0,A,10011500
2006-10-17 00:00:00+00:00,136.0,A,10011500
2006-10-18 00:00:00+00:00,125.0,A,10011500
2006-10-19 00:00:00+00:00,118.0,A,10011500
2006-10-20 00:00:00+00:00,123.0,A,10011500
2006-10-21 00:00:00+00:00,118.0,A,10011500
2006-10-22 00:00:00+00:00,102.0,A,10011500
2006-10-23 00:00:00+00:00,108.0,A,10011500
2006-10-24 00:00:00+00:00,111.0,A,10011500
2006-10-25 00:00:00+00:00,113.0,A,10011500
2006-10-26 00:00:00+00:00,105.0,A,10011500
2006-10-27 00:00:00+00:00,100.0,A,10011500
2006-10-28 00:00:00+00:00,103.0,A,10011500
2006-10-29 00:00:00+00:00,102.0,A,10011500
2006-10-30 00:00:00+00:00,95.3,A,10011500
2006-10-31 00:00:00+00:00,84.2,A,10011500
2006-11-01 00:00:00+00:00,66.7,A,10011500
2006-11-02 00:00:00+00:00,94.4,A,10011500
2006-11-03 00:00:00+00:00,88.9,A,10011500
2006-11-04 00:00:00+00:00,85.6,A,10011500
2006-11-05 00:00:00+00:00,80.7,A,10011500
2006-11-06 00:00:00+00:00,82.5,A,10011500
2006-11-07 00:00:00+00:00,84.3,A,10011500
2006-11-08 00:00:00+00:00,85.0,A,10011500
2006-11-09 00:00:00+00:00,86.7,A,10011500
2006-11-10 00:00:00+00:00,73.1,A,10011500
2006-11-11 00:00:00+00:00,70.9,A,10011500
2006-11-12 00:00:00+00:00,76.8,A,10011500
2006-11-13 00:00:00+00:00,72.7,A,10011500
2006-11-14 00:00:00+00:00,68.7,A,10011500
2006-11-15 00:00:00+00:00,67.6,A,10011500
2006-11-16 00:00:00+00:00,90.6,A,10011500
2006-11-17 00:00:00+00:00,86.1,A,10011500
2006-11-18 00:00:00+00:00,81.3,A,10011500
2006-11-19 00:00:00+00:00,75.9,A,10011500
2006-11-20 00:00:00+00:00,78.1,A,10011500
2006-11-21 00:00:00+00:00,77.7,A,10011500
2006-11-22 00:00:00+00:00,76.2,A,10011500
2006-11-23 00:00:00+00:00,71.4,A,10011500
2006-11-24 00:00:00+00:00,56.2,A,10011500
2006-11-25 00:00:00+00:00,71.4,A,10011500
2006-11-26 00:00:00+00:00,85.4,A,10011500
2006-11-27 00:00:00+00:00,67.1,A,10011500
2006-11-28 00:00:00+00:00,61.3,A,10011500
2006-11-29 00:00:00+00:00,56.0,"A, e",10011500
2006-11-30 00:00:00+00:00,50.0,"A, e",10011500
2006-12-01 00:00:00+00:00,40.0,"A, e",10011500
2006-12-02 00:00:00+00:00,33.0,"A, e",10011500
2006-12-03 00:00:00+00:00,28.0,"A, e",10011500
2006-12-04 00:00:00+00:00,24.0,"A, e",10011500
2006-12-05 00:00:00+00:00,23.0,"A, e",10011500
2006-12-06 00:00:00+00:00,23.0,"A, e",10011500
2006-12-07 00:00:00+00:00,28.0,"A, e",10011500
2006-12-08 00:00:00+00:00,27.0,"A, e",10011500
2006-12-09 00:00:00+00:00,29.0,"A, e",10011500
2006-12-10 00:00:00+00:00,31.0,"A, e",10011500
2006-12-11 00:00:00+00:00,33.0,"A, e",10011500
2006-12-12 00:00:00+00:00,35.0,"A, e",10011500
2006-12-13 00:00:00+00:00,38.0,"A, e",10011500
2006-12-14 00:00:00+00:00,41.0,"A, e",10011500
2006-12-15 00:00:00+00:00,43.0,"A, e",10011500
2006-12-16 00:00:00+00:00,44.0,"A, e",10011500
2006-12-17 00:00:00+00:00,41.0,"A, e",10011500
2006-12-18 00:00:00+00:00,37.0,"A, e",10011500
2006-12-19 00:00:00+00:00,33.0,"A, e",10011500
2006-12-20 00:00:00+00:00,29.0,"A, e",10011500
2006-12-21 00:00:00+00:00,30.0,"A, e",10011500
2006-12-22 00:00:00+00:00,31.0,"A, e",10011500
2006-12-23 00:00:00+00:00,31.0,"A, e",10011500
2006-12-24 00:00:00+00:00,32.0,"A, e",10011500
2006-12-25 00:00:00+00:00,32.0,"A, e",10011500
2006-12-26 00:00:00+00:00,33.0,"A, e",10011500
2006-12-27 00:00:00+00:00,34.0,"A, e",10011500
2006-12-28 00:00:00+00:00,33.0,"A, e",10011500
2006-12-29 00:00:00+00:00,31.0,"A, e",10011500
2006-12-30 00:00:00+00:00,30.0,"A, e",10011500
2006-12-31 00:00:00+00:00,29.0,"A, e",10011500
2007-01-01 00:00:00+00:00,30.0,"A, e",10011500
2007-01-02 00:00:00+00:00,32.0,"A, e",10011500
2007-01-03 00:00:00+00:00,34.0,"A, e",10011500
2007-01-04 00:00:00+00:00,36.0,"A, e",10011500
2007-01-05 00:00:00+00:00,38.0,"A, e",10011500
2007-01-06 00:00:00+00:00,34.0,"A, e",10011500
2007-01-07 00:00:00+00:00,30.0,"A, e",10011500
2007-01-08 00:00:00+00:00,40.0,"A, e",10011500
2007-01-09 00:00:00+00:00,41.0,"A, e",10011500
2007-01-10 00:00:00+00:00,40.0,"A, e",10011500
2007-01-11 00:00:00+00:00,38.0,"A, e",10011500
2007-01-12 00:00:00+00:00,35.0,"A, e",10011500
2007-01-13 00:00:00+00:00,31.0,"A, e",10011500
2007-01-14 00:00:00+00:00,29.0,"A, e",10011500
2007-01-15 00:00:00+00:00,23.0,"A, e",10011500
2007-01-16 00:00:00+00:00,24.0,"A, e",10011500
2007-01-17 00:00:00+00:00,24.0,"A, e",10011500
2007-01-18 00:00:00+00:00,24.0,"A, e",10011500
2007-01-19 00:00:00+00:00,24.0,"A, e",10011500
2007-01-20 00:00:00+00:00,23.0,"A, e",10011500
2007-01-21 00:00:00+00:00,23.0,"A, e",10011500
2007-01-22 00:00:00+00:00,24.0,"A, e",10011500
2007-01-23 00:00:00+00:00,25.0,"A, e",10011500
2007-01-24 00:00:00+00:00,25.0,"A, e",10011500
2007-01-25 00:00:00+00:00,25.0,"A, e",10011500
2007-01-26 00:00:00+00:00,25.0,"A, e",10011500
2007-01-27 00:00:00+00:00,24.0,"A, e",10011500
