datetime,00060_Mean,00060_Mean_cd,site_no
2006-10-01 00:00:00+00:00,566.0,A,13309220
2006-10-02 00:00:00+00:00,562.0,A,13309220
2006-10-03 00:00:00+00:00,565.0,A,13309220
2006-10-04 00:00:00+00:00,577.0,A,13309220
2006-10-05 00:00:00+00:00,651.0,A,13309220
2006-10-06 00:00:00+00:00,732.0,A,13309220
2006-10-07 00:00:00+00:00,718.0,A,13309220
2006-10-08 00:00:00+00:00,656.0,A,13309220
2006-10-09 00:00:00+00:00,613.0,A,13309220
2006-10-10 00:00:00+00:00,593.0,A,13309220
2006-10-11 00:00:00+00:00,583.0,A,13309220
2006-10-12 00:00:00+00:00,575.0,A,13309220
2006-10-13 00:00:00+00:00,569.0,A,13309220
2006-10-14 00:00:00+00:00,564.0,A,13309220
2006-10-15 00:00:00+00:00,563.0,A,13309220
2006-10-16 00:00:00+00:00,627.0,A,13309220
2006-10-17 00:00:00+00:00,643.0,A,13309220
2006-10-18 00:00:00+00:00,607.0,A,13309220
2006-10-19 00:00:00+00:00,587.0,A,13309220
2006-10-20 00:00:00+00:00,605.0,A,13309220
2006-10-21 00:00:00+00:00,601.0,A,13309220
2006-10-22 00:00:00+00:00,574.0,A,13309220
2006-10-23 00:00:00+00:00,559.0,A,13309220
2006-10-24 00:00:00+00:00,556.0,A,13309220
2006-10-25 00:00:00+00:00,563.0,A,13309220
2006-10-26 00:00:00+00:00,549.0,A,13309220
2006-10-27 00:00:00+00:00,545.0,A,13309220
2006-10-28 00:00:00+00:00,545.0,A,13309220
2006-10-29 00:00:00+00:00,539.0,A,13309220
2006-10-30 00:00:00+00:00,533.0,A,13309220
2006-10-31 00:00:00+00:00,450.0,A,13309220
2006-11-01 00:00:00+00:00,427.0,A,13309220
2006-11-02 00:00:00+00:00,513.0,A,13309220
2006-11-03 00:00:00+00:00,596.0,A,13309220
2006-11-04 00:00:00+00:00,599.0,A,13309220
2006-11-05 00:00:00+00:00,638.0,A,13309220
2006-11-06 00:00:00+00:00,814.0,A,13309220
2006-11-07 00:00:00+00:00,1370.0,A,13309220
2006-11-08 00:00:00+00:00,2000.0,A,13309220
2006-11-09 00:00:00+00:00,1670.0,A,13309220
2006-11-10 00:00:00+00:00,1070.0,A,13309220
2006-11-11 00:00:00+00:00,954.0,A,13309220
2006-11-12 00:00:00+00:00,807.0,A,13309220
2006-11-13 00:00:00+00:00,814.0,A,13309220
2006-11-14 00:00:00+00:00,794.0,A,13309220
2006-11-15 00:00:00+00:00,672.0,A,13309220
2006-11-16 00:00:00+00:00,791.0,A,13309220
