datetime,00060_Mean,00060_Mean_cd,site_no
2007-10-01 00:00:00+00:00,111.0,A,09132500
2007-10-02 00:00:00+00:00,192.0,A,09132500
2007-10-03 00:00:00+00:00,162.0,A,09132500
2007-10-04 00:00:00+00:00,148.0,A,09132500
2007-10-05 00:00:00+00:00,147.0,A,09132500
2007-10-06 00:00:00+00:00,146.0,A,09132500
2007-10-07 00:00:00+00:00,140.0,A,09132500
2007-10-08 00:00:00+00:00,132.0,A,09132500
2007-10-09 00:00:00+00:00,128.0,A,09132500
2007-10-10 00:00:00+00:00,120.0,A,09132500
2007-10-11 00:00:00+00:00,115.0,A,09132500
2007-10-12 00:00:00+00:00,111.0,A,09132500
2007-10-13 00:00:00+00:00,108.0,A,09132500
2007-10-14 00:00:00+00:00,110.0,A,09132500
2007-10-15 00:00:00+00:00,111.0,A,09132500
2007-10-16 00:00:00+00:00,107.0,A,09132500
2007-10-17 00:00:00+00:00,127.0,A,09132500
2007-10-18 00:00:00+00:00,142.0,A,09132500
2007-10-19 00:00:00+00:00,146.0,A,09132500
2007-10-20 00:00:00+00:00,164.0,A,09132500
2007-10-21 00:00:00+00:00,168.0,A,09132500
2007-10-22 00:00:00+00:00,156.0,A,09132500
2007-10-23 00:00:00+00:00,179.0,A,09132500
2007-10-24 00:00:00+00:00,195.0,A,09132500
2007-10-25 00:00:00+00:00,195.0,A,09132500
2007-10-26 00:00:00+00:00,196.0,A,09132500
2007-10-27 00:00:00+00:00,197.0,A,09132500
2007-10-28 00:00:00+00:00,194.0,A,09132500
2007-10-29 00:00:00+00:00,190.0,A,09132500
2007-10-30 00:00:00+00:00,186.0,A,09132500
2007-10-31 00:00:00+00:00,180.0,A,09132500
2007-11-01 00:00:00+00:00,176.0,A,09132500
2007-11-02 00:00:00+00:00,170.0,A,09132500
2007-11-03 00:00:00+00:00,164.0,A,09132500
2007-11-04 00:00:00+00:00,159.0,A,09132500
2007-11-05 00:00:00+00:00,156.0,A,09132500
2007-11-06 00:00:00+00:00,142.0,A,09132500
2007-11-07 00:00:00+00:00,129.0,A,09132500
2007-11-08 00:00:00+00:00,126.0,A,09132500
2007-11-09 00:00:00+00:00,108.0,A,09132500
2007-11-10 00:00:00+00:00,90.2,A,09132500
2007-11-11 00:00:00+00:00,88.0,A,09132500
2007-11-12 00:00:00+00:00,86.9,A,09132500
2007-11-13 00:00:00+00:00,85.1,A,09132500
2007-11-14 00:00:00+00:00,84.3,A,09132500
2007-11-15 00:00:00+00:00,81.2,A,09132500
2007-11-16 00:00:00+00:00,82.6,A,09132500
2007-11-17 00:00:00+00:00,80.1,A,09132500
2007-11-18 00:00:00+00:00,79.8,A,09132500
2007-11-19 00:00:00+00:00,78.1,A,09132500
2007-11-20 00:00:00+00:00,77.7,A,09132500
2007-11-21 00:00:00+00:00,74.4,A,09132500
2007-11-22 00:00:00+00:00,52.5,A,09132500
2007-11-23 00:00:00+00:00,57.2,"A, e",09132500
2007-11-24 00:00:00+00:00,57.5,"A, e",09132500
2007-11-25 00:00:00+00:00,39.8,"A, e",09132500
2007-11-26 00:00:00+00:00,59.3,"A, e",09132500
2007-11-27 00:00:00+00:00,61.9,"A, e",09132500
2007-11-28 00:00:00+00:00,70.4,"A, e",09132500
2007-11-29 00:00:00+00:00,41.0,"A, e",09132500
2007-11-30 00:00:00+00:00,74.4,"A, e",09132500
2007-12-01 00:00:00+00:00,113.0,"A, e",09132500
2007-12-02 00:00:00+00:00,87.1,"A, e",09132500
2007-12-03 00:00:00+00:00,70.0,"A, e",09132500
2007-12-04 00:00:00+00:00,80.1,"A, e",09132500
2007-12-05 00:00:00+00:00,98.4,"A, e",09132500
2007-12-06 00:00:00+00:00,98.7,"A, e",09132500
2007-12-07 00:00:00+00:00,121.0,"A, e",09132500
2007-12-08 00:00:00+00:00,119.0,"A, e",09132500
2007-12-09 00:00:00+00:00,98.8,"A, e",09132500
2007-12-10 00:00:00+00:00,79.7,"A, e",09132500
2007-12-11 00:00:00+00:00,86.4,"A, e",09132500
2007-12-12 00:00:00+00:00,80.2,"A, e",09132500
2007-12-13 00:00:00+00:00,67.4,"A, e",09132500
2007-12-14 00:00:00+00:00,79.2,"A, e",09132500
2007-12-15 00:00:00+00:00,69.7,"A, e",09132500
2007-12-16 00:00:00+00:00,68.0,"A, e",09132500
2007-12-17 00:00:00+00:00,82.4,"A, e",09132500
2007-12-18 00:00:00+00:00,98.9,"A, e",09132500
2007-12-19 00:00:00+00:00,95.2,"A, e",09132500
2007-12-20 00:00:00+00:00,89.8,"A, e",09132500
2007-12-21 00:00:00+00:00,85.9,"A, e",09132500
2007-12-22 00:00:00+00:00,79.9,"A, e",09132500
2007-12-23 00:00:00+00:00,78.7,"A, e",09132500
2007-12-24 00:00:00+00:00,88.0,"A, e",09132500
2007-12-25 00:00:00+00:00,86.3,"A, e",09132500
2007-12-26 00:00:00+00:00,71.7,"A, e",09132500
2007-12-27 00:00:00+00:00,79.5,"A, e",09132500
2007-12-28 00:00:00+00:00,67.1,"A, e",09132500
2007-12-29 00:00:00+00:00,83.5,"A, e",09132500
2007-12-30 00:00:00+00:00,86.7,"A, e",09132500
2007-12-31 00:00:00+00:00,88.1,"A, e",09132500
2008-01-01 00:00:00+00:00,84.3,"A, e",09132500
2008-01-02 00:00:00+00:00,75.6,"A, e",09132500
2008-01-03 00:00:00+00:00,81.2,"A, e",09132500
2008-01-04 00:00:00+00:00,86.1,"A, e",09132500
2008-01-05 00:00:00+00:00,91.9,"A, e",09132500
2008-01-06 00:00:00+00:00,95.9,"A, e",09132500
2008-01-07 00:00:00+00:00,80.5,"A, e",09132500
2008-01-08 00:00:00+00:00,79.8,"A, e",09132500
2008-01-09 00:00:00+00:00,79.6,"A, e",09132500
2008-01-10 00:00:00+00:00,73.3,"A, e",09132500
2008-01-11 00:00:00+00:00,81.2,"A, e",09132500
2008-01-12 00:00:00+00:00,80.2,"A, e",09132500
2008-01-13 00:00:00+00:00,79.1,"A, e",09132500
2008-01-14 00:00:00+00:00,84.9,"A, e",09132500
2008-01-15 00:00:00+00:00,84.2,"A, e",09132500
2008-01-16 00:00:00+00:00,87.8,"A, e",09132500
2008-01-17 00:00:00+00:00,84.6,"A, e",09132500
2008-01-18 00:00:00+00:00,83.5,"A, e",09132500
2008-01-19 00:00:00+00:00,84.0,"A, e",09132500
2008-01-20 00:00:00+00:00,93.6,"A, e",09132500
2008-01-21 00:00:00+00:00,81.7,"A, e",09132500
2008-01-22 00:00:00+00:00,73.4,"A, e",09132500
2008-01-23 00:00:00+00:00,76.0,"A, e",09132500
2008-01-24 00:00:00+00:00,73.4,"A, e",09132500
2008-01-25 00:00:00+00:00,62.6,"A, e",09132500
2008-01-26 00:00:00+00:00,62.0,"A, e",09132500
2008-01-27 00:00:00+00:00,68.4,"A, e",09132500
2008-01-28 00:00:00+00:00,63.3,"A, e",09132500
2008-01-29 00:00:00+00:00,63.9,"A, e",09132500
2008-01-30 00:00:00+00:00,60.7,"A, e",09132500
2008-01-31 00:00:00+00:00,71.5,"A, e",09132500
2008-02-01 00:00:00+00:00,72.8,"A, e",09132500
2008-02-02 00:00:00+00:00,70.3,"A, e",09132500
2008-02-03 00:00:00+00:00,70.3,"A, e",09132500
2008-02-04 00:00:00+00:00,63.9,"A, e",09132500
2008-02-05 00:00:00+00:00,61.4,"A, e",09132500
2008-02-06 00:00:00+00:00,74.1,"A, e",09132500
2008-02-07 00:00:00+00:00,76.6,"A, e",09132500
2008-02-08 00:00:00+00:00,70.3,"A, e",09132500
2008-02-09 00:00:00+00:00,71.5,"A, e",09132500
2008-02-10 00:00:00+00:00,71.5,"A, e",09132500
2008-02-11 00:00:00+00:00,69.6,"A, e",09132500
2008-02-12 00:00:00+00:00,63.3,"A, e",09132500
2008-02-13 00:00:00+00:00,69.6,"A, e",09132500
2008-02-14 00:00:00+00:00,74.1,"A, e",09132500
2008-02-15 00:00:00+00:00,74.1,"A, e",09132500
2008-02-16 00:00:00+00:00,72.8,"A, e",09132500
2008-02-17 00:00:00+00:00,71.5,"A, e",09132500
2008-02-18 00:00:00+00:00,72.2,"A, e",09132500
2008-02-19 00:00:00+00:00,71.1,"A, e",09132500
2008-02-20 00:00:00+00:00,80.0,"A, e",09132500
2008-02-21 00:00:00+00:00,81.7,"A, e",09132500
2008-02-22 00:00:00+00:00,81.2,"A, e",09132500
2008-02-23 00:00:00+00:00,80.0,"A, e",09132500
2008-02-24 00:00:00+00:00,80.0,"A, e",09132500
2008-02-25 00:00:00+00:00,86.8,"A, e",09132500
2008-02-26 00:00:00+00:00,86.8,"A, e",09132500
2008-02-27 00:00:00+00:00,87.3,"A, e",09132500
2008-02-28 00:00:00+00:00,89.6,"A, e",09132500
2008-02-29 00:00:00+00:00,97.4,"A, e",09132500
2008-03-01 00:00:00+00:00,109.0,"A, e",09132500
2008-03-02 00:00:00+00:00,123.0,"A, e",09132500
2008-03-03 00:00:00+00:00,111.0,"A, e",09132500
2008-03-04 00:00:00+00:00,108.0,"A, e",09132500
2008-03-05 00:00:00+00:00,103.0,"A, e",09132500
2008-03-06 00:00:00+00:00,90.7,"A, e",09132500
2008-03-07 00:00:00+00:00,96.3,"A, e",09132500
2008-03-08 00:00:00+00:00,95.2,"A, e",09132500
2008-03-09 00:00:00+00:00,95.2,"A, e",09132500
2008-03-10 00:00:00+00:00,94.6,"A, e",09132500
2008-03-11 00:00:00+00:00,96.2,A,09132500
2008-03-12 00:00:00+00:00,102.0,A,09132500
2008-03-13 00:00:00+00:00,133.0,A,09132500
2008-03-14 00:00:00+00:00,158.0,A,09132500
2008-03-15 00:00:00+00:00,159.0,A,09132500
2008-03-16 00:00:00+00:00,154.0,A,09132500
2008-03-17 00:00:00+00:00,150.0,A,09132500
2008-03-18 00:00:00+00:00,147.0,A,09132500
2008-03-19 00:00:00+00:00,150.0,A,09132500
2008-03-20 00:00:00+00:00,149.0,A,09132500
2008-03-21 00:00:00+00:00,114.0,A,09132500
2008-03-22 00:00:00+00:00,133.0,A,09132500
2008-03-23 00:00:00+00:00,164.0,A,09132500
2008-03-24 00:00:00+00:00,175.0,A,09132500
2008-03-25 00:00:00+00:00,200.0,A,09132500
2008-03-26 00:00:00+00:00,252.0,A,09132500
2008-03-27 00:00:00+00:00,371.0,A,09132500
2008-03-28 00:00:00+00:00,413.0,A,09132500
2008-03-29 00:00:00+00:00,315.0,A,09132500
2008-03-30 00:00:00+00:00,234.0,A,09132500
2008-03-31 00:00:00+00:00,249.0,A,09132500
2008-04-01 00:00:00+00:00,285.0,A,09132500
2008-04-02 00:00:00+00:00,381.0,A,09132500
2008-04-03 00:00:00+00:00,446.0,A,09132500
2008-04-04 00:00:00+00:00,412.0,A,09132500
2008-04-05 00:00:00+00:00,360.0,A,09132500
2008-04-06 00:00:00+00:00,347.0,A,09132500
2008-04-07 00:00:00+00:00,351.0,A,09132500
2008-04-08 00:00:00+00:00,327.0,A,09132500
2008-04-09 00:00:00+00:00,354.0,A,09132500
2008-04-10 00:00:00+00:00,361.0,A,09132500
2008-04-11 00:00:00+00:00,311.0,A,09132500
2008-04-12 00:00:00+00:00,249.0,A,09132500
2008-04-13 00:00:00+00:00,260.0,A,09132500
2008-04-14 00:00:00+00:00,423.0,A,09132500
2008-04-15 00:00:00+00:00,854.0,A,09132500
2008-04-16 00:00:00+00:00,1150.0,A,09132500
2008-04-17 00:00:00+00:00,815.0,A,09132500
2008-04-18 00:00:00+00:00,816.0,A,09132500
2008-04-19 00:00:00+00:00,1050.0,A,09132500
2008-04-20 00:00:00+00:00,1500.0,A,09132500
2008-04-21 00:00:00+00:00,1520.0,A,09132500
2008-04-22 00:00:00+00:00,1510.0,A,09132500
2008-04-23 00:00:00+00:00,1870.0,A,09132500
2008-04-24 00:00:00+00:00,1970.0,A,09132500
2008-04-25 00:00:00+00:00,1620.0,A,09132500
2008-04-26 00:00:00+00:00,1380.0,A,09132500
2008-04-27 00:00:00+00:00,1350.0,A,09132500
2008-04-28 00:00:00+00:00,1580.0,A,09132500
2008-04-29 00:00:00+00:00,1940.0,A,09132500
2008-04-30 00:00:00+00:00,2070.0,A,09132500
2008-05-01 00:00:00+00:00,2100.0,A,09132500
2008-05-02 00:00:00+00:00,1830.0,A,09132500
2008-05-03 00:00:00+00:00,1260.0,A,09132500
2008-05-04 00:00:00+00:00,1180.0,A,09132500
2008-05-05 00:00:00+00:00,1280.0,A,09132500
2008-05-06 00:00:00+00:00,1820.0,A,09132500
2008-05-07 00:00:00+00:00,2110.0,A,09132500
2008-05-08 00:00:00+00:00,2630.0,A,09132500
2008-05-09 00:00:00+00:00,2300.0,A,09132500
2008-05-10 00:00:00+00:00,2270.0,A,09132500
2008-05-11 00:00:00+00:00,2130.0,A,09132500
2008-05-12 00:00:00+00:00,2280.0,A,09132500
2008-05-13 00:00:00+00:00,2280.0,A,09132500
2008-05-14 00:00:00+00:00,2090.0,A,09132500
2008-05-15 00:00:00+00:00,2190.0,A,09132500
2008-05-16 00:00:00+00:00,2400.0,A,09132500
2008-05-17 00:00:00+00:00,2760.0,A,09132500
2008-05-18 00:00:00+00:00,3150.0,A,09132500
2008-05-19 00:00:00+00:00,3300.0,A,09132500
2008-05-20 00:00:00+00:00,3610.0,A,09132500
2008-05-21 00:00:00+00:00,4120.0,A,09132500
2008-05-22 00:00:00+00:00,3990.0,A,09132500
2008-05-23 00:00:00+00:00,3300.0,A,09132500
2008-05-24 00:00:00+00:00,2860.0,A,09132500
2008-05-25 00:00:00+00:00,2530.0,A,09132500
2008-05-26 00:00:00+00:00,2530.0,A,09132500
2008-05-27 00:00:00+00:00,2720.0,A,09132500
2008-05-28 00:00:00+00:00,3070.0,A,09132500
2008-05-29 00:00:00+00:00,3240.0,A,09132500
2008-05-30 00:00:00+00:00,3400.0,A,09132500
2008-05-31 00:00:00+00:00,3310.0,A,09132500
2008-06-01 00:00:00+00:00,3220.0,A,09132500
2008-06-02 00:00:00+00:00,3430.0,A,09132500
2008-06-03 00:00:00+00:00,3450.0,A,09132500
2008-06-04 00:00:00+00:00,3180.0,A,09132500
2008-06-05 00:00:00+00:00,2710.0,A,09132500
2008-06-06 00:00:00+00:00,2340.0,A,09132500
2008-06-07 00:00:00+00:00,2190.0,A,09132500
2008-06-08 00:00:00+00:00,2300.0,A,09132500
2008-06-09 00:00:00+00:00,1970.0,A,09132500
2008-06-10 00:00:00+00:00,1890.0,A,09132500
2008-06-11 00:00:00+00:00,2100.0,A,09132500
2008-06-12 00:00:00+00:00,1620.0,A,09132500
2008-06-13 00:00:00+00:00,1520.0,A,09132500
2008-06-14 00:00:00+00:00,1960.0,A,09132500
2008-06-15 00:00:00+00:00,2210.0,A,09132500
2008-06-16 00:00:00+00:00,2450.0,A,09132500
2008-06-17 00:00:00+00:00,2670.0,A,09132500
2008-06-18 00:00:00+00:00,2720.0,A,09132500
2008-06-19 00:00:00+00:00,2730.0,A,09132500
2008-06-20 00:00:00+00:00,2520.0,A,09132500
2008-06-21 00:00:00+00:00,2360.0,A,09132500
2008-06-22 00:00:00+00:00,2270.0,A,09132500
2008-06-23 00:00:00+00:00,2180.0,A,09132500
2008-06-24 00:00:00+00:00,2080.0,A,09132500
2008-06-25 00:00:00+00:00,1990.0,A,09132500
2008-06-26 00:00:00+00:00,1980.0,A,09132500
2008-06-27 00:00:00+00:00,1830.0,A,09132500
2008-06-28 00:00:00+00:00,1690.0,A,09132500
2008-06-29 00:00:00+00:00,1680.0,A,09132500
2008-06-30 00:00:00+00:00,1650.0,A,09132500
2008-07-01 00:00:00+00:00,1550.0,A,09132500
2008-07-02 00:00:00+00:00,1430.0,A,09132500
2008-07-03 00:00:00+00:00,1300.0,A,09132500
2008-07-04 00:00:00+00:00,1220.0,A,09132500
2008-07-05 00:00:00+00:00,1170.0,A,09132500
