datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2007-10-01 00:00:00+00:00,,,06077200,96.3,A
2007-10-02 00:00:00+00:00,,,06077200,91.6,A
2007-10-03 00:00:00+00:00,,,06077200,89.7,A
2007-10-04 00:00:00+00:00,,,06077200,90.7,A
2007-10-05 00:00:00+00:00,,,06077200,106.0,A
2007-10-06 00:00:00+00:00,,,06077200,113.0,A
2007-10-07 00:00:00+00:00,,,06077200,108.0,A
2007-10-08 00:00:00+00:00,,,06077200,104.0,A
2007-10-09 00:00:00+00:00,,,06077200,104.0,A
2007-10-10 00:00:00+00:00,,,06077200,101.0,A
2007-10-11 00:00:00+00:00,,,06077200,98.2,A
2007-10-12 00:00:00+00:00,,,06077200,98.8,A
2007-10-13 00:00:00+00:00,,,06077200,99.4,A
2007-10-14 00:00:00+00:00,,,06077200,100.0,A
2007-10-15 00:00:00+00:00,,,06077200,99.8,A
2007-10-16 00:00:00+00:00,,,06077200,100.0,A
2007-10-17 00:00:00+00:00,,,06077200,110.0,A
2007-10-18 00:00:00+00:00,,,06077200,111.0,A
2007-10-19 00:00:00+00:00,,,06077200,106.0,A
2007-10-20 00:00:00+00:00,,,06077200,104.0,A
2007-10-21 00:00:00+00:00,,,06077200,103.0,A
2007-10-22 00:00:00+00:00,,,06077200,101.0,A
2007-10-23 00:00:00+00:00,,,06077200,102.0,A
2007-10-24 00:00:00+00:00,,,06077200,102.0,A
2007-10-25 00:00:00+00:00,,,06077200,102.0,A
2007-10-26 00:00:00+00:00,,,06077200,109.0,A
2007-10-27 00:00:00+00:00,,,06077200,105.0,A
2007-10-28 00:00:00+00:00,,,06077200,108.0,A
2007-10-29 00:00:00+00:00,,,06077200,112.0,A
2007-10-30 00:00:00+00:00,,,06077200,113.0,A
2007-10-31 00:00:00+00:00,,,06077200,101.0,A
2007-11-01 00:00:00+00:00,,,06077200,103.0,A
2007-11-02 00:00:00+00:00,,,06077200,89.7,A
2007-11-03 00:00:00+00:00,,,06077200,97.8,A
2007-11-04 00:00:00+00:00,,,06077200,111.0,A
2007-11-05 00:00:00+00:00,,,06077200,105.0,A
2007-11-06 00:00:00+00:00,,,06077200,91.4,A
2007-11-07 00:00:00+00:00,,,06077200,112.0,A
2007-11-08 00:00:00+00:00,,,06077200,107.0,A
2007-11-09 00:00:00+00:00,,,06077200,106.0,A
2007-11-10 00:00:00+00:00,,,06077200,105.0,A
2007-11-11 00:00:00+00:00,,,06077200,104.0,A
2007-11-12 00:00:00+00:00,,,06077200,92.0,A
2007-11-13 00:00:00+00:00,,,06077200,105.0,A
2007-11-14 00:00:00+00:00,,,06077200,73.1,A
2007-11-15 00:00:00+00:00,,,06077200,96.9,A
2007-11-16 00:00:00+00:00,,,06077200,130.0,A
2007-11-17 00:00:00+00:00,,,06077200,119.0,A
2007-11-18 00:00:00+00:00,,,06077200,115.0,A
2007-11-19 00:00:00+00:00,,,06077200,117.0,A
2007-11-20 00:00:00+00:00,,,06077200,107.0,A
2007-11-21 00:00:00+00:00,,,06077200,85.0,"A, e"
2007-11-22 00:00:00+00:00,,,06077200,70.1,"A, e"
2007-11-23 00:00:00+00:00,,,06077200,65.0,"A, e"
2007-11-24 00:00:00+00:00,,,06077200,75.1,"A, e"
2007-11-25 00:00:00+00:00,,,06077200,90.0,"A, e"
2007-11-26 00:00:00+00:00,,,06077200,85.0,"A, e"
2007-11-27 00:00:00+00:00,,,06077200,90.0,"A, e"
2007-11-28 00:00:00+00:00,,,06077200,85.1,"A, e"
2007-11-29 00:00:00+00:00,,,06077200,80.0,"A, e"
2007-11-30 00:00:00+00:00,,,06077200,75.0,"A, e"
2007-12-01 00:00:00+00:00,,,06077200,69.9,"A, e"
2007-12-02 00:00:00+00:00,,,06077200,69.9,"A, e"
2007-12-03 00:00:00+00:00,,,06077200,85.1,"A, e"
2007-12-04 00:00:00+00:00,,,06077200,110.0,"A, e"
