datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00065_Mean,00065_Mean_cd
2008-10-01 00:00:00+00:00,9.9,A,12178000,3350.0,A,83.15,A
2008-10-02 00:00:00+00:00,9.9,A,12178000,3690.0,A,83.34,A
2008-10-03 00:00:00+00:00,10.0,A,12178000,3540.0,A,83.26,A
2008-10-04 00:00:00+00:00,10.0,A,12178000,3580.0,A,83.28,A
2008-10-05 00:00:00+00:00,10.0,A,12178000,3420.0,A,83.19,A
2008-10-06 00:00:00+00:00,9.9,A,12178000,3660.0,A,83.34,A
2008-10-07 00:00:00+00:00,9.8,A,12178000,3560.0,A,83.31,A
2008-10-08 00:00:00+00:00,9.7,A,12178000,3460.0,A,83.24,A
2008-10-09 00:00:00+00:00,9.6,A,12178000,3090.0,A,83.02,A
2008-10-10 00:00:00+00:00,9.5,A,12178000,3460.0,A,83.25,A
2008-10-11 00:00:00+00:00,9.5,A,12178000,3620.0,A,83.34,A
2008-10-12 00:00:00+00:00,9.6,A,12178000,3620.0,A,83.35,A
2008-10-13 00:00:00+00:00,9.7,A,12178000,3570.0,A,83.32,A
2008-10-14 00:00:00+00:00,9.6,A,12178000,3550.0,A,83.3,A
2008-10-15 00:00:00+00:00,9.5,A,12178000,3630.0,A,83.35,A
2008-10-16 00:00:00+00:00,9.5,A,12178000,3520.0,A,83.28,A
2008-10-17 00:00:00+00:00,9.7,A,12178000,3670.0,A,83.37,A
2008-10-18 00:00:00+00:00,9.7,A,12178000,3620.0,A,83.34,A
2008-10-19 00:00:00+00:00,9.4,A,12178000,3590.0,A,83.33,A
2008-10-20 00:00:00+00:00,9.6,A,12178000,3580.0,A,83.32,A
2008-10-21 00:00:00+00:00,9.6,A,12178000,3620.0,A,83.34,A
2008-10-22 00:00:00+00:00,9.5,A,12178000,3650.0,A,83.36,A
2008-10-23 00:00:00+00:00,9.5,A,12178000,3640.0,A,83.36,A
2008-10-24 00:00:00+00:00,9.5,A,12178000,3630.0,A,83.35,A
2008-10-25 00:00:00+00:00,9.5,A,12178000,3640.0,A,83.36,A
2008-10-26 00:00:00+00:00,9.3,A,12178000,3630.0,A,83.35,A
2008-10-27 00:00:00+00:00,9.3,A,12178000,3630.0,A,83.35,A
2008-10-28 00:00:00+00:00,9.5,A,12178000,3630.0,A,83.35,A
2008-10-29 00:00:00+00:00,9.7,A,12178000,3640.0,A,83.36,A
2008-10-30 00:00:00+00:00,9.7,A,12178000,3570.0,A,83.32,A
2008-10-31 00:00:00+00:00,9.7,A,12178000,1880.0,A,82.11,A
2008-11-01 00:00:00+00:00,9.7,A,12178000,1910.0,A,82.14,A
2008-11-02 00:00:00+00:00,9.7,A,12178000,2070.0,A,82.26,A
2008-11-03 00:00:00+00:00,9.6,A,12178000,3660.0,A,83.37,A
2008-11-04 00:00:00+00:00,9.5,A,12178000,3640.0,A,83.36,A
2008-11-05 00:00:00+00:00,9.3,A,12178000,3670.0,A,83.38,A
2008-11-06 00:00:00+00:00,9.1,A,12178000,3810.0,A,83.46,A
