datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2009-03-01 00:00:00+00:00,1.0,A,06035000,22.0,"A, e"
2009-03-02 00:00:00+00:00,3.0,A,06035000,24.3,A
2009-03-03 00:00:00+00:00,3.5,A,06035000,31.4,A
2009-03-04 00:00:00+00:00,2.0,A,06035000,30.5,A
2009-03-05 00:00:00+00:00,1.5,A,06035000,28.9,A
2009-03-06 00:00:00+00:00,0.0,A,06035000,28.0,"A, e"
2009-03-07 00:00:00+00:00,0.0,A,06035000,27.0,"A, e"
2009-03-08 00:00:00+00:00,0.0,A,06035000,25.0,"A, e"
2009-03-09 00:00:00+00:00,0.0,A,06035000,23.0,"A, e"
2009-03-10 00:00:00+00:00,0.0,A,06035000,21.0,"A, e"
2009-03-11 00:00:00+00:00,0.0,A,06035000,20.0,"A, e"
2009-03-12 00:00:00+00:00,0.0,A,06035000,20.0,"A, e"
2009-03-13 00:00:00+00:00,0.0,A,06035000,22.0,"A, e"
2009-03-14 00:00:00+00:00,0.0,A,06035000,24.0,"A, e"
2009-03-15 00:00:00+00:00,0.5,A,06035000,26.0,"A, e"
2009-03-16 00:00:00+00:00,1.5,A,06035000,26.6,A
2009-03-17 00:00:00+00:00,2.5,A,06035000,27.4,A
2009-03-18 00:00:00+00:00,3.0,A,06035000,29.6,A
2009-03-19 00:00:00+00:00,4.0,A,06035000,32.6,A
2009-03-20 00:00:00+00:00,5.0,A,06035000,36.8,A
2009-03-21 00:00:00+00:00,5.0,A,06035000,37.0,A
2009-03-22 00:00:00+00:00,4.5,A,06035000,44.4,A
2009-03-23 00:00:00+00:00,2.5,A,06035000,49.9,A
2009-03-24 00:00:00+00:00,3.0,A,06035000,35.9,A
2009-03-25 00:00:00+00:00,2.5,A,06035000,35.2,A
2009-03-26 00:00:00+00:00,1.0,A,06035000,34.0,"A, e"
2009-03-27 00:00:00+00:00,1.0,A,06035000,33.0,"A, e"
2009-03-28 00:00:00+00:00,2.5,A,06035000,32.9,A
2009-03-29 00:00:00+00:00,1.5,A,06035000,31.7,A
2009-03-30 00:00:00+00:00,1.0,A,06035000,31.0,"A, e"
2009-03-31 00:00:00+00:00,1.5,A,06035000,30.0,"A, e"
2009-04-01 00:00:00+00:00,3.5,A,06035000,29.3,A
2009-04-02 00:00:00+00:00,4.0,A,06035000,29.6,A
2009-04-03 00:00:00+00:00,4.0,A,06035000,31.7,A
2009-04-04 00:00:00+00:00,4.0,A,06035000,31.9,A
2009-04-05 00:00:00+00:00,4.5,A,06035000,35.5,A
2009-04-06 00:00:00+00:00,5.0,A,06035000,38.9,A
2009-04-07 00:00:00+00:00,6.0,A,06035000,44.6,A
2009-04-08 00:00:00+00:00,6.0,A,06035000,48.1,A
2009-04-09 00:00:00+00:00,5.0,A,06035000,92.7,A
2009-04-10 00:00:00+00:00,5.5,A,06035000,69.2,A
2009-04-11 00:00:00+00:00,7.0,A,06035000,51.3,A
2009-04-12 00:00:00+00:00,8.0,A,06035000,50.3,A
2009-04-13 00:00:00+00:00,7.5,A,06035000,48.3,A
2009-04-14 00:00:00+00:00,4.5,A,06035000,51.3,A
2009-04-15 00:00:00+00:00,1.5,A,06035000,51.4,A
2009-04-16 00:00:00+00:00,3.5,A,06035000,47.3,A
2009-04-17 00:00:00+00:00,6.5,A,06035000,53.8,A
2009-04-18 00:00:00+00:00,7.5,A,06035000,67.5,A
2009-04-19 00:00:00+00:00,7.5,A,06035000,59.2,A
2009-04-20 00:00:00+00:00,8.5,A,06035000,54.4,A
2009-04-21 00:00:00+00:00,9.5,A,06035000,58.0,A
2009-04-22 00:00:00+00:00,10.0,A,06035000,72.4,A
2009-04-23 00:00:00+00:00,6.0,A,06035000,96.4,A
2009-04-24 00:00:00+00:00,4.0,A,06035000,86.2,A
