datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,264.0,A,13011900
2009-10-02 00:00:00+00:00,256.0,A,13011900
2009-10-03 00:00:00+00:00,258.0,A,13011900
2009-10-04 00:00:00+00:00,261.0,A,13011900
2009-10-05 00:00:00+00:00,262.0,A,13011900
2009-10-06 00:00:00+00:00,254.0,A,13011900
2009-10-07 00:00:00+00:00,258.0,A,13011900
2009-10-08 00:00:00+00:00,258.0,A,13011900
2009-10-09 00:00:00+00:00,258.0,A,13011900
2009-10-10 00:00:00+00:00,246.0,A,13011900
2009-10-11 00:00:00+00:00,253.0,A,13011900
2009-10-12 00:00:00+00:00,246.0,A,13011900
2009-10-13 00:00:00+00:00,258.0,A,13011900
2009-10-14 00:00:00+00:00,260.0,A,13011900
2009-10-15 00:00:00+00:00,272.0,A,13011900
2009-10-16 00:00:00+00:00,263.0,A,13011900
2009-10-17 00:00:00+00:00,256.0,A,13011900
2009-10-18 00:00:00+00:00,263.0,A,13011900
2009-10-19 00:00:00+00:00,265.0,A,13011900
2009-10-20 00:00:00+00:00,263.0,A,13011900
2009-10-21 00:00:00+00:00,252.0,A,13011900
2009-10-22 00:00:00+00:00,244.0,A,13011900
2009-10-23 00:00:00+00:00,243.0,A,13011900
2009-10-24 00:00:00+00:00,254.0,A,13011900
2009-10-25 00:00:00+00:00,234.0,A,13011900
2009-10-26 00:00:00+00:00,219.0,A,13011900
