datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,5.85,A,09246200
2009-10-02 00:00:00+00:00,7.94,A,09246200
2009-10-03 00:00:00+00:00,6.85,A,09246200
2009-10-04 00:00:00+00:00,6.31,A,09246200
2009-10-05 00:00:00+00:00,8.1,A,09246200
2009-10-06 00:00:00+00:00,11.1,A,09246200
2009-10-07 00:00:00+00:00,8.11,A,09246200
2009-10-08 00:00:00+00:00,6.46,A,09246200
2009-10-09 00:00:00+00:00,6.21,A,09246200
2009-10-10 00:00:00+00:00,6.11,A,09246200
2009-10-11 00:00:00+00:00,6.09,A,09246200
2009-10-12 00:00:00+00:00,7.41,A,09246200
2009-10-13 00:00:00+00:00,8.43,A,09246200
2009-10-14 00:00:00+00:00,9.3,A,09246200
2009-10-15 00:00:00+00:00,15.6,A,09246200
2009-10-16 00:00:00+00:00,15.1,A,09246200
2009-10-17 00:00:00+00:00,10.0,A,09246200
2009-10-18 00:00:00+00:00,8.13,A,09246200
2009-10-19 00:00:00+00:00,7.25,A,09246200
2009-10-20 00:00:00+00:00,7.04,A,09246200
2009-10-21 00:00:00+00:00,8.02,A,09246200
2009-10-22 00:00:00+00:00,8.86,A,09246200
2009-10-23 00:00:00+00:00,8.0,A,09246200
2009-10-24 00:00:00+00:00,8.31,A,09246200
2009-10-25 00:00:00+00:00,10.1,A,09246200
2009-10-26 00:00:00+00:00,9.43,A,09246200
2009-10-27 00:00:00+00:00,8.18,A,09246200
2009-10-28 00:00:00+00:00,7.6,A,09246200
2009-10-29 00:00:00+00:00,5.42,A,09246200
2009-10-30 00:00:00+00:00,5.56,A,09246200
2009-10-31 00:00:00+00:00,8.24,A,09246200
2009-11-01 00:00:00+00:00,7.96,A,09246200
2009-11-02 00:00:00+00:00,9.15,A,09246200
2009-11-03 00:00:00+00:00,9.15,A,09246200
2009-11-04 00:00:00+00:00,8.45,A,09246200
2009-11-05 00:00:00+00:00,8.29,A,09246200
2009-11-06 00:00:00+00:00,7.85,A,09246200
2009-11-07 00:00:00+00:00,7.89,A,09246200
2009-11-08 00:00:00+00:00,7.78,A,09246200
2009-11-09 00:00:00+00:00,7.87,A,09246200
2009-11-10 00:00:00+00:00,7.43,A,09246200
2009-11-11 00:00:00+00:00,7.04,A,09246200
2009-11-12 00:00:00+00:00,7.15,A,09246200
2009-11-13 00:00:00+00:00,6.94,"A, e",09246200
2009-11-14 00:00:00+00:00,6.63,"A, e",09246200
2009-11-15 00:00:00+00:00,6.84,"A, e",09246200
2009-11-16 00:00:00+00:00,6.89,"A, e",09246200
2009-11-17 00:00:00+00:00,7.37,"A, e",09246200
2009-11-18 00:00:00+00:00,8.06,"A, e",09246200
2009-11-19 00:00:00+00:00,8.22,"A, e",09246200
2009-11-20 00:00:00+00:00,8.11,"A, e",09246200
2009-11-21 00:00:00+00:00,8.32,"A, e",09246200
2009-11-22 00:00:00+00:00,7.74,"A, e",09246200
2009-11-23 00:00:00+00:00,6.95,"A, e",09246200
2009-11-24 00:00:00+00:00,6.04,"A, e",09246200
2009-11-25 00:00:00+00:00,6.42,"A, e",09246200
2009-11-26 00:00:00+00:00,6.6,"A, e",09246200
2009-11-27 00:00:00+00:00,6.82,"A, e",09246200
2009-11-28 00:00:00+00:00,7.05,"A, e",09246200
2009-11-29 00:00:00+00:00,6.52,"A, e",09246200
2009-11-30 00:00:00+00:00,6.56,"A, e",09246200
2009-12-01 00:00:00+00:00,6.78,"A, e",09246200
2009-12-02 00:00:00+00:00,5.17,"A, e",09246200
2009-12-03 00:00:00+00:00,3.48,"A, e",09246200
2009-12-04 00:00:00+00:00,3.52,"A, e",09246200
2009-12-05 00:00:00+00:00,2.6,"A, e",09246200
2009-12-06 00:00:00+00:00,1.82,"A, e",09246200
