datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,52.8,A,09430500
2009-10-02 00:00:00+00:00,50.4,A,09430500
2009-10-03 00:00:00+00:00,50.1,A,09430500
2009-10-04 00:00:00+00:00,51.1,A,09430500
2009-10-05 00:00:00+00:00,48.3,A,09430500
2009-10-06 00:00:00+00:00,47.1,A,09430500
2009-10-07 00:00:00+00:00,46.2,A,09430500
2009-10-08 00:00:00+00:00,48.6,A,09430500
2009-10-09 00:00:00+00:00,49.3,A,09430500
2009-10-10 00:00:00+00:00,49.5,A,09430500
2009-10-11 00:00:00+00:00,49.6,A,09430500
2009-10-12 00:00:00+00:00,49.4,A,09430500
2009-10-13 00:00:00+00:00,48.9,A,09430500
2009-10-14 00:00:00+00:00,47.4,A,09430500
2009-10-15 00:00:00+00:00,47.5,A,09430500
2009-10-16 00:00:00+00:00,46.9,A,09430500
2009-10-17 00:00:00+00:00,46.7,A,09430500
2009-10-18 00:00:00+00:00,47.0,A,09430500
2009-10-19 00:00:00+00:00,46.3,A,09430500
2009-10-20 00:00:00+00:00,48.0,A,09430500
2009-10-21 00:00:00+00:00,54.8,A,09430500
2009-10-22 00:00:00+00:00,55.9,A,09430500
2009-10-23 00:00:00+00:00,56.7,A,09430500
2009-10-24 00:00:00+00:00,56.1,A,09430500
2009-10-25 00:00:00+00:00,55.6,A,09430500
2009-10-26 00:00:00+00:00,55.1,A,09430500
2009-10-27 00:00:00+00:00,56.0,A,09430500
2009-10-28 00:00:00+00:00,56.5,A,09430500
2009-10-29 00:00:00+00:00,59.7,A,09430500
2009-10-30 00:00:00+00:00,61.7,A,09430500
2009-10-31 00:00:00+00:00,62.2,A,09430500
2009-11-01 00:00:00+00:00,61.4,A,09430500
2009-11-02 00:00:00+00:00,60.2,A,09430500
2009-11-03 00:00:00+00:00,59.4,A,09430500
2009-11-04 00:00:00+00:00,59.4,A,09430500
2009-11-05 00:00:00+00:00,59.1,A,09430500
2009-11-06 00:00:00+00:00,57.8,A,09430500
2009-11-07 00:00:00+00:00,59.7,A,09430500
2009-11-08 00:00:00+00:00,60.2,A,09430500
2009-11-09 00:00:00+00:00,61.3,A,09430500
2009-11-10 00:00:00+00:00,60.8,A,09430500
2009-11-11 00:00:00+00:00,60.6,A,09430500
2009-11-12 00:00:00+00:00,60.5,A,09430500
2009-11-13 00:00:00+00:00,60.7,A,09430500
2009-11-14 00:00:00+00:00,61.0,A,09430500
2009-11-15 00:00:00+00:00,61.0,A,09430500
2009-11-16 00:00:00+00:00,61.3,A,09430500
2009-11-17 00:00:00+00:00,61.7,A,09430500
2009-11-18 00:00:00+00:00,61.8,A,09430500
2009-11-19 00:00:00+00:00,61.9,A,09430500
2009-11-20 00:00:00+00:00,61.2,A,09430500
2009-11-21 00:00:00+00:00,61.3,A,09430500
2009-11-22 00:00:00+00:00,61.2,A,09430500
2009-11-23 00:00:00+00:00,61.0,A,09430500
2009-11-24 00:00:00+00:00,61.2,A,09430500
2009-11-25 00:00:00+00:00,61.0,A,09430500
2009-11-26 00:00:00+00:00,60.9,A,09430500
2009-11-27 00:00:00+00:00,60.8,A,09430500
2009-11-28 00:00:00+00:00,61.8,A,09430500
2009-11-29 00:00:00+00:00,70.9,A,09430500
2009-11-30 00:00:00+00:00,77.0,A,09430500
2009-12-01 00:00:00+00:00,74.6,A,09430500
2009-12-02 00:00:00+00:00,70.8,A,09430500
2009-12-03 00:00:00+00:00,68.8,A,09430500
2009-12-04 00:00:00+00:00,66.7,A,09430500
2009-12-05 00:00:00+00:00,65.9,A,09430500
2009-12-06 00:00:00+00:00,65.0,A,09430500
2009-12-07 00:00:00+00:00,64.0,A,09430500
2009-12-08 00:00:00+00:00,97.0,A,09430500
2009-12-09 00:00:00+00:00,149.0,A,09430500
2009-12-10 00:00:00+00:00,124.0,A,09430500
2009-12-11 00:00:00+00:00,103.0,A,09430500
2009-12-12 00:00:00+00:00,91.2,A,09430500
2009-12-13 00:00:00+00:00,84.3,A,09430500
