datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,2.81,A,08477110
2009-10-02 00:00:00+00:00,2.84,A,08477110
2009-10-03 00:00:00+00:00,3.0,A,08477110
2009-10-04 00:00:00+00:00,2.96,A,08477110
2009-10-05 00:00:00+00:00,3.0,A,08477110
2009-10-06 00:00:00+00:00,3.07,A,08477110
2009-10-07 00:00:00+00:00,3.08,A,08477110
2009-10-08 00:00:00+00:00,3.29,A,08477110
2009-10-09 00:00:00+00:00,3.17,A,08477110
2009-10-10 00:00:00+00:00,3.07,A,08477110
2009-10-11 00:00:00+00:00,2.99,A,08477110
2009-10-12 00:00:00+00:00,3.2,A,08477110
2009-10-13 00:00:00+00:00,3.2,A,08477110
2009-10-14 00:00:00+00:00,3.18,A,08477110
2009-10-15 00:00:00+00:00,3.21,A,08477110
2009-10-16 00:00:00+00:00,3.07,A,08477110
2009-10-17 00:00:00+00:00,3.08,A,08477110
2009-10-18 00:00:00+00:00,3.32,A,08477110
2009-10-19 00:00:00+00:00,3.47,A,08477110
2009-10-20 00:00:00+00:00,3.88,A,08477110
2009-10-21 00:00:00+00:00,3.81,A,08477110
2009-10-22 00:00:00+00:00,3.74,A,08477110
2009-10-23 00:00:00+00:00,3.83,A,08477110
2009-10-24 00:00:00+00:00,3.76,A,08477110
2009-10-25 00:00:00+00:00,3.61,A,08477110
2009-10-26 00:00:00+00:00,3.82,A,08477110
2009-10-27 00:00:00+00:00,3.74,A,08477110
2009-10-28 00:00:00+00:00,3.81,A,08477110
2009-10-29 00:00:00+00:00,3.89,A,08477110
2009-10-30 00:00:00+00:00,3.83,A,08477110
2009-10-31 00:00:00+00:00,3.96,A,08477110
2009-11-01 00:00:00+00:00,4.31,A,08477110
2009-11-02 00:00:00+00:00,4.31,A,08477110
2009-11-03 00:00:00+00:00,4.54,A,08477110
2009-11-04 00:00:00+00:00,4.89,A,08477110
2009-11-05 00:00:00+00:00,4.76,A,08477110
2009-11-06 00:00:00+00:00,4.65,A,08477110
2009-11-07 00:00:00+00:00,4.53,A,08477110
2009-11-08 00:00:00+00:00,4.46,A,08477110
2009-11-09 00:00:00+00:00,4.31,A,08477110
2009-11-10 00:00:00+00:00,4.31,A,08477110
2009-11-11 00:00:00+00:00,4.47,A,08477110
2009-11-12 00:00:00+00:00,4.63,A,08477110
2009-11-13 00:00:00+00:00,4.53,A,08477110
2009-11-14 00:00:00+00:00,4.53,A,08477110
2009-11-15 00:00:00+00:00,4.53,A,08477110
2009-11-16 00:00:00+00:00,4.55,A,08477110
2009-11-17 00:00:00+00:00,4.62,A,08477110
2009-11-18 00:00:00+00:00,4.63,A,08477110
2009-11-19 00:00:00+00:00,4.63,A,08477110
2009-11-20 00:00:00+00:00,4.65,A,08477110
2009-11-21 00:00:00+00:00,4.53,A,08477110
2009-11-22 00:00:00+00:00,4.53,A,08477110
2009-11-23 00:00:00+00:00,4.53,A,08477110
2009-11-24 00:00:00+00:00,4.53,A,08477110
2009-11-25 00:00:00+00:00,4.53,A,08477110
2009-11-26 00:00:00+00:00,4.53,A,08477110
2009-11-27 00:00:00+00:00,4.59,A,08477110
2009-11-28 00:00:00+00:00,4.79,A,08477110
2009-11-29 00:00:00+00:00,5.11,A,08477110
2009-11-30 00:00:00+00:00,4.81,A,08477110
2009-12-01 00:00:00+00:00,4.8,A,08477110
2009-12-02 00:00:00+00:00,4.87,A,08477110
2009-12-03 00:00:00+00:00,4.79,A,08477110
2009-12-04 00:00:00+00:00,4.83,A,08477110
2009-12-05 00:00:00+00:00,4.95,A,08477110
2009-12-06 00:00:00+00:00,5.29,A,08477110
2009-12-07 00:00:00+00:00,5.69,A,08477110
2009-12-08 00:00:00+00:00,5.77,A,08477110
2009-12-09 00:00:00+00:00,5.55,A,08477110
2009-12-10 00:00:00+00:00,5.04,A,08477110
2009-12-11 00:00:00+00:00,4.69,A,08477110
2009-12-12 00:00:00+00:00,4.81,A,08477110
2009-12-13 00:00:00+00:00,5.07,A,08477110
2009-12-14 00:00:00+00:00,5.35,A,08477110
2009-12-15 00:00:00+00:00,5.72,A,08477110
2009-12-16 00:00:00+00:00,6.09,A,08477110
2009-12-17 00:00:00+00:00,6.43,A,08477110
2009-12-18 00:00:00+00:00,6.77,A,08477110
2009-12-19 00:00:00+00:00,6.78,A,08477110
2009-12-20 00:00:00+00:00,6.78,A,08477110
2009-12-21 00:00:00+00:00,6.78,A,08477110
2009-12-22 00:00:00+00:00,6.73,A,08477110
2009-12-23 00:00:00+00:00,6.73,A,08477110
2009-12-24 00:00:00+00:00,6.39,A,08477110
2009-12-25 00:00:00+00:00,6.27,A,08477110
2009-12-26 00:00:00+00:00,6.33,A,08477110
2009-12-27 00:00:00+00:00,6.31,A,08477110
2009-12-28 00:00:00+00:00,6.19,A,08477110
2009-12-29 00:00:00+00:00,6.07,A,08477110
2009-12-30 00:00:00+00:00,5.97,A,08477110
2009-12-31 00:00:00+00:00,5.86,A,08477110
2010-01-01 00:00:00+00:00,5.83,A,08477110
2010-01-02 00:00:00+00:00,5.69,A,08477110
2010-01-03 00:00:00+00:00,5.62,A,08477110
2010-01-04 00:00:00+00:00,5.53,A,08477110
2010-01-05 00:00:00+00:00,5.47,A,08477110
2010-01-06 00:00:00+00:00,5.42,A,08477110
2010-01-07 00:00:00+00:00,5.37,A,08477110
2010-01-08 00:00:00+00:00,5.23,A,08477110
2010-01-09 00:00:00+00:00,5.14,A,08477110
2010-01-10 00:00:00+00:00,5.12,A,08477110
2010-01-11 00:00:00+00:00,4.98,A,08477110
2010-01-12 00:00:00+00:00,4.92,A,08477110
2010-01-13 00:00:00+00:00,4.92,A,08477110
2010-01-14 00:00:00+00:00,4.88,A,08477110
2010-01-15 00:00:00+00:00,4.66,A,08477110
2010-01-16 00:00:00+00:00,4.66,A,08477110
2010-01-17 00:00:00+00:00,4.53,A,08477110
2010-01-18 00:00:00+00:00,4.53,A,08477110
2010-01-19 00:00:00+00:00,4.48,A,08477110
2010-01-20 00:00:00+00:00,4.69,A,08477110
2010-01-21 00:00:00+00:00,5.67,A,08477110
2010-01-22 00:00:00+00:00,15.7,A,08477110
2010-01-23 00:00:00+00:00,11.0,A,08477110
2010-01-24 00:00:00+00:00,8.05,A,08477110
2010-01-25 00:00:00+00:00,7.37,A,08477110
2010-01-26 00:00:00+00:00,7.27,A,08477110
