datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2009-10-01 00:00:00+00:00,9.6,A,11501000,155.0,A
2009-10-02 00:00:00+00:00,10.1,A,11501000,168.0,A
2009-10-03 00:00:00+00:00,9.7,A,11501000,170.0,A
2009-10-04 00:00:00+00:00,8.4,A,11501000,176.0,A
2009-10-05 00:00:00+00:00,8.1,A,11501000,186.0,A
2009-10-06 00:00:00+00:00,8.3,A,11501000,187.0,A
2009-10-07 00:00:00+00:00,8.6,A,11501000,197.0,A
2009-10-08 00:00:00+00:00,9.1,A,11501000,189.0,A
2009-10-09 00:00:00+00:00,9.5,A,11501000,189.0,A
2009-10-10 00:00:00+00:00,9.5,A,11501000,190.0,A
2009-10-11 00:00:00+00:00,9.3,A,11501000,194.0,A
2009-10-12 00:00:00+00:00,9.1,A,11501000,193.0,A
2009-10-13 00:00:00+00:00,9.1,A,11501000,202.0,A
2009-10-14 00:00:00+00:00,8.7,A,11501000,216.0,A
2009-10-15 00:00:00+00:00,10.0,A,11501000,226.0,A
2009-10-16 00:00:00+00:00,10.8,A,11501000,231.0,A
2009-10-17 00:00:00+00:00,11.4,A,11501000,240.0,A
2009-10-18 00:00:00+00:00,11.5,A,11501000,235.0,A
2009-10-19 00:00:00+00:00,11.2,A,11501000,233.0,A
2009-10-20 00:00:00+00:00,9.9,A,11501000,231.0,A
2009-10-21 00:00:00+00:00,9.4,A,11501000,230.0,A
2009-10-22 00:00:00+00:00,9.4,A,11501000,227.0,A
2009-10-23 00:00:00+00:00,9.8,A,11501000,226.0,A
2009-10-24 00:00:00+00:00,9.6,A,11501000,223.0,A
2009-10-25 00:00:00+00:00,8.7,A,11501000,225.0,A
2009-10-26 00:00:00+00:00,8.2,A,11501000,226.0,A
2009-10-27 00:00:00+00:00,6.7,A,11501000,222.0,A
2009-10-28 00:00:00+00:00,5.3,A,11501000,219.0,A
2009-10-29 00:00:00+00:00,5.9,A,11501000,225.0,A
2009-10-30 00:00:00+00:00,6.7,A,11501000,225.0,A
2009-10-31 00:00:00+00:00,6.9,A,11501000,219.0,A
2009-11-01 00:00:00+00:00,6.7,A,11501000,217.0,A
2009-11-02 00:00:00+00:00,6.0,A,11501000,222.0,A
2009-11-03 00:00:00+00:00,6.0,A,11501000,223.0,A
2009-11-04 00:00:00+00:00,6.2,A,11501000,223.0,A
2009-11-05 00:00:00+00:00,7.2,A,11501000,224.0,A
2009-11-06 00:00:00+00:00,7.3,A,11501000,229.0,A
2009-11-07 00:00:00+00:00,6.8,A,11501000,227.0,A
2009-11-08 00:00:00+00:00,6.0,A,11501000,227.0,A
2009-11-09 00:00:00+00:00,4.8,A,11501000,230.0,A
2009-11-10 00:00:00+00:00,4.4,A,11501000,230.0,A
2009-11-11 00:00:00+00:00,4.9,A,11501000,229.0,A
2009-11-12 00:00:00+00:00,3.4,A,11501000,230.0,A
2009-11-13 00:00:00+00:00,2.2,A,11501000,235.0,A
2009-11-14 00:00:00+00:00,1.5,A,11501000,241.0,A
2009-11-15 00:00:00+00:00,1.6,A,11501000,245.0,A
2009-11-16 00:00:00+00:00,1.6,A,11501000,235.0,A
2009-11-17 00:00:00+00:00,2.1,A,11501000,237.0,A
2009-11-18 00:00:00+00:00,2.2,A,11501000,240.0,A
2009-11-19 00:00:00+00:00,2.2,A,11501000,242.0,A
2009-11-20 00:00:00+00:00,2.1,A,11501000,244.0,A
2009-11-21 00:00:00+00:00,2.1,A,11501000,239.0,A
2009-11-22 00:00:00+00:00,2.2,A,11501000,246.0,A
2009-11-23 00:00:00+00:00,2.0,A,11501000,244.0,A
2009-11-24 00:00:00+00:00,2.2,A,11501000,243.0,A
2009-11-25 00:00:00+00:00,2.4,A,11501000,240.0,A
2009-11-26 00:00:00+00:00,2.6,A,11501000,242.0,A
2009-11-27 00:00:00+00:00,3.0,A,11501000,244.0,A
2009-11-28 00:00:00+00:00,2.2,A,11501000,242.0,A
2009-11-29 00:00:00+00:00,1.9,A,11501000,249.0,A
2009-11-30 00:00:00+00:00,1.6,A,11501000,249.0,A
2009-12-01 00:00:00+00:00,1.7,A,11501000,238.0,A
2009-12-02 00:00:00+00:00,1.3,A,11501000,236.0,A
2009-12-03 00:00:00+00:00,0.2,A,11501000,238.0,A
2009-12-04 00:00:00+00:00,0.1,A,11501000,235.0,A
2009-12-05 00:00:00+00:00,0.0,A,11501000,250.0,"A, e"
2009-12-06 00:00:00+00:00,0.0,A,11501000,260.0,"A, e"
2009-12-07 00:00:00+00:00,0.0,A,11501000,270.0,"A, e"
2009-12-08 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-09 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-10 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-11 00:00:00+00:00,0.0,A,11501000,290.0,"A, e"
2009-12-12 00:00:00+00:00,0.0,A,11501000,290.0,"A, e"
2009-12-13 00:00:00+00:00,0.0,A,11501000,290.0,"A, e"
2009-12-14 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-15 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-16 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-17 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-18 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-19 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-20 00:00:00+00:00,1.0,A,11501000,282.0,A
2009-12-21 00:00:00+00:00,1.4,A,11501000,273.0,A
2009-12-22 00:00:00+00:00,0.7,A,11501000,269.0,A
2009-12-23 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-24 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
2009-12-25 00:00:00+00:00,0.0,A,11501000,280.0,"A, e"
