datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2009-10-01 00:00:00+00:00,213.0,A,10130500,2.38,A
2009-10-02 00:00:00+00:00,213.0,A,10130500,2.38,A
2009-10-03 00:00:00+00:00,213.0,A,10130500,2.38,A
2009-10-04 00:00:00+00:00,215.0,A,10130500,2.39,A
2009-10-05 00:00:00+00:00,218.0,A,10130500,2.4,A
2009-10-06 00:00:00+00:00,220.0,A,10130500,2.4,A
2009-10-07 00:00:00+00:00,215.0,A,10130500,2.38,A
2009-10-08 00:00:00+00:00,216.0,A,10130500,2.39,A
2009-10-09 00:00:00+00:00,218.0,A,10130500,2.4,A
2009-10-10 00:00:00+00:00,219.0,A,10130500,2.4,A
2009-10-11 00:00:00+00:00,220.0,A,10130500,2.4,A
2009-10-12 00:00:00+00:00,219.0,A,10130500,2.4,A
2009-10-13 00:00:00+00:00,221.0,A,10130500,2.41,A
2009-10-14 00:00:00+00:00,225.0,A,10130500,2.42,A
2009-10-15 00:00:00+00:00,170.0,A,10130500,2.19,A
2009-10-16 00:00:00+00:00,98.9,A,10130500,1.88,A
2009-10-17 00:00:00+00:00,97.4,A,10130500,1.87,A
2009-10-18 00:00:00+00:00,94.1,A,10130500,1.85,A
2009-10-19 00:00:00+00:00,92.2,A,10130500,1.84,A
2009-10-20 00:00:00+00:00,92.2,A,10130500,1.84,A
2009-10-21 00:00:00+00:00,93.7,A,10130500,1.85,A
2009-10-22 00:00:00+00:00,92.4,A,10130500,1.84,A
2009-10-23 00:00:00+00:00,90.7,A,10130500,1.83,A
2009-10-24 00:00:00+00:00,90.7,A,10130500,1.83,A
2009-10-25 00:00:00+00:00,90.7,A,10130500,1.83,A
2009-10-26 00:00:00+00:00,90.6,A,10130500,1.83,A
2009-10-27 00:00:00+00:00,88.8,A,10130500,1.82,A
2009-10-28 00:00:00+00:00,90.7,A,10130500,1.83,A
2009-10-29 00:00:00+00:00,87.9,A,10130500,1.81,A
2009-10-30 00:00:00+00:00,85.6,A,10130500,1.8,A
2009-10-31 00:00:00+00:00,85.6,A,10130500,1.8,A
2009-11-01 00:00:00+00:00,85.8,A,10130500,1.8,A
2009-11-02 00:00:00+00:00,85.6,A,10130500,1.8,A
2009-11-03 00:00:00+00:00,86.8,A,10130500,1.81,A
2009-11-04 00:00:00+00:00,86.8,A,10130500,1.81,A
2009-11-05 00:00:00+00:00,90.5,A,10130500,1.83,A
2009-11-06 00:00:00+00:00,82.5,A,10130500,1.78,A
2009-11-07 00:00:00+00:00,86.1,A,10130500,1.8,A
2009-11-08 00:00:00+00:00,86.7,A,10130500,1.81,A
2009-11-09 00:00:00+00:00,87.0,A,10130500,1.81,A
2009-11-10 00:00:00+00:00,86.7,A,10130500,1.81,A
2009-11-11 00:00:00+00:00,83.7,A,10130500,1.79,A
2009-11-12 00:00:00+00:00,80.9,A,10130500,1.77,A
2009-11-13 00:00:00+00:00,83.5,A,10130500,1.79,A
2009-11-14 00:00:00+00:00,84.9,A,10130500,1.8,A
2009-11-15 00:00:00+00:00,86.2,A,10130500,1.8,A
2009-11-16 00:00:00+00:00,80.9,A,10130500,1.77,A
2009-11-17 00:00:00+00:00,50.9,A,10130500,1.56,A
2009-11-18 00:00:00+00:00,80.7,A,10130500,1.77,A
2009-11-19 00:00:00+00:00,82.1,A,10130500,1.78,A
2009-11-20 00:00:00+00:00,81.1,A,10130500,1.77,A
2009-11-21 00:00:00+00:00,82.9,A,10130500,1.78,A
2009-11-22 00:00:00+00:00,83.0,A,10130500,1.78,A
2009-11-23 00:00:00+00:00,83.9,A,10130500,1.79,A
2009-11-24 00:00:00+00:00,83.2,A,10130500,1.79,A
2009-11-25 00:00:00+00:00,83.5,A,10130500,1.79,A
2009-11-26 00:00:00+00:00,83.3,A,10130500,1.79,A
2009-11-27 00:00:00+00:00,83.1,A,10130500,1.78,A
2009-11-28 00:00:00+00:00,81.6,A,10130500,1.78,A
2009-11-29 00:00:00+00:00,81.2,A,10130500,1.77,A
2009-11-30 00:00:00+00:00,81.7,A,10130500,1.78,A
2009-12-01 00:00:00+00:00,81.9,A,10130500,1.78,A
2009-12-02 00:00:00+00:00,81.5,A,10130500,1.78,A
2009-12-03 00:00:00+00:00,83.7,"A, e",10130500,1.79,A
2009-12-04 00:00:00+00:00,84.0,"A, e",10130500,1.82,A
2009-12-05 00:00:00+00:00,85.0,"A, e",10130500,1.87,A
