datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,331.0,A,14120000
2010-10-02 00:00:00+00:00,332.0,A,14120000
2010-10-03 00:00:00+00:00,330.0,A,14120000
2010-10-04 00:00:00+00:00,319.0,A,14120000
2010-10-05 00:00:00+00:00,313.0,A,14120000
2010-10-06 00:00:00+00:00,298.0,A,14120000
2010-10-07 00:00:00+00:00,306.0,A,14120000
2010-10-08 00:00:00+00:00,311.0,A,14120000
2010-10-09 00:00:00+00:00,412.0,A,14120000
2010-10-10 00:00:00+00:00,665.0,A,14120000
2010-10-11 00:00:00+00:00,486.0,A,14120000
2010-10-12 00:00:00+00:00,427.0,A,14120000
2010-10-13 00:00:00+00:00,406.0,A,14120000
2010-10-14 00:00:00+00:00,400.0,A,14120000
2010-10-15 00:00:00+00:00,395.0,A,14120000
2010-10-16 00:00:00+00:00,383.0,A,14120000
2010-10-17 00:00:00+00:00,377.0,A,14120000
2010-10-18 00:00:00+00:00,373.0,A,14120000
2010-10-19 00:00:00+00:00,374.0,A,14120000
2010-10-20 00:00:00+00:00,372.0,A,14120000
2010-10-21 00:00:00+00:00,373.0,A,14120000
2010-10-22 00:00:00+00:00,371.0,A,14120000
2010-10-23 00:00:00+00:00,377.0,A,14120000
2010-10-24 00:00:00+00:00,674.0,A,14120000
2010-10-25 00:00:00+00:00,879.0,A,14120000
2010-10-26 00:00:00+00:00,737.0,A,14120000
2010-10-27 00:00:00+00:00,767.0,A,14120000
2010-10-28 00:00:00+00:00,621.0,A,14120000
2010-10-29 00:00:00+00:00,647.0,A,14120000
2010-10-30 00:00:00+00:00,574.0,A,14120000
2010-10-31 00:00:00+00:00,691.0,A,14120000
2010-11-01 00:00:00+00:00,653.0,A,14120000
2010-11-02 00:00:00+00:00,1460.0,A,14120000
2010-11-03 00:00:00+00:00,927.0,A,14120000
2010-11-04 00:00:00+00:00,754.0,A,14120000
2010-11-05 00:00:00+00:00,669.0,A,14120000
2010-11-06 00:00:00+00:00,637.0,A,14120000
2010-11-07 00:00:00+00:00,810.0,A,14120000
2010-11-08 00:00:00+00:00,771.0,A,14120000
2010-11-09 00:00:00+00:00,755.0,A,14120000
2010-11-10 00:00:00+00:00,711.0,A,14120000
2010-11-11 00:00:00+00:00,655.0,A,14120000
2010-11-12 00:00:00+00:00,738.0,A,14120000
2010-11-13 00:00:00+00:00,679.0,A,14120000
2010-11-14 00:00:00+00:00,899.0,A,14120000
2010-11-15 00:00:00+00:00,1070.0,A,14120000
2010-11-16 00:00:00+00:00,1620.0,A,14120000
2010-11-17 00:00:00+00:00,1460.0,A,14120000
2010-11-18 00:00:00+00:00,2010.0,A,14120000
2010-11-19 00:00:00+00:00,1310.0,A,14120000
2010-11-20 00:00:00+00:00,1080.0,A,14120000
2010-11-21 00:00:00+00:00,927.0,A,14120000
2010-11-22 00:00:00+00:00,868.0,A,14120000
2010-11-23 00:00:00+00:00,775.0,A,14120000
2010-11-24 00:00:00+00:00,688.0,A,14120000
2010-11-25 00:00:00+00:00,664.0,A,14120000
2010-11-26 00:00:00+00:00,697.0,A,14120000
2010-11-27 00:00:00+00:00,804.0,A,14120000
2010-11-28 00:00:00+00:00,712.0,A,14120000
2010-11-29 00:00:00+00:00,654.0,A,14120000
2010-11-30 00:00:00+00:00,754.0,A,14120000
2010-12-01 00:00:00+00:00,1450.0,A,14120000
2010-12-02 00:00:00+00:00,1260.0,A,14120000
2010-12-03 00:00:00+00:00,1040.0,A,14120000
2010-12-04 00:00:00+00:00,905.0,A,14120000
2010-12-05 00:00:00+00:00,818.0,A,14120000
2010-12-06 00:00:00+00:00,757.0,A,14120000
2010-12-07 00:00:00+00:00,709.0,A,14120000
2010-12-08 00:00:00+00:00,815.0,A,14120000
2010-12-09 00:00:00+00:00,1850.0,A,14120000
2010-12-10 00:00:00+00:00,2590.0,A,14120000
2010-12-11 00:00:00+00:00,2350.0,A,14120000
2010-12-12 00:00:00+00:00,4970.0,A,14120000
2010-12-13 00:00:00+00:00,6370.0,A,14120000
2010-12-14 00:00:00+00:00,5370.0,A,14120000
2010-12-15 00:00:00+00:00,3310.0,A,14120000
2010-12-16 00:00:00+00:00,2340.0,A,14120000
2010-12-17 00:00:00+00:00,1870.0,A,14120000
2010-12-18 00:00:00+00:00,1620.0,A,14120000
2010-12-19 00:00:00+00:00,1420.0,A,14120000
2010-12-20 00:00:00+00:00,1280.0,A,14120000
2010-12-21 00:00:00+00:00,1150.0,A,14120000
2010-12-22 00:00:00+00:00,1070.0,A,14120000
2010-12-23 00:00:00+00:00,987.0,A,14120000
2010-12-24 00:00:00+00:00,938.0,A,14120000
2010-12-25 00:00:00+00:00,919.0,A,14120000
2010-12-26 00:00:00+00:00,899.0,A,14120000
2010-12-27 00:00:00+00:00,930.0,A,14120000
2010-12-28 00:00:00+00:00,2310.0,A,14120000
2010-12-29 00:00:00+00:00,2240.0,A,14120000
2010-12-30 00:00:00+00:00,1610.0,A,14120000
2010-12-31 00:00:00+00:00,1350.0,A,14120000
2011-01-01 00:00:00+00:00,1200.0,A,14120000
2011-01-02 00:00:00+00:00,1100.0,A,14120000
2011-01-03 00:00:00+00:00,1010.0,A,14120000
2011-01-04 00:00:00+00:00,950.0,A,14120000
2011-01-05 00:00:00+00:00,917.0,A,14120000
2011-01-06 00:00:00+00:00,896.0,A,14120000
2011-01-07 00:00:00+00:00,898.0,A,14120000
2011-01-08 00:00:00+00:00,939.0,A,14120000
2011-01-09 00:00:00+00:00,882.0,A,14120000
2011-01-10 00:00:00+00:00,831.0,A,14120000
2011-01-11 00:00:00+00:00,796.0,A,14120000
2011-01-12 00:00:00+00:00,1280.0,A,14120000
2011-01-13 00:00:00+00:00,3080.0,A,14120000
2011-01-14 00:00:00+00:00,4010.0,A,14120000
2011-01-15 00:00:00+00:00,3890.0,A,14120000
2011-01-16 00:00:00+00:00,11500.0,A,14120000
2011-01-17 00:00:00+00:00,9490.0,A,14120000
2011-01-18 00:00:00+00:00,5650.0,A,14120000
2011-01-19 00:00:00+00:00,3880.0,A,14120000
2011-01-20 00:00:00+00:00,2960.0,A,14120000
2011-01-21 00:00:00+00:00,2620.0,A,14120000
2011-01-22 00:00:00+00:00,2400.0,A,14120000
2011-01-23 00:00:00+00:00,2100.0,A,14120000
2011-01-24 00:00:00+00:00,1930.0,A,14120000
2011-01-25 00:00:00+00:00,1820.0,A,14120000
2011-01-26 00:00:00+00:00,1690.0,A,14120000
2011-01-27 00:00:00+00:00,1580.0,A,14120000
2011-01-28 00:00:00+00:00,1530.0,A,14120000
2011-01-29 00:00:00+00:00,1510.0,A,14120000
2011-01-30 00:00:00+00:00,1420.0,A,14120000
2011-01-31 00:00:00+00:00,1320.0,A,14120000
2011-02-01 00:00:00+00:00,1210.0,A,14120000
2011-02-02 00:00:00+00:00,1130.0,A,14120000
2011-02-03 00:00:00+00:00,1100.0,A,14120000
2011-02-04 00:00:00+00:00,1120.0,A,14120000
2011-02-05 00:00:00+00:00,1180.0,A,14120000
2011-02-06 00:00:00+00:00,1210.0,A,14120000
2011-02-07 00:00:00+00:00,1350.0,A,14120000
2011-02-08 00:00:00+00:00,1250.0,A,14120000
2011-02-09 00:00:00+00:00,1140.0,A,14120000
2011-02-10 00:00:00+00:00,1080.0,A,14120000
2011-02-11 00:00:00+00:00,1050.0,A,14120000
2011-02-12 00:00:00+00:00,1050.0,A,14120000
2011-02-13 00:00:00+00:00,1300.0,A,14120000
2011-02-14 00:00:00+00:00,1230.0,A,14120000
2011-02-15 00:00:00+00:00,1340.0,A,14120000
2011-02-16 00:00:00+00:00,1230.0,A,14120000
2011-02-17 00:00:00+00:00,1140.0,A,14120000
2011-02-18 00:00:00+00:00,1070.0,A,14120000
2011-02-19 00:00:00+00:00,1020.0,A,14120000
2011-02-20 00:00:00+00:00,981.0,A,14120000
2011-02-21 00:00:00+00:00,950.0,A,14120000
2011-02-22 00:00:00+00:00,950.0,A,14120000
2011-02-23 00:00:00+00:00,926.0,A,14120000
2011-02-24 00:00:00+00:00,908.0,A,14120000
2011-02-25 00:00:00+00:00,860.0,A,14120000
2011-02-26 00:00:00+00:00,889.0,A,14120000
2011-02-27 00:00:00+00:00,937.0,A,14120000
2011-02-28 00:00:00+00:00,1050.0,A,14120000
2011-03-01 00:00:00+00:00,1020.0,A,14120000
2011-03-02 00:00:00+00:00,1040.0,A,14120000
2011-03-03 00:00:00+00:00,1050.0,A,14120000
2011-03-04 00:00:00+00:00,1020.0,A,14120000
2011-03-05 00:00:00+00:00,1040.0,A,14120000
2011-03-06 00:00:00+00:00,1040.0,A,14120000
2011-03-07 00:00:00+00:00,1010.0,A,14120000
2011-03-08 00:00:00+00:00,1010.0,A,14120000
2011-03-09 00:00:00+00:00,1130.0,A,14120000
2011-03-10 00:00:00+00:00,2130.0,A,14120000
2011-03-11 00:00:00+00:00,1910.0,A,14120000
2011-03-12 00:00:00+00:00,1540.0,A,14120000
2011-03-13 00:00:00+00:00,1430.0,A,14120000
2011-03-14 00:00:00+00:00,1500.0,A,14120000
2011-03-15 00:00:00+00:00,1720.0,A,14120000
2011-03-16 00:00:00+00:00,2000.0,A,14120000
2011-03-17 00:00:00+00:00,1670.0,A,14120000
2011-03-18 00:00:00+00:00,1500.0,A,14120000
2011-03-19 00:00:00+00:00,1380.0,A,14120000
2011-03-20 00:00:00+00:00,1320.0,A,14120000
2011-03-21 00:00:00+00:00,1260.0,A,14120000
2011-03-22 00:00:00+00:00,1220.0,A,14120000
2011-03-23 00:00:00+00:00,1170.0,A,14120000
2011-03-24 00:00:00+00:00,1180.0,A,14120000
2011-03-25 00:00:00+00:00,1170.0,A,14120000
2011-03-26 00:00:00+00:00,1150.0,A,14120000
2011-03-27 00:00:00+00:00,1170.0,A,14120000
2011-03-28 00:00:00+00:00,1170.0,A,14120000
2011-03-29 00:00:00+00:00,1340.0,A,14120000
2011-03-30 00:00:00+00:00,2540.0,A,14120000
2011-03-31 00:00:00+00:00,3770.0,A,14120000
2011-04-01 00:00:00+00:00,3390.0,A,14120000
2011-04-02 00:00:00+00:00,2990.0,A,14120000
2011-04-03 00:00:00+00:00,2190.0,A,14120000
2011-04-04 00:00:00+00:00,2190.0,A,14120000
2011-04-05 00:00:00+00:00,3540.0,A,14120000
2011-04-06 00:00:00+00:00,2670.0,A,14120000
2011-04-07 00:00:00+00:00,2140.0,A,14120000
2011-04-08 00:00:00+00:00,1810.0,A,14120000
2011-04-09 00:00:00+00:00,1620.0,A,14120000
2011-04-10 00:00:00+00:00,1480.0,A,14120000
2011-04-11 00:00:00+00:00,1520.0,A,14120000
2011-04-12 00:00:00+00:00,1380.0,A,14120000
2011-04-13 00:00:00+00:00,1300.0,A,14120000
2011-04-14 00:00:00+00:00,1320.0,A,14120000
2011-04-15 00:00:00+00:00,1920.0,A,14120000
2011-04-16 00:00:00+00:00,2940.0,A,14120000
2011-04-17 00:00:00+00:00,2540.0,A,14120000
2011-04-18 00:00:00+00:00,1970.0,A,14120000
2011-04-19 00:00:00+00:00,1670.0,A,14120000
2011-04-20 00:00:00+00:00,1490.0,A,14120000
2011-04-21 00:00:00+00:00,1390.0,A,14120000
2011-04-22 00:00:00+00:00,1270.0,A,14120000
