datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,6.05,A,10329500
2010-10-02 00:00:00+00:00,6.07,A,10329500
2010-10-03 00:00:00+00:00,6.18,A,10329500
2010-10-04 00:00:00+00:00,6.8,A,10329500
2010-10-05 00:00:00+00:00,7.43,A,10329500
2010-10-06 00:00:00+00:00,7.57,A,10329500
2010-10-07 00:00:00+00:00,7.77,A,10329500
2010-10-08 00:00:00+00:00,7.53,A,10329500
2010-10-09 00:00:00+00:00,7.28,A,10329500
2010-10-10 00:00:00+00:00,7.2,A,10329500
2010-10-11 00:00:00+00:00,7.05,A,10329500
2010-10-12 00:00:00+00:00,6.81,A,10329500
2010-10-13 00:00:00+00:00,6.98,A,10329500
2010-10-14 00:00:00+00:00,7.08,A,10329500
2010-10-15 00:00:00+00:00,7.11,A,10329500
2010-10-16 00:00:00+00:00,7.11,A,10329500
2010-10-17 00:00:00+00:00,7.12,A,10329500
2010-10-18 00:00:00+00:00,7.15,A,10329500
2010-10-19 00:00:00+00:00,7.14,A,10329500
2010-10-20 00:00:00+00:00,7.25,A,10329500
2010-10-21 00:00:00+00:00,7.36,A,10329500
2010-10-22 00:00:00+00:00,7.46,A,10329500
2010-10-23 00:00:00+00:00,7.75,A,10329500
2010-10-24 00:00:00+00:00,10.7,A,10329500
2010-10-25 00:00:00+00:00,21.5,A,10329500
2010-10-26 00:00:00+00:00,14.9,A,10329500
2010-10-27 00:00:00+00:00,12.3,A,10329500
2010-10-28 00:00:00+00:00,11.2,A,10329500
2010-10-29 00:00:00+00:00,10.8,A,10329500
2010-10-30 00:00:00+00:00,10.3,A,10329500
2010-10-31 00:00:00+00:00,10.1,A,10329500
2010-11-01 00:00:00+00:00,9.87,A,10329500
2010-11-02 00:00:00+00:00,9.78,A,10329500
2010-11-03 00:00:00+00:00,9.68,A,10329500
2010-11-04 00:00:00+00:00,9.78,A,10329500
2010-11-05 00:00:00+00:00,9.81,A,10329500
2010-11-06 00:00:00+00:00,9.79,A,10329500
2010-11-07 00:00:00+00:00,10.3,A,10329500
2010-11-08 00:00:00+00:00,12.0,A,10329500
2010-11-09 00:00:00+00:00,11.7,A,10329500
2010-11-10 00:00:00+00:00,11.5,A,10329500
2010-11-11 00:00:00+00:00,11.1,A,10329500
2010-11-12 00:00:00+00:00,10.7,A,10329500
2010-11-13 00:00:00+00:00,10.7,A,10329500
2010-11-14 00:00:00+00:00,10.7,A,10329500
2010-11-15 00:00:00+00:00,11.1,A,10329500
2010-11-16 00:00:00+00:00,11.9,A,10329500
2010-11-17 00:00:00+00:00,11.6,A,10329500
2010-11-18 00:00:00+00:00,11.3,A,10329500
2010-11-19 00:00:00+00:00,11.2,A,10329500
2010-11-20 00:00:00+00:00,12.3,A,10329500
2010-11-21 00:00:00+00:00,11.5,A,10329500
2010-11-22 00:00:00+00:00,11.7,A,10329500
2010-11-23 00:00:00+00:00,11.3,A,10329500
2010-11-24 00:00:00+00:00,8.4,A,10329500
2010-11-25 00:00:00+00:00,8.53,A,10329500
2010-11-26 00:00:00+00:00,9.76,A,10329500
2010-11-27 00:00:00+00:00,11.5,A,10329500
2010-11-28 00:00:00+00:00,11.8,A,10329500
2010-11-29 00:00:00+00:00,10.7,A,10329500
2010-11-30 00:00:00+00:00,10.3,A,10329500
2010-12-01 00:00:00+00:00,11.5,A,10329500
2010-12-02 00:00:00+00:00,11.9,A,10329500
2010-12-03 00:00:00+00:00,17.5,A,10329500
2010-12-04 00:00:00+00:00,25.1,A,10329500
2010-12-05 00:00:00+00:00,29.0,A,10329500
2010-12-06 00:00:00+00:00,26.1,A,10329500
2010-12-07 00:00:00+00:00,23.9,A,10329500
2010-12-08 00:00:00+00:00,21.7,A,10329500
2010-12-09 00:00:00+00:00,23.8,A,10329500
2010-12-10 00:00:00+00:00,49.0,A,10329500
2010-12-11 00:00:00+00:00,41.4,A,10329500
2010-12-12 00:00:00+00:00,44.5,A,10329500
2010-12-13 00:00:00+00:00,41.8,A,10329500
2010-12-14 00:00:00+00:00,74.2,A,10329500
2010-12-15 00:00:00+00:00,63.1,A,10329500
2010-12-16 00:00:00+00:00,36.5,A,10329500
2010-12-17 00:00:00+00:00,33.4,A,10329500
2010-12-18 00:00:00+00:00,34.7,A,10329500
2010-12-19 00:00:00+00:00,37.2,A,10329500
2010-12-20 00:00:00+00:00,36.3,A,10329500
2010-12-21 00:00:00+00:00,29.4,A,10329500
2010-12-22 00:00:00+00:00,27.8,A,10329500
2010-12-23 00:00:00+00:00,26.4,A,10329500
2010-12-24 00:00:00+00:00,24.7,A,10329500
2010-12-25 00:00:00+00:00,24.2,A,10329500
2010-12-26 00:00:00+00:00,24.0,A,10329500
2010-12-27 00:00:00+00:00,22.7,A,10329500
2010-12-28 00:00:00+00:00,22.8,A,10329500
2010-12-29 00:00:00+00:00,27.0,A,10329500
2010-12-30 00:00:00+00:00,20.1,A,10329500
2010-12-31 00:00:00+00:00,16.4,A,10329500
2011-01-01 00:00:00+00:00,14.9,A,10329500
2011-01-02 00:00:00+00:00,22.1,A,10329500
2011-01-03 00:00:00+00:00,20.7,A,10329500
2011-01-04 00:00:00+00:00,19.1,A,10329500
2011-01-05 00:00:00+00:00,19.4,A,10329500
2011-01-06 00:00:00+00:00,19.2,A,10329500
2011-01-07 00:00:00+00:00,19.2,A,10329500
2011-01-08 00:00:00+00:00,19.7,A,10329500
2011-01-09 00:00:00+00:00,18.1,A,10329500
2011-01-10 00:00:00+00:00,13.6,A,10329500
2011-01-11 00:00:00+00:00,15.4,A,10329500
2011-01-12 00:00:00+00:00,19.5,A,10329500
2011-01-13 00:00:00+00:00,19.8,A,10329500
2011-01-14 00:00:00+00:00,20.5,A,10329500
2011-01-15 00:00:00+00:00,20.0,A,10329500
2011-01-16 00:00:00+00:00,49.5,A,10329500
2011-01-17 00:00:00+00:00,636.0,A,10329500
2011-01-18 00:00:00+00:00,237.0,A,10329500
2011-01-19 00:00:00+00:00,136.0,A,10329500
2011-01-20 00:00:00+00:00,89.4,A,10329500
2011-01-21 00:00:00+00:00,79.8,A,10329500
2011-01-22 00:00:00+00:00,67.8,A,10329500
2011-01-23 00:00:00+00:00,56.1,A,10329500
2011-01-24 00:00:00+00:00,53.8,A,10329500
2011-01-25 00:00:00+00:00,48.3,A,10329500
2011-01-26 00:00:00+00:00,42.8,A,10329500
2011-01-27 00:00:00+00:00,39.8,A,10329500
2011-01-28 00:00:00+00:00,39.8,A,10329500
2011-01-29 00:00:00+00:00,43.0,A,10329500
2011-01-30 00:00:00+00:00,43.3,A,10329500
2011-01-31 00:00:00+00:00,39.1,A,10329500
2011-02-01 00:00:00+00:00,31.6,A,10329500
2011-02-02 00:00:00+00:00,25.5,A,10329500
2011-02-03 00:00:00+00:00,33.4,A,10329500
2011-02-04 00:00:00+00:00,34.7,A,10329500
2011-02-05 00:00:00+00:00,31.9,A,10329500
2011-02-06 00:00:00+00:00,31.3,A,10329500
2011-02-07 00:00:00+00:00,31.0,A,10329500
2011-02-08 00:00:00+00:00,27.9,A,10329500
2011-02-09 00:00:00+00:00,25.0,A,10329500
2011-02-10 00:00:00+00:00,24.8,A,10329500
2011-02-11 00:00:00+00:00,26.2,A,10329500
2011-02-12 00:00:00+00:00,27.1,A,10329500
2011-02-13 00:00:00+00:00,26.1,A,10329500
2011-02-14 00:00:00+00:00,25.6,A,10329500
2011-02-15 00:00:00+00:00,28.7,A,10329500
2011-02-16 00:00:00+00:00,30.0,A,10329500
2011-02-17 00:00:00+00:00,25.3,A,10329500
2011-02-18 00:00:00+00:00,27.5,A,10329500
2011-02-19 00:00:00+00:00,27.4,A,10329500
2011-02-20 00:00:00+00:00,25.6,A,10329500
2011-02-21 00:00:00+00:00,24.6,A,10329500
2011-02-22 00:00:00+00:00,22.2,A,10329500
2011-02-23 00:00:00+00:00,23.8,A,10329500
2011-02-24 00:00:00+00:00,24.1,A,10329500
2011-02-25 00:00:00+00:00,23.3,A,10329500
2011-02-26 00:00:00+00:00,22.8,A,10329500
2011-02-27 00:00:00+00:00,21.5,A,10329500
2011-02-28 00:00:00+00:00,22.2,A,10329500
2011-03-01 00:00:00+00:00,21.9,A,10329500
2011-03-02 00:00:00+00:00,23.0,A,10329500
2011-03-03 00:00:00+00:00,25.0,A,10329500
2011-03-04 00:00:00+00:00,24.6,A,10329500
2011-03-05 00:00:00+00:00,31.8,A,10329500
2011-03-06 00:00:00+00:00,67.6,A,10329500
2011-03-07 00:00:00+00:00,55.3,A,10329500
2011-03-08 00:00:00+00:00,39.2,A,10329500
2011-03-09 00:00:00+00:00,88.1,A,10329500
2011-03-10 00:00:00+00:00,137.0,A,10329500
2011-03-11 00:00:00+00:00,129.0,A,10329500
2011-03-12 00:00:00+00:00,91.4,A,10329500
2011-03-13 00:00:00+00:00,74.3,A,10329500
2011-03-14 00:00:00+00:00,127.0,A,10329500
2011-03-15 00:00:00+00:00,153.0,A,10329500
2011-03-16 00:00:00+00:00,457.0,A,10329500
2011-03-17 00:00:00+00:00,179.0,A,10329500
2011-03-18 00:00:00+00:00,129.0,A,10329500
2011-03-19 00:00:00+00:00,101.0,A,10329500
2011-03-20 00:00:00+00:00,81.9,A,10329500
2011-03-21 00:00:00+00:00,80.1,A,10329500
2011-03-22 00:00:00+00:00,68.8,A,10329500
2011-03-23 00:00:00+00:00,62.4,A,10329500
2011-03-24 00:00:00+00:00,62.5,A,10329500
2011-03-25 00:00:00+00:00,63.1,A,10329500
2011-03-26 00:00:00+00:00,69.7,A,10329500
2011-03-27 00:00:00+00:00,67.7,A,10329500
2011-03-28 00:00:00+00:00,74.9,A,10329500
2011-03-29 00:00:00+00:00,77.8,A,10329500
2011-03-30 00:00:00+00:00,172.0,A,10329500
2011-03-31 00:00:00+00:00,304.0,A,10329500
2011-04-01 00:00:00+00:00,377.0,A,10329500
2011-04-02 00:00:00+00:00,417.0,A,10329500
2011-04-03 00:00:00+00:00,278.0,A,10329500
2011-04-04 00:00:00+00:00,202.0,A,10329500
2011-04-05 00:00:00+00:00,178.0,A,10329500
2011-04-06 00:00:00+00:00,163.0,A,10329500
2011-04-07 00:00:00+00:00,158.0,A,10329500
2011-04-08 00:00:00+00:00,135.0,A,10329500
2011-04-09 00:00:00+00:00,117.0,A,10329500
