datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,38.2,A,13105000
2010-10-02 00:00:00+00:00,37.4,A,13105000
2010-10-03 00:00:00+00:00,38.4,A,13105000
2010-10-04 00:00:00+00:00,40.5,A,13105000
2010-10-05 00:00:00+00:00,43.7,A,13105000
2010-10-06 00:00:00+00:00,49.9,A,13105000
2010-10-07 00:00:00+00:00,48.2,A,13105000
2010-10-08 00:00:00+00:00,48.3,A,13105000
2010-10-09 00:00:00+00:00,48.8,A,13105000
2010-10-10 00:00:00+00:00,49.1,A,13105000
2010-10-11 00:00:00+00:00,49.1,A,13105000
2010-10-12 00:00:00+00:00,47.7,A,13105000
2010-10-13 00:00:00+00:00,47.8,A,13105000
2010-10-14 00:00:00+00:00,45.4,A,13105000
2010-10-15 00:00:00+00:00,42.0,A,13105000
2010-10-16 00:00:00+00:00,43.3,A,13105000
2010-10-17 00:00:00+00:00,44.4,A,13105000
2010-10-18 00:00:00+00:00,45.3,A,13105000
2010-10-19 00:00:00+00:00,44.8,A,13105000
2010-10-20 00:00:00+00:00,45.1,A,13105000
2010-10-21 00:00:00+00:00,45.9,A,13105000
2010-10-22 00:00:00+00:00,45.8,A,13105000
2010-10-23 00:00:00+00:00,46.4,A,13105000
2010-10-24 00:00:00+00:00,49.0,A,13105000
2010-10-25 00:00:00+00:00,53.7,A,13105000
2010-10-26 00:00:00+00:00,66.1,A,13105000
2010-10-27 00:00:00+00:00,69.9,A,13105000
2010-10-28 00:00:00+00:00,60.6,A,13105000
2010-10-29 00:00:00+00:00,57.0,A,13105000
2010-10-30 00:00:00+00:00,56.0,A,13105000
2010-10-31 00:00:00+00:00,53.8,A,13105000
2010-11-01 00:00:00+00:00,55.0,A,13105000
2010-11-02 00:00:00+00:00,53.2,A,13105000
2010-11-03 00:00:00+00:00,53.0,A,13105000
2010-11-04 00:00:00+00:00,55.9,A,13105000
2010-11-05 00:00:00+00:00,55.6,A,13105000
2010-11-06 00:00:00+00:00,53.8,A,13105000
2010-11-07 00:00:00+00:00,53.5,A,13105000
2010-11-08 00:00:00+00:00,58.9,A,13105000
2010-11-09 00:00:00+00:00,62.0,A,13105000
2010-11-10 00:00:00+00:00,63.1,A,13105000
2010-11-11 00:00:00+00:00,62.6,A,13105000
2010-11-12 00:00:00+00:00,62.1,A,13105000
2010-11-13 00:00:00+00:00,61.2,A,13105000
2010-11-14 00:00:00+00:00,62.1,A,13105000
2010-11-15 00:00:00+00:00,66.0,A,13105000
2010-11-16 00:00:00+00:00,66.9,A,13105000
2010-11-17 00:00:00+00:00,66.2,A,13105000
2010-11-18 00:00:00+00:00,65.3,A,13105000
2010-11-19 00:00:00+00:00,65.4,A,13105000
2010-11-20 00:00:00+00:00,68.4,A,13105000
2010-11-21 00:00:00+00:00,74.5,A,13105000
2010-11-22 00:00:00+00:00,75.1,A,13105000
2010-11-23 00:00:00+00:00,69.3,A,13105000
2010-11-24 00:00:00+00:00,51.2,A,13105000
