datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,72.2,A,06278500
2010-10-02 00:00:00+00:00,71.0,A,06278500
2010-10-03 00:00:00+00:00,70.1,A,06278500
2010-10-04 00:00:00+00:00,68.9,A,06278500
2010-10-05 00:00:00+00:00,68.7,A,06278500
2010-10-06 00:00:00+00:00,68.7,A,06278500
2010-10-07 00:00:00+00:00,67.6,A,06278500
2010-10-08 00:00:00+00:00,69.0,A,06278500
2011-03-30 00:00:00+00:00,35.0,A,06278500
2011-03-31 00:00:00+00:00,40.8,A,06278500
2011-04-01 00:00:00+00:00,39.1,A,06278500
2011-04-02 00:00:00+00:00,39.1,A,06278500
2011-04-03 00:00:00+00:00,40.0,A,06278500
2011-04-04 00:00:00+00:00,34.8,A,06278500
2011-04-05 00:00:00+00:00,36.3,A,06278500
2011-04-06 00:00:00+00:00,34.3,A,06278500
2011-04-07 00:00:00+00:00,34.9,A,06278500
2011-04-08 00:00:00+00:00,35.9,A,06278500
2011-04-09 00:00:00+00:00,34.8,A,06278500
2011-04-10 00:00:00+00:00,35.1,A,06278500
2011-04-11 00:00:00+00:00,34.5,A,06278500
2011-04-12 00:00:00+00:00,36.9,A,06278500
2011-04-13 00:00:00+00:00,35.4,A,06278500
2011-04-14 00:00:00+00:00,37.9,A,06278500
2011-04-15 00:00:00+00:00,35.0,A,06278500
2011-04-16 00:00:00+00:00,35.5,A,06278500
2011-04-17 00:00:00+00:00,38.7,A,06278500
2011-04-18 00:00:00+00:00,41.1,A,06278500
2011-04-19 00:00:00+00:00,40.0,A,06278500
2011-04-20 00:00:00+00:00,36.6,A,06278500
2011-04-21 00:00:00+00:00,37.5,A,06278500
2011-04-22 00:00:00+00:00,38.0,A,06278500
2011-04-23 00:00:00+00:00,36.1,A,06278500
2011-04-24 00:00:00+00:00,36.0,A,06278500
2011-04-25 00:00:00+00:00,37.8,A,06278500
2011-04-26 00:00:00+00:00,39.6,A,06278500
2011-04-27 00:00:00+00:00,37.4,A,06278500
2011-04-28 00:00:00+00:00,36.6,A,06278500
2011-04-29 00:00:00+00:00,39.1,A,06278500
2011-04-30 00:00:00+00:00,38.2,A,06278500
2011-05-01 00:00:00+00:00,37.9,A,06278500
2011-05-02 00:00:00+00:00,36.9,A,06278500
2011-05-03 00:00:00+00:00,38.4,A,06278500
2011-05-04 00:00:00+00:00,39.1,A,06278500
2011-05-05 00:00:00+00:00,39.8,A,06278500
2011-05-06 00:00:00+00:00,44.2,A,06278500
2011-05-07 00:00:00+00:00,47.8,A,06278500
2011-05-08 00:00:00+00:00,60.5,A,06278500
2011-05-09 00:00:00+00:00,76.9,A,06278500
2011-05-10 00:00:00+00:00,89.0,A,06278500
2011-05-11 00:00:00+00:00,72.7,A,06278500
2011-05-12 00:00:00+00:00,69.6,A,06278500
2011-05-13 00:00:00+00:00,86.5,A,06278500
2011-05-14 00:00:00+00:00,104.0,A,06278500
2011-05-15 00:00:00+00:00,99.2,A,06278500
2011-05-16 00:00:00+00:00,122.0,A,06278500
2011-05-17 00:00:00+00:00,129.0,A,06278500
2011-05-18 00:00:00+00:00,114.0,A,06278500
2011-05-19 00:00:00+00:00,112.0,A,06278500
2011-05-20 00:00:00+00:00,106.0,A,06278500
2011-05-21 00:00:00+00:00,115.0,A,06278500
2011-05-22 00:00:00+00:00,145.0,A,06278500
2011-05-23 00:00:00+00:00,168.0,A,06278500
2011-05-24 00:00:00+00:00,199.0,A,06278500
2011-05-25 00:00:00+00:00,212.0,A,06278500
2011-05-26 00:00:00+00:00,217.0,A,06278500
2011-05-27 00:00:00+00:00,225.0,A,06278500
2011-05-28 00:00:00+00:00,218.0,A,06278500
