datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,13.1,A,09143500
2010-10-02 00:00:00+00:00,9.01,A,09143500
2010-10-03 00:00:00+00:00,8.03,A,09143500
2010-10-04 00:00:00+00:00,10.2,A,09143500
2010-10-05 00:00:00+00:00,16.0,A,09143500
2010-10-06 00:00:00+00:00,20.1,A,09143500
2010-10-07 00:00:00+00:00,16.8,A,09143500
2010-10-08 00:00:00+00:00,13.9,A,09143500
2010-10-09 00:00:00+00:00,12.1,A,09143500
2010-10-10 00:00:00+00:00,11.4,A,09143500
2010-10-11 00:00:00+00:00,16.3,A,09143500
2010-10-12 00:00:00+00:00,18.8,A,09143500
2010-10-13 00:00:00+00:00,24.3,A,09143500
2010-10-14 00:00:00+00:00,21.9,A,09143500
2010-10-15 00:00:00+00:00,14.2,A,09143500
2010-10-16 00:00:00+00:00,12.3,A,09143500
2010-10-17 00:00:00+00:00,11.4,A,09143500
2010-10-18 00:00:00+00:00,12.1,A,09143500
2010-10-19 00:00:00+00:00,12.4,A,09143500
2010-10-20 00:00:00+00:00,13.2,A,09143500
2010-10-21 00:00:00+00:00,17.2,A,09143500
2010-10-22 00:00:00+00:00,18.8,A,09143500
2010-10-23 00:00:00+00:00,20.4,A,09143500
2010-10-24 00:00:00+00:00,21.1,A,09143500
2010-10-25 00:00:00+00:00,37.1,A,09143500
2010-10-26 00:00:00+00:00,24.0,A,09143500
2010-10-27 00:00:00+00:00,17.9,A,09143500
2010-10-28 00:00:00+00:00,17.2,A,09143500
2010-10-29 00:00:00+00:00,14.0,A,09143500
2010-10-30 00:00:00+00:00,13.8,A,09143500
2010-10-31 00:00:00+00:00,14.0,A,09143500
2011-04-01 00:00:00+00:00,14.3,A,09143500
2011-04-02 00:00:00+00:00,21.1,A,09143500
2011-04-03 00:00:00+00:00,32.0,A,09143500
2011-04-04 00:00:00+00:00,20.3,A,09143500
2011-04-05 00:00:00+00:00,20.0,A,09143500
2011-04-06 00:00:00+00:00,30.8,A,09143500
2011-04-07 00:00:00+00:00,22.5,A,09143500
2011-04-08 00:00:00+00:00,22.3,A,09143500
2011-04-09 00:00:00+00:00,18.5,A,09143500
2011-04-10 00:00:00+00:00,15.2,A,09143500
2011-04-11 00:00:00+00:00,14.5,A,09143500
2011-04-12 00:00:00+00:00,21.7,A,09143500
2011-04-13 00:00:00+00:00,27.8,A,09143500
2011-04-14 00:00:00+00:00,35.5,A,09143500
2011-04-15 00:00:00+00:00,27.9,A,09143500
2011-04-16 00:00:00+00:00,41.0,A,09143500
2011-04-17 00:00:00+00:00,62.2,A,09143500
2011-04-18 00:00:00+00:00,72.4,A,09143500
2011-04-19 00:00:00+00:00,81.8,A,09143500
2011-04-20 00:00:00+00:00,68.2,A,09143500
2011-04-21 00:00:00+00:00,90.0,A,09143500
2011-04-22 00:00:00+00:00,79.2,A,09143500
2011-04-23 00:00:00+00:00,60.0,A,09143500
2011-04-24 00:00:00+00:00,47.4,A,09143500
2011-04-25 00:00:00+00:00,41.6,A,09143500
2011-04-26 00:00:00+00:00,40.0,A,09143500
2011-04-27 00:00:00+00:00,32.4,A,09143500
2011-04-28 00:00:00+00:00,29.5,A,09143500
2011-04-29 00:00:00+00:00,36.6,A,09143500
2011-04-30 00:00:00+00:00,35.0,A,09143500
2011-05-01 00:00:00+00:00,30.8,A,09143500
2011-05-02 00:00:00+00:00,26.8,A,09143500
2011-05-03 00:00:00+00:00,30.2,A,09143500
2011-05-04 00:00:00+00:00,51.6,A,09143500
2011-05-05 00:00:00+00:00,80.0,A,09143500
2011-05-06 00:00:00+00:00,110.0,A,09143500
2011-05-07 00:00:00+00:00,146.0,A,09143500
2011-05-08 00:00:00+00:00,173.0,A,09143500
2011-05-09 00:00:00+00:00,128.0,A,09143500
2011-05-10 00:00:00+00:00,65.6,A,09143500
2011-05-11 00:00:00+00:00,56.7,A,09143500
2011-05-12 00:00:00+00:00,43.2,A,09143500
2011-05-13 00:00:00+00:00,77.8,A,09143500
2011-05-14 00:00:00+00:00,113.0,A,09143500
2011-05-15 00:00:00+00:00,129.0,A,09143500
2011-05-16 00:00:00+00:00,127.0,A,09143500
2011-05-17 00:00:00+00:00,83.5,A,09143500
2011-05-18 00:00:00+00:00,67.5,A,09143500
2011-05-19 00:00:00+00:00,71.5,A,09143500
2011-05-20 00:00:00+00:00,62.1,A,09143500
2011-05-21 00:00:00+00:00,57.9,A,09143500
2011-05-22 00:00:00+00:00,62.5,A,09143500
2011-05-23 00:00:00+00:00,70.5,A,09143500
2011-05-24 00:00:00+00:00,75.6,A,09143500
2011-05-25 00:00:00+00:00,72.8,A,09143500
2011-05-26 00:00:00+00:00,92.1,A,09143500
2011-05-27 00:00:00+00:00,118.0,A,09143500
2011-05-28 00:00:00+00:00,142.0,A,09143500
2011-05-29 00:00:00+00:00,185.0,A,09143500
2011-05-30 00:00:00+00:00,154.0,A,09143500
2011-05-31 00:00:00+00:00,114.0,A,09143500
2011-06-01 00:00:00+00:00,111.0,A,09143500
2011-06-02 00:00:00+00:00,119.0,A,09143500
2011-06-03 00:00:00+00:00,122.0,A,09143500
2011-06-04 00:00:00+00:00,104.0,A,09143500
2011-06-05 00:00:00+00:00,123.0,A,09143500
2011-06-06 00:00:00+00:00,142.0,A,09143500
2011-06-07 00:00:00+00:00,149.0,A,09143500
2011-06-08 00:00:00+00:00,187.0,A,09143500
2011-06-09 00:00:00+00:00,198.0,A,09143500
2011-06-10 00:00:00+00:00,181.0,A,09143500
2011-06-11 00:00:00+00:00,181.0,A,09143500
2011-06-12 00:00:00+00:00,181.0,A,09143500
2011-06-13 00:00:00+00:00,171.0,A,09143500
2011-06-14 00:00:00+00:00,182.0,A,09143500
2011-06-15 00:00:00+00:00,187.0,A,09143500
2011-06-16 00:00:00+00:00,183.0,A,09143500
2011-06-17 00:00:00+00:00,180.0,A,09143500
2011-06-18 00:00:00+00:00,169.0,A,09143500
2011-06-19 00:00:00+00:00,142.0,A,09143500
