datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,68.4,A,06298000
2010-10-02 00:00:00+00:00,68.3,A,06298000
2010-10-03 00:00:00+00:00,67.2,A,06298000
2010-10-04 00:00:00+00:00,66.4,A,06298000
2010-10-05 00:00:00+00:00,66.3,A,06298000
2010-10-06 00:00:00+00:00,68.3,A,06298000
2010-10-07 00:00:00+00:00,66.1,A,06298000
2010-10-08 00:00:00+00:00,67.1,A,06298000
2010-10-09 00:00:00+00:00,84.4,A,06298000
2010-10-10 00:00:00+00:00,107.0,A,06298000
2010-10-11 00:00:00+00:00,91.0,A,06298000
2010-10-12 00:00:00+00:00,87.9,A,06298000
2010-10-13 00:00:00+00:00,80.8,A,06298000
2010-10-14 00:00:00+00:00,81.3,A,06298000
2010-10-15 00:00:00+00:00,78.2,A,06298000
2010-10-16 00:00:00+00:00,75.5,A,06298000
2010-10-17 00:00:00+00:00,76.0,A,06298000
2010-10-18 00:00:00+00:00,75.5,A,06298000
2010-10-19 00:00:00+00:00,74.8,A,06298000
2010-10-20 00:00:00+00:00,74.4,A,06298000
2010-10-21 00:00:00+00:00,72.8,A,06298000
2010-10-22 00:00:00+00:00,73.3,A,06298000
2010-10-23 00:00:00+00:00,74.7,A,06298000
2010-10-24 00:00:00+00:00,74.3,A,06298000
2010-10-25 00:00:00+00:00,84.0,A,06298000
2010-10-26 00:00:00+00:00,72.5,A,06298000
2010-10-27 00:00:00+00:00,66.3,A,06298000
2010-10-28 00:00:00+00:00,53.7,A,06298000
2010-10-29 00:00:00+00:00,80.0,A,06298000
2010-10-30 00:00:00+00:00,75.8,A,06298000
2010-10-31 00:00:00+00:00,80.2,A,06298000
2010-11-01 00:00:00+00:00,77.1,A,06298000
2010-11-02 00:00:00+00:00,76.8,A,06298000
2010-11-03 00:00:00+00:00,71.5,A,06298000
2010-11-04 00:00:00+00:00,58.7,A,06298000
2010-11-05 00:00:00+00:00,75.0,A,06298000
2010-11-06 00:00:00+00:00,81.1,A,06298000
2010-11-07 00:00:00+00:00,75.0,A,06298000
2010-11-08 00:00:00+00:00,71.0,A,06298000
2010-11-09 00:00:00+00:00,74.7,A,06298000
2010-11-10 00:00:00+00:00,53.9,A,06298000
2010-11-11 00:00:00+00:00,39.9,A,06298000
2010-11-12 00:00:00+00:00,39.7,A,06298000
2010-11-13 00:00:00+00:00,62.4,A,06298000
2010-11-14 00:00:00+00:00,56.7,A,06298000
2010-11-15 00:00:00+00:00,71.4,A,06298000
2010-11-16 00:00:00+00:00,72.4,A,06298000
2010-11-17 00:00:00+00:00,65.4,A,06298000
2010-11-18 00:00:00+00:00,70.9,A,06298000
2010-11-19 00:00:00+00:00,68.0,A,06298000
2010-11-20 00:00:00+00:00,64.4,A,06298000
2010-11-21 00:00:00+00:00,62.0,A,06298000
2010-11-22 00:00:00+00:00,60.0,A,06298000
2010-11-23 00:00:00+00:00,57.3,A,06298000
2010-11-24 00:00:00+00:00,50.8,A,06298000
2010-11-25 00:00:00+00:00,59.9,A,06298000
2010-11-26 00:00:00+00:00,72.3,A,06298000
2010-11-27 00:00:00+00:00,78.5,A,06298000
2010-11-28 00:00:00+00:00,81.2,A,06298000
2010-11-29 00:00:00+00:00,75.2,A,06298000
2010-11-30 00:00:00+00:00,70.1,A,06298000
2010-12-01 00:00:00+00:00,74.6,A,06298000
2010-12-02 00:00:00+00:00,73.5,A,06298000
2010-12-03 00:00:00+00:00,73.4,A,06298000
2010-12-04 00:00:00+00:00,70.6,A,06298000
2010-12-05 00:00:00+00:00,62.9,A,06298000
2010-12-06 00:00:00+00:00,64.1,A,06298000
2010-12-07 00:00:00+00:00,69.2,A,06298000
2010-12-08 00:00:00+00:00,70.2,A,06298000
2010-12-09 00:00:00+00:00,70.8,A,06298000
2010-12-10 00:00:00+00:00,70.4,A,06298000
2010-12-11 00:00:00+00:00,70.2,A,06298000
2010-12-12 00:00:00+00:00,69.0,A,06298000
2010-12-13 00:00:00+00:00,70.1,A,06298000
2010-12-14 00:00:00+00:00,67.6,A,06298000
2010-12-15 00:00:00+00:00,66.2,A,06298000
2010-12-16 00:00:00+00:00,46.0,A,06298000
2010-12-17 00:00:00+00:00,35.4,A,06298000
2010-12-18 00:00:00+00:00,44.0,A,06298000
2010-12-19 00:00:00+00:00,61.4,A,06298000
2010-12-20 00:00:00+00:00,67.0,A,06298000
2010-12-21 00:00:00+00:00,66.6,A,06298000
2010-12-22 00:00:00+00:00,67.5,A,06298000
2010-12-23 00:00:00+00:00,68.0,A,06298000
2010-12-24 00:00:00+00:00,63.6,A,06298000
