datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,177.0,A,06091700
2010-10-02 00:00:00+00:00,172.0,A,06091700
2010-10-03 00:00:00+00:00,168.0,A,06091700
2010-10-04 00:00:00+00:00,162.0,A,06091700
2010-10-05 00:00:00+00:00,151.0,A,06091700
2010-10-06 00:00:00+00:00,132.0,A,06091700
2010-10-07 00:00:00+00:00,122.0,A,06091700
2010-10-08 00:00:00+00:00,113.0,A,06091700
2010-10-09 00:00:00+00:00,103.0,A,06091700
2010-10-10 00:00:00+00:00,98.9,A,06091700
2010-10-11 00:00:00+00:00,94.8,A,06091700
2010-10-12 00:00:00+00:00,92.3,A,06091700
2010-10-13 00:00:00+00:00,86.4,A,06091700
2010-10-14 00:00:00+00:00,81.9,A,06091700
2010-10-15 00:00:00+00:00,77.0,A,06091700
2010-10-16 00:00:00+00:00,73.0,A,06091700
2010-10-17 00:00:00+00:00,69.6,A,06091700
2010-10-18 00:00:00+00:00,68.2,A,06091700
2010-10-19 00:00:00+00:00,67.0,A,06091700
2010-10-20 00:00:00+00:00,65.5,A,06091700
2010-10-21 00:00:00+00:00,63.4,A,06091700
2010-10-22 00:00:00+00:00,62.2,A,06091700
2010-10-23 00:00:00+00:00,62.1,A,06091700
2010-10-24 00:00:00+00:00,63.2,A,06091700
2010-10-25 00:00:00+00:00,69.1,A,06091700
2010-10-26 00:00:00+00:00,68.3,A,06091700
2010-10-27 00:00:00+00:00,67.0,A,06091700
2010-10-28 00:00:00+00:00,64.5,A,06091700
2010-10-29 00:00:00+00:00,65.1,A,06091700
2010-10-30 00:00:00+00:00,70.5,A,06091700
2010-10-31 00:00:00+00:00,68.7,A,06091700
2010-11-01 00:00:00+00:00,70.5,A,06091700
2010-11-02 00:00:00+00:00,82.8,A,06091700
2010-11-03 00:00:00+00:00,104.0,A,06091700
2010-11-04 00:00:00+00:00,73.2,A,06091700
2010-11-05 00:00:00+00:00,63.6,A,06091700
2010-11-06 00:00:00+00:00,59.6,A,06091700
2010-11-07 00:00:00+00:00,59.2,A,06091700
2010-11-08 00:00:00+00:00,58.8,A,06091700
2010-11-09 00:00:00+00:00,58.7,A,06091700
2010-11-10 00:00:00+00:00,59.1,A,06091700
2010-11-11 00:00:00+00:00,49.9,A,06091700
2010-11-12 00:00:00+00:00,64.1,A,06091700
2010-11-13 00:00:00+00:00,61.1,A,06091700
2010-11-14 00:00:00+00:00,62.0,A,06091700
2010-11-15 00:00:00+00:00,59.8,A,06091700
2010-11-16 00:00:00+00:00,54.5,A,06091700
2010-11-17 00:00:00+00:00,38.3,A,06091700
2010-11-18 00:00:00+00:00,35.0,"A, e",06091700
2010-11-19 00:00:00+00:00,35.0,"A, e",06091700
2010-11-20 00:00:00+00:00,40.0,"A, e",06091700
2010-11-21 00:00:00+00:00,40.0,"A, e",06091700
2010-11-22 00:00:00+00:00,40.0,"A, e",06091700
2010-11-23 00:00:00+00:00,40.0,"A, e",06091700
2010-11-24 00:00:00+00:00,40.0,"A, e",06091700
2010-11-25 00:00:00+00:00,45.0,"A, e",06091700
2010-11-26 00:00:00+00:00,50.0,"A, e",06091700
2010-11-27 00:00:00+00:00,50.0,"A, e",06091700
2010-11-28 00:00:00+00:00,45.0,"A, e",06091700
2010-11-29 00:00:00+00:00,45.0,"A, e",06091700
2010-11-30 00:00:00+00:00,50.0,"A, e",06091700
2010-12-01 00:00:00+00:00,60.0,"A, e",06091700
2010-12-02 00:00:00+00:00,60.0,"A, e",06091700
2010-12-03 00:00:00+00:00,50.0,"A, e",06091700
2010-12-04 00:00:00+00:00,45.0,"A, e",06091700
2010-12-05 00:00:00+00:00,45.0,"A, e",06091700
2010-12-06 00:00:00+00:00,50.0,"A, e",06091700
2010-12-07 00:00:00+00:00,50.0,"A, e",06091700
2010-12-08 00:00:00+00:00,60.0,"A, e",06091700
2010-12-09 00:00:00+00:00,60.0,"A, e",06091700
2010-12-10 00:00:00+00:00,50.0,"A, e",06091700
2010-12-11 00:00:00+00:00,50.0,"A, e",06091700
2010-12-12 00:00:00+00:00,50.0,"A, e",06091700
2010-12-13 00:00:00+00:00,60.0,"A, e",06091700
2010-12-14 00:00:00+00:00,60.0,"A, e",06091700
2010-12-15 00:00:00+00:00,60.0,"A, e",06091700
2010-12-16 00:00:00+00:00,50.0,"A, e",06091700
2010-12-17 00:00:00+00:00,50.0,"A, e",06091700
2010-12-18 00:00:00+00:00,45.0,"A, e",06091700
2010-12-19 00:00:00+00:00,40.0,"A, e",06091700
2010-12-20 00:00:00+00:00,45.0,"A, e",06091700
2010-12-21 00:00:00+00:00,45.0,"A, e",06091700
2010-12-22 00:00:00+00:00,50.0,"A, e",06091700
2010-12-23 00:00:00+00:00,45.0,"A, e",06091700
2010-12-24 00:00:00+00:00,50.0,"A, e",06091700
2010-12-25 00:00:00+00:00,60.0,"A, e",06091700
2010-12-26 00:00:00+00:00,60.0,"A, e",06091700
2010-12-27 00:00:00+00:00,50.0,"A, e",06091700
2010-12-28 00:00:00+00:00,50.0,"A, e",06091700
2010-12-29 00:00:00+00:00,45.0,"A, e",06091700
2010-12-30 00:00:00+00:00,40.0,"A, e",06091700
2010-12-31 00:00:00+00:00,35.0,"A, e",06091700
2011-01-01 00:00:00+00:00,40.0,"A, e",06091700
2011-01-02 00:00:00+00:00,40.0,"A, e",06091700
2011-01-03 00:00:00+00:00,45.0,"A, e",06091700
2011-01-04 00:00:00+00:00,45.0,"A, e",06091700
2011-01-05 00:00:00+00:00,45.0,"A, e",06091700
2011-01-06 00:00:00+00:00,45.0,"A, e",06091700
2011-01-07 00:00:00+00:00,50.0,"A, e",06091700
2011-01-08 00:00:00+00:00,50.0,"A, e",06091700
2011-01-09 00:00:00+00:00,45.0,"A, e",06091700
2011-01-10 00:00:00+00:00,40.0,"A, e",06091700
2011-01-11 00:00:00+00:00,45.0,"A, e",06091700
2011-01-12 00:00:00+00:00,50.0,"A, e",06091700
2011-01-13 00:00:00+00:00,45.0,"A, e",06091700
2011-01-14 00:00:00+00:00,50.0,"A, e",06091700
2011-01-15 00:00:00+00:00,60.0,"A, e",06091700
2011-01-16 00:00:00+00:00,70.0,"A, e",06091700
2011-01-17 00:00:00+00:00,80.0,"A, e",06091700
2011-01-18 00:00:00+00:00,80.0,"A, e",06091700
2011-01-19 00:00:00+00:00,70.0,"A, e",06091700
2011-01-20 00:00:00+00:00,60.0,"A, e",06091700
2011-01-21 00:00:00+00:00,70.0,"A, e",06091700
2011-01-22 00:00:00+00:00,80.0,"A, e",06091700
2011-01-23 00:00:00+00:00,70.0,"A, e",06091700
2011-01-24 00:00:00+00:00,80.0,"A, e",06091700
2011-01-25 00:00:00+00:00,80.0,"A, e",06091700
2011-01-26 00:00:00+00:00,80.0,"A, e",06091700
2011-01-27 00:00:00+00:00,80.0,"A, e",06091700
2011-01-28 00:00:00+00:00,90.0,"A, e",06091700
2011-01-29 00:00:00+00:00,80.0,"A, e",06091700
2011-01-30 00:00:00+00:00,70.0,"A, e",06091700
2011-01-31 00:00:00+00:00,50.0,"A, e",06091700
2011-02-01 00:00:00+00:00,50.0,"A, e",06091700
2011-02-02 00:00:00+00:00,60.0,"A, e",06091700
2011-02-03 00:00:00+00:00,70.0,"A, e",06091700
2011-02-04 00:00:00+00:00,80.0,"A, e",06091700
2011-02-05 00:00:00+00:00,80.0,"A, e",06091700
2011-02-06 00:00:00+00:00,70.0,"A, e",06091700
2011-02-07 00:00:00+00:00,60.0,"A, e",06091700
2011-02-08 00:00:00+00:00,50.0,"A, e",06091700
2011-02-09 00:00:00+00:00,60.0,"A, e",06091700
2011-02-10 00:00:00+00:00,70.0,"A, e",06091700
2011-02-11 00:00:00+00:00,80.0,"A, e",06091700
2011-02-12 00:00:00+00:00,90.0,"A, e",06091700
2011-02-13 00:00:00+00:00,90.0,"A, e",06091700
2011-02-14 00:00:00+00:00,100.0,"A, e",06091700
2011-02-15 00:00:00+00:00,90.0,"A, e",06091700
2011-02-16 00:00:00+00:00,90.0,"A, e",06091700
2011-02-17 00:00:00+00:00,90.0,"A, e",06091700
2011-02-18 00:00:00+00:00,80.0,"A, e",06091700
2011-02-19 00:00:00+00:00,80.0,"A, e",06091700
2011-02-20 00:00:00+00:00,90.0,"A, e",06091700
2011-02-21 00:00:00+00:00,100.0,"A, e",06091700
2011-02-22 00:00:00+00:00,90.0,"A, e",06091700
2011-02-23 00:00:00+00:00,80.0,"A, e",06091700
2011-02-24 00:00:00+00:00,70.0,"A, e",06091700
2011-02-25 00:00:00+00:00,80.0,"A, e",06091700
2011-02-26 00:00:00+00:00,80.0,"A, e",06091700
2011-02-27 00:00:00+00:00,90.0,"A, e",06091700
2011-02-28 00:00:00+00:00,80.0,"A, e",06091700
2011-03-01 00:00:00+00:00,80.0,"A, e",06091700
2011-03-02 00:00:00+00:00,80.0,"A, e",06091700
2011-03-03 00:00:00+00:00,90.0,"A, e",06091700
2011-03-04 00:00:00+00:00,120.0,"A, e",06091700
2011-03-05 00:00:00+00:00,110.0,"A, e",06091700
2011-03-06 00:00:00+00:00,100.0,"A, e",06091700
2011-03-07 00:00:00+00:00,100.0,"A, e",06091700
2011-03-08 00:00:00+00:00,100.0,"A, e",06091700
2011-03-09 00:00:00+00:00,100.0,"A, e",06091700
2011-03-10 00:00:00+00:00,150.0,"A, e",06091700
2011-03-11 00:00:00+00:00,200.0,"A, e",06091700
2011-03-12 00:00:00+00:00,300.0,"A, e",06091700
2011-03-13 00:00:00+00:00,500.0,"A, e",06091700
2011-03-14 00:00:00+00:00,450.0,"A, e",06091700
2011-03-15 00:00:00+00:00,450.0,"A, e",06091700
2011-03-16 00:00:00+00:00,430.0,"A, e",06091700
2011-03-17 00:00:00+00:00,400.0,"A, e",06091700
2011-03-18 00:00:00+00:00,360.0,"A, e",06091700
2011-03-19 00:00:00+00:00,335.0,A,06091700
2011-03-20 00:00:00+00:00,313.0,A,06091700
2011-03-21 00:00:00+00:00,297.0,A,06091700
2011-03-22 00:00:00+00:00,145.0,A,06091700
2011-03-23 00:00:00+00:00,147.0,A,06091700
2011-03-24 00:00:00+00:00,136.0,A,06091700
2011-03-25 00:00:00+00:00,96.3,A,06091700
2011-03-26 00:00:00+00:00,88.6,A,06091700
2011-03-27 00:00:00+00:00,86.2,A,06091700
2011-03-28 00:00:00+00:00,87.7,A,06091700
2011-03-29 00:00:00+00:00,88.0,A,06091700
2011-03-30 00:00:00+00:00,98.2,A,06091700
2011-03-31 00:00:00+00:00,204.0,A,06091700
2011-04-01 00:00:00+00:00,368.0,A,06091700
2011-04-02 00:00:00+00:00,450.0,"A, e",06091700
2011-04-03 00:00:00+00:00,400.0,"A, e",06091700
2011-04-04 00:00:00+00:00,398.0,A,06091700
2011-04-05 00:00:00+00:00,334.0,A,06091700
2011-04-06 00:00:00+00:00,272.0,A,06091700
2011-04-07 00:00:00+00:00,236.0,A,06091700
2011-04-08 00:00:00+00:00,219.0,A,06091700
2011-04-09 00:00:00+00:00,197.0,A,06091700
2011-04-10 00:00:00+00:00,204.0,A,06091700
2011-04-11 00:00:00+00:00,242.0,A,06091700
2011-04-12 00:00:00+00:00,293.0,A,06091700
2011-04-13 00:00:00+00:00,267.0,A,06091700
2011-04-14 00:00:00+00:00,263.0,A,06091700
2011-04-15 00:00:00+00:00,241.0,A,06091700
2011-04-16 00:00:00+00:00,241.0,A,06091700
2011-04-17 00:00:00+00:00,283.0,A,06091700
2011-04-18 00:00:00+00:00,255.0,A,06091700
