datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2010-10-01 00:00:00+00:00,0.47,A,10166430,2.15,A
2010-10-02 00:00:00+00:00,0.47,A,10166430,2.15,A
2010-10-03 00:00:00+00:00,0.48,A,10166430,2.16,A
2010-10-04 00:00:00+00:00,0.51,A,10166430,2.16,A
2010-10-05 00:00:00+00:00,0.52,A,10166430,2.16,A
2010-10-06 00:00:00+00:00,0.68,A,10166430,2.18,A
2010-10-07 00:00:00+00:00,0.61,A,10166430,2.16,A
2010-10-08 00:00:00+00:00,0.62,A,10166430,2.17,A
2010-10-09 00:00:00+00:00,0.6,A,10166430,2.16,A
2010-10-10 00:00:00+00:00,0.6,A,10166430,2.16,A
2010-10-11 00:00:00+00:00,0.59,A,10166430,2.16,A
2010-10-12 00:00:00+00:00,0.53,A,10166430,2.15,A
2010-10-13 00:00:00+00:00,0.52,A,10166430,2.15,A
2010-10-14 00:00:00+00:00,0.52,A,10166430,2.15,A
2010-10-15 00:00:00+00:00,0.51,A,10166430,2.15,A
2010-10-16 00:00:00+00:00,0.57,A,10166430,2.15,A
2010-10-17 00:00:00+00:00,0.51,A,10166430,2.14,A
2010-10-18 00:00:00+00:00,0.51,"A, e",10166430,,
2010-10-19 00:00:00+00:00,0.51,"A, e",10166430,,
2010-10-20 00:00:00+00:00,0.51,"A, e",10166430,,
2010-10-21 00:00:00+00:00,0.51,"A, e",10166430,,
2010-10-22 00:00:00+00:00,0.47,"A, e",10166430,,
2010-10-23 00:00:00+00:00,0.48,"A, e",10166430,,
2010-10-24 00:00:00+00:00,0.51,"A, e",10166430,,
2010-10-25 00:00:00+00:00,0.56,"A, e",10166430,,
2010-10-26 00:00:00+00:00,0.45,A,10166430,2.12,A
2010-10-27 00:00:00+00:00,0.5,A,10166430,2.13,A
2010-10-28 00:00:00+00:00,0.48,A,10166430,2.12,A
2010-10-29 00:00:00+00:00,0.45,A,10166430,2.12,A
2010-10-30 00:00:00+00:00,0.47,A,10166430,2.12,A
2010-10-31 00:00:00+00:00,0.48,A,10166430,2.13,A
2010-11-01 00:00:00+00:00,0.48,A,10166430,2.12,A
2010-11-02 00:00:00+00:00,0.5,A,10166430,2.13,A
2010-11-03 00:00:00+00:00,0.46,A,10166430,2.12,A
2010-11-04 00:00:00+00:00,0.49,A,10166430,2.12,A
2010-11-05 00:00:00+00:00,0.48,A,10166430,2.12,A
2010-11-06 00:00:00+00:00,0.51,A,10166430,2.12,A
2010-11-07 00:00:00+00:00,0.53,A,10166430,2.12,A
2010-11-08 00:00:00+00:00,0.56,A,10166430,2.13,A
2010-11-09 00:00:00+00:00,0.54,A,10166430,2.12,A
2010-11-10 00:00:00+00:00,0.5,A,10166430,2.12,A
2010-11-11 00:00:00+00:00,0.48,A,10166430,2.12,A
2010-11-12 00:00:00+00:00,0.48,A,10166430,2.12,A
2010-11-13 00:00:00+00:00,0.5,A,10166430,2.12,A
2010-11-14 00:00:00+00:00,0.57,A,10166430,2.12,A
2010-11-15 00:00:00+00:00,0.56,A,10166430,2.12,A
2010-11-16 00:00:00+00:00,0.51,A,10166430,2.11,A
2010-11-17 00:00:00+00:00,0.49,A,10166430,2.11,A
2010-11-18 00:00:00+00:00,0.5,A,10166430,2.11,A
2010-11-19 00:00:00+00:00,0.53,A,10166430,2.11,A
2010-11-20 00:00:00+00:00,0.63,A,10166430,2.13,A
2010-11-21 00:00:00+00:00,0.65,A,10166430,2.13,A
2010-11-22 00:00:00+00:00,0.64,A,10166430,2.13,A
2010-11-23 00:00:00+00:00,0.6,"A, e",10166430,2.13,A
2010-11-24 00:00:00+00:00,0.53,"A, e",10166430,2.18,A
2010-11-25 00:00:00+00:00,0.5,"A, e",10166430,2.21,A
2010-11-26 00:00:00+00:00,0.49,"A, e",10166430,2.24,A
2010-11-27 00:00:00+00:00,0.53,"A, e",10166430,2.25,A
2010-11-28 00:00:00+00:00,0.59,"A, e",10166430,2.13,A
2010-11-29 00:00:00+00:00,0.59,A,10166430,2.12,A
2010-11-30 00:00:00+00:00,0.6,A,10166430,2.12,A
2010-12-01 00:00:00+00:00,0.64,A,10166430,2.13,A
2010-12-02 00:00:00+00:00,0.62,A,10166430,2.13,A
2010-12-03 00:00:00+00:00,0.65,A,10166430,2.13,A
2010-12-04 00:00:00+00:00,0.65,A,10166430,2.13,A
2010-12-05 00:00:00+00:00,0.63,A,10166430,2.13,A
2010-12-06 00:00:00+00:00,0.63,A,10166430,2.13,A
2010-12-07 00:00:00+00:00,0.6,A,10166430,2.12,A
2010-12-08 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-09 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-10 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-11 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-12 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-13 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-14 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-15 00:00:00+00:00,0.6,"A, e",10166430,2.13,A
2010-12-16 00:00:00+00:00,0.53,"A, e",10166430,2.14,A
2010-12-17 00:00:00+00:00,0.6,"A, e",10166430,2.19,A
2010-12-18 00:00:00+00:00,0.59,A,10166430,2.12,A
2010-12-19 00:00:00+00:00,0.94,A,10166430,2.16,A
2010-12-20 00:00:00+00:00,0.78,A,10166430,2.14,A
2010-12-21 00:00:00+00:00,0.6,A,10166430,2.12,A
2010-12-22 00:00:00+00:00,0.67,A,10166430,2.13,A
2010-12-23 00:00:00+00:00,0.62,A,10166430,2.13,A
2010-12-24 00:00:00+00:00,0.58,A,10166430,2.12,A
2010-12-25 00:00:00+00:00,0.59,A,10166430,2.12,A
2010-12-26 00:00:00+00:00,0.59,"A, e",10166430,2.12,A
2010-12-27 00:00:00+00:00,0.53,"A, e",10166430,2.19,A
2010-12-28 00:00:00+00:00,0.49,"A, e",10166430,2.18,A
2010-12-29 00:00:00+00:00,0.49,"A, e",10166430,2.18,A
2010-12-30 00:00:00+00:00,0.49,"A, e",10166430,,
2010-12-31 00:00:00+00:00,0.53,"A, e",10166430,,
2011-01-01 00:00:00+00:00,0.55,"A, e",10166430,2.83,A
2011-01-02 00:00:00+00:00,0.55,"A, e",10166430,2.49,A
2011-01-03 00:00:00+00:00,0.57,A,10166430,2.12,A
2011-01-04 00:00:00+00:00,0.53,A,10166430,2.11,A
2011-01-05 00:00:00+00:00,0.53,A,10166430,2.11,A
2011-01-06 00:00:00+00:00,0.53,A,10166430,2.11,A
2011-01-07 00:00:00+00:00,0.51,A,10166430,2.11,A
2011-01-08 00:00:00+00:00,0.53,A,10166430,2.11,A
2011-01-09 00:00:00+00:00,0.57,A,10166430,2.12,A
2011-01-10 00:00:00+00:00,0.53,"A, e",10166430,2.25,A
2011-01-11 00:00:00+00:00,0.51,"A, e",10166430,2.71,A
2011-01-12 00:00:00+00:00,0.53,"A, e",10166430,2.48,A
2011-01-13 00:00:00+00:00,0.56,A,10166430,2.12,A
2011-01-14 00:00:00+00:00,0.58,A,10166430,2.12,A
2011-01-15 00:00:00+00:00,0.58,A,10166430,2.12,A
2011-01-16 00:00:00+00:00,0.58,A,10166430,2.12,A
2011-01-17 00:00:00+00:00,0.62,A,10166430,2.13,A
2011-01-18 00:00:00+00:00,0.58,A,10166430,2.12,A
2011-01-19 00:00:00+00:00,0.58,"A, e",10166430,2.13,A
2011-01-20 00:00:00+00:00,0.55,"A, e",10166430,2.2,A
2011-01-21 00:00:00+00:00,0.55,"A, e",10166430,2.13,A
2011-01-22 00:00:00+00:00,0.59,A,10166430,2.12,A
2011-01-23 00:00:00+00:00,0.55,"A, e",10166430,2.19,A
2011-01-24 00:00:00+00:00,0.55,"A, e",10166430,2.17,A
2011-01-25 00:00:00+00:00,0.61,A,10166430,2.12,A
2011-01-26 00:00:00+00:00,0.59,A,10166430,2.12,A
2011-01-27 00:00:00+00:00,0.55,"A, e",10166430,2.16,A
2011-01-28 00:00:00+00:00,0.53,"A, e",10166430,2.16,A
2011-01-29 00:00:00+00:00,0.55,"A, e",10166430,2.14,A
2011-01-30 00:00:00+00:00,0.63,A,10166430,2.13,A
2011-01-31 00:00:00+00:00,0.63,A,10166430,2.13,A
2011-02-01 00:00:00+00:00,0.58,"A, e",10166430,2.17,A
2011-02-02 00:00:00+00:00,0.55,"A, e",10166430,2.31,A
2011-02-03 00:00:00+00:00,0.53,"A, e",10166430,2.34,A
2011-02-04 00:00:00+00:00,0.58,"A, e",10166430,2.21,A
2011-02-05 00:00:00+00:00,0.64,A,10166430,2.13,A
2011-02-06 00:00:00+00:00,0.64,A,10166430,2.13,A
